term,ES,NES,fdr,Gene %,Genes,description
DGIdb_Drug_Targets_2024__ENALAPRIL,0.6102159195684999,1.1713131290219894,0.7748481755145419,1.51%,PNPT1,DGIdb_Drug_Targets_2024__ENALAPRIL
DGIdb_Drug_Targets_2024__CHLORPROMAZINE,0.6290834275968635,1.1663205569128543,0.7765033559896921,26.06%,CCK;ABCB1;NTS;MTHFR;IDH1,DGIdb_Drug_Targets_2024__CHLORPROMAZINE
DGIdb_Drug_Targets_2024__CERITINIB,-0.6307606490124429,-1.1647660677865066,0.96755586402953,4.05%,EML4;NPM1,DGIdb_Drug_Targets_2024__CERITINIB
DGIdb_Drug_Targets_2024__MOTESANIB,0.6489029730597656,1.1646510239882664,0.7759442358228547,0.89%,RET,DGIdb_Drug_Targets_2024__MOTESANIB
DGIdb_Drug_Targets_2024__CABAZITAXEL,0.6460347678209607,1.1644943410733546,0.7754610923331594,4.28%,TUBB6,DGIdb_Drug_Targets_2024__CABAZITAXEL
DGIdb_Drug_Targets_2024__CARBAMAZEPINE,0.5908051326580265,1.1633845985407103,0.7751029327936296,22.55%,RALBP1;BGLAP;HLA-DQB1;MTHFR,DGIdb_Drug_Targets_2024__CARBAMAZEPINE
DGIdb_Drug_Targets_2024__IDARUBICIN,0.6010860000096432,1.163184193664447,0.774753001389099,13.01%,ATXN2;ABCB1;NT5C3A,DGIdb_Drug_Targets_2024__IDARUBICIN
DGIdb_Drug_Targets_2024__PODOFILOX,0.6542444492787576,1.1628071179944897,0.7749806575228314,4.28%,TUBB6,DGIdb_Drug_Targets_2024__PODOFILOX
DGIdb_Drug_Targets_2024__GDC 0941,-0.5556356930893408,-1.1612140045378254,0.9679670270931084,1.30%,PIK3C2A,DGIdb_Drug_Targets_2024__GDC 0941
DGIdb_Drug_Targets_2024__DESIPRAMINE,-0.5112279808665237,-1.1585149687417091,0.95802093557033,8.13%,RPTOR;FCHSD1;HLA-A,DGIdb_Drug_Targets_2024__DESIPRAMINE
DGIdb_Drug_Targets_2024__E 3810,0.644658933489261,1.1533408470091346,0.7761860127093001,26.81%,FGFR3;PDGFRA;FGFR2,DGIdb_Drug_Targets_2024__E 3810
DGIdb_Drug_Targets_2024__BAY80 6946,-0.5497247301055124,-1.152660149938221,0.9631620357181668,1.30%,PIK3C2A,DGIdb_Drug_Targets_2024__BAY80 6946
DGIdb_Drug_Targets_2024__PLATINUM,0.6173825676214568,1.1523470815526562,0.7764133486124666,19.62%,ABCB1;ATP7A;XRCC5;CD74;STMN1,DGIdb_Drug_Targets_2024__PLATINUM
DGIdb_Drug_Targets_2024__VEMURAFENIB,0.5259151979845951,1.146271769328285,0.781821497138984,14.57%,NF1;MITF;ABCB1;PIK3R2;MAP2K2,DGIdb_Drug_Targets_2024__VEMURAFENIB
DGIdb_Drug_Targets_2024__SELUMETINIB,0.4875832022296726,1.1445751262239956,0.7834202173156121,14.57%,NF1;MITF;FGFR3;MAP2K5;NF2;MAP2K2,DGIdb_Drug_Targets_2024__SELUMETINIB
DGIdb_Drug_Targets_2024__PEMETREXED,-0.5535238516657291,-1.144462409692771,0.9677348174555694,0.55%,EGFR,DGIdb_Drug_Targets_2024__PEMETREXED
DGIdb_Drug_Targets_2024__DOXEPIN,-0.5119071938607687,-1.1427749624794574,0.9655278894600684,8.13%,RPTOR;FCHSD1;HLA-A,DGIdb_Drug_Targets_2024__DOXEPIN
DGIdb_Drug_Targets_2024__PEMBROLIZUMAB,-0.4877904302908317,-1.1382371117731651,0.961991940492727,7.59%,EGFR;KIT,DGIdb_Drug_Targets_2024__PEMBROLIZUMAB
DGIdb_Drug_Targets_2024__DOCETAXEL,0.4720542339426776,1.1378099947852682,0.790852409774377,9.08%,TUBB6;FGFR3;ACSS2;ORM2,DGIdb_Drug_Targets_2024__DOCETAXEL
DGIdb_Drug_Targets_2024__MLN 8054,-0.4683823007387977,-1.1356974314653825,0.9622295309658428,8.41%,EGFR;GRK5;TYRO3,DGIdb_Drug_Targets_2024__MLN 8054
DGIdb_Drug_Targets_2024__OPIOIDS,-0.5086341754761103,-1.133583058612638,0.9614776016481598,15.12%,CLCC1;RHBDF2;GAL;BDNF,DGIdb_Drug_Targets_2024__OPIOIDS
DGIdb_Drug_Targets_2024__CETUXIMAB,-0.444501229729539,-1.1239433619602175,0.969258885528453,10.42%,EGFR;SMAD4;NT5E,DGIdb_Drug_Targets_2024__CETUXIMAB
