Protein_Group	Genes	AURKA_dox-_vs_IgG_dox-_logFC	AURKA_dox-_vs_IgG_dox-_pval	Removed?	Contaminant?
Q5F1R6	DNAJC21	4.24052473275793	7.45922311132624e-08	No	No
Q5H9R7	PPP6R3	2.27956127743937	6.644574118232521e-09	No	No
Q5H9U9	DDX60L	4.20390196117011	2.16559798233751e-05	No	No
Q5HYI7	MTX3	5.73889601191978	5.01511542387449e-05	No	No
Q5JSZ5	PRRC2B	3.43259011625741	4.98443238909141e-16	No	No
Q5JTD0	TJAP1	3.03341594175244	5.39512769594652e-05	No	No
Q5JTH9	RRP12	1.75382592466067	0.0001052204882823	No	No
Q5QJE6	DNTTIP2	2.34077412585451	5.22979175001679e-05	No	No
Q5SYE7	NHSL1	2.63641346714517	1.80473986549931e-05	No	No
Q5T1M5	FKBP15	2.76701654697349	6.62275082511282e-10	No	No
Q5T200	ZC3H13	1.68925334113241	0.000257943303021	No	No
Q5T280	SPOUT1	2.37337830946307	8.54989926757951e-06	No	No
Q5T3I0	GPATCH4	3.62098048286857	1.39917866487599e-06	No	No
Q5T5Y3	CAMSAP1	3.7282716903661	1.07242733924496e-08	No	No
Q5T653	MRPL2	2.95337912765298	1.31953699181475e-10	No	No
Q5T6F2	UBAP2	2.00362949944693	2.69727267124712e-08	No	No
Q5T6S3	PHF19	3.2002917913067	9.23559513153288e-12	No	No
Q5T750	KPLCE	1.93655880001891	0.0022263606062123	No	No
Q5TAT6	COL13A1	5.70934515553731	4.3206976114366e-10	No	No
Q5TC82	RC3H1	1.97303934325003	0.0018211188261607	No	No
Q5TCZ1	SH3PXD2A	3.42838854137813	2.38182380680457e-06	No	No
Q5TGY3	AHDC1	2.61498380630166	8.90462376327821e-05	No	No
Q5VWQ0	RSBN1	4.35885142530943	3.08615261006631e-09	No	No
Q66K74	MAP1S	1.72678976018495	2.85648161365282e-07	No	No
Q68CP9	ARID2	2.86394956081562	9.62551636026111e-14	No	No
Q68D10	SPTY2D1	3.74334326747059	8.98588373283424e-12	No	No
Q693B1	KCTD11	3.91909411136793	9.7966408505372e-11	No	No
Q69YH5	CDCA2	1.71330211259612	0.0005699561889309	No	No
Q6EKJ0	GTF2IRD2B	4.87763767249373	8.83590058814496e-08	No	No
Q6IMN6	CAPRIN2	4.02909866268316	0.0013440307737278	No	No
Q6IN84	MRM1	2.70447923158154	0.0042960520658974	No	No
Q6IQ16	SPOPL	6.44843890653931	1.13257344955784e-13	No	No
Q6KCM7	SLC25A25	3.14123092082576	9.8156004738385e-06	No	No
Q6NUQ4	TMEM214	1.92831215919421	0.0060096338640319	No	No
Q6NW34	NEPRO	2.61746790588909	1.02392065740118e-05	No	No
Q6NZ67	MZT2B	3.6843735638818	6.80963225951341e-10	No	No
Q6P087	RPUSD3	2.10145199414362	4.74891917685666e-10	No	No
Q6P158	DHX57	3.49520051335955	2.72375888575667e-10	No	No
Q6P161	MRPL54	1.85667447661612	0.0001672872422839	No	No
Q6P1X5	TAF2	2.33224187223156	2.40051610098333e-05	No	No
Q6P4R8	NFRKB	3.53937434562699	0.0014293654664576	No	No
Q6P582	MZT2A	3.98597210624894	3.83143200903506e-11	No	No
Q6PCB5	RSBN1L	3.46109782054826	3.7506581874000403e-10	No	No
Q6PIY7	TENT2	2.80714189175433	0.0002476676404969	No	No
Q6PK04	CCDC137	1.86504763325405	7.71733087069639e-05	No	No
Q6PKG0	LARP1	2.42201588808032	1.1585336861640999e-12	No	No
Q6RFH5	WDR74	1.63480631987571	0.0008106170748642	No	No
Q6T4R5	NHS	2.60842467586346	5.8887023015647e-06	No	No
Q6UB99	ANKRD11	4.23315573172404	0.0012496310997788	No	No
Q6UVJ0	SASS6	6.71657362009434	2.6232175770024398e-11	No	No
Q6ZN55	ZNF574	3.22915812326164	7.72009117173051e-05	No	No
Q6ZNB6	NFXL1	1.85984537374388	0.0055831797794255	No	No
Q70CQ4	USP31	2.74771794800179	0.0002448388127488	No	No
Q71RG4	TMUB2	4.00590660015625	1.01324188410801e-08	No	No
Q71SY5	MED25	2.44419092768254	0.0015154593526885	No	No
Q75N03	CBLL1	2.56039339567442	3.46815720046148e-05	No	No
Q76L83	ASXL2	1.69912709988921	5.74036611087597e-05	No	No
Q7KZ85	SUPT6H	3.51507131544845	1.0710995702927e-08	No	No
Q7L2J0	MEPCE	1.68650542738177	0.0028895560949747	No	No
Q7LGA3	HS2ST1	2.3526926815305	0.0015215233327463	No	No
Q7RTV0	PHF5A	4.03837423873749	4.22010534998441e-12	No	No
Q7Z2W9	MRPL21	4.08600297352792	3.7848346266979e-17	No	No
Q7Z3G6	PRICKLE2	3.22180470635537	0.0002027464748315	No	No
Q7Z3J2	VPS35L	3.31021616456537	0.0003448725597684	No	No
Q7Z417	NUFIP2	3.08498065756184	5.430260031550931e-09	No	No
Q7Z460	CLASP1	2.42058826634469	3.52181455693473e-10	No	No
Q7Z478	DHX29	2.7104115943998	3.15199486653292e-06	No	No
Q7Z5J4	RAI1	3.60712404954341	3.75129157674408e-05	No	No
Q7Z6E9	RBBP6	3.19390434632576	0.0001493502874457	No	No
Q7Z6K5	ARPIN	2.52677959973878	1.66702793920331e-08	No	No
