Protein_Group	Genes	AURKA_dox+_vs_IgG_dox+_logFC	AURKA_dox+_vs_IgG_dox+_pval	Removed?	Contaminant?
P29375	KDM5A	2.36711472528981	0.0026195806097975	No	No
P32243	OTX2	3.37025355847481	0.0048626470452285	No	No
P32519	ELF1	6.94559917095734	1.8870912406168e-05	No	No
P33981	TTK	2.38230482482851	9.04554527448993e-05	No	No
P35221	CTNNA1	4.20868908031007	2.04273237755104e-14	No	No
P35226	BMI1	6.94940041652964	5.37552049642047e-18	No	No
P35227	PCGF2	3.70700387198334	2.13798258462559e-11	No	No
P35555	FBN1	2.28300288187241	0.0041646152471811	No	No
P35556	FBN2	6.47591279220335	1.20607835453867e-10	No	No
P35612	ADD2	2.43412330914647	1.92681245530985e-11	No	No
P35637	FUS	2.06102740500277	2.76169058634508e-08	No	No
P38432	COIL	2.28837195544255	4.06267225993585e-05	No	No
P38935	IGHMBP2	4.282293605743	1.22620852894079e-05	No	No
P41161	ETV5	2.69445044142602	0.0002660103590231	No	No
P41212	ETV6	2.6989253917473	2.92033994387822e-09	No	No
P41223	BUD31	2.20239182077037	0.0011425367297401	No	No
P41440	SLC19A1	7.53552177951466	7.94061519005928e-17	No	No
P42336	PIK3CA	3.04272994795946	5.07462972192111e-05	No	No
P42696	RBM34	4.01082910490687	1.69614658045658e-07	No	No
P42766	RPL35	2.05514160359251	7.92164160008105e-08	No	No
P45973	CBX5	2.25398975169113	2.00188888056768e-05	No	No
P46063	RECQL	3.94690533497421	6.617729167335471e-17	No	No
P46087	NOP2	2.59022769939321	3.56523954129565e-06	No	No
P46781	RPS9	1.92440362452772	1.5801496302371098e-11	No	No
P47914	RPL29	2.11657854498316	6.56180888588e-10	No	No
P48634	PRRC2A	2.29859385195498	3.76078351771419e-12	No	No
P49354	FNTA	3.77034486883547	2.55122100214833e-08	No	No
P49406	MRPL19	3.15920067467884	2.5459790628155e-12	No	No
P49746	THBS3	2.9203398719387	0.0022859799782604	No	No
P49757	NUMB	1.8981548381425	0.0097806413919869	No	No
P50548	ERF	2.48816743474146	0.0024895184010054	No	No
P50914	RPL14	2.05496796132888	1.04159892314797e-08	No	No
P51587	BRCA2	4.23749298004765	1.25004387568749e-05	No	No
P52298	NCBP2	1.98079058523536	1.55858264493088e-08	No	No
P52741	ZNF134	4.54904994751225	9.89055208846372e-08	No	No
P52756	RBM5	3.41274814774098	8.04220095140118e-08	No	No
P52815	MRPL12	2.09743564067527	1.2317183965892e-06	No	No
P52888	THOP1	1.91037116856594	0.0024570144576438	No	No
P53367	ARFIP1	3.00549928392086	0.0003357282562277	No	No
P53582	METAP1	2.46808692737531	0.0005933377448397	No	No
P53671	LIMK2	4.13279268772602	1.92996663770716e-05	No	No
P53677	AP3M2	3.72399076979064	0.0067163300488114	No	No
P54132	BLM	2.64443693903783	0.0006114805402066	No	No
P54253	ATXN1	4.45713650028172	3.2255852115990403e-10	No	No
P54259	ATN1	2.36814524384807	3.19202100087259e-07	No	No
P55081	MFAP1	2.19471454032315	0.0014219979179718	No	No
P55199	ELL	3.59331690823809	4.37879687955001e-06	No	No
P55285	CDH6	3.34327557809057	7.46817986035478e-08	No	No
P55769	SNU13	2.16650816818693	1.74291656365149e-07	No	No
P56177	DLX1	3.98868738674437	9.5032858067114e-05	No	No
P56182	RRP1	4.23529608200485	1.47265203420763e-06	No	No
P57775	FBXW4	2.71395699621962	1.57073353282796e-05	No	No
P60484	PTEN	2.58184331512045	0.0001466115313239	No	No
P61247	RPS3A	2.41448814076522	1.27029158221925e-12	No	No
P61254	RPL26	2.35890834566369	1.80203493044009e-12	No	No
P61513	RPL37A	2.85320589525065	1.23382343845504e-08	No	No
P62241	RPS8	1.78420877015258	8.099461247920491e-10	No	No
P62277	RPS13	2.44634858522872	2.19792394568792e-13	No	No
P62312	LSM6	1.82844858717204	0.00105675310908	No	No
P62314	SNRPD1	3.18095218748638	4.36850292246542e-10	No	No
P62750	RPL23A	2.89561223090971	1.99607433713811e-11	No	No
P62753	RPS6	2.00606991003453	2.9304138389839004e-10	No	No
P62805	H4C1	1.76816131905627	0.0051258189103877	No	No
P62841	RPS15	2.16517954307957	3.9693570451455106e-09	No	No
P62847	RPS24	2.84093937183088	3.0273047896593e-09	No	No
P62854	RPS26	1.76036453657433	9.96813617653057e-09	No	No
P62861	FAU	2.49519470787166	8.33574831266657e-05	No	No
P62899	RPL31	2.77431209046717	3.4886468625395394e-11	No	No
P62910	RPL32	1.85236805087648	9.79498087635034e-07	No	No
P67809	YBX1	2.40584991779316	2.77406317412353e-09	No	No
P68431;P84243;Q71DI3	H3-3A;H3C1;H3C15	2.45725912026201	0.0015337914422966	No	No
P78312	FAM193A	6.00854040077774	6.3540054549931e-09	No	No
P78316	NOP14	4.59297661451622	1.26425355072421e-08	No	No
P78332	RBM6	3.20193757645124	9.29143703696746e-13	No	No
P78345	RPP38	2.39404961713977	1.5738366963276e-05	No	No
P78347	GTF2I	3.4612372810043	1.24115288407696e-10	No	No
P78362	SRPK2	2.94483895315562	8.253298698632441e-09	No	No
P78364	PHC1	5.3344049465586	6.265455472560271e-17	No	No
P78509	RELN	2.8798839628492	5.18698815341852e-06	No	No
P78524	DENND2B	4.32578448108009	9.74562565497116e-05	No	No
P82675	MRPS5	2.95512290165416	1.93918987003797e-06	No	No
P82914	MRPS15	2.48627063298303	6.9841777947818e-08	No	No
P82933	MRPS9	1.81254631511738	1.30881979857466e-06	No	No
P83731	RPL24	1.89063866131584	1.65894892897605e-08	No	No
P83881	RPL36A	3.08686692609617	2.9455173441398604e-09	No	No
P83916	CBX1	1.92688120104735	0.0007087138650738	No	No
P84022	SMAD3	2.04730781134911	9.85931812738255e-08	No	No
P84098	RPL19	1.93755328968945	2.86242613756494e-08	No	No
P98175	RBM10	8.10184292219429	1.9310882608938402e-21	No	No
Q00059	TFAM	2.10170014328824	2.33602487687778e-05	No	No
Q00577	PURA	1.99966449923494	2.8212415269854e-07	No	No
Q00653	NFKB2	2.92339714976622	1.7211502171409499e-12	No	No
Q01081	U2AF1	2.00034991503037	5.81460619992796e-07	No	No
Q01201	RELB	5.44423526169858	3.6690181309136e-12	No	No
Q02086	SP2	5.43044551788531	1.8500747110266e-18	No	No
Q02878	RPL6	1.76415085775933	1.91791766731063e-08	No	No
Q03113	GNA12	2.14433529169871	1.18590894413591e-05	No	No
Q03169	TNFAIP2	3.96860832649655	5.22631805829688e-14	No	No
Q03188	CENPC	3.800778309815	2.09215602011641e-06	No	No
Q03468	ERCC6	3.92025658586702	3.63285218808652e-08	No	No
Q03701	CEBPZ	2.92146128736436	0.0001865344676035	No	No
Q06265	EXOSC9	2.44619328963612	6.56289284752721e-08	No	No
Q06330	RBPJ	2.34205413271368	0.0054296790453234	No	No
Q06587	RING1	1.89223655178643	0.0010689738535073	No	No
Q06787	FMR1	2.39255566056163	2.8484167547546802e-09	No	No
Q08AD1	CAMSAP2	5.59354775504162	2.36877137211805e-19	No	No
Q08AG7	MZT1	3.57851316754337	4.6156341869354e-09	No	No
Q0PNE2	ELP6	2.28118395223317	7.97836803598129e-06	No	No
Q0VG06	FAAP100	2.36905074224094	4.93535869309954e-08	No	No
Q12788	TBL3	2.39039232415961	4.56944046297409e-05	No	No
Q12830	BPTF	2.41210942822093	1.94529992356675e-06	No	No
Q12857	NFIA	4.55305803841073	4.48677183928974e-06	No	No
Q12872	SFSWAP	5.32770645591086	6.75944115426524e-13	No	No
Q12874	SF3A3	2.07598062867583	1.19945969005498e-06	No	No
Q12899	TRIM26	2.62332582254215	3.85533216347361e-05	No	No
Q12981	BNIP1	3.91117353753489	4.13716959198931e-07	No	No
Q12986	NFX1	3.05009568392045	5.00996170785501e-08	No	No
Q13084	MRPL28	3.88595623669131	5.6421395491443e-09	No	No
Q13112	CHAF1B	1.84736660517407	0.0023313263621774	No	No
Q13118	KLF10	3.25321165798528	2.60030014193381e-06	No	No
Q13144	EIF2B5	3.12872021307805	0.0032411687581598	No	No
Q13206	DDX10	3.41094854901482	1.03210160896321e-07	No	No
Q13243	SRSF5	2.28110533529071	3.26337236526224e-06	No	No
Q13275	SEMA3F	5.45099003682968	6.80715008848266e-05	No	No
Q13283	G3BP1	3.33230479785511	3.2384698385538e-14	No	No
Q13405	MRPL49	4.17321777649018	6.17948123583797e-11	No	No
Q13415	ORC1	5.92006902785134	3.36744733121668e-07	No	No
Q13428	TCOF1	1.85578453317974	0.0023435820862697	No	No
Q13435	SF3B2	4.02364527034199	6.08748806860961e-13	No	No
Q13459	MYO9B	2.45281566226619	2.0162169763345403e-09	No	No
Q13472	TOP3A	2.63804293633919	0.0001376073465025	No	No
Q13492	PICALM	3.71543343643626	6.488735136556499e-12	No	No
Q13574	DGKZ	3.6100838831769	3.92920195414383e-05	No	No
Q13601	KRR1	3.40588164698644	1.02933992223129e-07	No	No
Q13610	PWP1	2.76642875198334	8.01769747665125e-08	No	No
Q13823	GNL2	3.75938004792781	2.30390223958068e-06	No	No
Q13895	BYSL	2.64950573289049	1.33090833622759e-08	No	No
Q13901	C1D	3.41627528169282	1.2358276025837e-08	No	No
Q14004	CDK13	1.81393093853818	1.54027254991764e-05	No	No
Q14135	VGLL4	5.57375612424422	1.29094751201369e-10	No	No
Q14137	BOP1	2.07598342373759	7.25607739107136e-06	No	No
Q14146	URB2	2.66075021600415	0.0001557063891682	No	No
Q14197	MRPL58	3.03339665379531	9.40122632618216e-10	No	No
Q14241	ELOA	2.5367378954199	2.96075336319535e-06	No	No
Q14444	CAPRIN1	6.08164770996613	9.84796655182564e-21	No	No
Q14493	SLBP	2.21948649929936	3.49986836300056e-05	No	No
Q14644	RASA3	1.89051428249442	0.0019500394789033	No	No
Q14676	MDC1	1.95914283035455	0.0020859466993097	No	No
Q14684	RRP1B	2.6155478077057	1.26462695175461e-08	No	No
Q14690	PDCD11	1.86559902061697	5.11082516300923e-05	No	No
Q14692	BMS1	3.47669401968722	3.37834876587459e-07	No	No
Q14694	USP10	2.41323115659802	8.5898977309878e-14	No	No
