term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0001934,0.2395905,3.927602,9.056305,ALS2;SNX9,Positive Regulation of Protein Phosphorylation (GO:0001934)
GO:0010592,0.2395905,10.1582,23.19649,PIK3CA,Positive Regulation of Lamellipodium Assembly (GO:0010592)
GO:0016242,0.2395905,10.1582,23.19649,PIK3CA,Negative Regulation of Macroautophagy (GO:0016242)
GO:0045840,0.2395905,10.1582,23.19649,AURKA,Positive Regulation of Mitotic Nuclear Division (GO:0045840)
GO:0016601,0.2395905,10.1582,23.19649,FARP2,Rac Protein Signal Transduction (GO:0016601)
GO:0000289,0.2395905,10.1582,23.19649,TNKS1BP1,Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0000289)
GO:0046856,0.2395905,10.1582,23.19649,MTMR4,Phosphatidylinositol Dephosphorylation (GO:0046856)
GO:0035924,0.2395905,10.1582,23.19649,PIK3CA,Cellular Response to Vascular Endothelial Growth Factor Stimulus (GO:0035924)
GO:2000786,0.2395905,10.1582,23.19649,SNX18,Positive Regulation of Autophagosome Assembly (GO:2000786)
GO:0071526,0.2395905,10.1582,23.19649,FARP2,Semaphorin-Plexin Signaling Pathway (GO:0071526)
GO:1903829,0.2395905,3.870123,8.831525,PIK3CA;ENTR1,Positive Regulation of Protein Localization (GO:1903829)
GO:1900016,0.2431474,9.431267,20.92073,NFKB1,Negative Regulation of Cytokine Production Involved in Inflammatory Response (GO:1900016)
GO:0006399,0.2431474,9.431267,20.92073,DICER1,tRNA Metabolic Process (GO:0006399)
GO:0042059,0.2431474,9.431267,20.92073,ERRFI1,Negative Regulation of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042059)
GO:0045931,0.2431474,9.431267,20.92073,AURKA,Positive Regulation of Mitotic Cell Cycle (GO:0045931)
GO:0045616,0.2431474,9.431267,20.92073,ERRFI1,Regulation of Keratinocyte Differentiation (GO:0045616)
GO:0008637,0.2431474,9.431267,20.92073,ATG3,Apoptotic Mitochondrial Changes (GO:0008637)
GO:1900744,0.2431474,9.431267,20.92073,PJA2,Regulation of p38MAPK Cascade (GO:1900744)
GO:0070918,0.2431474,9.431267,20.92073,DICER1,Regulatory ncRNA Processing (GO:0070918)
GO:0071260,0.2431474,9.431267,20.92073,NFKB1,Cellular Response to Mechanical Stimulus (GO:0071260)
GO:1903131,0.2431474,9.431267,20.92073,RELB,Mononuclear Cell Differentiation (GO:1903131)
GO:0045648,0.2431474,9.431267,20.92073,ETS1,Positive Regulation of Erythrocyte Differentiation (GO:0045648)
GO:0006605,0.2466061,3.655954,8.008452,ATG3;CDC37,Protein Targeting (GO:0006605)
GO:0045892,0.2466061,1.913372,4.161473,ZNF217;APBB2;DICER1;NFKB1;ETV5;NFATC4,Negative Regulation of DNA-templated Transcription (GO:0045892)
GO:0050727,0.2466061,3.606029,7.819961,ETS1;NFKB1,Regulation of Inflammatory Response (GO:0050727)
GO:0001654,0.2466061,8.801258,18.98774,FBN2,Eye Development (GO:0001654)
GO:0045639,0.2466061,8.801258,18.98774,ETS1,Positive Regulation of Myeloid Cell Differentiation (GO:0045639)
GO:0050806,0.2466061,8.801258,18.98774,NFATC4,Positive Regulation of Synaptic Transmission (GO:0050806)
GO:0022008,0.2466061,8.801258,18.98774,WDR62,Neurogenesis (GO:0022008)
GO:0090224,0.2466061,8.801258,18.98774,TPX2,Regulation of Spindle Organization (GO:0090224)
GO:1901342,0.2466061,8.801258,18.98774,ETS1,Regulation of Vasculature Development (GO:1901342)
GO:0051254,0.2466061,8.801258,18.98774,NFKB1,Positive Regulation of RNA Metabolic Process (GO:0051254)
GO:0045724,0.2466061,8.801258,18.98774,ENTR1,Positive Regulation of Cilium Assembly (GO:0045724)
GO:2001032,0.2476473,8.25,17.32877,AUNIP,Regulation of Double-Strand Break Repair via Nonhomologous End Joining (GO:2001032)
GO:0010591,0.2476473,8.25,17.32877,PIK3CA,Regulation of Lamellipodium Assembly (GO:0010591)
GO:0045669,0.2476473,8.25,17.32877,FBN2,Positive Regulation of Osteoblast Differentiation (GO:0045669)
GO:0044090,0.2476473,8.25,17.32877,SNX18,Positive Regulation of Vacuole Organization (GO:0044090)
GO:0030098,0.2476473,8.25,17.32877,RELB,Lymphocyte Differentiation (GO:0030098)
