Protein_Group	Genes	SAX_Pooled_vs_RAW_Pooled_logFC	SAX_Pooled_vs_RAW_Pooled_pval	Removed?	Contaminant?
Q8NBJ7	SUMF2	6.46383529004073	2.0097405019213399e-22	No	No
Q8NBL1	POGLUT1	1.7220953778474	3.7031262575614e-08	No	No
Q8NBM8	PCYOX1L	8.927513689751	4.0466698264274e-30	No	No
Q8NBP7	PCSK9	7.12103246630676	2.02691254119886e-31	No	No
Q8NBQ5	HSD17B11	6.53181655174392	1.0777869900712801e-23	No	No
Q8NBR6	MINDY2	4.53494775129493	1.82405817476071e-13	No	No
Q8NBS9	TXNDC5	8.33820428067094	2.68978497685952e-21	No	No
Q8NBU5	ATAD1	2.95985323860121	0.000330522855878	No	No
Q8NBX0	SCCPDH	9.83564940138567	1.97916058996528e-38	No	No
Q8NBZ7	UXS1	8.03201181514287	4.699167001752429e-30	No	No
Q8NC51	SERBP1	8.4387078930597	1.57526641181936e-21	No	No
Q8NC56	LEMD2	4.38279256926746	1.0042359961132901e-19	No	No
Q8NCA5	FAM98A	2.15444050492008	8.64491003849703e-07	No	No
Q8NCE2	MTMR14	2.97436851476466	1.49395626162093e-09	No	No
Q8NCG7	DAGLB	4.49464266368259	9.78826519439594e-15	No	No
Q8NCN5	PDPR	2.68973681933677	1.49035488567695e-10	No	No
Q8ND04	SMG8	8.3906905760762	2.23598417265215e-35	No	No
Q8ND76	CCNY	6.64256768467436	8.44321379528816e-27	No	No
Q8NDA2	HMCN2	6.79962806063615	3.27978107873778e-22	No	No
Q8NDB2	BANK1	7.9352956843681	8.01244813813335e-17	No	No
Q8NDH3	NPEPL1	3.3369659137995	1.00520489928538e-08	No	No
Q8NE71	ABCF1	7.1990576803428	1.55249416140554e-19	No	No
Q8NE86	MCU	10.331031206723	1.01932747896194e-34	No	No
Q8NEB9	PIK3C3	3.58700142593085	1.1549604344029398e-11	No	No
Q8NES3	LFNG	5.5860144028599	4.6587418098969804e-15	No	No
Q8NEU8	APPL2	12.4169635524883	1.90557901954635e-44	No	No
Q8NEW0	SLC30A7	5.41642573629133	2.9869345997374502e-24	No	No
Q8NEZ2	VPS37A	3.72894682127314	6.74083566455337e-13	No	No
Q8NF50	DOCK8	8.82804595177269	1.04748982979203e-26	No	No
Q8NFH3	NUP43	3.98127677091982	7.25323956044624e-10	No	No
Q8NFH8	REPS2	4.5107897388446	9.9456388286669e-10	No	No
Q8NFL0	B3GNT7	4.19107242399888	5.64995934423233e-12	No	No
Q8NFQ8	TOR1AIP2	7.17890711333533	1.56606595904446e-27	No	No
Q8NFV4	ABHD11	9.6103090489827	1.32722772072934e-28	No	No
Q8NFY4	SEMA6D	5.02910576461091	0.0003145301612349	No	No
Q8NFZ4	NLGN2	2.82672375099682	1.67307967322195e-07	No	No
Q8NG06	TRIM58	10.0721178615328	8.30453187233208e-37	No	No
Q8NG11	TSPAN14	8.995667664361	7.5217789407857e-35	No	No
Q8NHG7	SVIP	5.76996448316595	1.03951827508657e-22	No	No
Q8NHG8	ZNRF2	3.61873991305542	6.4420240706938905e-15	No	No
Q8NHH9	ATL2	3.94631192531459	2.98712305966374e-05	No	No
Q8NI08	NCOA7	5.68878136338308	2.1831217801509702e-14	No	No
Q8NI99	ANGPTL6	8.45849801184665	1.7873954577417e-35	No	No
Q8TAB3	PCDH19	7.10209662543442	5.47430914883124e-26	No	No
Q8TAF3	WDR48	2.75620615862163	3.08613170408254e-13	No	No
Q8TAQ2	SMARCC2	4.51284046557033	6.07164940041076e-14	No	No
Q8TAT6	NPLOC4	6.40823425076139	1.38102983478738e-19	No	No
Q8TB61	SLC35B2	2.53945124262017	2.81554073890453e-08	No	No
Q8TB96	ITFG1	6.90627379870806	6.60411894150784e-22	No	No
Q8TBC4	UBA3	9.01469000380158	2.51144271287751e-34	No	No
Q8TBF2	PRXL2B	6.05904578514567	1.89983508065711e-17	No	No
Q8TBX8	PIP4K2C	6.63035108565825	7.040036602667171e-14	No	No
Q8TC07	TBC1D15	9.76521392190118	1.93804369621143e-33	No	No
Q8TC12	RDH11	11.4076365086538	1.84416431410385e-41	No	No
Q8TCD5	NT5C	3.86584473011846	1.03753456986732e-12	No	No
Q8TCJ2	STT3B	6.54546107841607	1.9912252592375902e-20	No	No
Q8TCS8	PNPT1	5.42258859683739	4.90403386188857e-10	No	No
Q8TCT9	HM13	8.3530250223973	6.070531410120321e-31	No	No
Q8TCZ2	CD99L2	4.12831494934838	4.43155011421943e-19	No	No
Q8TD06	AGR3	10.7934752690227	5.165063530206421e-19	No	No
Q8TD16	BICD2	9.4911499396848	1.35974535999539e-27	No	No
Q8TD19	NEK9	9.12474990508684	4.42075427545148e-38	No	No
Q8TD43	TRPM4	3.92870612243203	6.42819736489829e-13	No	No
Q8TD55	PLEKHO2	11.8056972624194	3.21190304070364e-35	No	No
Q8TDH9	BLOC1S5	2.29177682134622	0.0012205675817416	No	No
Q8TDL5	BPIFB1	3.37207659721983	2.5992769586627698e-12	No	No
