Protein_Group	Genes	SAX_62001_M3_vs_SAX_62001_B_logFC	SAX_62001_M3_vs_SAX_62001_B_pval	Removed?	Contaminant?
P31937	HIBADH	-1.66618604001112	0.0029094796359136	No	No
P32322	PYCR1	-2.8774545918495	0.0032309509953031	No	No
P33121	ACSL1	-1.83240454475434	0.0053806225535243	No	No
P33151	CDH5	-1.22187630893576	0.0028801436045499	No	No
P33176	KIF5B	-2.06420910932109	0.0002548132877015	No	No
P35241	RDX	-3.75188496353319	3.15675727266235e-06	No	No
P35573	AGL	-2.19704732587418	5.46705950494113e-05	No	No
P35579	MYH9	-1.68162446512476	0.0051185892198012	No	No
P35611	ADD1	-2.02305713771896	4.5650477592801e-06	No	No
P35612	ADD2	-3.53182049891814	1.8360163522107702e-09	No	No
P35813	PPM1A	-2.17323285203291	1.21327601134987e-05	No	No
P36507	MAP2K2	-4.45009020951708	1.20885754076373e-06	No	No
P36915	GNL1	-1.63995033410875	0.0027579412076952	No	No
P37840	SNCA	-1.47285533466303	0.0019047266341804	No	No
P38606	ATP6V1A	-1.58519289276654	0.0092452624603457	No	No
P40197	GP5	-2.56386053200855	1.48738923742636e-06	No	No
P40227	CCT6A	-1.18241797344905	0.0031565610073924	No	No
P40855	PEX19	-1.70193375095869	0.0086751764187475	No	No
P40939	HADHA	-1.45741315429504	0.0096335832140717	No	No
P41226	UBA7	-5.86993058889228	1.51909796546872e-11	No	No
P42025	ACTR1B	-6.42349338942996	2.62516449804707e-24	No	No
P42566	EPS15	-1.24062783617382	0.0085228272100355	No	No
P42765	ACAA2	-3.81937658390788	5.32631970082009e-07	No	No
P42892	ECE1	-2.00210525466331	2.44303158745202e-05	No	No
P43121	MCAM	-1.31493066338606	0.0061855876497705	No	No
P43304	GPD2	-1.59264285165276	0.0019978384650936	No	No
P45974	USP5	-1.37481537197516	0.001701615681572	No	No
P46109	CRKL	-1.81263153825908	0.0011588927371088	No	No
P46459	NSF	-1.78057828354032	0.0027463343768539	No	No
P46821	MAP1B	-4.03197335686758	2.1209343489862999e-13	No	No
P48059	LIMS1	-2.58898235677416	1.1504261385164e-05	No	No
P48426	PIP4K2A	-1.57780550478557	0.0001152633371906	No	No
P48556	PSMD8	-1.22164741748283	0.0063728316964096	No	No
P48634	PRRC2A	-4.19068011592054	5.17313775455648e-09	No	No
