Protein_Group	Genes	SAX_62001_B_vs_RAW_62001_B_logFC	SAX_62001_B_vs_RAW_62001_B_pval	Removed?	Contaminant?
O95347	SMC2	3.43369245442921	0.0010370489360503	No	No
O95373	IPO7	7.85345891796595	4.4680712810331804e-15	No	No
O95376	ARIH2	5.86995260939122	5.7634614312514305e-15	No	No
O95393	BMP10	10.8401285285059	9.115551415266369e-34	No	No
O95394	PGM3	2.22514204271928	0.0004378927066026	No	No
O95425	SVIL	4.86907544125273	1.10959860893981e-10	No	No
O95433	AHSA1	9.23851993031866	1.5790067711017899e-27	No	No
O95445	APOM	1.78615423578526	0.0002595321653578	No	No
O95450	ADAMTS2	1.99115872543629	1.40274951514149e-05	No	No
O95456	PSMG1	3.88645484621694	1.11571951196617e-10	No	No
O95466	FMNL1	2.63014050082499	0.000393977133308	No	No
O95490	ADGRL2	8.81091889586143	3.19368391893157e-08	No	No
O95498	VNN2	4.66789065482226	7.249045170750449e-11	No	No
O95544	NADK	11.9353396703906	1.6363517883614098e-33	No	No
O95571	ETHE1	5.34491786745417	2.4333284025393098e-11	No	No
O95633	FSTL3	9.01324200647163	6.24147443758345e-26	No	No
O95674	CDS2	7.50017879294421	2.15861367290798e-24	No	No
O95721	SNAP29	7.01730819410781	9.32594915211575e-19	No	No
O95727	CRTAM	7.39701417761178	6.88626182791113e-13	No	No
O95747	OXSR1	8.16708529422236	2.22403817348393e-23	No	No
O95757	HSPA4L	1.99202261845383	0.0063480932739659	No	No
O95777	LSM8	9.11084901364137	6.7028106975937205e-21	No	No
O95782	AP2A1	8.92544990999987	9.285397499263239e-11	No	No
O95810	CAVIN2	8.43778528077923	7.72421493441836e-21	No	No
O95817	BAG3	4.68902777814516	0.0001328014425022	No	No
O95819	MAP4K4	4.39211796461429	7.41513035208273e-14	No	No
O95831	AIFM1	8.30045901319555	3.7177609701202996e-19	No	No
O95832	CLDN1	9.84243592073906	2.27884478654216e-13	No	No
O95834	EML2	3.86583584446295	2.87758629284534e-05	No	No
O95841	ANGPTL1	4.91926321490638	4.4602238855313296e-11	No	No
O95848	NUDT14	1.24405801307543	0.0013372183230091	No	No
O95861	BPNT1	4.21634041701778	3.15858649212118e-07	No	No
O95865	DDAH2	3.98197763916224	2.56232519175951e-06	No	No
O95866	MPIG6B	8.83895125601898	1.1567049499711299e-27	No	No
O95870	ABHD16A	4.99018093967181	1.6061485604463801e-10	No	No
O95881	TXNDC12	7.19390247504873	1.1853448683889e-17	No	No
O95897	OLFM2	1.91360324829169	0.0011562227700514	No	No
O95965	ITGBL1	4.1467752581707	3.26451860097231e-10	No	No
O95967	EFEMP2	7.2236465169387	1.4443869970107e-18	No	No
O95994	AGR2	9.26818007030086	7.513538933287041e-15	No	No
O96000	NDUFB10	6.77639418374421	5.851873197411659e-18	No	No
O96019	ACTL6A	5.66230394731216	1.1391825101958499e-12	No	No
P00167	CYB5A	8.63282662614011	2.61789755285545e-18	No	No
P00325	ADH1B	5.06640136977703	3.24242574693002e-13	No	No
P00367	GLUD1	5.79180492532831	9.24522849422703e-18	No	No
P00387	CYB5R3	5.65544810241919	1.55600970183877e-14	No	No
P00390	GSR	1.31879758709604	0.0035374299352596	No	No
P00403	MT-CO2	9.48578116611458	4.80051549854141e-28	No	No
P00450	CP	2.76540793410906	1.5784739123133797e-11	No	No
P00451	F8	7.71879814491123	8.87529956070205e-27	No	No
P00488	F13A1	2.10240346274779	5.44433587143087e-07	No	No
P00491	PNP	4.31080300873179	2.02944112267651e-10	No	No
P00492	HPRT1	1.86274497684084	0.0017603724967541	No	No
P00505	GOT2	1.83707678266427	0.0087027171662293	No	No
P00558	PGK1	2.45053731744932	7.15047246303074e-06	No	No
P00568	AK1	2.89580157560949	0.0004531473957802	No	No
P00734	F2	6.40846136686551	6.137001585625639e-26	No	No
P00736	C1R	4.55431410273606	9.97906157797167e-19	No	No
P00739	HPR	2.29139528736634	0.0001069579700532	No	No
P00740	F9	8.03157978443927	6.51033045259511e-29	No	No
P00742	F10	7.73640791085192	3.82609335949015e-26	No	No
P00813	ADA	2.87671506565946	1.20359919066491e-08	No	No
P01019	AGT	1.28236469922692	0.0006588198840376	No	No
P01042	KNG1	4.56226372246172	5.64279718578743e-20	No	No
P01116	KRAS	3.32870946123319	5.17152536322018e-09	No	No
P01127	PDGFB	5.64315021233249	1.25852496640927e-05	No	No
P01130	LDLR	8.2974431648774	2.56800808521935e-24	No	No
P01133	EGF	9.79422832604108	1.07740969849758e-20	No	No
P01137	TGFB1	7.88546569151671	6.55786278206066e-26	No	No
P01266	TG	10.3312470356349	2.88729786085732e-28	No	No
P01591	JCHAIN	1.9792582648493	0.001553940289596	No	No
P01599	IGKV1-17	2.25365298466643	0.0004166581859165	No	No
P01703	IGLV1-40	1.41859296269684	0.0075099909674587	No	No
P01715	IGLV3-1	2.4725602308028	3.5607337114907e-05	No	No
P01721	IGLV6-57	2.03005134524025	1.91621894757818e-06	No	No
P01732	CD8A	4.785676700633	7.46474429678197e-05	No	No
P01764	IGHV3-23	2.27868297833771	3.78580043379621e-06	No	No
P01782	IGHV3-9	7.84066260361707	7.38751096968014e-29	No	No
P01834	IGKC	1.12172214541166	0.0036530098665733	No	No
P01861	IGHG4	1.08411870494791	0.0068005463810985	No	No
P01871	IGHM	2.52552482898358	9.08709771608299e-11	No	No
P01876	IGHA1	1.74215179503678	2.70464547107654e-06	No	No
