Protein_Group	Genes	RANKL1_vs_EmptyVector_logFC	RANKL1_vs_EmptyVector_pval	Removed?	Contaminant?
P04440	HLA-DPB1	4.16242754697553	9.293264478705401e-10	No	No
P04626	ERBB2	1.76826494687744	1.828307089359e-06	No	No
P04920	SLC4A2	2.12688570466855	4.3266547530904e-07	No	No
P05067	APP	1.93256147960222	1.62685038667659e-06	No	No
P05107	ITGB2	1.92781132618224	3.98603135267824e-06	No	No
P05556	ITGB1	3.35670326101599	1.86224486198419e-07	No	No
P06213	INSR	2.66124241081556	7.40446113619587e-08	No	No
P06241	FYN	2.55862755289937	3.54138066705018e-07	No	No
P06340	HLA-DOA	1.91609284198006	0.0031501167260481	No	No
P06731	CEACAM5	2.37596217731124	0.0003205529751964	No	No
P06756	ITGAV	2.97010109288812	3.32356778857214e-07	No	No
P07947	YES1	3.18451158829378	4.32699210930519e-08	No	No
P08069	IGF1R	2.32882189864109	7.35569154082492e-08	No	No
P08195	SLC3A2	2.62708936001543	3.24290079149196e-08	No	No
P08581	MET	2.86831816225724	7.188146210783331e-09	No	No
P08648	ITGA5	3.58623003096918	2.0017873844696e-06	No	No
P09543	CNP	1.36348242751248	3.61019496073661e-05	No	No
P09936	UCHL1	4.05652860765451	6.728179443239171e-09	No	No
P09958	FURIN	1.96130407027199	1.84654869138707e-05	No	No
P0C7U0	ELFN1	2.10583370618404	0.0032108044508356	No	No
P10586	PTPRF	1.84438884958216	1.36302119571892e-06	No	No
P10721	KIT	4.03127043135309	2.3332551456334e-05	No	No
P11166	SLC2A1	1.97757413762772	2.14796758457956e-05	No	No
P11169	SLC2A3	1.51387794798677	0.0001314997460929	No	No
P11171	EPB41	1.64424495578422	1.60059321820526e-06	No	No
P11233	RALA	1.76519279940966	2.21980419979147e-05	No	No
P11234	RALB	1.28773514789543	0.0001839882503669	No	No
P11277	SPTB	3.54045599523656	0.0004297421722343	No	No
P11362	FGFR1	3.07238557000452	1.18097242321823e-06	No	No
P11532	DMD	1.98868332079522	3.93012052092803e-07	No	No
P12931	SRC	3.46754721415584	2.96206185670644e-08	No	No
P13591	NCAM1	2.00130073324557	7.8116316082318e-06	No	No
P13612	ITGA4	2.90196595613386	2.32882961362572e-07	No	No
P13929	ENO3	5.25704498751113	3.4357097747528203e-10	No	No
P14209	CD99	3.62356024933371	2.22002747637558e-06	No	No
P15151	PVR	2.12765919365236	0.0001617772475724	No	No
P15260	IFNGR1	1.89857679482484	2.64786051880583e-06	No	No
P15529	CD46	3.86462948500647	4.76682260177786e-07	No	No
P16070	CD44	2.42660034837617	0.0002361244642673	No	No
P16333	NCK1	1.60452630430645	0.0016606456800086	No	No
P16591	FER	1.37526418726884	0.0014277480605106	No	No
P16885	PLCG2	1.41836533811507	0.0001019490522682	No	No
P17181	IFNAR1	1.72996762044331	0.0006683082022317	No	No
P17301	ITGA2	3.46438649245481	3.35072311267366e-08	No	No
P17302	GJA1	2.26101589734507	2.67979413322258e-06	No	No
P17677	GAP43	2.94063838324684	2.88549186625612e-05	No	No
P17948	FLT1	1.61627573089901	6.15049542502643e-05	No	No
P18031	PTPN1	1.36529745725404	3.64426572135478e-06	No	No
P18084	ITGB5	2.7286452036221	1.17818327825214e-08	No	No
P18433	PTPRA	3.17759384405136	3.4188437538931e-08	No	No
P19022	CDH2	2.63343722789955	5.83034989791174e-07	No	No
P19438	TNFRSF1A	2.82659063577495	1.58265016872709e-08	No	No
P19634	SLC9A1	1.7770520016668	6.70281453604223e-06	No	No
P20020	ATP2B1	1.66610045314842	3.29769747151417e-06	No	No
P20309	CHRM3	1.36324926200966	0.000158864221427	No	No
P20338	RAB4A	1.83356975450819	1.05136125879161e-06	No	No
P20933	AGA	1.32734416717224	0.0099465261416348	No	No
P21453	S1PR1	2.01197207326801	0.0002311414718369	No	No
P21579	SYT1	2.53146898106528	1.93636767105868e-05	No	No
P21580	TNFAIP3	2.71166933086748	1.10242669178522e-05	No	No
P21802	FGFR2	3.46674617914844	0.0038732571434666	No	No
P22001	KCNA3	1.9764726705151	9.39469670674003e-07	No	No
P22455	FGFR4	2.48945128240612	2.97847447573575e-07	No	No
P22607	FGFR3	3.47278655485687	3.15809621867348e-06	No	No
P23229	ITGA6	3.60930259185839	2.0421037660549e-07	No	No
P23468	PTPRD	7.00694892812561	0.0032436592052052	No	No
P23469	PTPRE	2.78595159800619	0.0031100969199555	No	No
P23470	PTPRG	2.8860957571566	1.8664760760987e-08	No	No
P23471	PTPRZ1	2.06064085365169	6.97298330676975e-06	No	No
P23508	MCC	1.39158492952778	0.0001624124200818	No	No
P23634	ATP2B4	2.33866606337117	2.23770260618989e-07	No	No
P24394	IL4R	3.20061542059595	0.003694764755762	No	No
P24588	AKAP5	3.24482194449496	1.2166827876611e-07	No	No
P24723	PRKCH	1.72144473850948	0.0039282768108856	No	No
P25101	EDNRA	1.91351649418034	1.27999170861582e-05	No	No
P25116	F2R	1.75686661569326	5.00055007113376e-05	No	No
P26006	ITGA3	3.39623838646298	3.26677492878996e-07	No	No
P26045	PTPN3	2.37862525405809	1.07638617010659e-05	No	No
P27105	STOM	1.79460682090942	3.2002464192054e-06	No	No
P27448	MARK3	1.90487307601303	5.99605848497964e-07	No	No
P27449	ATP6V0C	1.93957324169618	0.0023286317868537	No	No
P27986	PIK3R1	1.93922882020818	5.93781778794024e-07	No	No
P28289	TMOD1	1.36148977306183	0.0058777045177642	No	No
P28827	PTPRM	3.85815924071191	0.0002358193979195	No	No
P29074	PTPN4	2.2200466622699	5.03833402571666e-05	No	No
P29317	EPHA2	3.02583797526851	1.22375728418908e-07	No	No
P29320	EPHA3	2.87070087352798	1.3782023893088e-07	No	No
P29323	EPHB2	3.83775108692393	1.22497630689105e-08	No	No
P29966	MARCKS	2.28441982616768	3.51004990629939e-06	No	No
P30519	HMOX2	1.62547339228892	9.7065187657625e-06	No	No
P30825	SLC7A1	1.67918201120717	4.81579957488101e-06	No	No
P31641	SLC6A6	2.85607446068494	9.36412000226902e-08	No	No
P32418	SLC8A1	2.97211326235965	5.97519706507098e-07	No	No
P32856	STX2	3.55237082165709	5.61858861913417e-08	No	No
P33402	GUCY1A2	1.49992712127199	0.0021379916423783	No	No
P34741	SDC2	3.83227909615614	1.04507023681398e-05	No	No
P34903	GABRA3	2.21392611398244	4.5217771495354e-05	No	No
P34925	RYK	1.89231619779282	0.0034259326686516	No	No
P35221	CTNNA1	1.91624073613206	4.85588530538357e-06	No	No
P35222	CTNNB1	2.00339976301544	7.17242054228903e-06	No	No
P35240	NF2	2.17280480326129	4.85953962459455e-07	No	No
P35610	SOAT1	1.79271296955105	2.00313265307318e-06	No	No
P35611	ADD1	2.05314263875102	3.35870834347761e-06	No	No
P35612	ADD2	2.19295306781699	3.33087708740255e-06	No	No
P35613	BSG	2.85064227671007	2.61294374669667e-07	No	No
P35670	ATP7B	1.78472093793189	1.32852038384429e-06	No	No
P35916	FLT4	1.86727378379194	0.0014801553190503	No	No
P36383	GJC1	1.59830328853427	0.0002974959737722	No	No
P36896	ACVR1B	2.06087751796299	0.0001953078509578	No	No
P36897	TGFBR1	1.43195353324191	8.42105550505014e-06	No	No
P37173	TGFBR2	2.77240322239419	6.11008744970476e-05	No	No
P40189	IL6ST	3.5694497438113	4.47798582576905e-05	No	No
P41273	TNFSF9	4.16823446578509	2.15733172266109e-07	No	No
P41440	SLC19A1	2.76331173001846	1.99038518087395e-05	No	No
P41586	ADCYAP1R1	2.04395773047131	2.17977830658432e-06	No	No
P41743	PRKCI	1.60100979328042	7.10602845979979e-07	No	No
P42336	PIK3CA	1.88156298208058	0.0001569788312983	No	No
P42338	PIK3CB	1.94038824540044	2.26115664963415e-05	No	No
P42356	PI4KA	1.47281622256541	7.98682137252622e-06	No	No
P42680	TEC	3.08208011741683	0.0052786609296163	No	No
P42684	ABL2	1.48413501540696	8.13156496960837e-06	No	No
P42702	LIFR	2.3715540379248	0.0001922023416856	No	No
P42892	ECE1	1.78707596785159	1.58339929160156e-05	No	No
P43003	SLC1A3	1.42789377269061	2.64539045183728e-05	No	No
P43005	SLC1A1	1.97240223442766	1.50075419084921e-05	No	No
P43007	SLC1A4	2.41103454706809	1.08356771935208e-05	No	No
P43121	MCAM	3.11503213899895	1.11718707195951e-07	No	No
P43250	GRK6	1.74263978094784	6.88767657144822e-07	No	No
P46531	NOTCH1	2.96845838574117	1.21064538813031e-07	No	No
P46939	UTRN	1.64704023304381	1.71249854170374e-06	No	No
P47900	P2RY1	4.35276608516699	9.192260844373601e-10	No	No
P48029	SLC6A8	2.55701072083411	1.42690939771121e-07	No	No
P48066	SLC6A11	2.42867220959807	4.78600652002678e-06	No	No
P48067	SLC6A9	2.75548076088251	5.35575676217111e-07	No	No
P48454	PPP3CC	2.12843005403353	0.0016722187861845	No	No
P48509	CD151	2.1496354733852	3.49413847106976e-05	No	No
P48547	KCNC1	1.48434617817255	2.06900680099881e-05	No	No
P49006	MARCKSL1	3.68262719245598	3.12021443269609e-07	No	No
P49069	CAMLG	1.96199175765554	5.43807976069951e-06	No	No
P49281	SLC11A2	2.93112711140551	4.79428588286393e-07	No	No
P49754	VPS41	1.66269375834306	5.63034184024627e-06	No	No
P49757	NUMB	3.0807154180096	3.36986298476646e-06	No	No
P49768	PSEN1	1.4073361822595	2.78281887437057e-06	No	No
P49795	RGS19	5.84026625151892	0.0032081181986195	No	No
P50443	SLC26A2	2.96649817403239	7.7312887066561e-08	No	No
P50607	TUB	3.57563873788871	0.0057743490843451	No	No
P51159	RAB27A	1.30137289260533	1.70163137392991e-05	No	No
P51178	PLCD1	1.43877803400424	0.0087122172247716	No	No
P51636	CAV2	1.7912519086236	2.44464654268135e-05	No	No
P51674	GPM6A	3.87276694233701	7.91792351822071e-08	No	No
P51788	CLCN2	1.92306138681338	0.0099014863084398	No	No
P51797	CLCN6	2.68604526232601	1.39391510081925e-05	No	No
P51798	CLCN7	2.30998043685306	7.92390402399239e-08	No	No
P51805	PLXNA3	2.28332900483432	2.04225936984422e-05	No	No
P51809	VAMP7	1.99830333043644	2.50606110881384e-07	No	No
P51828	ADCY7	3.30081460772988	2.25017887736887e-06	No	No
P52429	DGKE	1.85601256870368	1.91330085977918e-06	No	No
P52569	SLC7A2	2.64223815029615	7.72996077882028e-07	No	No
P52799	EFNB2	3.43890684226407	0.0004371034039509	No	No
P52849	NDST2	1.53187229133014	0.0017200198973299	No	No
P53708	ITGA8	6.55579323120048	1.30104694510555e-06	No	No
P53778	MAPK12	1.9544156404262	0.0095726497020451	No	No
P53794	SLC5A3	2.15906663206051	6.78767548110411e-07	No	No
P53801	PTTG1IP	2.9594109747522	9.433410727257981e-09	No	No
P54753	EPHB3	4.06536740234799	2.08992123242209e-08	No	No
P54760	EPHB4	2.52063163975889	1.75627630294315e-07	No	No
P54762	EPHB1	2.75475965155298	6.93981588598226e-05	No	No
P54764	EPHA4	1.54054647163145	0.0002416095912823	No	No
P55011	SLC12A2	2.44418671706775	5.42617244534144e-08	No	No
P55082	MFAP3	2.08328987236925	3.13636492008521e-06	No	No
