"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:1904352","GO:1904352",52,"GO:1904352",0.636426375080398,4,"positive regulation of protein catabolic process in the vacuole","positive regulation of protein catabolic process in the vacuole",0.904034013605442,1,0
"GO:2000343","GO:2000343",51,"GO:2000343",0.636426375080398,15,"positive regulation of chemokine (C-X-C motif) ligand 2 production","positive regulation of chemokine (C-X-C motif) ligand 2 production",0.845408163265306,1,0
"GO:0034374","GO:0034374",50,"GO:0034374",0.636426375080398,13,"low-density lipoprotein particle remodeling","low-density lipoprotein particle remodeling",0.899700680272109,1,0
"GO:0003351","GO:0003351",49,"GO:0003351",0.636426375080398,44,"epithelial cilium movement involved in extracellular fluid movement","epithelial cilium movement involved in extracellular fluid movement",0.971265306122449,1,0
"GO:0061418","GO:0061418",48,"GO:0061418",0.636426375080398,9,"regulation of transcription from RNA polymerase II promoter in response to hypoxia","regulation of transcription from RNA polymerase II promoter in response to hypoxia",0.906278911564626,1,0
"GO:0010517","GO:0010517",47,"GO:0010517",0.636426375080398,64,"regulation of phospholipase activity","regulation of phospholipase activity",0.968503401360544,1,0
"GO:0010749","GO:0010749",46,"GO:0010749",0.636426375080398,13,"regulation of nitric oxide mediated signal transduction","regulation of nitric oxide mediated signal transduction",0.900863945578231,1,0
"GO:0070663","GO:0070663",45,"GO:0070663",0.636426375080398,313,"regulation of leukocyte proliferation","regulation of leukocyte proliferation",0.924537414965986,1,0
"GO:0002295","GO:0002295",44,"GO:0002295",0.636426375080398,17,"T-helper cell lineage commitment","T-helper cell lineage commitment",0.832734693877551,1,0
"GO:0045787","GO:0045787",43,"GO:0045787",0.636426375080398,365,"positive regulation of cell cycle","positive regulation of cell cycle",0.912489795918367,1,0
"GO:0007015","GO:0007015",41,"GO:0007015",0.636426375080398,471,"actin filament organization","actin filament organization",0.941224489795918,1,0
"GO:0001678","GO:0001678",31,"GO:0043129",0.636426375080398,176,"intracellular glucose homeostasis","surfactant homeostasis",0.992687074829932,0.7095,0.581
"GO:0019395","GO:0019395",8,"GO:0001573",0.636426375080398,117,"fatty acid oxidation","ganglioside metabolic process",0.94852380952381,0.5782,0.538
"GO:0048640","GO:0048640",40,"GO:0048639",0.636426375080398,129,"negative regulation of developmental growth","positive regulation of developmental growth",0.888387755102041,0.569,0.862
"GO:0046847","GO:0046847",36,"GO:0120031",0.636426375080398,77,"filopodium assembly","plasma membrane bounded cell projection assembly",0.940585034013605,0.531333333333333,0.809
"GO:0048793","GO:0048793",27,"GO:0001822",0.636426375080398,7,"pronephros development","kidney development",0.899816326530612,0.525333333333333,0.715
"GO:0090263","GO:0090263",42,"GO:0090263",0.636426375080398,109,"positive regulation of canonical Wnt signaling pathway","positive regulation of canonical Wnt signaling pathway",0.860891156462585,0.515,0
"GO:0030177","GO:0030177",42,"GO:0090263",0.636426375080398,142,"positive regulation of Wnt signaling pathway","positive regulation of canonical Wnt signaling pathway",0.857115646258503,0.515,0.97
"GO:0044331","GO:0044331",3,"GO:0034113",0.636426375080398,44,"cell-cell adhesion mediated by cadherin","heterotypic cell-cell adhesion",0.958884353741497,0.504142857142857,0.566
"GO:0009313","GO:0009313",9,"GO:0016052",0.636426375080398,17,"oligosaccharide catabolic process","carbohydrate catabolic process",0.96021768707483,0.451333333333333,0.838
"GO:0045216","GO:0045216",12,"GO:0002934",0.636426375080398,231,"cell-cell junction organization","desmosome organization",0.945959183673469,0.42675,0.797
"GO:0043300","GO:0043300",17,"GO:2000551",0.636426375080398,57,"regulation of leukocyte degranulation","regulation of T-helper 2 cell cytokine production",0.873503401360544,0.418888888888889,0.598
"GO:0001569","GO:0001569",21,"GO:0048844",0.636426375080398,45,"branching involved in blood vessel morphogenesis","artery morphogenesis",0.852258503401361,0.41625,0.638
