Protein_Group	Genes	SAX_22001_M1_vs_RAW_22001_M1_logFC	SAX_22001_M1_vs_RAW_22001_M1_pval	Removed?	Contaminant?
Q68BL7	OLFML2A	5.85138792712357	1.53796371616286e-06	No	No
Q68D51	DENND2C	4.05556436258045	0.0010129115798013	No	No
Q68D91	MBLAC2	5.19677517186672	2.14201524853054e-06	No	No
Q68EM7	ARHGAP17	5.66184704851829	0.0001596378044711	No	No
Q69YN2	CWF19L1	4.41916002834713	4.96687405480343e-06	No	No
Q6BDS2	UHRF1BP1	5.02603707192645	0.0001506629150615	No	No
Q6DD88	ATL3	8.73016482074934	1.1075447619818301e-14	No	No
Q6FI81	CIAPIN1	5.44455055218001	0.000156251242251	No	No
Q6GMV2	SMYD5	7.38922185154304	1.02522739561965e-07	No	No
Q6IAA8	LAMTOR1	7.57228865991295	2.32260458408166e-12	No	No
Q6IBS0	TWF2	8.45598662596941	1.5578234331817098e-18	No	No
Q6ICL3	TANGO2	5.5927782224664	2.78501504523121e-06	No	No
Q6IEE7	TMEM132E	8.87972805153432	6.31032448050077e-13	No	No
Q6IQ22	RAB12	4.74170305932997	1.38585858297171e-05	No	No
Q6NUK1	SLC25A24	4.90943646370011	3.94721175414964e-06	No	No
Q6NVY1	HIBCH	4.3258958775829	2.59011697713088e-05	No	No
Q6NXE6	ARMC6	3.01355832931965	0.0047213937480714	No	No
Q6NXT6	TAPT1	4.01182270120708	0.0003029914275331	No	No
Q6NYC8	PPP1R18	4.15671382576205	0.0003324454697519	No	No
Q6NZI2	CAVIN1	5.10581100840741	0.0001050782614759	No	No
Q6P1A2	LPCAT3	7.21207791456192	1.39631056987025e-12	No	No
Q6P1M0	SLC27A4	6.82784628401106	4.47968670252628e-08	No	No
Q6P1N0	CC2D1A	4.61442472622125	1.08476337454374e-05	No	No
Q6P2E9	EDC4	5.60686561785801	2.0950399342294e-06	No	No
Q6P3W7	SCYL2	5.86895379032209	2.8077750886473e-08	No	No
Q6P3X3	TTC27	4.95237054602046	2.34155074647413e-07	No	No
Q6P4E1	GOLM2	9.67031813953884	5.15638365883459e-12	No	No
Q6P587	FAHD1	5.63914637092258	1.73085927076044e-07	No	No
Q6P996	PDXDC1	3.81187517858192	0.0005647606467181	No	No
Q6P9B6	MEAK7	5.1146701106562	2.30476864732115e-05	No	No
Q6PCB0	VWA1	5.99896232225219	4.6185877394401e-08	No	No
Q6PCE3	PGM2L1	3.14838105890841	0.0044264251623716	No	No
Q6PGP7	TTC37	6.33256362397439	2.5397344398012e-08	No	No
Q6PI48	DARS2	4.65543276868632	3.70569868630294e-06	No	No
Q6PJW8	CNST	7.89627791184195	7.0663352579887e-08	No	No
Q6PKG0	LARP1	4.88057699835996	6.73752246136375e-07	No	No
Q6PL24	TMED8	6.97574070289259	1.8076554865742e-07	No	No
Q6QNK2	ADGRD1	5.49881895679347	2.29655516992339e-06	No	No
Q6QNY1	BLOC1S2	3.07357030823723	0.0033601096696479	No	No
Q6UVK1	CSPG4	4.51868082250469	8.31449784913909e-07	No	No
Q6UW49	SPESP1	6.12999713901452	1.66616778102861e-08	No	No
Q6UWB1	IL27RA	4.89359783718719	0.0001103414688536	No	No
Q6UWD8	C16orf54	9.2971675948144	2.78151556811761e-14	No	No
Q6UWF9	FAM180A	6.23694549977931	9.77035586269793e-08	No	No
Q6UWL2	SUSD1	6.4379776346334	2.18061289613262e-05	No	No
Q6UWY5	OLFML1	8.23198947687117	6.82580193335757e-13	No	No
Q6UXB4	CLEC4G	7.17367418783327	2.74581893417975e-13	No	No
Q6UXC1	MAMDC4	4.60719812721993	0.0001940123313278	No	No
Q6UXD5	SEZ6L2	9.80034623168438	6.848545611758191e-09	No	No
Q6UXH0	ANGPTL8	3.3184926545064	0.0023047015214431	No	No
Q6UXH1	CRELD2	9.10861655359516	5.83747713685081e-14	No	No
Q6UXH9	PAMR1	5.60517439259921	3.17261437315455e-05	No	No
Q6UXI9	NPNT	5.9177434266826	9.83355411032561e-08	No	No
Q6V0I7	FAT4	11.8401656678573	5.87257899561095e-16	No	No
Q6VY07	PACS1	7.25239170841471	5.56271368011233e-08	No	No
Q6XQN6	NAPRT	8.00820535161468	9.8876962820249e-09	No	No
Q6ZMJ2	SCARA5	5.61968396771714	2.3409353135614e-07	No	No
Q6ZRP7	QSOX2	7.66045787401168	2.09040992782995e-12	No	No
Q6ZRV2	FAM83H	5.44875283219484	0.0001428540747161	No	No
Q6ZRY4	RBPMS2	4.67503090389899	0.0001162474247262	No	No
Q6ZS11	RINL	2.84194864723753	0.0076125067163693	No	No
Q6ZSR9	gene	3.90620936936197	0.0002876064682897	No	No
Q6ZSS7	MFSD6	6.86205828507614	2.00060163779224e-10	No	No
Q6ZT21	TMPPE	4.24776738888027	3.2383208739014e-05	No	No
Q6ZU35	CRACD	6.70205363001427	6.35996879524932e-10	No	No
Q6ZUX7	LHFPL2	5.85784103120414	1.11097014135785e-09	No	No
Q6ZVM7	TOM1L2	8.18439165640018	2.98674788448959e-14	No	No
Q6ZWT7	MBOAT2	6.92390484418087	9.89179302431906e-11	No	No
Q709C8	VPS13C	6.32622000249819	2.16190989171433e-05	No	No
Q70IA6	MOB2	4.27761125021774	0.000572516788714	No	No
Q70J99	UNC13D	9.84112188928342	1.28831190516227e-10	No	No
Q7KYR7	BTN2A1	3.09373680681257	0.0007026321116447	No	No
Q7KZF4	SND1	4.57241796800268	0.0002595232017318	No	No
Q7L1Q6	BZW1	4.51811523707309	2.88040937855129e-06	No	No
Q7L1W4	LRRC8D	4.68726280379344	0.0016368091531239	No	No
Q7L2H7	EIF3M	4.86028852777096	7.85570154060757e-06	No	No
Q7L576	CYFIP1	10.059501887235	7.52478905791573e-12	No	No
Q7L591	DOK3	8.78566849705572	1.43843348662515e-07	No	No
Q7L5N1	COPS6	7.8200254706444	3.79278913798767e-13	No	No
Q7L7X3	TAOK1	6.69876379207236	1.81499269134684e-08	No	No
Q7L9L4;Q9H8S9	MOB1A;MOB1B	7.50751724540714	3.48785339858824e-06	No	No
Q7LBR1	CHMP1B	4.17013902705766	0.0001096951462592	No	No
Q7LDG7	RASGRP2	9.24674148674528	1.16033853435044e-08	No	No
Q7LFX5	CHST15	9.05515726757448	1.67885475291607e-13	No	No
Q7LGC8	CHST3	10.4496734272294	3.88660600765891e-14	No	No
Q7Z2W4	ZC3HAV1	6.38126206362323	2.67168768736814e-08	No	No
Q7Z304	MAMDC2	7.04975564866	4.42163179531986e-10	No	No
Q7Z392	TRAPPC11	4.69251179050013	8.70834785402184e-05	No	No
Q7Z3C6	ATG9A	6.35788851142797	1.14659017363705e-09	No	No
Q7Z3J2	VPS35L	3.87285376685678	0.0007269216653327	No	No
Q7Z406	MYH14	8.9477246959452	1.90764351103893e-17	No	No
Q7Z434	MAVS	8.95300183611434	3.06484844986601e-10	No	No
Q7Z4R8	C6orf120	8.89679345389444	3.6253007476856104e-14	No	No
Q7Z5G4	GOLGA7	5.31952798259337	3.05600332765657e-07	No	No
Q7Z5L7	PODN	7.98751177628441	2.97685653698768e-12	No	No
Q7Z6K5	ARPIN	5.14262620964262	8.70746779683896e-07	No	No
Q7Z7E8	UBE2Q1	4.33732599948782	2.62591010374589e-05	No	No
Q7Z7H5	TMED4	6.82117692611361	1.2924471064320902e-09	No	No
Q86SR1	GALNT10	6.34000523447419	6.3861985740317e-07	No	No
Q86SX6	GLRX5	5.47948813936127	4.30559151573159e-09	No	No
Q86SZ2	TRAPPC6B	5.58802047183362	7.89128324270369e-07	No	No
Q86TP1	PRUNE1	8.05433941129048	5.256582296454699e-13	No	No
Q86TX2	ACOT1	4.74135519946853	0.0011375375242104	No	No
Q86TY3	ARMH4	4.984780154791	0.0002113059168516	No	No
Q86UE4	MTDH	6.52570944945555	1.16237614572087e-09	No	No
Q86UF1	TSPAN33	6.09973646581828	4.143215689874051e-09	No	No
Q86UP0	CDH24	7.14373494671948	5.27605599210483e-06	No	No
Q86UP2	KTN1	5.98890213211772	1.06830324397861e-06	No	No
Q86UT6	NLRX1	7.10581982136312	9.50203958029221e-07	No	No
Q86UX7	FERMT3	3.29385359163047	2.15322466744338e-06	No	No
Q86VN1	VPS36	3.07248825299737	0.0024160080102331	No	No
Q86VP3	PACS2	5.04010127199266	3.03677117522337e-06	No	No
Q86VP6	CAND1	8.39317957246152	3.76006926390288e-13	No	No
Q86VS8	HOOK3	6.19789457440074	1.81813985732009e-06	No	No
Q86VZ4	LRP11	5.81120723301717	1.24880276766631e-05	No	No
