Protein_Group	Genes	SAX_72001_B_vs_RAW_72001_B_logFC	SAX_72001_B_vs_RAW_72001_B_pval	Removed?	Contaminant?
Q96P48	ARAP1	7.89363256392983	2.31012573085077e-09	No	No
Q96RL7	VPS13A	6.11594373870446	8.96778308061351e-08	No	No
Q99435	NELL2	5.80356651365166	3.68571562423763e-08	No	No
Q99460	PSMD1	4.80428945116086	3.02007108365863e-07	No	No
Q99574	SERPINI1	4.75495386535848	4.93081089323412e-06	No	No
Q99683	MAP3K5	5.03381937752678	3.67847806557723e-05	No	No
Q99714	HSD17B10	5.67491178361054	2.19005832520765e-08	No	No
Q99719	SEPTIN5	5.87913796472161	1.39079888519183e-08	No	No
Q99873	PRMT1	5.18417984539458	0.0003101750937506	No	No
Q99983	OMD	8.17095964302346	5.566585442212361e-15	No	No
Q9BSF0	C2orf88	4.70720117470546	5.23353116623383e-07	No	No
Q9BT78	COPS4	5.23941030754523	5.65577321867749e-07	No	No
Q9BX10	GTPBP2	5.23631148263295	1.37165474848478e-05	No	No
Q9BX68	HINT2	4.66312017044236	2.02344733341629e-07	No	No
Q9BXN1	ASPN	7.38597998681223	1.05447485354949e-07	No	No
Q9BXS5	AP1M1	5.71090823018007	9.13185584154552e-09	No	No
Q9BYJ1	ALOXE3	5.53415914789338	2.44936702829929e-06	No	No
Q9BZF9	UACA	4.76457496263178	2.95335343411235e-05	No	No
Q9C0C9	UBE2O	6.52197666976312	3.07151191664569e-06	No	No
Q9H0E2	TOLLIP	4.60559384755672	3.98533811138489e-08	No	No
Q9H0R4	HDHD2	5.26547641621257	0.0001921000461089	No	No
Q9H159	CDH19	5.26411245469736	1.40744069480602e-05	No	No
Q9H173	SIL1	5.16153829155247	1.16099008299272e-08	No	No
Q9H223	EHD4	6.02576558319689	1.79816211338963e-06	No	No
Q9H251	CDH23	5.50249172935068	2.0048038176269603e-09	No	No
Q9H269	VPS16	5.98674793773014	2.29811614498532e-05	No	No
Q9H2K8	TAOK3	4.85095735719516	3.70288327459442e-05	No	No
