,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
80,GO:1905562,regulation of vascular endothelial cell proliferation,GO:1905562,0.09328909,29.55952,97.31642,CCL2,Regulation Of Vascular Endothelial Cell Proliferation (GO:1905562)
81,GO:0071466,cellular response to xenobiotic stimulus,GO:0071466,0.09394053,27.28297,87.83775,MYC,Cellular Response To Xenobiotic Stimulus (GO:0071466)
82,GO:0033233,regulation of protein sumoylation,GO:0033233,0.09394053,27.28297,87.83775,EGR1,Regulation Of Protein Sumoylation (GO:0033233)
83,GO:0072337,modified amino acid transport,GO:0072337,0.09655984,25.33163,79.84311,SLC16A9,Modified Amino Acid Transport (GO:0072337)
84,GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0000122,0.09764755,3.306318,10.36978,MYC;ATF3;E2F7;KLF2,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)
85,GO:0032986,protein-DNA complex disassembly,GO:0032986,0.09896398,23.64048,73.02003,MYC,protein-DNA Complex Disassembly (GO:0032986)
86,GO:0045429,positive regulation of nitric oxide biosynthetic process,GO:0045429,0.09896398,23.64048,73.02003,KLF2,Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429)
87,GO:1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO:1902042,0.09996239,22.16071,67.13684,TNFAIP3,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902042)
88,GO:0043086,negative regulation of catalytic activity,GO:0043086,0.1055031,19.69444,57.52961,SERPINA5,Negative Regulation Of Catalytic Activity (GO:0043086)
89,GO:0071229,cellular response to acid chemical,GO:0071229,0.1072451,18.65602,53.56533,KLF2,Cellular Response To Acid Chemical (GO:0071229)
90,GO:0060071,"Wnt signaling pathway, planar cell polarity pathway",GO:0060071,0.1122939,16.87585,46.89271,RYK,"Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:0060071)"
91,GO:0046942,carboxylic acid transport,GO:0046942,0.1144339,16.10714,44.06315,SLC16A9,Carboxylic Acid Transport (GO:0046942)
92,GO:0051247,positive regulation of protein metabolic process,GO:0051247,0.1144339,5.149987,14.12179,TNFAIP3;KLF2,Positive Regulation Of Protein Metabolic Process (GO:0051247)
93,GO:0007517,muscle organ development,GO:0007517,0.117998,14.7619,39.19331,HBEGF,Muscle Organ Development (GO:0007517)
94,GO:0038061,non-canonical NF-kappaB signal transduction,GO:0038061,0.117998,14.7619,39.19331,RELB,NIK/NF-kappaB Signaling (GO:0038061)
95,GO:0007416,synapse assembly,GO:0007416,0.1200998,14.17,37.08574,RYK,Synapse Assembly (GO:0007416)
96,GO:0043124,negative regulation of canonical NF-kappaB signal transduction,GO:0043124,0.1247235,13.11772,33.39607,TNFAIP3,Negative Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043124)
97,GO:0016525,negative regulation of angiogenesis,GO:0016525,0.153408,8.842857,19.29977,KLF2,Negative Regulation Of Angiogenesis (GO:0016525)
98,GO:1900180,regulation of protein localization to nucleus,GO:1900180,0.1577165,8.420068,17.99926,LIF,Regulation Of Protein Localization To Nucleus (GO:1900180)
99,GO:0031330,negative regulation of cellular catabolic process,GO:0031330,0.1619079,8.035714,16.83451,APOC3,Negative Regulation Of Cellular Catabolic Process (GO:0031330)
100,GO:2000036,regulation of stem cell population maintenance,GO:2000036,0.1731715,7.067143,13.97929,MYC,Regulation Of Stem Cell Population Maintenance (GO:2000036)
101,GO:0051129,negative regulation of cellular component organization,GO:0051129,0.1758982,6.927871,13.57881,APOC3,Negative Regulation Of Cellular Component Organization (GO:0051129)
102,GO:1902075,cellular response to salt,GO:1902075,0.1799879,6.665094,12.83056,EGR1,Cellular Response To Salt (GO:1902075)
103,GO:0001818,negative regulation of cytokine production,GO:0001818,0.242099,4.192177,6.345777,TNFAIP3,Negative Regulation Of Cytokine Production (GO:0001818)
104,GO:0034976,response to endoplasmic reticulum stress,GO:0034976,0.2425508,4.142437,6.227655,ATF3,Response To Endoplasmic Reticulum Stress (GO:0034976)
105,GO:0071363,cellular response to growth factor stimulus,GO:0071363,0.2626805,3.702632,5.20929,CCL2,Cellular Response To Growth Factor Stimulus (GO:0071363)
