Protein_Group	Genes	PTEN_sg_#6_vs_LCv2_EV_Blast_logFC	PTEN_sg_#6_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
Q9GZN2	TGIF2	-1.02886659166927	7.11759959425247e-08	No	No
Q9H009	NACA2	-2.94917331070666	7.89134203209151e-07	No	No
Q9H098	FAM107B	-1.08277706181008	1.706558947642e-15	No	No
Q9H0Q0	CYRIA	-2.21501538626288	1.56572654372033e-13	No	No
Q9H1K6	TLNRD1	-1.03273301189991	0.0094524554403875	No	No
Q9H3G5	CPVL	-4.34087346980916	3.6991191704493697e-64	No	No
Q9H3M7	TXNIP	-1.68622106089855	6.88039148841571e-12	No	No
Q9H4F1	ST6GALNAC4	-1.41122242514148	1.63956773837067e-05	No	No
Q9H4G0	EPB41L1	-1.46331069578124	1.30638939728505e-56	No	No
Q9H4G4	GLIPR2	-1.13347292153126	8.18960235729743e-06	No	No
Q9H9K5	ERVMER34-1	-1.67836600224955	3.66941353569387e-05	No	No
Q9H9Z2	LIN28A	-1.05311559862392	2.17203353656036e-16	No	No
Q9HBL0	TNS1	-2.07952465447153	1.65964186362566e-19	No	No
Q9HCI6	KIAA1586	-1.16177868898629	0.0001491697705286	No	No
Q9HCY8	S100A14	-1.94577411306796	1.81338927341759e-07	No	No
Q9NP50	SINHCAF	-1.0725084162484	0.0001475055316103	No	No
Q9NQ36	SCUBE2	-3.09836180198777	1.34607629185093e-40	No	No
Q9NQV5	PRDM11	-3.19214181961626	1.61344734543645e-40	No	No
Q9NW97	TMEM51	-1.38861677654587	9.88568501891127e-06	No	No
Q9NWQ8	PAG1	-1.06824571246142	5.616951436604281e-09	No	No
Q9NXL6	SIDT1	-1.30570539776951	5.8893038740232205e-21	No	No
Q9NYA1	SPHK1	-1.00566383882633	0.0002614783047076	No	No
Q9NZJ4	SACS	-2.55695740081464	0.0001413751163458	No	No
Q9P2F8	SIPA1L2	-2.28018810255562	2.39164382150534e-12	No	No
Q9UBN1	CACNG4	-1.1764418870682	4.8684654353633e-05	No	No
Q9UEW8	STK39	-1.65874108261218	1.6193536582305802e-15	No	No
Q9UGT4	SUSD2	-2.35441057894538	2.663066284917e-27	No	No
Q9UH03	SEPTIN3	-1.10345581512636	3.9479750677263e-13	No	No
Q9UHF1	EGFL7	-1.52514221730842	3.3376879157877495e-11	No	No
Q9UHN6	CEMIP2	-1.08264081000338	6.14141608606199e-29	No	No
Q9UJY1	HSPB8	-2.68986736836635	8.25762966225215e-36	No	No
Q9UKW4	VAV3	-1.51415707133875	2.2920214721543e-33	No	No
Q9ULM0	PLEKHH1	-1.09796314117307	8.55392577964542e-09	No	No
Q9ULW8	PADI3	-2.4857597579475	1.01256437776953e-38	No	No
Q9ULX9	MAFF	-2.13636602270632	4.38814513149556e-06	No	No
Q9UNN8	PROCR	-2.1055582416176	9.26153419020193e-34	No	No
Q9Y219	JAG2	-1.04858275992332	5.83553217494639e-08	No	No
Q9Y2A9	B3GNT3	-1.32625320743665	4.88982085740538e-05	No	No
Q9Y2E6	DTX4	-1.32079090929505	5.36940635805049e-06	No	No
Q9Y2J2	EPB41L3	-2.36254912177427	1.7798863930903901e-10	No	No
Q9Y2Y9	KLF13	-1.74350147357419	9.672583192322951e-09	No	No
Q9Y342	PLLP	-2.43704903240826	1.71541916943661e-13	No	No
Q9Y3E1	HDGFL3	-1.03403117023856	3.3622103632620097e-13	No	No
Q9Y572	RIPK3	-2.00013467938279	1.64197028121636e-09	No	No
Q9Y5F2	PCDHB11	-1.61985247319124	5.57457010286418e-07	No	No
Q9Y5Q0	FADS3	-1.09904412853523	2.62130403763381e-05	No	No
Q9Y5U5	TNFRSF18	-1.37190297335335	2.0520708898337e-05	No	No
Q9Y680	FKBP7	-1.02839048392302	0.0006843177288134	No	No
Q9Y6U3	SCIN	-1.79049229582641	1.03280584944139e-11	No	No
