Protein_Group	Genes	pLVX_EV_Tr_vs_pLVX_EV_logFC	pLVX_EV_Tr_vs_pLVX_EV_pval	Removed?	Contaminant?
Q96Q89	KIF20B	-1.59890546123295	4.6641559685191604e-20	No	No
Q96QE3	ATAD5	-1.48240857538388	4.190184353923851e-15	No	No
Q96R06	SPAG5	-1.96806054583629	1.1101659042759e-11	No	No
Q96T88	UHRF1	-2.18179597231718	9.87535743331104e-13	No	No
Q99607	ELF4	-1.21652566060717	0.0029789022637925	No	No
Q99618	CDCA3	-2.20885333928379	2.5041578901491e-11	No	No
Q99640	PKMYT1	-1.62243370629249	3.25206100433168e-11	No	No
Q99661	KIF2C	-2.09191543870066	1.35890555730228e-11	No	No
Q99728	BARD1	-1.23219608623991	3.2964160082358295e-11	No	No
Q99741	CDC6	-1.74776562404138	2.89551992124428e-08	No	No
Q99784	OLFM1	-1.28020723761408	1.73119435048136e-06	No	No
Q9BPX3	NCAPG	-1.58301052085414	2.3628497305932998e-17	No	No
Q9BQD7	ANTKMT	-1.03886394047059	3.76524144369298e-07	No	No
Q9BRT9	GINS4	-1.08437416699788	2.79693816655563e-08	No	No
Q9BRX5	GINS3	-1.20368626727236	2.16864909759323e-09	No	No
Q9BS16	CENPK	-1.11930976622747	5.234786041567371e-10	No	No
Q9BSJ6	PIMREG	-1.73284836504217	3.8204239184417e-09	No	No
Q9BU64	CENPO	-1.24172394834438	9.51471142101596e-10	No	No
Q9BVW5	TIPIN	-1.51256394020003	9.902307797286541e-17	No	No
Q9BW11	MXD3	-1.31491513125708	1.51958946506946e-07	No	No
Q9BW19	KIFC1	-2.3914601224559	1.4297695851075e-13	No	No
Q9BW71	HIRIP3	-1.05897249196831	3.0510562526150603e-15	No	No
Q9BWT6	MND1	-2.36337997401548	3.7169816400015397e-11	No	No
Q9BX63	BRIP1	-1.44183591693851	3.8020060100849103e-10	No	No
Q9BXS6	NUSAP1	-2.49764507487093	8.53305888769475e-09	No	No
Q9BXW9	FANCD2	-1.72541637208601	5.87119150890847e-14	No	No
Q9BZD4	NUF2	-2.14773257432677	2.02292009043826e-08	No	No
Q9H009	NACA2	-2.65624757759378	0.0001344025172225	No	No
Q9H0H5	RACGAP1	-2.0250682513844	5.34520641824985e-16	No	No
Q9H211	CDT1	-1.37633162179712	1.4973457391353102e-15	No	No
