Protein_Group	Genes	cMyc_OE_vs_pLVX_EV_logFC	cMyc_OE_vs_pLVX_EV_pval	Removed?	Contaminant?
Q53HI1	UNC50	-1.9258601604674	4.00385047886139e-07	No	No
Q5H9U9	DDX60L	-1.18837753951634	0.0005069632372996	No	No
Q5JXC2	MIIP	-1.53719395418891	0.0052218202991777	No	No
Q5K651	SAMD9	-1.35348174089369	2.01109745196703e-06	No	No
Q5MNZ9	WIPI1	-1.63364776591923	4.07084130212992e-21	No	No
Q5T2W1	PDZK1	-2.73138014219072	5.71995658290144e-36	No	No
Q5T4B2	CERCAM	-1.08234908872184	8.32880126923951e-15	No	No
Q5U649	C12orf60	-1.9067628418993	1.62757337787981e-06	No	No
Q5VWC8	HACD4	-2.72586444310916	8.142422148802351e-15	No	No
Q5VYY1	ANKRD22	-1.34281169558107	4.71161728075928e-21	No	No
Q5W0B1	OBI1	-1.05871499654439	4.90456252453509e-06	No	No
Q68BL7	OLFML2A	-1.58811926643682	4.46898197673293e-05	No	No
Q6DN90	IQSEC1	-1.11851126993974	1.3238216766908198e-12	No	No
