Protein_Group	Genes	PTEN_sg_#3_vs_LCv2_EV_Blast_logFC	PTEN_sg_#3_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
Q6DKJ4	NXN	-1.08117182703996	8.136889915940439e-29	No	No
Q6F5E8	CARMIL2	-1.85177714203646	1.29240475819123e-18	No	No
Q6NT76	HMBOX1	-1.47227952968009	0.0026225595183508	No	No
Q6NZI2	CAVIN1	-1.93936387529469	1.87683293328296e-10	No	No
Q6UVW9	CLEC2A	-1.51071985404068	7.78454841594069e-07	No	No
Q6UWU2	GLB1L	-1.10003573031788	9.9103334795748e-13	No	No
Q6UX71	PLXDC2	-1.57467536359595	1.9205084154126002e-18	No	No
Q6ZNL6	FGD5	-2.27679212350734	9.07825130367045e-08	No	No
Q6ZRF7	ZNF818P	-1.89640343954559	1.21028948837198e-05	No	No
Q6ZWL3	CYP4V2	-1.04295768787208	9.43874400957093e-05	No	No
Q70IA8	MOB3C	-1.20330072940162	7.4294167771531e-06	No	No
Q7LBR1	CHMP1B	-1.22193373469562	2.61435440616392e-07	No	No
Q86VR8	FJX1	-1.17780252560511	6.49455566586097e-07	No	No
Q86VV4	RANBP3L	-1.42629311619573	4.0028014180485705e-09	No	No
Q86WV6	STING1	-1.04782233144018	0.0007283991612447	No	No
Q86Y38	XYLT1	-2.34488115770298	2.00898253166147e-11	No	No
Q86YB7	ECHDC2	-1.00093024494512	9.53893423047636e-05	No	No
Q8IWW8	ADHFE1	-1.20540920889509	1.0900478175458001e-11	No	No
Q8IWY4	SCUBE1	-1.47189813475187	5.08535886442037e-05	No	No
Q8IXK2	GALNT12	-1.1053817452027	4.16571330465578e-06	No	No
Q8IXV7	KLHDC8B	-1.0645566258321	2.42450218905002e-05	No	No
Q8IZJ3	CPAMD8	-1.06520225722852	1.93197234137546e-08	No	No
Q8N0Z9	VSIG10	-1.10796511930507	1.9800376243408803e-09	No	No
Q8N283	ANKRD35	-2.1621929272584	0.0015364700093954	No	No
