Protein_Group	Genes	T47D_ResB_vs_T47D_logFC	T47D_ResB_vs_T47D_pval	Removed?	Contaminant?
A6NMD0	IFITM10	-2.2527208731397	1.53735889654567e-10	No	No
B0YJ81	HACD1	-1.93577385074872	8.6151895238781e-20	No	No
C9JA33	PALM2AKAP2	-1.48643536240736	2.00546992115796e-20	No	No
H3BPM6	MKRN2OS	-1.72277507678668	8.05199767316167e-05	No	No
O00192	ARVCF	-1.03806143583869	5.746818422103201e-20	No	No
O00519	FAAH	-1.05281881359081	6.45640581540668e-17	No	No
O00526	UPK2	-2.01717869790426	1.41705393026286e-06	No	No
O14798	TNFRSF10C	-1.08702327848997	0.0001150098185666	No	No
O14810	CPLX1	-1.1308797325545	0.0015304969977364	No	No
O14975	SLC27A2	-1.6164509709955	6.080058473675969e-16	No	No
O15327	INPP4B	-1.09332631160456	2.47737355437892e-26	No	No
O43556	SGCE	-2.05823787645875	7.59660628800126e-13	No	No
O60268	KIAA0513	-1.40346416408064	1.00683387976304e-32	No	No
O60879	DIAPH2	-1.1407316104045	0.0054141609077286	No	No
O75503	CLN5	-1.09193564199705	6.56076910536486e-19	No	No
O76082	SLC22A5	-1.05250195057762	4.85181145149454e-16	No	No
O95069	KCNK2	-1.09787019929411	2.00445604915889e-23	No	No
O95255	ABCC6	-1.7775267084768	2.56997615948724e-27	No	No
O95274	LYPD3	-1.4677711036036	3.09636021153314e-10	No	No
O95279	KCNK5	-2.10128615268503	1.21725968933231e-09	No	No
O95479	H6PD	-1.13806076948879	5.65091290944924e-36	No	No
O95633	FSTL3	-1.52422076012093	0.0019442137825751	No	No
O95834	EML2	-1.06108675489101	1.52018994184322e-13	No	No
P03971	AMH	-1.71383351399508	8.979912885182921e-09	No	No
P04083	ANXA1	-1.32965064094184	2.51991048963295e-17	No	No
P04798	CYP1A1	-2.4782799457634	0.0053234073006116	No	No
P05091	ALDH2	-1.43270681096557	1.0905347308633899e-29	No	No
P05997	COL5A2	-1.68159863400669	9.41893686276652e-06	No	No
P06276	BCHE	-2.08028230597043	5.91687724260854e-05	No	No
P07355	ANXA2	-1.11659693839101	7.42631028708128e-23	No	No
P07476	IVL	-1.04649018019701	5.3022715038729405e-14	No	No
P08294	SOD3	-1.23578700207792	4.50452102900627e-08	No	No
P08582	MELTF	-1.1804046544538	9.44129337284521e-05	No	No
P09493	TPM1	-1.14693700538767	3.5371445870569e-18	No	No
P09629	HOXB7	-1.10526252689031	2.22174511162808e-07	No	No
P0C869	PLA2G4B	-1.22070472920641	3.4545131071042503e-09	No	No
P0DMM9;P0DMN0	SULT1A3;SULT1A4	-1.09749318310505	1.7474516637455e-05	No	No
P10600	TGFB3	-1.19631176447245	1.67810322980974e-24	No	No
P10909	CLU	-1.7761985659592	9.56343947962999e-12	No	No
