Protein_Group	Genes	pLVX_mCDK6_OE_Tr_vs_pLVX_mCDK6_OE_logFC	pLVX_mCDK6_OE_Tr_vs_pLVX_mCDK6_OE_pval	Removed?	Contaminant?
Q7L2K0	TEDC2	-1.30833459517542	1.31300526184096e-05	No	No
Q7L2Z9	CENPQ	-1.3521320203293	4.67979296570752e-08	No	No
Q7L590	MCM10	-1.30062115185141	5.73594637994795e-05	No	No
Q7RTY0	SLC16A13	-1.35878353727106	0.0002699876784792	No	No
Q7Z7L1	SLFN11	-1.0308905354286	1.92561488073643e-10	No	No
Q86T82	USP37	-1.18563859520807	3.24883385720849e-05	No	No
Q86UD0	SAPCD2	-1.01310132420195	9.47729353983324e-09	No	No
Q86UN3	RTN4RL2	-1.16855506464684	0.0006212613054195	No	No
Q86VI3	IQGAP3	-1.40882302932159	4.72276460990304e-05	No	No
Q86VI4	LAPTM4B	-1.15844887803549	0.0023153297934103	No	No
Q86XI2	NCAPG2	-1.15990992388926	5.5971299901832104e-14	No	No
Q86Y91	KIF18B	-1.54951485646339	8.37740231118286e-08	No	No
Q86Y97	KMT5C	-1.23496377611942	7.3820868425619e-15	No	No
Q8IUE6	H2AC21	-1.0380625615909	0.0001875377309081	No	No
Q8IVU3	HERC6	-1.3976151811953	0.0005032753409381	No	No
Q8IX90	SKA3	-1.34774172314175	7.1179693924435e-05	No	No
Q8IYA6	CKAP2L	-1.29338680475913	0.0031657184815746	No	No
Q8IYW5	RNF168	-1.98493941457234	2.1829307282631998e-14	No	No
Q8IZT6	ASPM	-1.09393206656516	1.58522137318685e-13	No	No
Q8N2Z9	CENPS	-1.00101268605061	9.754501468645e-09	No	No
Q8N3J2	METTL4	-1.45412735274129	8.85078255735608e-07	No	No
Q8N5V2	NGEF	-1.97376482253475	1.25187410351546e-06	No	No
Q8N6S5	ARL6IP6	-1.16925835857869	5.9048426860982e-07	No	No
Q8NA03	FSIP1	-3.50269498170065	3.5067771426039003e-16	No	No
Q8NB91	FANCB	-1.12920058213784	1.00446107998733e-05	No	No
Q8NBI5	SLC43A3	-1.16438474574472	1.19038044556359e-05	No	No
Q8NBT2	SPC24	-1.46606737576503	2.38703733782456e-05	No	No
Q8NEM2	SHCBP1	-1.15239812900598	9.2703903045149e-06	No	No
Q8NG31	KNL1	-1.08094559990948	5.44306756089858e-07	No	No
Q8NI77	KIF18A	-1.7732897300973	6.04961683346086e-21	No	No
Q8TAT5	NEIL3	-1.19361347936017	1.86377581890061e-05	No	No
Q8TCG1	CIP2A	-1.30613837261457	1.04767927480052e-11	No	No
Q8TE85	GRHL3	-1.38525367655553	0.0059681728378734	No	No
Q8WTP8	AEN	-1.152259624695	0.0019678200457679	No	No
Q8WU67	ABHD3	-1.0820046874294	0.0069999716882268	No	No
Q8WVK7	SKA2	-1.36651404821705	2.46905647625421e-06	No	No
Q8WVP5	TNFAIP8L1	-2.35118879333282	7.58847394001437e-12	No	No
Q8WWK9	CKAP2	-1.50725342290565	1.87566311903695e-06	No	No
Q8WWY7	WFDC12	-1.31559005881638	7.154250161804971e-10	No	No
Q8WXG9	ADGRV1	-1.46027931487158	0.0002699001692554	No	No
Q8WYQ9	ZCCHC14	-1.27650300453993	0.0019109704664525	No	No
Q92771	DDX12P	-1.03785569141693	5.08254563761865e-06	No	No
Q92837	FRAT1	-1.10346164416794	0.0035845303800639	No	No
Q96B01	RAD51AP1	-1.04183909832966	1.85687347007624e-05	No	No
Q96BD8	SKA1	-1.81852760592174	1.81521098804327e-07	No	No
Q96BR9	ZBTB8A	-1.45553137255639	1.98396696788688e-08	No	No
Q96CX2	KCTD12	-1.19619246998535	0.0027121825783996	No	No
Q96FC9	DDX11	-1.10159893287745	0.0002187911815577	No	No
Q96FF9	CDCA5	-1.69963015469319	4.92332137029477e-06	No	No
Q96GD4	AURKB	-1.85314597635939	1.08673029693153e-07	No	No
Q96GN5	CDCA7L	-1.55879673728528	1.73768931685432e-10	No	No
Q96HA7	TONSL	-1.16917801451796	7.0499061588302906e-15	No	No
Q96HE9	PRR11	-1.43426928723071	7.35459291611447e-08	No	No
Q96KB5	PBK	-1.78145314324695	6.9407329482552e-08	No	No
Q96P15	SERPINB11	-1.00449405532915	0.0061454441642615	No	No
Q96PD5	PGLYRP2	-1.08825536299051	0.0003961338977625	No	No
Q96Q89	KIF20B	-1.25365495071837	5.13360223483982e-15	No	No
Q96QE3	ATAD5	-1.11478720460426	2.00267351096109e-10	No	No
Q96R06	SPAG5	-1.48561056111456	5.64861635580144e-08	No	No
Q96T88	UHRF1	-1.49317516075042	1.26044096314017e-07	No	No
Q99500	S1PR3	-1.76415143763473	6.74715797876804e-08	No	No
Q99595	TIMM17A	-1.31006989937486	0.0049544633574897	No	No
Q99618	CDCA3	-1.96384821742556	1.13943171082521e-09	No	No
Q99624	SLC38A3	-1.41152124482544	0.0017039175350331	No	No
Q99640	PKMYT1	-1.29425816449723	3.00359941497758e-08	No	No
Q99661	KIF2C	-1.57878379878378	6.55643506745131e-08	No	No
Q99728	BARD1	-1.066877646186	3.16576339289474e-09	No	No
Q99741	CDC6	-1.28906320559856	1.97173312555221e-05	No	No
Q99808	SLC29A1	-1.0011771853273	1.29754321459807e-06	No	No
Q9BPX3	NCAPG	-1.34503110454572	3.3545318725719996e-14	No	No
Q9BRT9	GINS4	-1.08582908181524	2.70004780298274e-08	No	No
Q9BVW5	TIPIN	-1.102935671358	3.4740335433771194e-11	No	No
Q9BW19	KIFC1	-1.5953214258299	6.99502841295253e-08	No	No
Q9BW71	HIRIP3	-1.07265096529134	1.7380095121898801e-15	No	No
Q9BWT6	MND1	-1.99848159060537	6.8713464780634e-09	No	No
Q9BXS6	NUSAP1	-1.77649379003873	1.69054888962815e-05	No	No
Q9BXW9	FANCD2	-1.50372662109672	1.1261552781586599e-11	No	No
Q9BZD4	NUF2	-1.5448613699448	2.39529334717923e-05	No	No
Q9BZK3	NACA4P	-1.12131884697532	0.002865432743652	No	No
Q9H0H5	RACGAP1	-1.36418160356503	1.4477010979076301e-09	No	No
Q9H211	CDT1	-1.50474409343565	2.4908358129010702e-17	No	No
Q9H4H8	FAM83D	-1.44058938898039	1.51919319436238e-06	No	No
Q9H4M3	FBXO44	-2.49938132324987	2.01430089259685e-07	No	No
