Protein_Group	Genes	NF1_sg_Tr_vs_NF1_sg_logFC	NF1_sg_Tr_vs_NF1_sg_pval	Removed?	Contaminant?
O75764	TCEA3	-1.76034331676722	9.11303520626932e-30	No	No
O75771	RAD51D	-1.38349087942408	0.0070731891760375	No	No
O75792	RNASEH2A	-1.28299740405713	1.34255833059739e-23	No	No
O75800	ZMYND10	-1.46684532312051	8.52359157910927e-05	No	No
O94761	RECQL4	-2.36786954413873	7.7209010004922e-28	No	No
O94782	USP1	-1.7038529392819	7.699863481245811e-19	No	No
O94788	ALDH1A2	-1.0904473108222	0.0001180712754836	No	No
O94868	FCHSD2	-1.07633646845874	5.2120312216659e-06	No	No
O95067	CCNB2	-3.96229625215204	1.2135003215983e-21	No	No
O95229	ZWINT	-2.27279117716049	4.9080160733050004e-17	No	No
O95235	KIF20A	-5.00042548929447	7.852737706816491e-23	No	No
O95239	KIF4A	-3.92200267285186	8.64984531169154e-28	No	No
O95347	SMC2	-1.58127554846634	1.04831826765094e-29	No	No
O95997	PTTG1	-4.82119672360013	8.95207423412132e-34	No	No
O96020	CCNE2	-3.36335900406015	3.2911788757178704e-20	No	No
O96028	NSD2	-2.1218640912063	1.21936490439268e-25	No	No
P00374	DHFR	-4.09822727271596	4.70185559673077e-16	No	No
P00918	CA2	-1.15932579481022	0.0051613141275842	No	No
P04183	TK1	-3.71729856457567	8.61577671910575e-18	No	No
P04818	TYMS	-3.8218119008919	3.00830119124262e-15	No	No
P06493	CDK1	-2.4204902533897	1.6288436878456501e-24	No	No
P08582	MELTF	-1.11350011447667	0.0008200772193279	No	No
P09629	HOXB7	-1.48442196264755	1.5855502284761602e-09	No	No
P09884	POLA1	-1.81776999157807	4.89346260521339e-31	No	No
P0CG13	CHTF8	-1.11301998846472	2.4485377477261203e-20	No	No
P0CG34;P0CG35	TMSB15A;TMSB15B	-1.35391419544961	2.20100838412398e-06	No	No
P0DN79;P35520	CBSL;CBS	-1.01642011621501	5.75236949641871e-10	No	No
P10075	GLI4	-1.42001558890628	0.002145763598065	No	No
P10244	MYBL2	-2.86056515485857	9.15993631929218e-16	No	No
P11388	TOP2A	-3.96543040198497	2.1034012173181602e-23	No	No
P11474	ESRRA	-1.05827391209565	1.7712045522904798e-12	No	No
P12004	PCNA	-1.32225258545087	2.0406691430202e-20	No	No
P14635	CCNB1	-4.73104244250723	5.229377917246031e-19	No	No
P16401	H1-5	-1.09276556921517	9.464397808601849e-30	No	No
P16402	H1-3	-1.99232162803575	7.96830199402412e-20	No	No
P16403	H1-2	-1.27200568010883	4.3673361455444395e-18	No	No
P16671	CD36	-1.05716862920586	0.0059135525712493	No	No
P16949	STMN1	-1.57939707208822	6.74454367107411e-24	No	No
P17707	AMD1	-1.4806007781289	5.25300317802452e-05	No	No
P18858	LIG1	-1.78226427941662	2.0853661953861602e-21	No	No
P20248	CCNA2	-2.78635848149065	2.35271106090275e-19	No	No
P21359	NF1	-1.01193438765183	3.55573097771206e-09	No	No
P21731	TBXA2R	-1.3257154215632	0.0085525272324189	No	No
P22352	GPX3	-2.31151512210887	8.27667657300896e-09	No	No
P22532	SPRR2D	-2.54416262939838	0.0070854004508563	No	No
P23527	H2BC17	-1.79437149931478	1.865111579139e-05	No	No
P23921	RRM1	-1.27959234803406	1.60882022029624e-21	No	No
P24588	AKAP5	-1.0540978714036	0.0029201860476084	No	No
P24941	CDK2	-1.00197880530505	3.3019100972212396e-26	No	No
P25205	MCM3	-1.23342605783859	2.18261480630613e-25	No	No
P26358	DNMT1	-1.64012657494966	7.82109367754481e-31	No	No
P26583	HMGB2	-1.12068421167875	1.5755990223385e-20	No	No
P27544	CERS1	-1.3605435648025	2.64147937634203e-08	No	No
P28324	ELK4	-1.34042248766886	2.34102765279854e-06	No	No
P28340	POLD1	-1.24460102402372	1.33218911559128e-26	No	No
P28749	RBL1	-2.22086352513616	1.93208982167336e-17	No	No
P30291	WEE1	-1.59713173250057	2.29054731362363e-09	No	No
P30305	CDC25B	-3.9239104583938	2.17829079942733e-25	No	No
P30307	CDC25C	-2.324302254164	7.106868444346979e-12	No	No
P30793	GCH1	-1.34418310928191	0.0001026495674934	No	No
P30825	SLC7A1	-1.22672512871941	3.2386570747736602e-15	No	No
P31350	RRM2	-4.88533468223516	4.91291071858657e-22	No	No
P33316	DUT	-2.29637873117831	5.45317676554414e-25	No	No
P33552	CKS2	-2.43924766366625	6.8422022626961e-13	No	No
P33981	TTK	-1.67244258061331	1.0041316049137901e-19	No	No
P33991	MCM4	-1.31084014743853	3.48708303659763e-29	No	No
P33992	MCM5	-1.18938159148879	5.76125037986783e-27	No	No
P33993	MCM7	-1.28426499477498	1.8383269497303e-26	No	No
P35249	RFC4	-1.16604483512113	5.0861287127539605e-23	No	No
P35250	RFC2	-1.09437249867284	1.8011093100014899e-22	No	No
P36383	GJC1	-2.45124277883195	5.41509398009017e-07	No	No
P38398	BRCA1	-2.32845910694974	2.74910366170947e-20	No	No
P39748	FEN1	-1.32066583672285	1.2227025033525301e-20	No	No
P40937	RFC5	-1.1801637961337	5.44379636123559e-24	No	No
P40938	RFC3	-1.02476726844906	7.14516486195946e-29	No	No
P41002	CCNF	-3.10600506749774	1.7394792372377998e-19	No	No
P41440	SLC19A1	-1.10711765012963	1.61930522666501e-06	No	No
P42166	TMPO	-1.27771656482246	1.89501673646581e-44	No	No
P42575	CASP2	-1.99210128312146	8.6570517957655e-24	No	No
P42695	NCAPD3	-2.34253143209793	2.7682423088713597e-34	No	No
P43007	SLC1A4	-1.54045752439198	1.71261524119352e-26	No	No
P46013	MKI67	-4.4591930131392	2.87370936782964e-22	No	No
P48431	SOX2	-3.73172453427046	7.729145493016351e-35	No	No
P48594	SERPINB4	-3.05226155898287	1.90674596629666e-33	No	No
P49005	POLD2	-1.19317754163923	4.21304606336454e-22	No	No
P49454	CENPF	-3.92064207315788	1.87262295613899e-27	No	No
P49638	TTPA	-1.49444447684993	0.0007580914401953	No	No
P49642	PRIM1	-2.24247137758134	8.79878595974727e-25	No	No
P49643	PRIM2	-1.98342026026385	2.80047207616329e-24	No	No
P49736	MCM2	-1.31567635083306	1.12021973480665e-29	No	No
P49908	SELENOP	-1.85047737776682	2.66334549158324e-08	No	No
P51530	DNA2	-2.52468086350063	1.03150415280788e-16	No	No
P51587	BRCA2	-2.07919108922178	2.7464767725807003e-16	No	No
P51693	APLP1	-1.57257263808934	1.57200388997762e-05	No	No
P51956	NEK3	-1.18721725009613	0.0012427528636563	No	No
P52292	KPNA2	-1.37304118380413	2.32210574166105e-20	No	No
P52701	MSH6	-1.18893888658693	4.24730593080801e-24	No	No
P52732	KIF11	-3.38127151617305	3.60301354725511e-20	No	No
P53350	PLK1	-4.31997913851843	8.81089577725441e-25	No	No
P54132	BLM	-2.73443029311563	3.36724750455314e-29	No	No
P55040	GEM	-1.09282810410539	0.0054651254100207	No	No
P55273	CDKN2D	-2.68824169992149	7.96897561115786e-06	No	No
P55851	UCP2	-1.18539905420495	1.83999942848792e-05	No	No
P56270	MAZ	-1.24404155145675	1.49300793795788e-15	No	No
P56282	POLE2	-2.31932829836507	2.4607008628885998e-23	No	No
P57055	RIPPLY3	-3.76669707258648	7.89251911850862e-13	No	No
P59665	DEFA1B	-2.85670306243962	3.48290360999818e-17	No	No
P59796	GPX6	-2.5373993120952	5.00349117895269e-14	No	No
P61024	CKS1B	-1.96681628233116	3.09796630241614e-13	No	No
P78337	PITX1	-1.30198158987287	3.80684031592002e-13	No	No
P78549	NTHL1	-1.25262621061903	1.92450661370492e-07	No	No
P81274	GPSM2	-2.63665299859011	5.3363434665739296e-11	No	No
Q00987	MDM2	-1.13914904261173	4.57219730926607e-05	No	No
Q01094	E2F1	-1.26678470994248	6.22461118340115e-06	No	No
Q01664	TFAP4	-2.04578194604298	1.02129816518795e-07	No	No
Q02224	CENPE	-2.33061398888252	3.1467860250892302e-21	No	No
Q02241	KIF23	-3.15931293576129	2.98546078865988e-32	No	No
Q02383	SEMG2	-1.7127804376049	9.67335603669363e-13	No	No
Q03014	HHEX	-1.4682097051716	0.0051560041231552	No	No
Q05D32	CTDSPL2	-1.50370181567028	2.4301898372273e-41	No	No
Q06609	RAD51	-3.15095999329917	1.20924538286759e-16	No	No
Q07864	POLE	-1.90484635711353	5.2462643820023595e-33	No	No
Q08050	FOXM1	-1.15946737318037	0.0011826418537021	No	No
Q12778	FOXO1	-1.70340476314775	0.0006519999851896	No	No
Q12815	TROAP	-4.11963619463077	1.6632792752186199e-18	No	No
Q12834	CDC20	-4.80431234751812	9.66139278631043e-24	No	No
Q12948	FOXC1	-1.26387317787386	0.0054101822012546	No	No
Q13111	CHAF1A	-1.86893371279029	5.62872615028571e-26	No	No
Q13112	CHAF1B	-2.48969284016751	1.91953198475637e-27	No	No
Q13115	DUSP4	-1.33702498322004	0.0018400262504682	No	No
Q13257	MAD2L1	-1.73352799915199	1.67400904478649e-14	No	No
Q13309	SKP2	-2.26683292507294	7.30966600488741e-14	No	No
Q13352	ITGB3BP	-1.51848581522751	0.0001329356826585	No	No
Q13415	ORC1	-1.59285374855233	1.3303758889513001e-22	No	No
Q13472	TOP3A	-1.20577693753632	4.5200886130458505e-31	No	No
Q14181	POLA2	-1.76344537962154	7.13473255108544e-23	No	No
Q14493	SLBP	-1.6223358701104	1.2363020358364301e-17	No	No
Q14527	HLTF	-1.2115615499976	7.128168204555081e-35	No	No
Q14566	MCM6	-1.30484223367434	8.34815476236197e-29	No	No
Q14654	KCNJ11	-1.63679545519957	2.58598368334467e-07	No	No
Q14674	ESPL1	-3.5743322890742	4.2200392272968103e-17	No	No
Q14680	MELK	-2.21010424468173	1.0606480598557e-17	No	No
Q14691	GINS1	-1.91339756882467	5.2074469077827105e-19	No	No
Q14781	CBX2	-1.32626460248411	1.68303087970733e-16	No	No
Q14807	KIF22	-4.09482392877431	1.88414426351522e-25	No	No
Q14CB8	ARHGAP19	-2.30419928023207	8.98093355134898e-19	No	No
Q15003	NCAPH	-2.19394256756012	1.5675521315644098e-26	No	No
Q15004	PCLAF	-5.7918923952894	2.4288887135721998e-23	No	No
Q15021	NCAPD2	-2.34745102178731	5.83962049641933e-28	No	No
Q15054	POLD3	-1.24053206897166	2.42960996550098e-19	No	No
Q15058	KIF14	-3.01669238804972	7.011776521126619e-26	No	No
Q15398	DLGAP5	-3.06643548213946	8.84507325987704e-21	No	No
Q15468	STIL	-3.13201852405097	2.7762434453262703e-20	No	No
Q15645	TRIP13	-1.38219004968821	2.59453425638361e-22	No	No
Q15910	EZH2	-1.24674615843145	1.06082383015582e-24	No	No
Q16659	MAPK6	-1.31015134622777	0.0017854581633126	No	No
Q16667	CDKN3	-3.15916451281027	3.0110162927086e-14	No	No
Q16763	UBE2S	-3.17676320507109	4.7749578161179206e-20	No	No
Q17RS7	GEN1	-1.21622818445705	2.40423691335178e-12	No	No
Q2NKX8	ERCC6L	-1.62833394615611	3.25870715315919e-17	No	No
Q53EZ4	CEP55	-3.10066958561849	1.6186957483428e-19	No	No
Q53HL2	CDCA8	-4.00983257122475	1.5833292203015798e-18	No	No
