Protein_Group	Genes	LCv2_EV_Blast_Tr_vs_LCv2_EV_Blast_logFC	LCv2_EV_Blast_Tr_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
Q6PIW4	FIGNL1	-1.00511641318297	1.1306260837101602e-31	No	No
Q6PL18	ATAD2	-1.55113893778284	2.77015070437723e-38	No	No
Q6SJ93	FAM111B	-2.42331675459322	1.22317020356058e-20	No	No
Q6UVK1	CSPG4	-1.90565754625513	3.27311666986197e-16	No	No
Q6YHK3	CD109	-1.40694135968619	1.88975278286665e-08	No	No
Q6ZRQ5	MMS22L	-1.57332144379477	5.21648805648414e-32	No	No
Q71F23	CENPU	-1.65804567571154	6.59920935794093e-26	No	No
Q7L266	ASRGL1	-1.17998961154644	1.95962955384945e-06	No	No
Q7L2Z9	CENPQ	-1.5667277543373	1.0476005674112901e-19	No	No
Q7L590	MCM10	-2.4571872812232	6.37478157308435e-23	No	No
Q7Z7L1	SLFN11	-1.42127684286847	8.76681761565039e-29	No	No
Q86T82	USP37	-1.62789969165449	1.34096809114285e-16	No	No
Q86UD0	SAPCD2	-1.40932020066107	1.4202644678465e-25	No	No
Q86UN3	RTN4RL2	-1.00610010181341	9.60988904004042e-07	No	No
Q86VI3	IQGAP3	-2.9574612168894	6.80973292425243e-26	No	No
Q86XI2	NCAPG2	-1.84997840833638	1.90160542217231e-39	No	No
Q86XJ1	GAS2L3	-1.07223682847448	8.29842103759014e-27	No	No
Q86XK3	SFR1	-1.8082416670114	8.29839109210158e-20	No	No
Q86Y91	KIF18B	-2.84830617008314	7.556735153140081e-31	No	No
Q86Y97	KMT5C	-1.28615852232704	1.62635391146081e-28	No	No
Q86YC2	PALB2	-1.037157679802	1.08288422796201e-08	No	No
Q8IX21	SLF2	-1.46880182836733	4.43478376280445e-15	No	No
Q8IX90	SKA3	-2.27259005605473	6.43665704340072e-20	No	No
Q8IXM6	NRM	-1.02189124656021	2.3508770995282597e-34	No	No
Q8IYA6	CKAP2L	-2.98846114604517	8.47930450171997e-20	No	No
Q8IYN6	UBALD2	-2.29173916638231	3.4641480730367695e-11	No	No
Q8IYW5	RNF168	-2.54043487424298	1.39679657789646e-33	No	No
Q8IZC4	RTKN2	-1.11854825430729	5.55754622577292e-13	No	No
Q8IZT6	ASPM	-1.28346295375112	9.506292708035669e-30	No	No
Q8N0S6	CENPL	-1.25615187948779	4.42685844166513e-27	No	No
Q8N2Z9	CENPS	-1.49950762505234	1.71977050811151e-27	No	No
Q8N3J2	METTL4	-1.03673666684846	4.53475247435016e-09	No	No
Q8N4T4	ARHGEF39	-2.18790170165626	4.11009484479698e-14	No	No
Q8N5V2	NGEF	-1.10608685750482	2.31726375360058e-06	No	No
Q8N6S5	ARL6IP6	-1.05426232063165	9.87950427425e-13	No	No
Q8N720	ZNF655	-3.76028662898266	6.122685461441381e-15	No	No
Q8N806	UBR7	-1.03166141665523	7.9787803544252e-38	No	No
Q8NB91	FANCB	-1.19389986258568	4.938252387775e-13	No	No
Q8NBI5	SLC43A3	-1.89233943941463	1.4025554357885501e-21	No	No
Q8NBT2	SPC24	-3.18087627065308	7.112486693839159e-28	No	No
Q8NCD3	HJURP	-2.27559057514426	5.7097735358820805e-25	No	No
Q8NCN4	RNF169	-1.07034953949758	9.260553656541319e-42	No	No
Q8NEM2	SHCBP1	-2.02093531580865	9.19658250718772e-24	No	No
Q8NG31	KNL1	-1.69000125540209	2.0954376483626902e-24	No	No
Q8NI77	KIF18A	-2.13396729093224	3.39752891955475e-41	No	No
Q8TAA5	GRPEL2	-1.08016417023291	1.06677824799906e-34	No	No
Q8TAT5	NEIL3	-1.52101732454637	8.80722709367907e-16	No	No
Q8TCG1	CIP2A	-1.722835765397	6.407125143856309e-30	No	No
Q8TD30	GPT2	-1.05062566864762	1.42514541689026e-24	No	No
Q8TF76	HASPIN	-1.13784844281787	3.61467367621681e-10	No	No
Q8WU67	ABHD3	-1.15765707709261	2.01635819090751e-06	No	No
Q8WVK7	SKA2	-1.86389322694802	1.8335996280042402e-19	No	No
Q8WVN6	SECTM1	-1.13548918045935	1.38275356802027e-07	No	No
Q8WVP5	TNFAIP8L1	-2.12961534555339	1.42331767052429e-20	No	No
Q8WWK9	CKAP2	-2.43901090694232	8.10542143616996e-24	No	No
Q92466	DDB2	-1.18396191554883	5.4231016124611e-58	No	No
Q92522	H1-10	-1.20174072331826	1.37747330034331e-32	No	No
