Protein_Group	Genes	T47D_ResC_vs_T47D_logFC	T47D_ResC_vs_T47D_pval	Removed?	Contaminant?
Q9NQ36	SCUBE2	1.50521673709673	4.497426271296351e-19	No	No
Q9NRN5	OLFML3	2.51385531983933	1.0393499186941202e-31	No	No
Q9NYP3	DONSON	1.19057683090356	0.0007820658088384	No	No
Q9NYP9	MIS18A	1.013670138992	8.69596605895782e-13	No	No
Q9NZ71	RTEL1	1.55702862711093	6.19836158186256e-07	No	No
Q9P0P0	RNF181	1.02595319085981	9.12844511731997e-25	No	No
Q9P291	ARMCX1	1.15383213447339	8.22420319940658e-07	No	No
Q9UHE8	STEAP1	3.45104523881674	7.342798748806169e-16	No	No
Q9UII4	HERC5	1.81365642525016	2.31064573922711e-06	No	No
Q9UJH8	METRN	1.05383038772835	0.0031067390633095	No	No
Q9UK22	FBXO2	1.00494780231091	1.1807859790777199e-12	No	No
Q9UN76	SLC6A14	4.00527603162409	2.1169057953257304e-09	No	No
Q9UPT6	MAPK8IP3	1.57192876445601	8.30497764609826e-23	No	No
Q9UPW6	SATB2	1.31025565780937	0.0011165065906788	No	No
Q9UQV4	LAMP3	1.45778574158369	4.99189766952264e-09	No	No
Q9Y2E6	DTX4	1.23073946905913	6.53685672858743e-05	No	No
Q9Y6M1	IGF2BP2	2.92026499713516	1.60217312632218e-37	No	No
A2RUS2	DENND3	-1.19093432899385	0.0010788885011371	No	No
A4D1S5	RAB19	-1.44689988996569	8.77488645059271e-33	No	No
A6NC05	C5orf63	-1.58347351639694	3.7793749895164e-05	No	No
A6NDB9	PALM3	-1.14017740710224	1.22977370321214e-07	No	No
A6NMD0	IFITM10	-1.41873066736364	1.38700075805708e-05	No	No
A8MUP2	CSKMT	-1.03247335520788	0.0078934972482848	No	No
B0YJ81	HACD1	-1.34211867354055	1.21101780349067e-12	No	No
C9JA33	PALM2AKAP2	-1.87071728774394	4.60406716280755e-26	No	No
O00519	FAAH	-1.33584283819685	3.31237220151536e-22	No	No
O14975	SLC27A2	-1.5467093869615	4.26184216091705e-15	No	No
O15232	MATN3	-1.17697979750211	3.02106936375731e-13	No	No
O15327	INPP4B	-1.5642527746022	2.16072667254244e-36	No	No
O15431	SLC31A1	-1.14181500060768	8.89099811959518e-05	No	No
O15438	ABCC3	-1.81331242531791	2.87623599874035e-08	No	No
O15484	CAPN5	-1.07883393356597	2.45364806917992e-07	No	No
O15488	GYG2	-1.94294129622249	6.27723086349866e-08	No	No
O43556	SGCE	-1.38647435530607	1.56555557757547e-07	No	No
O60437	PPL	-1.1857887443688	2.2765318572089e-38	No	No
O60637	TSPAN3	-1.270397926367	0.0092351313369217	No	No
O75325	LRRN2	-1.19354625045397	0.0003357954114324	No	No
O76082	SLC22A5	-1.38392577074591	5.19541938790046e-22	No	No
O94923	GLCE	-1.18957240552069	3.58823415558633e-23	No	No
O95069	KCNK2	-1.04772138773928	2.76556556649817e-22	No	No
O95255	ABCC6	-1.51838198898291	2.82596699336289e-23	No	No
O95279	KCNK5	-3.37232629661884	1.07019391661105e-17	No	No
O95848	NUDT14	-1.3313607802077	4.81541528764898e-06	No	No
P00966	ASS1	-1.0418560691721	2.8808997675593497e-26	No	No
P01009	SERPINA1	-1.12739740086352	4.21346823942261e-23	No	No
P03971	AMH	-1.21923291631791	1.73920651335661e-05	No	No
P04083	ANXA1	-1.89601784741558	1.29325062416749e-25	No	No
P04233	CD74	-1.21550456776664	3.48793144488106e-08	No	No
P04798	CYP1A1	-2.48644543827141	0.0051815938321954	No	No
P05091	ALDH2	-1.63944532743497	1.68651086133229e-33	No	No
P07195	LDHB	-1.80803926582261	5.45043708225003e-08	No	No
P07355	ANXA2	-1.00585324263479	2.18542641413062e-20	No	No
P07476	IVL	-1.00075230310307	3.18530074526211e-13	No	No
P08133	ANXA6	-1.1513717230571	8.94345276304018e-39	No	No
P08247	SYP	-1.09781580321225	2.12320458350506e-07	No	No
P08913	ADRA2A	-2.01605814837135	1.9165413280249e-08	No	No
P09493	TPM1	-1.0964572777918	3.10552899318099e-17	No	No
P0DMM9;P0DMN0	SULT1A3;SULT1A4	-1.84434929053053	3.58983881324231e-11	No	No
P0DPH7;P0DPH8	TUBA3C;TUBA3D	-1.13463079658621	0.0005305497510151	No	No
P10321	HLA-C	-1.45026966144734	0.0082454222879502	No	No
P10600	TGFB3	-1.1218569580629	6.629293494970261e-23	No	No
P11137	MAP2	-1.23480829373793	1.9274699052878597e-11	No	No
P11464	PSG1	-1.6788719011606	5.95955744337592e-07	No	No
P12429	ANXA3	-2.12857316446542	5.60346842798338e-22	No	No
P14061	HSD17B1	-1.24393724222096	0.002079807273195	No	No
P15514	AREG	-1.80149562030645	1.16580723337399e-11	No	No
P16070	CD44	-2.13186103395792	1.2156342078179498e-30	No	No
P16083	NQO2	-1.42735897138661	7.767688100419609e-11	No	No
P21397	MAOA	-1.53664366327708	0.0025005003250832	No	No
P24844	MYL9	-1.05521723716042	2.03629142905059e-23	No	No
P25445	FAS	-1.16965191134906	5.832631421661951e-15	No	No
P29034	S100A2	-1.16026021812129	0.00139308498242	No	No
P30047	GCHFR	-1.39990513149958	5.044795885312991e-09	No	No
P30837	ALDH1B1	-1.10481540126766	1.40112639779241e-30	No	No
P30988	CALCR	-1.53359563950824	4.8067740166821594e-11	No	No
P31641	SLC6A6	-1.27577452464949	3.7830227346868304e-17	No	No
P32004	L1CAM	-1.12863803253192	7.29738964810301e-16	No	No
P32929	CTH	-1.12093542460713	3.38708339092877e-19	No	No
P35408	PTGER4	-1.8563191371851	7.32674788212715e-11	No	No
P36269	GGT5	-1.98846374154776	2.37322771493994e-12	No	No
P36897	TGFBR1	-1.30430246170665	1.1164202361000501e-24	No	No
P41247	PNPLA4	-1.44241611253439	1.66648935841716e-13	No	No
P43121	MCAM	-1.75992139011288	4.88850776486699e-17	No	No
P43353	ALDH3B1	-2.46611723327198	2.91593154763612e-41	No	No
P45844	ABCG1	-1.39824653375262	4.59636413984157e-06	No	No
P47895	ALDH1A3	-2.14871727083722	1.20183697186397e-10	No	No
P49326	FMO5	-1.98802827411546	7.43015774696747e-26	No	No
P49662	CASP4	-1.70281922366068	3.06618277207853e-18	No	No
P49703	ARL4D	-2.38239797437415	5.35057149131881e-10	No	No
P49908	SELENOP	-1.50313848364962	3.03364168408019e-07	No	No
P50225	SULT1A1	-1.83608356897007	4.40613003237501e-39	No	No
P50226	SULT1A2	-1.88492242279008	2.7717763292542198e-11	No	No
P50443	SLC26A2	-1.34531206353265	2.03636832061434e-10	No	No
P51784	USP11	-1.20585595286204	7.17157344838728e-27	No	No
P55899	FCGRT	-1.09480312708517	6.04171655983702e-15	No	No
P57729	RAB38	-2.25483651099669	2.6251208326267e-25	No	No
P61812	TGFB2	-1.93279564859741	0.0002118887948644	No	No
P63316	TNNC1	-2.29050767260459	3.23020640273053e-07	No	No
P67936	TPM4	-1.48616385813346	2.00803650955827e-05	No	No
P78357	CNTNAP1	-1.50957159075827	2.81077168811948e-15	No	No
P84157	MXRA7	-1.1095876464293	5.42544200940094e-15	No	No
P86452	ZBED6	-1.14508033488657	0.0001334837493735	No	No
P98082	DAB2	-2.38104842990222	4.0307518536996e-15	No	No
Q02318	CYP27A1	-1.00513048442678	0.0024231659777086	No	No
Q03001	DST	-1.23636098756575	2.3542164590154e-28	No	No
Q03112	MECOM	-1.60314093916937	6.0065473093797e-09	No	No
Q04656	ATP7A	-1.06558399552453	9.041659259078801e-21	No	No
Q04771	ACVR1	-1.18785934992129	1.54893515377859e-07	No	No
Q05682	CALD1	-2.1528063744406	3.09474859546073e-15	No	No
Q08AF3	SLFN5	-1.39323107120253	4.19376724652276e-33	No	No
Q0VGE8	ZNF816	-1.07655210704913	0.0098079356060781	No	No
Q13636	RAB31	-1.54701009310764	7.021047649261989e-16	No	No
Q13825	AUH	-1.19196538199077	1.43677280120841e-32	No	No
Q13950	RUNX2	-1.19277570910094	4.62256222327369e-11	No	No
Q14142	TRIM14	-1.11586679361736	6.96770985376523e-06	No	No
Q14254	FLOT2	-1.00340613573608	5.57131601616546e-25	No	No
Q14802	FXYD3	-1.07234844895975	1.4078114669702902e-09	No	No
Q15052	ARHGEF6	-1.76770317205735	6.0744624533525e-25	No	No
Q16762	TST	-1.1320830172952	4.63579939485948e-34	No	No
Q2TAP0	GOLGA7B	-1.05628539669877	0.0013383239534978	No	No
Q32MH5	FAM214A	-1.30199081892225	5.17745525461887e-06	No	No
Q3BBV2	NBPF8	-2.14793987240111	2.3283740564606002e-18	No	No
Q49AH0	CDNF	-1.09080036201138	0.0024791865450751	No	No
Q4V339	CBWD6	-1.35785624153427	0.0003063054753631	No	No
Q58DX5	NAALADL2	-1.74416811516598	1.66028076321157e-21	No	No
Q5JTZ5	C9orf152	-1.88472355115777	8.783240593688071e-20	No	No
Q5NDL2	EOGT	-1.11427281834939	2.61378816429036e-22	No	No
Q5SRE7	PHYHD1	-3.76257096623579	8.513788586689481e-19	No	No
Q5T011	SZT2	-1.18766520478839	2.5754979052138798e-26	No	No
Q5T2W1	PDZK1	-4.00192670315151	2.03613964844085e-54	No	No
Q5T481	RBM20	-2.31693925059703	5.74437577205886e-17	No	No
Q5T686	AVPI1	-3.06415058790792	7.47731168254878e-08	No	No
Q5T6V5	C9orf64	-1.15933565928638	7.36192494907907e-26	No	No
Q5T7W7	TSTD2	-1.41056356019463	1.38983026989899e-07	No	No
Q5TC79	ZBTB37	-1.60854268632045	0.0050772666879045	No	No
