Protein_Group	Genes	TP53_sg_#3_Tr_vs_TP53_sg_#3_logFC	TP53_sg_#3_Tr_vs_TP53_sg_#3_pval	Removed?	Contaminant?
Q16533	SNAPC1	-1.05014492744566	1.53713757290497e-05	No	No
Q16667	CDKN3	-1.97024078914361	1.43122679099354e-07	No	No
Q16763	UBE2S	-1.65597664024465	9.3980422122844e-09	No	No
Q2I0M4	LRRC26	-1.75814604766078	1.40962680435705e-06	No	No
Q2NKX8	ERCC6L	-1.12905077989523	8.56379170420209e-11	No	No
Q53EZ4	CEP55	-1.59759386015789	2.43931246129058e-08	No	No
Q53HL2	CDCA8	-1.92192152631566	4.33044100024488e-07	No	No
Q562F6	SGO2	-1.49826707131557	3.0374041699729e-10	No	No
Q56A73	SPIN4	-1.90926138476386	1.0960017650897601e-21	No	No
Q56NI9	ESCO2	-1.55660457458852	6.45821524325943e-05	No	No
Q5FBB7	SGO1	-1.7544319421809	2.5282328333313397e-12	No	No
Q5T6S3	PHF19	-1.88321364602205	9.1589326214747e-13	No	No
Q5T7B8	KIF24	-1.93395669448745	0.0007964450123457	No	No
Q5UIP0	RIF1	-1.20036683315266	1.78037485389816e-32	No	No
Q5XUX0	FBXO31	-1.00517553696118	0.009591463005031	No	No
Q68D06	SLFN13	-1.02569690408236	2.67677356478341e-06	No	No
Q69YH5	CDCA2	-1.5428567973868	4.50430569634533e-08	No	No
Q6IBW4	NCAPH2	-1.68483550898258	8.54162996186319e-26	No	No
Q6IE81	JADE1	-1.35087991376995	1.27498830048975e-13	No	No
Q6IPU0	CENPP	-1.59659442346402	7.23691510121353e-08	No	No
Q6IQ19	CCSAP	-1.08124844005703	0.0048981770048712	No	No
Q6P0N0	MIS18BP1	-1.51979032471146	6.2744222283977695e-12	No	No
Q6P4F7	ARHGAP11A	-1.44958313203551	2.47348617651154e-05	No	No
Q6PGN9	PSRC1	-1.62021615875012	1.14030704464564e-05	No	No
Q6PGQ7	BORA	-1.50637837947471	0.002611230385453	No	No
Q6PL18	ATAD2	-1.62228688736102	3.36057222432632e-24	No	No
Q6SJ93	FAM111B	-1.57280073598894	9.41566225746685e-06	No	No
Q6UVK1	CSPG4	-1.24407102358555	0.0002185746425222	No	No
Q6UWI4	SHISA2	-1.67064613866731	1.72376916551355e-10	No	No
Q6YHK3	CD109	-1.0393667001662	0.0092122959506707	No	No
Q6ZRQ5	MMS22L	-1.28785515428891	3.08194192708316e-14	No	No
Q71F23	CENPU	-1.41156494558959	3.3810131205061094e-11	No	No
Q7L266	ASRGL1	-1.52025621740172	0.0002623885549848	No	No
Q7L2K0	TEDC2	-1.13537642234795	0.0001251830663236	No	No
Q7L2Z9	CENPQ	-1.20790530434178	6.81695142082115e-07	No	No
Q7L590	MCM10	-1.51094374617267	4.26983574928855e-06	No	No
Q7Z7L1	SLFN11	-1.31328833861016	2.46508571289289e-14	No	No
Q86SX3	TEDC1	-1.14397657014918	1.45090998489509e-13	No	No
Q86T82	USP37	-1.56086724962721	1.2953616837861e-07	No	No
Q86UD0	SAPCD2	-1.16674909925396	1.33090713526496e-10	No	No
Q86VI3	IQGAP3	-2.37437204139414	2.4174544001795e-10	No	No
Q86W47	KCNMB4	-1.79799626986172	0.0004179488378343	No	No
Q86XI2	NCAPG2	-1.79498640408976	2.74230827597959e-23	No	No
Q86XJ1	GAS2L3	-1.53001629747178	6.21871725703183e-22	No	No
Q86XK3	SFR1	-1.24953193996153	5.79935008760781e-06	No	No
Q86Y91	KIF18B	-2.03357701316386	2.67710230676041e-11	No	No
Q86Y97	KMT5C	-1.42240444813869	1.188688926463e-17	No	No
Q8IVG5	SAMD9L	-1.40586967494066	0.0001606560217437	No	No
Q8IW93	ARHGEF19	-1.02208067840171	8.42906424349496e-08	No	No
Q8IX90	SKA3	-1.9126958262824	6.96430662294143e-08	No	No
Q8IYA6	CKAP2L	-2.38073253422328	2.97241142172372e-07	No	No
Q8IYT4	KATNAL2	-1.11526070989213	0.0049691006153324	No	No
Q8IYW5	RNF168	-1.90776381192224	1.11186746590138e-13	No	No
