Protein_Group	Genes	PTEN_sg_#3_Tr_vs_PTEN_sg_#3_logFC	PTEN_sg_#3_Tr_vs_PTEN_sg_#3_pval	Removed?	Contaminant?
P04637	TP53	-1.10651568111711	1.64326050731928e-20	No	No
P04818	TYMS	-1.57752479206646	0.0001239745766131	No	No
P0CG34;P0CG35	TMSB15A;TMSB15B	-1.06499829161527	0.000132584032642	No	No
P10589	NR2F1	-2.09176744780374	8.03555770300984e-15	No	No
P16104	H2AX	-1.1473292009638	0.006016334591065	No	No
P16401	H1-5	-1.0302972562753	3.8301562064927096e-28	No	No
P16403	H1-2	-1.18643183309637	1.20597158151203e-16	No	No
P16455	MGMT	-1.04198379667476	2.33310553699609e-19	No	No
P16949	STMN1	-1.00949861103604	3.19121975059256e-14	No	No
P20800	EDN2	-1.55453525540177	0.0007337119730709	No	No
P21731	TBXA2R	-2.89201841697977	9.30875579557309e-08	No	No
P23527	H2BC17	-1.34369184445266	0.0010168949694711	No	No
P26583	HMGB2	-1.23160879830198	9.22486355092558e-23	No	No
P30047	GCHFR	-1.28351168947163	6.95285455068515e-07	No	No
P31274	HOXC9	-1.98427374152526	2.5062419630201e-05	No	No
P31350	RRM2	-1.06745962857613	0.0044067092331768	No	No
P33316	DUT	-1.11588560206975	1.63282708593029e-10	No	No
P42575	CASP2	-1.11649127599874	6.21463089664333e-12	No	No
P48061	CXCL12	-1.12644023316228	1.13848008043938e-06	No	No
P48431	SOX2	-1.22422198376175	5.05379483242962e-10	No	No
P49366	DHPS	-1.10789010586613	6.35500780757864e-16	No	No
P50219	MNX1	-1.16356785868722	0.0003101869931818	No	No
P50579	METAP2	-1.09500996415406	5.705125788607171e-10	No	No
P51956	NEK3	-1.17799363711676	0.0013488494045103	No	No
P56270	MAZ	-1.11025675483551	1.78166016228077e-13	No	No
P57086	SCAND1	-1.0367366792592	0.0006192107444435	No	No
P59796	GPX6	-1.21360428251279	3.6313930849982e-05	No	No
P60484	PTEN	-2.51314536722543	1.87692057630353e-27	No	No
P61024	CKS1B	-1.14682839272599	2.27603204536406e-06	No	No
P78337	PITX1	-1.03104815799444	1.21869950085193e-09	No	No
P78549	NTHL1	-1.58718954422195	2.70123748535479e-10	No	No
Q01664	TFAP4	-2.49503640895632	3.94764667725698e-10	No	No
Q12815	TROAP	-1.0249188776566	0.0054405242467589	No	No
Q14807	KIF22	-1.16225712450245	3.75361938963848e-05	No	No
Q14CB8	ARHGAP19	-1.31233434598022	3.900889901773771e-09	No	No
