,parent,parentTerm,term,ES,NES,fdr,Gene %,Genes,description
71,GO:0000394,"RNA splicing, via endonucleolytic cleavage and ligation",GO:0000394,0.6817360269766696,1.4417639560131246,0.6243900371762471,0.30%,TSEN2,"GO_Biological_Process_2023__RNA Splicing, Via Endonucleolytic Cleavage And Ligation (GO:0000394)"
72,GO:0002699,positive regulation of immune effector process,GO:0002699,0.6939511890600993,1.513525944010737,0.6250222496913064,16.02%,TNFSF4;LGALS9;DHX58;DDX60;XBP1;CD46,GO_Biological_Process_2023__Positive Regulation Of Immune Effector Process (GO:0002699)
73,GO:0023056,positive regulation of signaling,GO:0023056,0.6428307963144664,1.5598058124187189,0.6279307958976145,13.91%,GATA3;CLSTN3;GRIK2;SYT1;GATA6;WLS;HOMER1,GO_Biological_Process_2023__Positive Regulation Of Signaling (GO:0023056)
74,GO:0019730,antimicrobial humoral response,GO:0019730,0.6461753821674685,1.5166464425539596,0.6308837569208838,8.24%,KRT6A;LTF;IGHA1;S100A7;S100A9;F3;LYZ;F2,GO_Biological_Process_2023__Antimicrobial Humoral Response (GO:0019730)
75,GO:0071407,cellular response to organic cyclic compound,GO:0071407,0.4650308273985025,1.4281481283107689,0.6354957367110288,7.31%,EGR1;NRIP1;TFPI;NKX3-1;CCL2;SPP1;STING1;P2RX4;ABCB4;ADCY3;INSIG1;SLC1A1;MEF2C,GO_Biological_Process_2023__Cellular Response To Organic Cyclic Compound (GO:0071407)
76,GO:0042552,myelination,GO:0042552,0.6295503138131279,1.5170111719680823,0.6363311524023767,3.44%,ADGRG6;B4GALT6;TNFRSF21,GO_Biological_Process_2023__Myelination (GO:0042552)
77,GO:0019369,arachidonic acid metabolic process,GO:0019369,0.6185048625162357,1.4258591452514704,0.6365913868360867,6.89%,PTGS2;MGLL;PNPLA8,GO_Biological_Process_2023__Arachidonic Acid Metabolic Process (GO:0019369)
78,GO:0034143,regulation of toll-like receptor 4 signaling pathway,GO:0034143,0.6549942518774674,1.4265868422138648,0.6375910642675227,2.43%,TNFAIP3;LTF,GO_Biological_Process_2023__Regulation Of Toll-Like Receptor 4 Signaling Pathway (GO:0034143)
79,GO:0051055,negative regulation of lipid biosynthetic process,GO:0051055,0.6502975546786874,1.5181580478488763,0.6383530358332633,4.82%,APOC3;TRIB3;ACADL;NR0B1,GO_Biological_Process_2023__Negative Regulation Of Lipid Biosynthetic Process (GO:0051055)
80,GO:0010837,regulation of keratinocyte proliferation,GO:0010837,0.633120721357865,1.4290642925156691,0.639928935380621,1.39%,TGM1;FGFR2;SNAI2,GO_Biological_Process_2023__Regulation Of Keratinocyte Proliferation (GO:0010837)
81,GO:0042059,negative regulation of epidermal growth factor receptor signaling pathway,GO:0042059,0.5992262299552745,1.429138381533961,0.6435125304123591,14.89%,SOCS5;SOCS6;GPRC5A;ERRFI1;RAB7A;ZGPAT,GO_Biological_Process_2023__Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042059)
82,GO:0032413,negative regulation of ion transmembrane transporter activity,GO:0032413,0.6488220353714498,1.4293773313798603,0.6467722868595129,3.05%,PRKCE;PCSK9,GO_Biological_Process_2023__Negative Regulation Of Ion Transmembrane Transporter Activity (GO:0032413)
83,GO:0140467,integrated stress response signaling,GO:0140467,0.5937338238313626,1.4217576672246135,0.6477334666567343,12.69%,FOS;CEBPB;FOSL1;JUNB;NFE2L2;NFE2L3;JUN;EIF2AK3;CREB3,GO_Biological_Process_2023__Integrated Stress Response Signaling (GO:0140467)
84,GO:0035924,cellular response to vascular endothelial growth factor stimulus,GO:0035924,0.6001370419132428,1.4166207986448298,0.6597091515015173,5.13%,SPRY2;KDR;VEGFA;SPHK1;FOXC1,GO_Biological_Process_2023__Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:0035924)
85,GO:0010830,regulation of myotube differentiation,GO:0010830,0.6398617202695155,1.4148252138285848,0.6623267580171096,15.67%,BHLHE41;HDAC5;MMP14;BDNF;XBP1;HDAC9,GO_Biological_Process_2023__Regulation Of Myotube Differentiation (GO:0010830)
86,GO:0009952,anterior/posterior pattern specification,GO:0009952,0.574319678464826,1.4075692692867374,0.6667426829347793,10.48%,BHLHE41;TGFBR1;BHLHE40;HOXB6;HOXB9;HOXB7;SKI;HOXB3,GO_Biological_Process_2023__Anterior/Posterior Pattern Specification (GO:0009952)
87,GO:0010464,regulation of mesenchymal cell proliferation,GO:0010464,0.6914490698739062,1.4079112771727078,0.6693362983453941,9.67%,FGFR2;PDGFA;WNT5A;MYC;TGFBR2,GO_Biological_Process_2023__Regulation Of Mesenchymal Cell Proliferation (GO:0010464)
88,GO:0001523,retinoid metabolic process,GO:0001523,0.6134990016774275,1.4055005688974065,0.6710043997073922,5.30%,LRAT;DHRS3;CYP27C1;RDH10;ALDH8A1,GO_Biological_Process_2023__Retinoid Metabolic Process (GO:0001523)
89,GO:0090050,positive regulation of cell migration involved in sprouting angiogenesis,GO:0090050,0.6023097335691946,1.350470132543828,0.6835712482770122,9.75%,PTGS2;KDR;VEGFA;JCAD;HMOX1;CIB1,GO_Biological_Process_2023__Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090050)
90,GO:0006744,ubiquinone biosynthetic process,GO:0006744,0.6539246341061504,1.3961235828234375,0.6842799441534031,22.72%,COQ4;COQ6;COQ5;COQ7;COQ3;PDSS1;UBIAD1,GO_Biological_Process_2023__Ubiquinone Biosynthetic Process (GO:0006744)
91,GO:0051928,positive regulation of calcium ion transport,GO:0051928,0.6411079222264328,1.3990124575087792,0.6846570850285778,8.16%,CCL2;STC1;P2RX4;ATP2B1;ORAI1,GO_Biological_Process_2023__Positive Regulation Of Calcium Ion Transport (GO:0051928)
92,GO:0045667,regulation of osteoblast differentiation,GO:0045667,0.4731324488336101,1.3508780427746423,0.6851368125846122,11.99%,WNT7B;FGFR2;SNAI2;NOG;LTF;TENT5A;NOCT;IL6ST;ACVR2A;RORB;MEF2C;FBXO5;SKI;DDR2;CCNA2,GO_Biological_Process_2023__Regulation Of Osteoblast Differentiation (GO:0045667)
93,GO:2000272,negative regulation of signaling receptor activity,GO:2000272,0.59415390053894,1.355067969843594,0.685161037884039,14.89%,SOCS5;SOCS6;GPRC5A;ERRFI1;SLC6A9;ZGPAT,GO_Biological_Process_2023__Negative Regulation Of Signaling Receptor Activity (GO:2000272)
94,GO:0043523,regulation of neuron apoptotic process,GO:0043523,0.4687198029292094,1.3567955185867513,0.6852803229823455,7.71%,EGR1;PTPRZ1;APOE;CCL2;PCSK9;IL27RA;IL6ST;CPEB4;MEF2C;LIG4,GO_Biological_Process_2023__Regulation Of Neuron Apoptotic Process (GO:0043523)
95,GO:0090382,phagosome maturation,GO:0090382,0.6261996168002127,1.3571781285395783,0.6869346093247756,22.84%,MREG;RAB20;SLC4A7;RAB7A;RAB43;PIKFYVE;MCOLN1,GO_Biological_Process_2023__Phagosome Maturation (GO:0090382)
96,GO:0010001,glial cell differentiation,GO:0010001,0.6143377069195876,1.3660269574720345,0.6891358883858926,0.86%,ADGRG6;PTPRZ1,GO_Biological_Process_2023__Glial Cell Differentiation (GO:0010001)
97,GO:0071621,granulocyte chemotaxis,GO:0071621,0.5674827714870808,1.351180290377216,0.6899615901958946,3.31%,KLF5;S100A8;CCL2;CCL26;S100A9,GO_Biological_Process_2023__Granulocyte Chemotaxis (GO:0071621)
98,GO:0007264,small GTPase mediated signal transduction,GO:0007264,0.4567470752205554,1.390541141687625,0.6906268585438208,6.23%,KSR1;RRAD;TIAM1;RASSF1;CNKSR2;RALGPS2;RGL1;PLK2,GO_Biological_Process_2023__Small GTPase Mediated Signal Transduction (GO:0007264)
99,GO:1902373,negative regulation of mRNA catabolic process,GO:1902373,0.5491030527861859,1.3664080519674182,0.690859433062735,3.56%,IREB2;TENT5A;NOCT,GO_Biological_Process_2023__Negative Regulation Of mRNA Catabolic Process (GO:1902373)
100,GO:0007249,canonical NF-kappaB signal transduction,GO:0007249,0.5134189328720251,1.341229592161936,0.6929750952070086,9.09%,RELB;IRAK2;TLR4;AZI2;NFKB2;BCL3,GO_Biological_Process_2023__I-kappaB kinase/NF-kappaB Signaling (GO:0007249)
101,GO:0044272,sulfur compound biosynthetic process,GO:0044272,0.5087987769646864,1.3908354897181932,0.6933843837665127,17.39%,ANGPT1;CHSY3;CHST11;CHST2;DSEL;CSGALNACT2;ST3GAL1;METTL16;UGDH;EXTL3;EXT1;CHPF;CDO1,GO_Biological_Process_2023__Sulfur Compound Biosynthetic Process (GO:0044272)
102,GO:0031065,positive regulation of histone deacetylation,GO:0031065,0.6298904707007897,1.3416081890865266,0.6973486740087296,17.24%,VEGFA;SIRT1;ING2;PRKD2,GO_Biological_Process_2023__Positive Regulation Of Histone Deacetylation (GO:0031065)
103,GO:0090314,positive regulation of protein targeting to membrane,GO:0090314,0.6052959514484858,1.3771132813678624,0.6981533025100256,9.75%,CEMIP;ANK3;MIEF2;FYN;CIB1,GO_Biological_Process_2023__Positive Regulation Of Protein Targeting To Membrane (GO:0090314)
104,GO:0048705,skeletal system morphogenesis,GO:0048705,0.5322356680966108,1.334885947184259,0.70099227358458,10.48%,FGFR2;TGFBR1;LTF;SFRP4;RAB33B;HOXB9;SKI;HOXB3,GO_Biological_Process_2023__Skeletal System Morphogenesis (GO:0048705)
105,GO:0050922,negative regulation of chemotaxis,GO:0050922,-0.7413660494931591,-1.7272414255762347,0.7012742470634068,6.88%,SEMA6B;ROBO1;SEMA3B;NRG1;THBS1;SEMA4C;SEMA3C;SEMA4D,GO_Biological_Process_2023__Negative Regulation Of Chemotaxis (GO:0050922)
106,GO:0120035,regulation of plasma membrane bounded cell projection organization,GO:0120035,0.594950127966658,1.3259348872040595,0.7022487321784033,23.59%,NTNG1;NDEL1;NCS1;HOMER1;PSEN1;GSK3B,GO_Biological_Process_2023__Regulation Of Plasma Membrane Bounded Cell Projection Organization (GO:0120035)
