Protein_Group	Genes	T47D_B_Non Treated_vs_T47D _Non Treated_logFC	T47D_B_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
Q92597	NDRG1	2.32159105409986	5.86068231911328e-29	No	No
Q92985	IRF7	1.64885233708606	9.07418030792177e-07	No	No
Q93084	ATP2A3	1.0786089372367	7.622531277482599e-29	No	No
Q93099	HGD	1.19798041117372	0.0012886655007738	No	No
Q969L2	MAL2	1.01049950495316	9.688906208432431e-15	No	No
Q96B97	SH3KBP1	1.3795225495274	3.24614076311138e-05	No	No
Q96DN0	ERP27	1.75531414492584	2.02919627430816e-05	No	No
Q96EM0	L3HYPDH	1.11603201248342	1.98715688289886e-10	No	No
Q96FS4	SIPA1	1.59150785695296	6.03242523947338e-24	No	No
Q96GY0	ZC2HC1A	4.57148328400357	2.40250846310011e-37	No	No
Q96NY7	CLIC6	1.65139460466606	7.35749412790918e-16	No	No
Q96RK1	CITED4	1.01472921032933	4.58322213593067e-06	No	No
Q99489	DDO	1.4821713678034	7.03052364064416e-08	No	No
Q99608	NDN	3.74086610636925	3.31638563171638e-16	No	No
Q99856	ARID3A	1.09300869885506	1.5911831575179901e-15	No	No
Q9BW04	SARG	1.74366569153897	4.00984647557451e-09	No	No
Q9BX66	SORBS1	1.72138954284693	3.0403633051013503e-21	No	No
Q9BY50	SEC11C	1.48220159639646	1.11016326697896e-22	No	No
Q9BYB4	GNB1L	1.26207926652972	4.705427215977499e-19	No	No
Q9BYK8	HELZ2	1.15366853061006	4.86754298010009e-26	No	No
Q9BYX4	IFIH1	1.10576574748616	1.12371748479131e-21	No	No
Q9BZD2	SLC29A3	1.35133941179045	2.2146806756999e-05	No	No
Q9H257	CARD9	1.56537043967517	8.9564499532583e-08	No	No
Q9H3M7	TXNIP	1.14160655648153	9.41195633608367e-10	No	No
Q9H568	ACTL8	3.49449591274388	4.08779681223554e-20	No	No
Q9H7S9	ZNF703	1.47278677409563	2.43970080369637e-18	No	No
Q9H9K5	ERVMER34-1	1.78473729126745	2.51165951747172e-06	No	No
Q9HB58	SP110	1.08741070770651	6.51207398941953e-16	No	No
Q9NQ11	ATP13A2	1.02942088282745	5.85213560406531e-22	No	No
Q9NQ36	SCUBE2	2.29628849491778	7.07961878090829e-25	No	No
Q9NRN5	OLFML3	4.72334485363549	3.6192295016211e-53	No	No
Q9NRZ5	AGPAT4	1.5946585805902	1.00267684555009e-12	No	No
Q9NXC2	GFOD1	1.3671805923448	1.00092329258271e-09	No	No
Q9UGT4	SUSD2	1.59929372946615	1.2396739373533401e-19	No	No
Q9UHE8	STEAP1	3.78541145426612	2.97364759794967e-23	No	No
Q9UII4	HERC5	2.10502968199483	2.52035383925191e-12	No	No
Q9UMW8	USP18	2.62450133517005	3.87283348484818e-12	No	No
Q9UPW6	SATB2	1.27912346231887	0.0007191726878606	No	No
Q9UQC2	GAB2	1.13680141335485	2.4305418486539498e-18	No	No
Q9UQV4	LAMP3	2.80292841745322	1.0385337836928e-18	No	No
Q9Y2X9	ZNF281	1.03127146510801	2.99710929874085e-26	No	No
Q9Y3A0	COQ4	1.05182308705366	4.95745909730886e-10	No	No
Q9Y4H4	GPSM3	1.47523635838773	0.0010868492311922	No	No
Q9Y6K5	OAS3	1.21056878007173	2.0374623015483897e-36	No	No
Q9Y6M1	IGF2BP2	2.74133333923858	4.27024794141263e-45	No	No
A0A087WUL8	NBPF19	-1.74304647139524	1.46971331097299e-20	No	No
A0A1B0GV96	LOC105371267	-1.2430934429125	8.60891229880787e-07	No	No
A1A4S6	ARHGAP10	-1.35318986874502	6.412064352784019e-11	No	No
A2RU49	HYKK	-1.32132683563206	1.04705967509616e-12	No	No
A2RUS2	DENND3	-1.49440056592897	2.09135528150446e-08	No	No
A4D1S5	RAB19	-1.63443130403095	5.08283990068731e-29	No	No
A6NC05	C5orf63	-1.76262595365374	2.66211298509733e-05	No	No
B0YJ81	HACD1	-1.69425658725767	5.81153124169333e-09	No	No
C9JA33	PALM2AKAP2	-1.28302077265072	8.07130737256189e-27	No	No
O00192	ARVCF	-1.0004502965854	7.09636418832261e-18	No	No
O14810	CPLX1	-1.24734554668442	0.002485464026292	No	No
O14975	SLC27A2	-1.65829461344539	2.4786848544473302e-09	No	No
O15021	MAST4	-1.07695205362066	4.60042971307035e-07	No	No
O15327	INPP4B	-1.25490101327187	1.6192521145397098e-30	No	No
O15488	GYG2	-1.1321847685451	4.94126694420146e-05	No	No
O43556	SGCE	-1.90143614555488	4.81457071944843e-12	No	No
O60268	KIAA0513	-1.45580323928962	1.9985696922148001e-25	No	No
O60343	TBC1D4	-1.13907169923663	8.236064380458041e-25	No	No
O60879	DIAPH2	-1.7235987338099	2.19249161136519e-06	No	No
