Protein_Group	Genes	cMyc_OE_5_Non Treated_vs_T47D _Non Treated_logFC	cMyc_OE_5_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
P25815	S100P	-1.6655588186918	2.70326249647734e-18	No	No
P25942	CD40	-2.38472881923905	2.49681213257568e-16	No	No
P26447	S100A4	-1.14041823956715	4.3534306824931697e-13	No	No
P26992	CNTFR	-1.22766011602087	0.0018053881275263	No	No
P28289	TMOD1	-1.06875005103402	3.0660649785182495e-11	No	No
P28799	GRN	-1.0621890208472	5.84120259441431e-27	No	No
P29728	OAS2	-3.27076154916643	7.97399476177345e-18	No	No
P29762	CRABP1	-1.36254048967344	4.36418294603274e-12	No	No
P30740	SERPINB1	-1.047660427865	1.96223291294119e-27	No	No
P31323	PRKAR2B	-1.04888462643734	1.34658066883786e-12	No	No
P31641	SLC6A6	-1.02825527654205	2.1813486778050997e-12	No	No
P32004	L1CAM	-1.4800591252612	1.6842969031163998e-31	No	No
P35080	PFN2	-1.79939201469168	1.53598504682708e-24	No	No
P35408	PTGER4	-1.57178635981405	3.07315231804265e-06	No	No
P35568	IRS1	-2.57546549736245	6.44011564143713e-32	No	No
P35611	ADD1	-1.47158090459997	4.55596929647071e-41	No	No
P35754	GLRX	-1.21586254688185	4.36667822575914e-14	No	No
P36269	GGT5	-2.08952372629097	9.63186019544905e-09	No	No
P38936	CDKN1A	-1.17852117047715	4.409635637618621e-09	No	No
P39060	COL18A1	-1.36499632573355	2.91324786055689e-15	No	No
P40189	IL6ST	-1.07991164876624	2.1139743552275403e-25	No	No
P41002	CCNF	-1.0825027086306	0.0010076539601511	No	No
P42685	FRK	-1.34925973318234	3.4858994151213202e-09	No	No
P42785	PRCP	-1.4045482671504	6.370165864731169e-29	No	No
P43005	SLC1A1	-1.73925261198134	1.70267768588771e-07	No	No
P43121	MCAM	-2.89967188416558	1.41249663311578e-26	No	No
P43353	ALDH3B1	-2.16223423878346	7.28371635874805e-35	No	No
P43355	MAGEA1	-4.12954987421383	4.03856001227085e-19	No	No
P46821	MAP1B	-2.27663424064462	6.27163974658238e-21	No	No
P49326	FMO5	-1.72960077564342	1.1322323825257299e-11	No	No
P49418	AMPH	-1.98296129052095	2.02760766473869e-07	No	No
P49902	NT5C2	-1.14377039221882	4.22057500118186e-27	No	No
P50226	SULT1A2	-1.40588953871317	4.85334898041065e-15	No	No
P51178	PLCD1	-1.12244260339114	3.7973396852866e-15	No	No
P51606	RENBP	-1.28787870328127	0.0008374537479074	No	No
P52803	EFNA5	-1.48502836466312	3.18258145616913e-08	No	No
P54108	CRISP3	-2.36289812259848	2.2384192936200097e-12	No	No
P54764	EPHA4	-1.39680629004533	1.3724994861937e-16	No	No
P54852	EMP3	-1.27821876251405	5.93030454316491e-06	No	No
P54868	HMGCS2	-1.74588256097709	2.14308675860749e-27	No	No
P54922	ADPRH	-1.66235870913225	9.696372476452561e-17	No	No
P55771	PAX9	-1.40796574803718	8.43023090036728e-05	No	No
P55899	FCGRT	-1.38485107482377	6.55801243573909e-17	No	No
P57052	RBM11	-1.32197585044115	0.002893982236129	No	No
P61764	STXBP1	-1.02482054575731	1.83093946430732e-15	No	No
P68106	FKBP1B	-1.03584411257959	0.0056672991687524	No	No
P78357	CNTNAP1	-2.05248248490154	1.53084545449874e-24	No	No
