Protein_Group	Genes	NF1_sg_1.1_2_Non Treated_vs_EV_Blast  _Non Treated_logFC	NF1_sg_1.1_2_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
Q6PJG9	LRFN4	-1.0288332611719	5.91239687944165e-05	No	No
Q6QHC5	DEGS2	-2.11210002409275	6.94601305459693e-24	No	No
Q6UWI4	SHISA2	-2.66769040030102	1.3031631533558599e-18	No	No
Q6UX71	PLXDC2	-2.13467933369726	2.7498861984367e-19	No	No
Q6UXI9	NPNT	-1.75078878919778	6.62413156432774e-09	No	No
Q6X9E4	FBXW12	-1.49954246507928	0.0013756519181489	No	No
Q6ZNL6	FGD5	-8.9670854159695	2.8681887710019696e-40	No	No
Q6ZUT6	CCDC9B	-1.25268256100738	1.37705170359279e-06	No	No
Q6ZUX7	LHFPL2	-1.44489163678849	0.0022128523010747	No	No
Q6ZW31	SYDE1	-1.30023722216356	0.000714067628029	No	No
Q7L0X0	TRIL	-1.30724445432272	3.3261727331045503e-15	No	No
Q7L5L3	GDPD3	-1.24731863810874	1.1063826248199401e-14	No	No
Q86SJ2	AMIGO2	-1.17918050917138	2.31997933559551e-05	No	No
Q86UK0	ABCA12	-2.47309903074487	6.34681450236616e-28	No	No
Q86UN2	RTN4RL1	-1.04599892046645	0.0078418590785018	No	No
Q86VV4	RANBP3L	-2.64996715562732	4.70588832616183e-12	No	No
Q86WV6	STING1	-1.76279626739905	1.1593925874846e-07	No	No
Q86Y38	XYLT1	-1.60088236216304	4.39948363241923e-06	No	No
Q86YD5	LDLRAD3	-1.9184925914304	0.0001798148189732	No	No
Q8IVL6	P3H3	-1.4716307333614	5.05126656005138e-21	No	No
Q8IWY4	SCUBE1	-2.04521602524018	4.79411993684619e-05	No	No
Q8N1Y9		-2.50896442144114	2.42998412973742e-09	No	No
Q8N2H9	PELI3	-1.12706827987165	0.0002962542274365	No	No
Q8NCW0	KREMEN2	-1.59533421031258	4.8549861949593e-15	No	No
Q8NDZ4	DIPK2A	-1.09904926842592	6.00133222163843e-29	No	No
