Protein_Group	Genes	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
O95994	AGR2	-1.49149420565919	2.6708303578404297e-34	No	No
P00367	GLUD1	-1.13004045031519	8.313988951342391e-35	No	No
P00966	ASS1	-1.14072967004126	1.7060060874782998e-34	No	No
P01033	TIMP1	-2.05320017705256	1.6959217187428e-11	No	No
P01034	CST3	-1.19064669507	3.6194667481115597e-16	No	No
P01911	HLA-DRB1	-1.49798674885349	1.26297104648385e-13	No	No
P01920	HLA-DQB1	-2.21407263269654	2.17372850947408e-09	No	No
P02511	CRYAB	-2.807352215947	8.41964512502066e-32	No	No
P02795	MT2A	-1.14963551584307	0.0041568505065341	No	No
P04083	ANXA1	-2.92578400682477	4.44867841931541e-33	No	No
P04155	TFF1	-1.60590666954951	6.80617454759667e-07	No	No
P04233	CD74	-1.17418659895817	2.23695066682103e-07	No	No
P04798	CYP1A1	-2.06766377536702	1.15453395067231e-06	No	No
P05091	ALDH2	-1.32689783613313	3.11277200787331e-25	No	No
P05362	ICAM1	-2.17865336422239	2.84549336032895e-17	No	No
P05981	HPN	-1.75172779548621	1.07924048278263e-12	No	No
P06276	BCHE	-1.65409886035669	4.71189349714699e-05	No	No
P06401	PGR	-1.27202053945782	8.312030144976449e-30	No	No
P07099	EPHX1	-1.38819073724381	8.78783940918912e-39	No	No
P07711	CTSL	-1.05220274977221	1.27969613218877e-07	No	No
P07948	LYN	-1.22434096554532	2.01608357658927e-17	No	No
P07996	THBS1	-1.28265504308274	4.09782338687446e-39	No	No
P08582	MELTF	-1.96537311885584	4.859219343494311e-09	No	No
P08648	ITGA5	-1.43466713628503	3.06554099681345e-23	No	No
P08842	STS	-1.24190959166434	8.63989021662425e-10	No	No
P0DMM9;P0DMN0	SULT1A3;SULT1A4	-2.14624194682538	1.8976182029683e-13	No	No
P10636	MAPT	-2.31576353816015	2.13011860686282e-37	No	No
P12109	COL6A1	-1.2418100464181	1.54758899391936e-05	No	No
P12273	PIP	-2.06946161061247	6.056015523877761e-25	No	No
P13284	IFI30	-2.01038552920787	2.38616303965509e-20	No	No
P14543	NID1	-1.86445285939742	8.79892223133674e-06	No	No
P15153	RAC2	-2.72647874842855	4.13995899901426e-32	No	No
P15328	FOLR1	-3.03241126525689	2.1876755973216298e-40	No	No
P15408	FOSL2	-1.79680916565412	5.3803542101330705e-09	No	No
P15509	CSF2RA	-1.28627242547309	1.83101895606278e-06	No	No
P16035	TIMP2	-1.21135798635536	8.566516495280369e-12	No	No
P16070	CD44	-3.77460630476527	1.1470977667885599e-29	No	No
P16219	ACADS	-2.87302929960076	3.1848952948566296e-33	No	No
P17302	GJA1	-2.32468211003282	1.27337109426405e-26	No	No
P17600	SYN1	-1.78201002968974	1.32563176680994e-21	No	No
P17813	ENG	-2.22420995688996	5.08338230349438e-27	No	No
P19544	WT1	-1.59688201867065	9.63068007827406e-13	No	No
P20591	MX1	-1.25091013845889	4.52396614059858e-12	No	No
P21583	KITLG	-1.41800009906765	4.31927963616495e-17	No	No
P21695	GPD1	-1.21673230032851	2.4110921975127202e-17	No	No
P21926	CD9	-1.5809656042141	4.1362292070310394e-30	No	No
P22692	IGFBP4	-1.43837179293443	1.0480154481309199e-18	No	No
P23297	S100A1	-1.05353325480627	9.64582368135184e-08	No	No
P25311	AZGP1	-1.48733325718928	4.43098944720458e-28	No	No
P25942	CD40	-1.55080029253311	2.02866472479777e-10	No	No
P26447	S100A4	-1.39129215707807	5.68010207348938e-16	No	No
P29728	OAS2	-2.62319729088211	1.8789510089340802e-14	No	No
P30837	ALDH1B1	-1.40585967992478	1.4879334554903798e-26	No	No
P32004	L1CAM	-1.3178785604812	2.4983991348366e-29	No	No
P35568	IRS1	-3.32572693372897	8.6897746511516e-37	No	No
P36269	GGT5	-1.62148064975179	2.09529571643784e-06	No	No
P36575	ARR3	-1.54391051275327	3.2888441746713604e-09	No	No
P36969	GPX4	-1.14497858045721	2.62443659505606e-22	No	No
P38936	CDKN1A	-1.53126635723239	3.2120500829386097e-12	No	No
P39060	COL18A1	-1.72719929112793	5.89047829232399e-19	No	No
P41271	NBL1	-1.51327838726801	4.22460767185216e-08	No	No
P42685	FRK	-2.18789354592232	1.75349961863768e-15	No	No
P42785	PRCP	-1.61089539054039	1.7498373390759802e-31	No	No
P43121	MCAM	-1.42213950626235	1.11393227388469e-14	No	No
P43353	ALDH3B1	-1.31246639037959	1.47880796873415e-25	No	No
P45844	ABCG1	-1.36938473282969	4.82109041805674e-05	No	No
P48066	SLC6A11	-2.66393812971041	3.53326326238016e-06	No	No
P49407	ARRB1	-1.42712633770596	4.9002485732122e-35	No	No
P50226	SULT1A2	-1.13591551814113	4.59980134299276e-12	No	No
P50461	CSRP3	-1.47385702365829	0.0041851039539327	No	No
P51648	ALDH3A2	-1.02007491463032	1.07885756105761e-26	No	No
P52566	ARHGDIB	-1.44229073514757	4.53315092448749e-22	No	No
P52735	VAV2	-1.91322214209298	8.14356238874235e-38	No	No
P52823	STC1	-1.89189368216579	9.46141223014692e-06	No	No
P53634	CTSC	-1.63717186171174	3.7761380255515697e-29	No	No
P53985	SLC16A1	-1.59712159559522	7.305970443378389e-12	No	No
P54108	CRISP3	-1.40578574036995	9.84245798568602e-07	No	No
P54922	ADPRH	-1.20314322728173	4.36261197979094e-12	No	No
P55808	XG	-1.13476088749681	1.4178899844833499e-11	No	No
P56159	GFRA1	-1.38329552039983	7.87764126176917e-05	No	No
P60484	PTEN	-4.17258442434525	8.53688595798732e-07	No	No
P60606	CTXN1	-1.33395869996974	0.0004308299757003	No	No
P61764	STXBP1	-1.65241562924952	2.55985561850881e-23	No	No
P63096	GNAI1	-2.40694473161558	1.14038825867127e-24	No	No
P69905	HBA2	-1.29968485402344	0.0002334696081505	No	No
P78357	CNTNAP1	-1.13092535859896	9.85984394636792e-15	No	No
P80365	HSD11B2	-1.70937327503	4.6924143260896704e-17	No	No
P98160	HSPG2	-1.09155639848844	3.57568076495689e-10	No	No
Q01201	RELB	-1.0413994824874	0.000295989292574	No	No
Q07002	CDK18	-1.13774423425497	3.8416569436142803e-19	No	No
