Protein_Group	Genes	T47D_C_Non Treated_vs_T47D _Non Treated_logFC	T47D_C_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
Q5JTZ5	C9orf152	-1.79353881519458	4.46997164846856e-13	No	No
Q5JVL4	EFHC1	-1.53395511325802	5.29142730979827e-05	No	No
Q5SRE7	PHYHD1	-3.58121792327416	2.19980575104276e-19	No	No
Q5T011	SZT2	-1.14682539968247	8.2193533736466e-20	No	No
Q5T2W1	PDZK1	-3.9488355683588	4.2994782854531995e-49	No	No
Q5T481	RBM20	-2.47126746106623	5.2322353260987e-12	No	No
Q5T6V5	C9orf64	-1.36978544990487	3.14136358453901e-26	No	No
Q5T7M9	DIPK1A	-1.03045166176726	0.0096162931533067	No	No
Q5T7W7	TSTD2	-1.66178851855271	1.9190724242349e-06	No	No
Q5XKK7	FAM219B	-1.34200391307083	1.96558721860473e-17	No	No
Q68CR1	SEL1L3	-1.96390602529904	0.0014822166927186	No	No
Q68D91	MBLAC2	-1.2027887180894	2.86018575202719e-26	No	No
Q6IQ21	ZNF770	-1.24993597878569	1.12199333255859e-11	No	No
Q6NT16	SLC18B1	-1.20254288854472	1.3090236018834399e-11	No	No
Q6NT55	CYP4F22	-1.89433622046004	4.20858767115389e-05	No	No
Q6NV74	CRACDL	-1.2744046192847	4.26671838441743e-28	No	No
Q6NVU6	UFSP1	-1.28350618359551	0.0076796475199224	No	No
Q6P4A8	PLBD1	-1.90048896813112	8.27376921519811e-20	No	No
Q6PCB6	ABHD17C	-1.11175554393459	4.7870020059479406e-09	No	No
Q6UVK1	CSPG4	-1.42050074101845	1.27617291845217e-05	No	No
Q6UWH4	GASK1B	-1.39591575018613	0.0005817998730291	No	No
Q6UX71	PLXDC2	-2.51355000832218	4.70355331476725e-22	No	No
Q6WRX3	ZYG11A	-1.23417824309943	0.0053960480927595	No	No
Q6YHK3	CD109	-1.21391988541042	8.09209825254147e-07	No	No
Q6ZNL6	FGD5	-3.21716689076919	3.0398733078041903e-21	No	No
Q6ZUX7	LHFPL2	-1.38028626210133	0.0033274156058297	No	No
Q709C8	VPS13C	-1.01666554257537	4.44441523135597e-33	No	No
Q70J99	UNC13D	-1.18054082819333	1.13530620903125e-34	No	No
Q71U36	TUBA1A	-1.45040346052796	2.62964491941403e-05	No	No
Q7Z3B0	SMIM15	-2.1556812579618	0.0021693424166795	No	No
Q7Z402	TMC7	-1.02399886612371	0.0081699829767892	No	No
Q7Z699	SPRED1	-1.52961266965152	0.0015339036280479	No	No
Q7Z7K6	CENPV	-1.60854917656129	6.55362090204692e-08	No	No
Q7Z7L1	SLFN11	-1.06834391722735	1.26659759356562e-18	No	No
Q7Z7M9	GALNT5	-1.05762626023621	9.19322552237596e-05	No	No
Q86SQ0	PHLDB2	-1.17683626948743	2.3730463995841797e-11	No	No
Q86SR1	GALNT10	-1.17349645063628	4.89646143728209e-27	No	No
Q86TG7	PEG10	-1.67617652478586	3.3389159485944897e-29	No	No
Q86WG3	ATCAY	-1.10943054065567	3.03675416860176e-05	No	No
Q86WV6	STING1	-1.61246973723745	7.28768275939775e-07	No	No
Q8IU85	CAMK1D	-1.04602062434667	4.9503866002584797e-11	No	No
Q8IUX4	APOBEC3F	-1.00202633462516	7.36644255370931e-08	No	No
