Protein_Group	Genes	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast  _Non Treated_logFC	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
Q13636	RAB31	-2.33508395178977	2.70069554671888e-17	No	No
Q13671	RIN1	-2.05363462831323	2.47958085242847e-23	No	No
Q13796	SHROOM2	-1.01407120143665	2.97676791046022e-34	No	No
Q14749	GNMT	-1.01739880852787	9.2131300057e-14	No	No
Q14802	FXYD3	-1.69773608929657	2.09352741311698e-17	No	No
Q15111	PLCL1	-1.22724367277147	0.0001629992894639	No	No
Q15742	NAB2	-1.40400694521924	3.20647204275699e-27	No	No
Q15847	ADIRF	-1.66223735065956	2.82996562499052e-06	No	No
Q16143	SNCB	-1.954445921037	4.6755251653001604e-09	No	No
Q16553	LY6E	-1.93445908447164	7.59134993920891e-13	No	No
Q16555	DPYSL2	-2.6101473926205	1.53671378370915e-39	No	No
Q16658	FSCN1	-1.61660874023218	6.326055244136209e-28	No	No
Q18PE1	DOK7	-3.28248345685109	7.15079001718073e-23	No	No
Q2M3G4	SHROOM1	-1.35852991473631	4.98249105304212e-07	No	No
Q30154	HLA-DRB5	-1.20873171215453	4.94969055318702e-05	No	No
Q32M88	PGGHG	-1.22242832167104	4.29072552561941e-07	No	No
Q3MIP1	ITPRIPL2	-1.75085633737502	1.2904288084586502e-15	No	No
Q53FZ2	ACSM3	-2.62319494068643	1.8476522288886398e-11	No	No
Q53GA4	PHLDA2	-1.33027788095857	9.636990931813531e-09	No	No
Q53LP3	SOWAHC	-1.1122619629721	9.89561000097903e-27	No	No
Q58DX5	NAALADL2	-2.19864310291258	2.63744576631535e-18	No	No
Q5SRE7	PHYHD1	-2.52924556516938	5.31877571611218e-14	No	No
Q5T2W1	PDZK1	-3.16679227157135	8.93451697508502e-45	No	No
Q5T848	GPR158	-1.64784315116979	1.17206398635123e-08	No	No
Q5T8I3	FAM102B	-1.59326846247259	1.09964568640026e-05	No	No
Q5U3C3	TMEM164	-1.64083011009465	1.00269398008969e-16	No	No
Q5VT66	MTARC1	-1.23381559213728	8.16713433443866e-29	No	No
Q5VWC8	HACD4	-1.11835103059031	1.13428064560149e-06	No	No
Q5VWT5	FYB2	-1.30106515164459	3.76761818763044e-05	No	No
Q68BL7	OLFML2A	-1.11188719056019	6.46047700079078e-05	No	No
Q68CR1	SEL1L3	-1.75464569735033	0.0041048367957637	No	No
Q6BCY4	CYB5R2	-1.50325782011958	1.6071300512807901e-21	No	No
Q6F5E8	CARMIL2	-1.29118265160524	5.17041956675978e-08	No	No
Q6JQN1	ACAD10	-1.18375946870065	4.09602893116717e-30	No	No
