Protein_Group	Genes	PTEN_sg_1.1_3_250nM Palbo_vs_PTEN_sg_1.1_3_Non Treated_logFC	PTEN_sg_1.1_3_250nM Palbo_vs_PTEN_sg_1.1_3_Non Treated_pval	Removed?	Contaminant?
P16402	H1-3	-1.23380314864224	1.95667003016201e-20	No	No
P16403	H1-2	-1.49541530536001	4.93214581325353e-13	No	No
P16455	MGMT	-1.04737201390446	6.137947340971699e-23	No	No
P16949	STMN1	-1.04755819684284	1.06708378086124e-18	No	No
P17707	AMD1	-1.01947360269851	0.0023816465843857	No	No
P26038	MSN	-1.36465446450242	0.0098745201969905	No	No
P30047	GCHFR	-1.17494668088598	8.198409903114e-12	No	No
P30305	CDC25B	-1.01677381716574	1.60897635014502e-05	No	No
P30532	CHRNA5	-1.04095038567364	0.0032233353979788	No	No
P31350	RRM2	-1.19238046713427	1.9365607806905002e-26	No	No
P33316	DUT	-1.17862014903567	7.95395535198292e-29	No	No
P42575	CASP2	-1.1251775049929	4.29223894424037e-21	No	No
P48539	PCP4	-1.21387956979681	2.58621449775727e-06	No	No
P49366	DHPS	-1.06582375970437	1.9829060085351798e-22	No	No
P50219	MNX1	-1.05408746422012	6.81152836060924e-08	No	No
P50579	METAP2	-1.13498476876753	7.010909093043101e-26	No	No
P56270	MAZ	-1.08079449249373	2.10034922432494e-12	No	No
P58753	TIRAP	-1.13069997546783	0.0039309735087025	No	No
P59796	GPX6	-1.10250356449377	0.0001415793925903	No	No
P62807	H2BC10	-1.05999488230419	3.85507865685819e-12	No	No
P78549	NTHL1	-1.63577278919514	3.46802962454012e-17	No	No
Q01664	TFAP4	-2.38840415330487	1.2275013148310801e-09	No	No
Q02952	AKAP12	-1.20834203066155	0.000153679478723	No	No
Q03113	GNA12	-1.02756164982319	0.0068845655311665	No	No
Q12815	TROAP	-1.19497978480415	1.41405083131921e-08	No	No
Q13103	SPP2	-1.46508261271089	0.0098504279707021	No	No
Q14807	KIF22	-1.26593893959548	1.90743382770762e-22	No	No
Q14CB8	ARHGAP19	-1.32790702384946	4.17066198741254e-10	No	No
Q15004	PCLAF	-1.79018787405748	2.45360159400982e-17	No	No
Q15053	KIAA0040	-1.05039142177706	9.07803767325836e-05	No	No
Q15072	ZNF146	-1.01639155360352	0.0016589966110657	No	No
Q15583	TGIF1	-2.30002719680789	4.00660909160484e-09	No	No
Q15742	NAB2	-1.11890975540317	3.82813555106034e-23	No	No
Q16385	SSX2B	-1.68548881372827	0.0001613776524969	No	No
Q53FA7	TP53I3	-1.15283269080842	1.91887479138984e-32	No	No
Q56A73	SPIN4	-1.10384436864281	7.18978573539954e-11	No	No
Q5JPI9	EEF1AKMT2	-1.28322754107749	1.2091478940796499e-11	No	No
