Protein_Group	Genes	EV_Blast__250nM Palbo_set2_vs_EV_Blast__Non Treated_set2_logFC	EV_Blast__250nM Palbo_set2_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
A8MPP1	DDX11L8	-1.54501012273838	4.8804569865819006e-15	No	No
A8MT69	CENPX	-1.84078094566009	1.23503311199999e-18	No	No
B3KNS4	ERVK3-1	-1.11991885111973	1.50257356376748e-08	No	No
O00311	CDC7	-1.70492392821874	1.93584245091429e-12	No	No
O00458	IFRD1	-1.12154694781802	0.0005813827659603	No	No
O00762	UBE2C	-3.20110372165366	1.2487115350797799e-36	No	No
O14578	CIT	-2.13107191384071	3.6637766252106596e-42	No	No
O14732	IMPA2	-1.31664058260668	1.45619130283218e-18	No	No
O14757	CHEK1	-2.10402909565282	2.19233798567657e-33	No	No
O14777	NDC80	-3.16079344526832	3.83120163563743e-40	No	No
O14965	AURKA	-2.80331386777703	2.09360570858315e-38	No	No
O14975	SLC27A2	-1.37634276654821	1.86635744473345e-07	No	No
O15162	PLSCR1	-1.03852018308058	3.75733512027075e-12	No	No
O15287	FANCG	-1.75753455169797	7.876877442243581e-15	No	No
O15304	SIVA1	-1.43122773054908	5.4732473046754604e-09	No	No
O15315	RAD51B	-1.09248187395906	1.63625033256517e-06	No	No
O15350	TP73	-1.65837290323073	1.5285325029076101e-15	No	No
O15360	FANCA	-2.18982364094595	7.33393229433593e-13	No	No
O15370	SOX12	-1.09715377712584	0.0076546787276822	No	No
O15392	BIRC5	-3.87744278987337	6.16620272248334e-20	No	No
O15527	OGG1	-1.09940372237812	1.20746907935786e-08	No	No
O43379	WDR62	-2.64399995355922	4.5124225193946e-27	No	No
O43463	SUV39H1	-2.08392513790104	2.5014027499745e-19	No	No
O43482	OIP5	-1.53896397006774	1.43821623050363e-19	No	No
O43502	RAD51C	-1.40949612418091	1.8189614637958e-16	No	No
O43542	XRCC3	-1.56321746761247	8.26160777665549e-12	No	No
O43663	PRC1	-3.15891508326622	3.97780447769131e-38	No	No
O43683	BUB1	-2.20318848888885	5.98336248432452e-27	No	No
O60266	ADCY3	-1.49029492911487	1.60514877994346e-06	No	No
O60427	FADS1	-1.31401519809824	4.2615485033025904e-17	No	No
O60566	BUB1B	-1.02987827606712	2.3349699337654302e-24	No	No
O75330	HMMR	-2.96878960652746	3.07229161242881e-29	No	No
O75419	CDC45	-2.61864953455791	1.23289124763829e-30	No	No
O75446	SAP30	-1.2387266427471	8.42377198416878e-18	No	No
O75452	RDH16	-1.11451345886734	1.05161069946133e-10	No	No
O75461	E2F6	-1.36005882242462	2.15165262725397e-06	No	No
O75462	CRLF1	-1.91068322393052	7.39014112644877e-07	No	No
O75475	PSIP1	-1.060426179417	6.81431485913819e-27	No	No
O75496	GMNN	-3.35202612869607	4.32818879982758e-19	No	No
O75717	WDHD1	-1.64802164524907	2.5492845460491497e-42	No	No
O75764	TCEA3	-1.79564612737047	1.1128489576665e-27	No	No
O75792	RNASEH2A	-1.07670406558093	1.07888063384877e-24	No	No
O94761	RECQL4	-2.06192816010957	3.2896078957510897e-34	No	No
O94782	USP1	-1.60435183427925	2.40777191042589e-21	No	No
O95067	CCNB2	-3.19294929814276	2.90281032108055e-28	No	No
O95229	ZWINT	-1.77658281785936	1.47174285377255e-26	No	No
O95235	KIF20A	-3.81145520377624	1.62845279965199e-39	No	No
O95239	KIF4A	-3.23984731677663	2.0651203307884498e-49	No	No
O95347	SMC2	-1.46212191260065	2.22073599018075e-41	No	No
O95718	ESRRB	-1.42016715323531	2.85384860541103e-05	No	No
O95751	LDOC1	-1.59062317267813	0.0003846573182678	No	No
O95997	PTTG1	-3.63877181913168	6.24816774016502e-24	No	No
O96006	ZBED1	-1.16943177653221	1.3274693606085598e-11	No	No
O96020	CCNE2	-2.02196293999569	3.66816108143524e-13	No	No
O96028	NSD2	-2.19319094767775	9.45291658682161e-34	No	No
P00374	DHFR	-3.38356973609632	1.5384666339491899e-43	No	No
P02795	MT2A	-1.48578224882782	0.0003138442479588	No	No
P04183	TK1	-3.31028696654282	1.13665394163545e-37	No	No
P04637	TP53	-1.16313925811001	7.357555621135551e-21	No	No
P04818	TYMS	-4.47623214530865	1.0152042147802298e-30	No	No
P06493	CDK1	-2.47443071372336	1.31378216539364e-44	No	No
P08913	ADRA2A	-2.02448980245412	1.98145508204199e-05	No	No
P09884	POLA1	-1.50871133190085	4.25238230347911e-38	No	No
P0CG13	CHTF8	-1.13377859429306	3.67483261566531e-16	No	No
P10244	MYBL2	-2.90432292513312	4.41387797061842e-21	No	No
P10412	H1-4	-1.4878243240868	7.383045181936519e-13	No	No
P11388	TOP2A	-2.87499305385357	4.64752553067795e-45	No	No
P11474	ESRRA	-1.15892827225619	7.95546545888162e-14	No	No
P12004	PCNA	-1.50854974483204	4.13926862620082e-36	No	No
P14635	CCNB1	-3.75023324140248	1.27457934722292e-34	No	No
P16104	H2AX	-3.81492239158768	0.002979288426046	No	No
P16401	H1-5	-1.25707426091456	2.36791811553746e-21	No	No
P16402	H1-3	-1.79159621648894	5.11733321349432e-27	No	No
P16403	H1-2	-1.99255942782246	2.79684123409849e-17	No	No
P16949	STMN1	-1.60098057764746	4.79982890413622e-26	No	No
P18858	LIG1	-1.64686378278774	1.85953312137202e-40	No	No
P19544	WT1	-1.64467348805921	3.8155699951330097e-13	No	No
P20248	CCNA2	-3.34487893268864	1.03566894289312e-17	No	No
P22492	H1-6	-1.37902894747197	8.34203046193781e-06	No	No
P23921	RRM1	-1.18297572865388	2.68627408237322e-32	No	No
P25205	MCM3	-1.12824689672698	1.5401177527747798e-40	No	No
P26358	DNMT1	-1.49362299248084	1.93651516474411e-43	No	No
P26583	HMGB2	-1.21855187216386	1.95926499524998e-25	No	No
P28340	POLD1	-1.19707846712604	3.36119369541813e-37	No	No
P28749	RBL1	-1.73710529448363	2.0254715910351802e-23	No	No
P30291	WEE1	-1.03771089714329	5.06567707353661e-06	No	No
P30305	CDC25B	-3.32993483449981	4.24830857025929e-20	No	No
P30307	CDC25C	-2.13514764466962	3.4608634764894896e-30	No	No
P30532	CHRNA5	-1.501784473141	4.88086973633539e-05	No	No
P30793	GCH1	-1.66465312841727	8.19954185242527e-12	No	No
P30825	SLC7A1	-1.11746849560287	6.813698327987621e-19	No	No
P31146	CORO1A	-1.00310059591265	2.06308888363507e-07	No	No
P31350	RRM2	-3.46334785250478	8.577661810161841e-47	No	No
P33316	DUT	-2.25013093392757	3.80255928723823e-41	No	No
P33552	CKS2	-2.32414532042715	9.818743918108171e-20	No	No
P33981	TTK	-1.05344987652227	2.16841785653875e-22	No	No
