Protein_Group	Genes	NF1_sg_1.1_2_250nM Palbo_vs_NF1_sg_1.1_2_Non Treated_logFC	NF1_sg_1.1_2_250nM Palbo_vs_NF1_sg_1.1_2_Non Treated_pval	Removed?	Contaminant?
A8MT69	CENPX	-1.46779469519479	4.2067061070834e-15	No	No
C9JLR9	C11orf95	-1.16657946293093	0.0020429561823158	No	No
O00311	CDC7	-2.2667233057256	1.47685676264116e-16	No	No
O00458	IFRD1	-1.53689660752299	7.13915971788167e-06	No	No
O00762	UBE2C	-3.88625820286649	2.2599398626086398e-40	No	No
O14578	CIT	-3.0913901362707	1.9804365555147e-49	No	No
O14732	IMPA2	-1.42014622765764	8.22796668445005e-20	No	No
O14757	CHEK1	-2.64020477182545	9.95269979436015e-38	No	No
O14777	NDC80	-4.46328429210075	7.286066988986901e-47	No	No
O14965	AURKA	-3.58756459138518	3.44927038337913e-43	No	No
O14975	SLC27A2	-1.11840636197013	9.35205926904054e-06	No	No
O15287	FANCG	-1.92455836978706	3.40783486563767e-16	No	No
O15297	PPM1D	-1.0522814123985	0.0002254961289835	No	No
O15304	SIVA1	-1.57208069568441	4.952582188817891e-10	No	No
O15315	RAD51B	-1.01157861600659	6.49480893486596e-06	No	No
O15350	TP73	-1.98105583712619	2.53356140543467e-18	No	No
O15360	FANCA	-2.52000979260877	7.539784079809791e-15	No	No
O15370	SOX12	-1.88995607339122	1.70489388654984e-05	No	No
O15392	BIRC5	-4.17472703388726	3.4717362230284904e-21	No	No
O15527	OGG1	-1.25562636509087	4.18662407673171e-10	No	No
O43303	CCP110	-1.01616720434669	3.4926228575298105e-15	No	No
O43379	WDR62	-2.85299482188268	1.8013466978502399e-28	No	No
O43463	SUV39H1	-2.27931539185706	7.8551214503857e-21	No	No
O43482	OIP5	-1.87236479279185	6.40858787296491e-23	No	No
O43502	RAD51C	-1.99120592800026	3.70297298252991e-22	No	No
O43542	XRCC3	-1.44437272133449	8.10696078496023e-11	No	No
O43663	PRC1	-4.28417849828323	4.88212429332277e-44	No	No
O43683	BUB1	-2.88314938440554	5.98398433793458e-32	No	No
O60266	ADCY3	-1.12529195576823	0.0001390791160698	No	No
O60427	FADS1	-1.22380653923218	5.38869319941814e-16	No	No
O60566	BUB1B	-1.75104134006446	3.42856954651265e-34	No	No
O75330	HMMR	-3.25165137738474	6.137440117907341e-31	No	No
O75417	POLQ	-1.02599682344782	0.0001989646887255	No	No
O75419	CDC45	-3.25514953199048	9.42346314093298e-35	No	No
O75425	MOSPD3	-1.67692015948049	3.44830489108845e-08	No	No
O75462	CRLF1	-1.97505811542853	3.81017347842774e-07	No	No
O75496	GMNN	-3.24882391956251	1.407222952654e-18	No	No
O75525	KHDRBS3	-1.00860615164645	0.0002839084506197	No	No
O75717	WDHD1	-2.00742386201854	3.624633247905e-46	No	No
O75764	TCEA3	-1.77325401985858	1.89155688338824e-27	No	No
O75771	RAD51D	-2.10977731894379	0.0004542649153191	No	No
O75792	RNASEH2A	-1.24493444963841	2.53006686842152e-27	No	No
O94761	RECQL4	-2.56677101990061	2.07462176639176e-38	No	No
O94782	USP1	-1.37261299444499	9.87940254320948e-19	No	No
O94868	FCHSD2	-1.40820561526167	2.80275528703137e-07	No	No
O95067	CCNB2	-4.49205576518231	1.11056019810082e-34	No	No
O95229	ZWINT	-2.37444373261274	6.0722454673125e-32	No	No
O95235	KIF20A	-4.99025709434311	9.416564097775431e-45	No	No
O95239	KIF4A	-4.01978710308873	1.19969132155157e-53	No	No
O95347	SMC2	-1.6013068839355	3.78740653454178e-43	No	No
O95718	ESRRB	-1.06418656069388	0.0010992327757869	No	No
O95997	PTTG1	-4.35311593548058	3.65979238416715e-27	No	No
O96020	CCNE2	-3.01169796156928	3.12171036888845e-19	No	No
O96028	NSD2	-2.17021833515119	1.49856295332962e-33	No	No
P00374	DHFR	-4.21042532615527	8.23821500381771e-48	No	No
P01876	IGHA1	-1.57721946393794	5.4259837677974e-05	No	No
P02749	APOH	-1.34588753042135	0.0006649065786737	No	No
P04183	TK1	-3.85248717052323	1.3312156026275598e-40	No	No
P04279	SEMG1	-1.22987599660876	0.0001626204892993	No	No
P04637	TP53	-1.06284326289409	2.39702411193779e-19	No	No
P04818	TYMS	-3.63301470952684	7.42451246525684e-27	No	No
P06493	CDK1	-2.4710584340947	1.39679776997114e-44	No	No
P09884	POLA1	-1.84120284353993	5.92131848914863e-42	No	No
P0CG13	CHTF8	-1.21106458117242	3.46662153000868e-17	No	No
P10243	MYBL1	-1.36388655647874	0.0008202650598189	No	No
P10244	MYBL2	-2.97387680596158	1.73678295816309e-21	No	No
P10412	H1-4	-1.40860919785684	3.96876975433211e-12	No	No
P11388	TOP2A	-3.66974149715438	7.76248155642058e-50	No	No
P11474	ESRRA	-1.00611531174914	6.59952501754722e-12	No	No
P12004	PCNA	-1.34910629362108	5.63357707215544e-34	No	No
P14635	CCNB1	-4.84672043595442	1.49794970516999e-39	No	No
P15391	CD19	-1.09460593873796	0.008090845510091	No	No
P16402	H1-3	-1.32031159365748	1.36999791133308e-21	No	No
P16403	H1-2	-2.03184497563103	1.3708186697575e-17	No	No
P16949	STMN1	-1.63217200593215	2.1424929071517e-26	No	No
P17707	AMD1	-1.50457143934467	2.06924899372738e-05	No	No
P18848	ATF4	-2.46057238800128	7.2007673490722e-13	No	No
P18858	LIG1	-1.84602114529303	1.12787258301226e-42	No	No
P20248	CCNA2	-2.33063714984574	2.13158200987179e-12	No	No
P22492	H1-6	-1.07650634964116	0.0002950831807776	No	No
P23921	RRM1	-1.25806458993674	1.8340967298782e-33	No	No
P24941	CDK2	-1.03132191450904	5.41122257657483e-33	No	No
P25205	MCM3	-1.25864543830632	1.15684282805949e-42	No	No
P26358	DNMT1	-1.66912653620134	1.31696151653105e-45	No	No
P26583	HMGB2	-1.15743430606867	1.64117531522728e-24	No	No
P28340	POLD1	-1.26362050619089	3.05202962560845e-38	No	No
P28749	RBL1	-2.17214858754974	1.91384778935555e-27	No	No
P30281	CCND3	-1.03783345911558	5.4454520459709e-14	No	No
P30291	WEE1	-1.3751193454061	1.59968070711929e-08	No	No
P30305	CDC25B	-2.53631503369941	9.664735189618301e-16	No	No
P30307	CDC25C	-2.48256824798978	5.02287565031984e-33	No	No
P30532	CHRNA5	-1.55105357567803	3.01893311357807e-05	No	No
P30793	GCH1	-1.39765571509156	1.0705961773208e-09	No	No
P30825	SLC7A1	-1.13372867337051	3.9442446790000704e-19	No	No
P31146	CORO1A	-1.00637253814697	1.92643411761233e-07	No	No
P31350	RRM2	-4.91428882961793	1.17160352973864e-53	No	No
P33316	DUT	-2.37348481985314	3.4940327298882794e-42	No	No
P33552	CKS2	-2.31849451038296	1.0779967745432701e-19	No	No
P33981	TTK	-1.69677790336701	4.69905677249545e-31	No	No
P33991	MCM4	-1.32207930307894	1.8178228866215402e-44	No	No
P33992	MCM5	-1.22484862411588	2.9249233848718197e-41	No	No
P33993	MCM7	-1.29170231412945	1.06996605922976e-38	No	No
P35219	CA8	-1.05724576533584	1.1723754049530302e-19	No	No
P35249	RFC4	-1.17880201343669	1.17354284731561e-38	No	No
P35250	RFC2	-1.1566445780877	3.31804285227062e-42	No	No
P36406	TRIM23	-1.47719781220527	0.0003850537517128	No	No
P38398	BRCA1	-2.62460060537808	2.70210065600617e-34	No	No
P39748	FEN1	-1.29290183441193	9.768672038901749e-42	No	No
P40937	RFC5	-1.17545285046787	2.83179233693228e-35	No	No
P40938	RFC3	-1.04827184895492	5.29998170965781e-32	No	No
P41002	CCNF	-3.00629493743034	9.7774924547802e-13	No	No
P41440	SLC19A1	-1.00313376282457	6.51666111209547e-11	No	No
P42166	TMPO	-1.31319404610436	5.572596640535109e-40	No	No
P42575	CASP2	-2.02514412669496	9.96613022800168e-32	No	No
P42695	NCAPD3	-2.39039301762262	8.6644437474862e-44	No	No
P43007	SLC1A4	-1.55618166131699	1.92702253892571e-32	No	No
P46013	MKI67	-4.59948191231887	8.87159744666606e-53	No	No
P49005	POLD2	-1.21344396541421	6.94713408400044e-35	No	No
P49454	CENPF	-4.14019891332423	5.9484502285654096e-49	No	No
P49638	TTPA	-1.33653016400535	2.83520900442422e-05	No	No
P49642	PRIM1	-2.29262740552116	2.9139502083214604e-44	No	No
P49643	PRIM2	-1.96987772487654	3.2503057667290603e-38	No	No
P49736	MCM2	-1.31450925962909	1.82664557771591e-39	No	No
P50219	MNX1	-1.099704636774	2.61225204357382e-08	No	No
P50579	METAP2	-1.05660829362803	1.35751582212699e-24	No	No
P51530	DNA2	-2.63663550535914	1.4369054679201e-23	No	No
P51587	BRCA2	-1.80102169997009	1.7430180864983699e-16	No	No
P51693	APLP1	-1.10560510819266	1.31144578637589e-06	No	No
P51956	NEK3	-1.1999170516012	1.17484365084384e-06	No	No
P52292	KPNA2	-1.37963400793035	3.71959633832483e-35	No	No
P52701	MSH6	-1.2286041165288	2.42801971978015e-37	No	No
P52732	KIF11	-3.43668660072735	1.6849240300223098e-49	No	No
P53350	PLK1	-4.28088301760124	3.13677342650193e-48	No	No
P54132	BLM	-2.59394388674021	3.30439909589241e-28	No	No
P55851	UCP2	-1.18404148931894	1.82019140537336e-08	No	No
P56270	MAZ	-1.26127977174498	1.47922070201496e-14	No	No
P56282	POLE2	-2.39798345405447	1.56913472596577e-28	No	No
P57729	RAB38	-1.08749555110289	2.59547332127308e-12	No	No
P59796	GPX6	-2.63074146116622	6.01427727612716e-13	No	No
P60606	CTXN1	-1.11618056453424	0.0026689144790936	No	No
P61024	CKS1B	-1.9497190352237	5.75412224466655e-19	No	No
P78337	PITX1	-1.3009694848186	3.0482547161943097e-12	No	No
P78540	ARG2	-1.01340648284312	1.44942354931243e-18	No	No
P78549	NTHL1	-1.40069467541406	8.029139405559551e-15	No	No
Q00987	MDM2	-1.15928829659761	8.76357046273087e-09	No	No
Q01664	TFAP4	-1.85741334347469	4.06388129234952e-07	No	No
Q02224	CENPE	-2.7443943696599	1.06386591746699e-24	No	No
Q02241	KIF23	-3.18783911785901	6.471881210064011e-47	No	No
Q02952	AKAP12	-1.33620556915758	3.77354828983895e-05	No	No
Q03014	HHEX	-1.50673271486557	3.73711733433378e-12	No	No
Q04756	HGFAC	-1.07480224055967	6.964185033379069e-11	No	No
Q05D32	CTDSPL2	-1.55365425464556	3.34029021085436e-32	No	No
Q06609	RAD51	-3.38625140459585	3.86437549140688e-29	No	No
Q07864	POLE	-1.95293812859809	6.30598730504752e-43	No	No
Q12834	CDC20	-4.66059565981274	1.93189936082563e-39	No	No
Q13111	CHAF1A	-1.8945812576902	8.075197270307889e-34	No	No
Q13112	CHAF1B	-2.46316190459484	1.69044051903296e-42	No	No
Q13257	MAD2L1	-1.75439972705825	1.17356374002199e-25	No	No
Q13309	SKP2	-2.87151892098782	2.57800390842696e-19	No	No
Q13352	ITGB3BP	-1.60604918063621	1.8069121704397e-05	No	No
Q13415	ORC1	-1.54529272115596	5.00882092923285e-22	No	No
Q13472	TOP3A	-1.19103849545225	3.07044319804535e-28	No	No
Q13506	NAB1	-1.11295205896506	0.000154050481193	No	No
Q14181	POLA2	-1.80161069821204	8.241127801300751e-31	No	No
Q14493	SLBP	-1.44321662022747	1.3034779439606702e-19	No	No
Q14527	HLTF	-1.21422134143419	1.21118853492062e-37	No	No
Q14566	MCM6	-1.31470340018547	3.03350289157801e-42	No	No
Q14674	ESPL1	-3.96497158138836	1.0557540800318099e-36	No	No
Q14680	MELK	-2.40906884445591	2.4699875162959998e-24	No	No
Q14691	GINS1	-1.87146830501403	2.5341672500599098e-30	No	No
Q14781	CBX2	-1.32495149196345	3.5434921626541e-20	No	No
Q14807	KIF22	-4.08773125735503	1.74573704153571e-44	No	No
Q14CB8	ARHGAP19	-2.55382533809525	1.7410247663341501e-19	No	No
Q15003	NCAPH	-2.28016497703557	1.47259198989294e-45	No	No
Q15004	PCLAF	-5.69856549199409	2.93607399364041e-38	No	No
Q15021	NCAPD2	-2.44499627613023	2.00367670878387e-52	No	No
Q15054	POLD3	-1.31605227694986	1.13794689493181e-34	No	No
Q15058	KIF14	-3.1195847486021	4.46173521449649e-49	No	No
Q15398	DLGAP5	-3.11036318766016	7.96476444214977e-42	No	No
Q15468	STIL	-2.88648087802947	1.2195876318441501e-24	No	No
Q15645	TRIP13	-1.41348903728676	1.31243803490273e-35	No	No
Q15742	NAB2	-1.0732211352132	2.05114823181923e-22	No	No
Q15910	EZH2	-1.43750124717413	9.43140809025389e-26	No	No
Q16667	CDKN3	-2.17845630656493	9.993843973788681e-09	No	No
Q16763	UBE2S	-3.30401192673084	1.71141668036629e-34	No	No
Q17RS7	GEN1	-1.06790686424455	3.22075267609257e-13	No	No
Q2NKX8	ERCC6L	-1.71171368054743	4.8887930185530494e-36	No	No
Q2Y0W8	SLC4A8	-1.60698924219634	0.0039321055358703	No	No
Q49A88	CCDC14	-1.04354633230901	3.11239945711368e-08	No	No
Q53EZ4	CEP55	-3.17404929841635	2.13029072087282e-39	No	No
Q53H80	AKIRIN2	-1.20674144116888	0.0006990077486515	No	No
Q53HL2	CDCA8	-4.38845397947683	1.91311430365888e-35	No	No
Q562F6	SGO2	-2.24627585213694	3.14893348767882e-14	No	No
Q56A73	SPIN4	-1.58675605197823	7.19265379216143e-16	No	No
Q56NI9	ESCO2	-4.04676846063442	3.18056710700257e-32	No	No
Q5EE01	CENPW	-1.47274269007759	2.34070049285478e-10	No	No
Q5FBB7	SGO1	-2.79885700478096	1.25077320558272e-21	No	No
Q5JTW2	CEP78	-1.31674585303861	3.81882431012719e-13	No	No
Q5T6S3	PHF19	-3.32241506908592	1.00028250582385e-22	No	No
Q5UIP0	RIF1	-1.54672720670931	3.28978402174847e-41	No	No
Q5XXA6	ANO1	-1.75912294181081	6.23757431291248e-11	No	No
Q68D06	SLFN13	-1.68406864898858	1.62794208058589e-23	No	No
Q68D85	NCR3LG1	-1.81307405799783	2.5321100692165697e-18	No	No
Q69YH5	CDCA2	-2.84883199102533	6.62952243884033e-23	No	No
Q6IBW4	NCAPH2	-2.24992150857328	1.06984762815814e-32	No	No
Q6IE81	JADE1	-1.43404758821913	5.87900621808357e-14	No	No
Q6IPU0	CENPP	-2.1368447170664	3.79597769678666e-16	No	No
Q6NZ36	FAAP20	-1.08830048581586	0.0056018831397179	No	No
Q6P0N0	MIS18BP1	-3.12440450412491	4.70211980249737e-32	No	No
Q6P4F7	ARHGAP11A	-1.32509135840407	2.63483073448831e-06	No	No
Q6PCD5	RFWD3	-1.36059840612406	9.52860223143234e-18	No	No
Q6PGN9	PSRC1	-3.44240306830173	1.39154656000913e-26	No	No
Q6PI25	CNIH2	-2.47561183926301	9.9751380918663e-10	No	No
Q6PIW4	FIGNL1	-1.60757885773637	4.09248177188019e-34	No	No
Q6PL18	ATAD2	-2.12577352786166	5.90635052525634e-40	No	No
Q6SJ93	FAM111B	-4.05426905149	1.9290496801512097e-42	No	No
