Protein_Group	Genes	NF1_sg_1.1_2_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	NF1_sg_1.1_2_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
Q6P4A8	PLBD1	-1.81334642584549	4.958588089689471e-19	No	No
Q6PJG9	LRFN4	-1.23746127743741	3.00283222418301e-06	No	No
Q6QHC5	DEGS2	-2.18458195544261	1.7439978604951602e-24	No	No
Q6UWI4	SHISA2	-3.3199375811004	2.66921229642622e-22	No	No
Q6UX71	PLXDC2	-2.1688226449353	1.50108282561563e-19	No	No
Q6UXI9	NPNT	-2.2463017432383	7.71785873475289e-12	No	No
Q6X9E4	FBXW12	-1.41432455289296	0.0024001580763463	No	No
Q6ZNL6	FGD5	-9.29691883447306	5.71839941408766e-41	No	No
Q6ZUT6	CCDC9B	-1.74166036180513	8.12047638283973e-10	No	No
Q6ZW31	SYDE1	-1.79872921759573	8.33397855675073e-06	No	No
Q7L0X0	TRIL	-1.08348057506729	1.5108700288186498e-12	No	No
Q7L5L3	GDPD3	-1.39821051056253	2.12386726113446e-16	No	No
Q7Z7D3	VTCN1	-1.36420411151118	2.5313704045112e-22	No	No
Q86SJ2	AMIGO2	-1.16750838086044	2.7049701405966e-05	No	No
Q86SQ0	PHLDB2	-1.2045689536946	1.2020713073837e-11	No	No
Q86UK0	ABCA12	-2.40759197796605	1.97620004436485e-27	No	No
Q86UN2	RTN4RL1	-1.12309483751917	0.0045293739564778	No	No
Q86UX6	STK32C	-1.12058500398457	1.33243401908455e-10	No	No
Q86V24	ADIPOR2	-1.23767344203084	0.0001763505356009	No	No
Q86VV4	RANBP3L	-1.6509470837137	6.45363595936187e-07	No	No
Q86WK9	PAQR7	-1.03536055330442	0.0002870078823783	No	No
Q86WV6	STING1	-2.39154398469385	5.6663491314622295e-11	No	No
Q86Y38	XYLT1	-1.30693235914307	0.000102852628952	No	No
Q86YD5	LDLRAD3	-2.04094322445345	7.85785155735477e-05	No	No
Q8IVL6	P3H3	-1.60872913329063	1.46999359790479e-22	No	No
Q8IWY4	SCUBE1	-1.83572823356204	0.0002083067373209	No	No
Q8IZQ5	SELENOH	-1.35077085526913	1.3118728372528901e-23	No	No
Q8N1Y9		-1.56531050080553	3.18484242510617e-05	No	No
Q8NCW0	KREMEN2	-1.44047988297832	1.4373227090697799e-13	No	No
Q8NFW9	MYRIP	-1.7500319416571	7.37208378653789e-07	No	No
Q8TAD7	OCC1	-1.83191829226784	1.40395858487523e-12	No	No
Q8TE58	ADAMTS15	-2.482691021724	8.49330096725997e-23	No	No
Q8WTV0	SCARB1	-1.15952397517363	3.2592219048321104e-31	No	No
Q8WU20	FRS2	-1.27045534490445	9.76703823781121e-20	No	No
Q8WWX9	SELENOM	-2.0900390986314	2.809622151811e-26	No	No
Q8WXE9	STON2	-1.15385874755716	1.62156220895995e-06	No	No
Q92478	CLEC2B	-2.68381857502476	9.46601528424316e-06	No	No
Q92535	PIGC	-3.01793660110969	0.0032534030696356	No	No
Q92870	APBB2	-2.10314559675789	8.08143739716979e-35	No	No
Q96AY3	FKBP10	-1.59270732345916	5.45185929468981e-38	No	No
Q96DX5	ASB9	-1.76991794207099	0.0001834827562818	No	No
Q96FL8	SLC47A1	-2.2754805922499	3.40424347831521e-11	No	No
Q96GV9	MACIR	-1.24279405854954	2.98492227838819e-11	No	No
Q96HM7	PCED1B	-1.30490808948025	1.1169490887234e-05	No	No
Q96L94	SNX22	-1.05176983503488	0.0094928588245256	No	No
Q96PD5	PGLYRP2	-3.2846812211197	5.7596344334816e-21	No	No
Q96PN7	TRERF1	-1.76067905355694	2.20082004249951e-12	No	No
Q96S53	TESK2	-1.46081429587198	4.64885246455979e-17	No	No
Q99424	ACOX2	-1.05303958224593	2.45562322619333e-08	No	No
Q99676	ZNF184	-1.40915744851075	0.0002440227770237	No	No
Q99704	DOK1	-2.15688398143643	0.0008503292534062	No	No
Q99708	RBBP8	-1.11893080263772	7.691463740938771e-17	No	No
Q9BX46	RBM24	-1.21070055870356	1.76991019674919e-21	No	No
Q9BXI9	C1QTNF6	-1.21366044942132	1.52350169843385e-07	No	No
Q9BY67	CADM1	-1.13989853538313	1.4708593676654798e-26	No	No
Q9BY84	DUSP16	-1.40189227748248	4.91309151896258e-08	No	No
Q9BYG5	PARD6B	-1.38443686329014	6.76260115257867e-37	No	No
Q9C0D0	PHACTR1	-2.47248425356119	3.25489929022749e-44	No	No
Q9H329	EPB41L4B	-1.27562024837678	3.29149850810097e-13	No	No
Q9H3G5	CPVL	-2.69273909742688	3.7315626213071503e-31	No	No
Q9H6L5	RETREG1	-1.84164037276225	2.3549516886254397e-12	No	No
Q9H9H5	MAP6D1	-1.81485537259797	7.07721087061215e-31	No	No
Q9H9K5	ERVMER34-1	-2.39519976133229	4.554522540578031e-09	No	No
Q9H9R9	DBNDD1	-1.03546449010305	1.52114493445614e-05	No	No
Q9H9Z2	LIN28A	-1.19337542382241	2.4355171307331304e-31	No	No
Q9HAN9	NMNAT1	-1.19730941353083	2.81674508857719e-12	No	No
Q9HBG4	ATP6V0A4	-1.08424782643863	0.0056116094597098	No	No
Q9HBL0	TNS1	-2.43841443929267	1.11932530858027e-18	No	No
Q9HCK4	ROBO2	-3.29900358146694	2.18082405449052e-41	No	No
