Protein_Group	Genes	cMyc_OE_5_250nM Palbo_vs_cMyc_OE_5_Non Treated_logFC	cMyc_OE_5_250nM Palbo_vs_cMyc_OE_5_Non Treated_pval	Removed?	Contaminant?
P33316	DUT	-1.06070732227231	6.91566426115007e-27	No	No
P35638	DDIT3	-2.3813710270188	1.05447958831049e-15	No	No
P49450	CENPA	-1.11111780295929	0.0001932856229404	No	No
P50219	MNX1	-1.09397948617745	2.94601958968289e-08	No	No
P56270	MAZ	-1.01007975588123	1.5920621200877097e-11	No	No
P78549	NTHL1	-1.0728136820392	3.42412001968263e-11	No	No
Q00978	IRF9	-1.06746552253827	2.51041721663996e-08	No	No
Q01664	TFAP4	-1.00863693854624	0.0024323656581749	No	No
Q04756	HGFAC	-1.1595887666485	7.72413457831776e-12	No	No
Q05D32	CTDSPL2	-1.0954053607046	9.91312177572546e-26	No	No
Q12815	TROAP	-1.01414377145763	5.10218372979159e-07	No	No
Q14807	KIF22	-1.72073542897514	5.88825509171573e-28	No	No
Q14CB8	ARHGAP19	-1.06889505177775	8.25427798010791e-08	No	No
Q15468	STIL	-1.09303614420494	6.87320461320128e-10	No	No
Q15742	NAB2	-1.06710497473925	2.5785943360482e-22	No	No
Q4VNC1	ATP13A4	-2.91038973842664	0.0001052896941486	No	No
Q56A73	SPIN4	-1.17234350532285	1.2715622242964899e-11	No	No
Q56NI9	ESCO2	-1.25482975078101	1.6247291129741199e-12	No	No
Q5D0E6	DALRD3	-1.22529041284118	9.154896848293599e-12	No	No
Q5FBB7	SGO1	-1.2312059243156	1.20949414956259e-09	No	No
Q5JYT7	KIAA1755	-3.95731627124925	0.0012082072168837	No	No
Q5SXH7	PLEKHS1	-3.51170724010447	3.42435509652873e-12	No	No
Q5T8I3	FAM102B	-1.29998820090892	0.0002096504249985	No	No
Q5TFE4	NT5DC1	-1.01106348819375	1.34186842054381e-22	No	No
Q5VUG0	SFMBT2	-1.48610675365293	2.1626691307549e-08	No	No
Q5XXA6	ANO1	-1.28168910443835	1.59904774876275e-07	No	No
Q6PI25	CNIH2	-2.15820526862718	2.88661236035828e-08	No	No
Q6PL18	ATAD2	-1.20704517880289	3.49819734770274e-29	No	No
Q7L266	ASRGL1	-1.30011490405572	0.0002308732252221	No	No
Q7Z591	AKNA	-1.09538017087126	0.0028469525317955	No	No
Q86XK3	SFR1	-1.17198214782636	2.11304734306027e-05	No	No
Q86Y91	KIF18B	-1.38205737041312	1.01801875293446e-09	No	No
Q8IYA6	CKAP2L	-1.0911046891603	1.13480904466873e-07	No	No
Q8IYW5	RNF168	-1.42469696827918	1.18784703663362e-16	No	No
Q8IZ13	ZBED8	-1.1188644341982	0.0054367574046879	No	No
Q8N3I7	BBS5	-1.09672981261329	0.0075942598375012	No	No
Q8NCD3	HJURP	-1.055594683816	1.54405290188686e-05	No	No
Q8NI77	KIF18A	-1.10551546559597	8.08112124633829e-12	No	No
Q8WUU4	ZNF296	-1.55805246538692	0.0007406724682673	No	No
Q92522	H1-10	-1.31039496603691	5.1680329272658704e-20	No	No
Q92633	LPAR1	-1.19914589115222	0.0016585308670463	No	No
Q96AV8	E2F7	-2.54016990033117	0.0011410509669645	No	No
Q96FF9	CDCA5	-1.42854168501117	7.99351615273249e-16	No	No
Q96GD4	AURKB	-1.1731372478117	3.55932920741591e-18	No	No
Q96RG2	PASK	-1.01758614312396	0.0075002107439007	No	No
Q96RU7	TRIB3	-1.27594981274555	9.46615915191765e-05	No	No
Q9BQ87	TBL1Y	-1.43372256809162	0.0015230292958177	No	No
Q9BW19	KIFC1	-1.37438678986867	1.2451772626498201e-25	No	No
Q9BW71	HIRIP3	-1.09129584820621	4.23896784278359e-23	No	No
Q9BWT6	MND1	-1.36266026497723	0.0001795105108633	No	No
Q9BXS6	NUSAP1	-1.11769125598502	1.0499990286988101e-17	No	No
Q9H246	C1orf21	-1.47668010377459	0.0022162426396725	No	No
Q9H967	WDR76	-1.68688565954172	3.73654765181597e-25	No	No
Q9NQS7	INCENP	-1.20349360153538	5.949582779927501e-20	No	No
Q9NUK0	MBNL3	-1.42302311898536	0.0016494267187717	No	No
Q9NVV9	THAP1	-1.22493335277869	0.0055713177206471	No	No
Q9NXG0	CNTLN	-1.04132721706289	6.60598389009612e-06	No	No
Q9P2W1	PSMC3IP	-1.46810750227727	1.31454405333052e-07	No	No
Q9UKT4	FBXO5	-1.39775248385414	5.341578000828331e-09	No	No
Q9ULW0	TPX2	-1.09031145767656	3.85702168492033e-25	No	No
Q9UN76	SLC6A14	-2.80344391957674	4.61486647208718e-07	No	No
Q9UPY5	SLC7A11	-1.27199525799371	0.0065458663046349	No	No
Q9Y253	POLH	-1.05367331324076	1.22066183479076e-05	No	No
