Protein_Group	Genes	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
A6ND36	FAM83G	-1.11636921755795	1.70118380792745e-09	No	No
A6NDB9	PALM3	-2.11211331629805	4.3203433719738e-17	No	No
A6NKN8	PCP4L1	-1.48337555748581	0.0088347703930331	No	No
A8MWY0	ELAPOR2	-1.44478937086484	1.8509946236945402e-10	No	No
O00423	EML1	-1.47330773630017	2.43512013572259e-26	No	No
O00526	UPK2	-2.12186715966214	3.44716297323275e-08	No	No
O00560	SDCBP	-1.45574027422687	7.86853246408731e-29	No	No
O14683	TP53I11	-1.18445421740709	2.73132347540654e-26	No	No
O14798	TNFRSF10C	-3.32569115493914	1.13874059285637e-14	No	No
O14967	CLGN	-1.20696130657522	8.36376173140973e-14	No	No
O14975	SLC27A2	-2.24628927468964	4.33049970356898e-13	No	No
O15162	PLSCR1	-1.07763074829441	1.21220528129461e-12	No	No
O15232	MATN3	-2.06805221207743	4.11343527700021e-18	No	No
O15403	SLC16A6	-1.2144441244364	8.57633174490514e-06	No	No
O15427	SLC16A3	-1.01966628337323	1.8411365503175302e-17	No	No
O15440	ABCC5	-1.95107030625357	2.01361696131707e-31	No	No
O15481	MAGEB4	-4.08311891129983	1.96002473969728e-35	No	No
O15484	CAPN5	-2.01073889038228	1.50776861304405e-23	No	No
O60262	GNG7	-1.17849681096728	0.0041513476854762	No	No
O60443	GSDME	-2.01739036456175	3.99174500168736e-19	No	No
O60488	ACSL4	-1.27804563161884	3.29947470822534e-06	No	No
O60613	SELENOF	-1.2235826913809	1.22318279840434e-08	No	No
O75192	PEX11A	-1.10158911159836	3.73159679632756e-07	No	No
O75462	CRLF1	-2.20125042276683	3.68077658940199e-08	No	No
O75487	GPC4	-1.49927464437665	4.70196442815108e-16	No	No
O94919	ENDOD1	-1.09233507116819	4.71197114610154e-28	No	No
O95154	AKR7A3	-2.58441588340157	3.62961505446225e-36	No	No
O95294	RASAL1	-2.14080754653602	1.56237398358951e-12	No	No
O95340	PAPSS2	-3.08385850030766	3.64875174053342e-44	No	No
O95528	SLC2A10	-1.94735704953778	1.4216093973945498e-11	No	No
O95816	BAG2	-1.18365363558511	9.108565402507281e-14	No	No
O95848	NUDT14	-1.46397653373034	0.000403592284551	No	No
