Protein_Group	Genes	cMyc_OE_5_Non Treated_vs_EV_Blast  _Non Treated_logFC	cMyc_OE_5_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
P16144	ITGB4	-1.05819784561392	1.19417811009511e-32	No	No
P16219	ACADS	-1.94088317270461	6.22100609176431e-26	No	No
P17302	GJA1	-2.31282729666694	1.57784215902529e-26	No	No
P17707	AMD1	-1.19694526011152	0.0004572295413056	No	No
P18564	ITGB6	-1.02292831682336	6.99199022191068e-05	No	No
P20337	RAB3B	-2.32087012026083	6.17803943319868e-08	No	No
P21802	FGFR2	-1.31271620545108	5.1133804622316e-14	No	No
P23297	S100A1	-1.57321447390804	2.6299702969623898e-12	No	No
P23458	JAK1	-1.06934060038718	8.037388216283799e-34	No	No
P23497	SP100	-1.04559792308666	3.7340379553628603e-20	No	No
P24385	CCND1	-1.68135089222374	3.17427167212515e-33	No	No
P25815	S100P	-1.1262281779947	1.7579880286029699e-12	No	No
P25942	CD40	-2.48025232953542	6.12786647112498e-17	No	No
P26006	ITGA3	-1.01344732419721	2.61054997167812e-30	No	No
P28067	HLA-DMA	-1.41026509219561	2.26180547588533e-05	No	No
P28289	TMOD1	-1.08713143768947	1.87142520551081e-11	No	No
P28799	GRN	-1.46929011723951	5.2160413083109196e-33	No	No
P29400	COL4A5	-1.24448270331971	3.98493472236106e-07	No	No
P29728	OAS2	-2.08760627399455	2.35350521472547e-11	No	No
P29966	MARCKS	-2.19764060024377	3.84944758958786e-06	No	No
P30281	CCND3	-1.2051708228068	3.32677126754233e-16	No	No
P30305	CDC25B	-1.15897276599026	1.66271612034467e-06	No	No
P32004	L1CAM	-1.89415883888339	3.4391220075180394e-36	No	No
P35080	PFN2	-1.91805617718242	1.0943668561408e-25	No	No
P35408	PTGER4	-1.01573886821082	0.0012662187054731	No	No
P35544	FAU	-1.80738581218803	1.14472296596331e-07	No	No
P35568	IRS1	-1.38809867740578	9.52221565527525e-21	No	No
P35611	ADD1	-1.4730388616541	4.35878116928521e-41	No	No
P36269	GGT5	-1.40861706229383	2.28627605068555e-05	No	No
P38936	CDKN1A	-1.00046195940762	1.88514150957206e-07	No	No
P39060	COL18A1	-1.71013840393823	8.567211962030391e-19	No	No
P41002	CCNF	-1.98629352034435	6.39563645478947e-08	No	No
P42685	FRK	-1.0641902388656	6.96726970146714e-07	No	No
P42785	PRCP	-1.98400740986645	1.94139824920744e-35	No	No
P43005	SLC1A1	-1.28956906545319	3.71071977516827e-05	No	No
P43121	MCAM	-2.42198698471157	2.38298852083753e-23	No	No
P43353	ALDH3B1	-1.86402074767009	4.78652707082585e-32	No	No
P43355	MAGEA1	-3.70030374808051	2.39592660910153e-17	No	No
P47974	ZFP36L2	-1.11811352484825	6.635565932469611e-10	No	No
P48539	PCP4	-1.62259334015502	5.2285466081890106e-09	No	No
P49326	FMO5	-1.51942806914013	4.32771792281422e-10	No	No
P49759	CLK1	-1.12586028278233	2.92903978031334e-10	No	No
P49902	NT5C2	-1.14561173498419	3.9440626768571096e-27	No	No
P50443	SLC26A2	-1.71480406182352	2.30258058265297e-17	No	No
P51606	RENBP	-1.89338168760168	3.76083142964873e-06	No	No
P51959	CCNG1	-1.16200969946994	0.0022820247681925	No	No
P52803	EFNA5	-1.85329273223402	1.156024522925e-10	No	No
P54108	CRISP3	-2.19335334792013	2.0619173675943598e-11	No	No
P54764	EPHA4	-2.10169663376009	2.12854190780335e-23	No	No
P54868	HMGCS2	-2.17041128989143	1.92676177024886e-31	No	No
P54922	ADPRH	-1.33021281420907	1.91724561769812e-13	No	No
P55809	OXCT1	-1.26713780743447	5.77457326391976e-07	No	No
P55899	FCGRT	-1.00933966039787	2.5372156067781e-12	No	No
P57721	PCBP3	-1.04033913499874	1.58386052291327e-06	No	No
P58340	MLF1	-1.07630278317821	5.25419564748385e-09	No	No
P60520	GABARAPL2	-1.31901294712717	1.18135388328641e-23	No	No
P63261	ACTG1	-1.31248204053533	1.42359701128843e-10	No	No
P78357	CNTNAP1	-1.54324744253796	1.3020314461416701e-19	No	No
P78364	PHC1	-1.23618194818743	0.0015555147444017	No	No
