Protein_Group	Genes	EV_Blast  _250nM Palbo_vs_EV_Blast  _Non Treated_logFC	EV_Blast  _250nM Palbo_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
Q96CN5	LRRC45	-1.52908187220623	4.70982646474757e-15	No	No
Q96CX2	KCTD12	-1.5814888797968	1.94300587484082e-06	No	No
Q96E14	RMI2	-1.04918646037219	9.342402507423249e-18	No	No
Q96FC9	DDX11	-1.29355170408491	7.507224076891e-14	No	No
Q96FF9	CDCA5	-2.95704316530668	2.9176561420017398e-28	No	No
Q96GD4	AURKB	-2.99757184716291	4.78999907873659e-35	No	No
Q96GN5	CDCA7L	-2.09040613175022	2.8833315460784904e-15	No	No
Q96GX5	MASTL	-1.66238518559444	4.60432529204659e-16	No	No
Q96H22	CENPN	-1.38028808103977	9.58381736985479e-16	No	No
Q96HA7	TONSL	-1.3802528185704	9.569743905743191e-25	No	No
Q96HE9	PRR11	-2.12559417672129	4.78032861785579e-26	No	No
Q96KB5	PBK	-2.68909737575846	7.21743114650261e-37	No	No
Q96L50	LRR1	-1.43526463730283	2.28628544511324e-13	No	No
Q96M11	HYLS1	-1.24290097044998	1.8285316410202e-08	No	No
Q96PD5	PGLYRP2	-1.07689511790401	1.94571720710147e-06	No	No
Q96Q89	KIF20B	-1.82171769117154	1.00839120620879e-34	No	No
Q96QB1	DLC1	-2.20269253357003	6.8690281890189e-14	No	No
Q96QE3	ATAD5	-1.64706851982038	7.20414626307493e-24	No	No
Q96R06	SPAG5	-2.13491050450426	3.7970769858711696e-36	No	No
Q96RG2	PASK	-1.34004202852032	0.0006054512320564	No	No
Q96T88	UHRF1	-2.52887319265973	2.08014173829385e-41	No	No
Q99550	MPHOSPH9	-1.17718088894837	2.43054851291928e-07	No	No
Q99618	CDCA3	-2.73054969694174	9.14138032449027e-22	No	No
Q99640	PKMYT1	-1.77409094538397	3.9329312558994e-27	No	No
Q99661	KIF2C	-2.47476762905158	3.1845918228092296e-30	No	No
Q99728	BARD1	-1.52945924605663	9.131718211495769e-22	No	No
Q99741	CDC6	-2.18817209345048	6.87947044372705e-16	No	No
Q99784	OLFM1	-1.33340617925591	1.89571027339975e-09	No	No
Q99808	SLC29A1	-1.16396969659614	7.871821145849669e-18	No	No
Q9BPX3	NCAPG	-1.92052313506927	1.2622376697734999e-43	No	No
Q9BQI6	SLF1	-1.1418212400034	0.0010668381302881	No	No
Q9BRT9	GINS4	-1.09031882385379	2.04302982784982e-22	No	No
Q9BRX5	GINS3	-1.35366663552109	2.53245134726489e-25	No	No
Q9BS16	CENPK	-1.35330533439592	6.21091118540473e-13	No	No
Q9BSJ6	PIMREG	-1.5981171581147	0.001164541020258	No	No
Q9BU64	CENPO	-1.08684940861992	1.10260988079745e-08	No	No
Q9BVW5	TIPIN	-1.54372391981798	5.04827379727554e-17	No	No
Q9BVX2	TMEM106C	-1.16224628074914	1.54024818102025e-07	No	No
Q9BW19	KIFC1	-2.74114429580691	1.29518636416414e-38	No	No
Q9BW71	HIRIP3	-1.4734186293825	1.6019633714991499e-28	No	No
Q9BWT6	MND1	-2.73199059525649	1.74213752380274e-10	No	No
Q9BX63	BRIP1	-1.11891751154087	4.11937364674496e-08	No	No
Q9BXS6	NUSAP1	-2.89881845477523	9.000585795033221e-35	No	No
Q9BXW9	FANCD2	-1.8086749260766	4.0655651022893e-34	No	No
Q9BZD4	NUF2	-2.56558981946529	1.4691264233099602e-31	No	No
Q9H0H5	RACGAP1	-2.39358441165746	2.49740360775944e-39	No	No
Q9H211	CDT1	-1.79884782879276	6.49971051401167e-22	No	No
Q9H2Y7	ZNF106	-1.22896909699097	8.10765526118799e-17	No	No
Q9H3R5	CENPH	-1.24292046590863	2.87469667828134e-20	No	No
Q9H4H8	FAM83D	-2.3051353053491	1.0868234311552999e-29	No	No
Q9H609	ZNF576	-1.29365832997396	2.52297166215145e-05	No	No
Q9H6L5	RETREG1	-1.07966025235659	1.34648517308659e-06	No	No
Q9H8V3	ECT2	-1.95030234776906	1.71472485291882e-39	No	No
Q9H967	WDR76	-2.83637970428171	7.933430078816241e-35	No	No
Q9H9A7	RMI1	-1.99344589918346	6.186109274307999e-20	No	No
Q9HAW0	BRF2	-1.2248293022437	1.15883904769218e-06	No	No
Q9HAW4	CLSPN	-1.92001541815647	1.1918845113272e-19	No	No
Q9HB96	FANCE	-1.82776765706463	1.13761733556231e-09	No	No
Q9HBE1	PATZ1	-1.05734585865988	4.19396645471543e-17	No	No
Q9HBM1	SPC25	-2.9036866840092	6.187292422442269e-30	No	No
Q9NP50	SINHCAF	-1.25470002161285	7.50795955539995e-06	No	No
Q9NPD8	UBE2T	-2.47616584561848	4.4195225484376896e-33	No	No
Q9NQS7	INCENP	-3.0147219869063	9.78722034291859e-37	No	No
Q9NQW6	ANLN	-2.19510844419998	1.84100644296458e-40	No	No
Q9NRJ5	PAPOLB	-1.39868431370543	0.0013374576310709	No	No
Q9NRZ9	HELLS	-2.46675714183971	1.1981583398612799e-36	No	No
Q9NS87	KIF15	-1.95225037778964	5.58045764830102e-39	No	No
Q9NS91	RAD18	-1.75876183773175	1.84762772781315e-31	No	No
Q9NSP4	CENPM	-1.26028508450725	9.56059709493382e-08	No	No
Q9NTJ3	SMC4	-1.4959928762263	1.85669895392399e-45	No	No
Q9NUC0	SERTAD4	-1.27569223934927	2.54706457241576e-08	No	No
Q9NVI1	FANCI	-2.18567365633769	1.73694292260158e-42	No	No
Q9NVP2	ASF1B	-1.47009947659308	9.73614188173511e-15	No	No
Q9NXG0	CNTLN	-1.9282878136133	2.84036870055675e-12	No	No
Q9NYP3	DONSON	-1.79350921102552	2.48095084707239e-06	No	No
Q9NYP9	MIS18A	-1.11649223858578	2.18527470273169e-14	No	No
Q9NYZ3	GTSE1	-2.35325540950987	2.42302821206741e-19	No	No
Q9NZJ0	DTL	-1.6747315933111	6.11986873855491e-24	No	No
Q9P2W1	PSMC3IP	-3.20021818118432	1.2085520426273999e-17	No	No
Q9UBC3	DNMT3B	-1.18649731640606	6.84873683774876e-05	No	No
Q9UBU7	DBF4	-1.3673216387685	2.80682504181359e-05	No	No
Q9UH17	APOBEC3B	-1.67003846471885	2.47658151538054e-28	No	No
Q9UIF7	MUTYH	-1.17745078970856	3.23368412413303e-11	No	No
Q9UIU6	SIX4	-1.07592447936622	8.14177397511964e-10	No	No
Q9UKT4	FBXO5	-2.49561371422402	1.0841049140368001e-16	No	No
Q9ULW0	TPX2	-2.68597025535233	3.5306502394325195e-42	No	No
Q9UMW8	USP18	-1.84137859663853	4.55477621680718e-08	No	No
Q9UNS1	TIMELESS	-1.49446682382392	5.4942520688545e-36	No	No
Q9UQ84	EXO1	-1.96417081820561	4.65391888665682e-13	No	No
Q9UQR0	SCML2	-1.18458856413828	1.0766756032755e-23	No	No
Q9UQV4	LAMP3	-1.68269663936221	2.8422005109203497e-11	No	No
Q9Y248	GINS2	-1.1354883791943	5.203236901283311e-25	No	No
Q9Y253	POLH	-1.25410900338445	5.16860917633297e-07	No	No
Q9Y330	ZBTB12	-1.19997293235725	0.0009492135140744	No	No
Q9Y448	KNSTRN	-2.58858441802931	6.30154616544193e-29	No	No
Q9Y5N6	ORC6	-1.41188664169581	6.7850487390740805e-09	No	No
Q9Y5T4	DNAJC15	-1.2527611002533	3.59099846853024e-12	No	No
Q9Y620	RAD54B	-1.47565308256904	2.15094810528496e-19	No	No
Q9Y6A5	TACC3	-2.14575009526409	3.39493748047078e-33	No	No
