"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:2000767","GO:2000767",15,"GO:0002181",0.648085475998825,15,"positive regulation of cytoplasmic translation","cytoplasmic translation",0.85000711427301,0.333909090909091,0.811
"GO:0016479","GO:0016479",5,"GO:0006356",0.648085475998825,12,"negative regulation of transcription by RNA polymerase I","regulation of transcription by RNA polymerase I",0.861265451311694,0.308,0.91
"GO:2000781","GO:2000781",10,"GO:0006282",0.582441622630076,86,"positive regulation of double-strand break repair","regulation of DNA repair",0.793268119164073,0.32,0.907
"GO:0019538","GO:0019538",31,"GO:0019538",0.549408057597067,5056,"protein metabolic process","protein metabolic process",0.895125389061805,0.6395,0
"GO:1902680","GO:1902680",18,"GO:0045893",0.531822875468164,1690,"positive regulation of RNA biosynthetic process","positive regulation of DNA-templated transcription",0.801136505113384,0.2364,0.982
"GO:2000232","GO:2000232",6,"GO:0000470",0.528167371769058,16,"regulation of rRNA processing","maturation of LSU-rRNA",0.834873277012005,0.397578947368421,0.698
"GO:2000036","GO:2000036",32,"GO:2000036",0.528167371769058,74,"regulation of stem cell population maintenance","regulation of stem cell population maintenance",0.912444197421076,0.374666666666667,0
"GO:0038092","GO:0038092",35,"GO:0038092",0.528167371769058,20,"nodal signaling pathway","nodal signaling pathway",0.911912850155625,0.3736,0
"GO:0099172","GO:0099172",36,"GO:0099172",0.528167371769058,52,"presynapse organization","presynapse organization",0.937262338817252,0.349260869565217,0
"GO:0035855","GO:0035855",34,"GO:0035855",0.528167371769058,23,"megakaryocyte development","megakaryocyte development",0.953153401511783,0.331133333333333,0
"GO:0090672","GO:0090672",33,"GO:0090672",0.528167371769058,19,"telomerase RNA localization","telomerase RNA localization",0.956569141840818,0.279428571428571,0
"GO:0042796","GO:0042796",28,"GO:0040031",0.528167371769058,8,"snRNA transcription by RNA polymerase III","snRNA modification",0.913606936416185,0.275375,0.74
"GO:0090671","GO:0090671",33,"GO:0090672",0.528167371769058,19,"telomerase RNA localization to Cajal body","telomerase RNA localization",0.95645042240996,0.241285714285714,1
"GO:0006402","GO:0006402",8,"GO:0000956",0.528167371769058,310,"mRNA catabolic process","nuclear-transcribed mRNA catabolic process",0.808802134281903,0.232533333333333,0.93
"GO:1902570","GO:1902570",37,"GO:1902570",0.516899613900536,18,"protein localization to nucleolus","protein localization to nucleolus",0.94303112494442,0.414434782608696,0
"GO:0051987","GO:0051987",26,"GO:1902425",0.516899613900536,11,"positive regulation of attachment of spindle microtubules to kinetochore","positive regulation of attachment of mitotic spindle microtubules to kinetochore",0.869000444642063,0.319421052631579,0.986
"GO:1902423","GO:1902423",26,"GO:1902425",0.516899613900536,8,"regulation of attachment of mitotic spindle microtubules to kinetochore","positive regulation of attachment of mitotic spindle microtubules to kinetochore",0.834496220542463,0.305473684210526,1
"GO:0090670","GO:0090670",33,"GO:0090672",0.516899613900536,19,"RNA localization to Cajal body","telomerase RNA localization",0.956020898176968,0.282285714285714,0.72
"GO:0000184","GO:0000184",8,"GO:0000956",0.516899613900536,44,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","nuclear-transcribed mRNA catabolic process",0.83379324144064,0.280033333333333,0.913
"GO:0009301","GO:0009301",28,"GO:0040031",0.516899613900536,19,"snRNA transcription","snRNA modification",0.907528679413072,0.230375,0.791
"GO:0051225","GO:0051225",25,"GO:1902850",0.479822743014711,133,"spindle assembly","microtubule cytoskeleton organization involved in mitosis",0.889268563806136,0.258444444444444,0.705
"GO:0006351","GO:0006351",16,"GO:0006357",0.476497274585483,3568,"DNA-templated transcription","regulation of transcription by RNA polymerase II",0.871411293908404,0.279333333333333,0.857
"GO:0048255","GO:0048255",8,"GO:0000956",0.476497274585483,65,"mRNA stabilization","nuclear-transcribed mRNA catabolic process",0.796652289906625,0.2339,0.8
"GO:0007286","GO:0007286",38,"GO:0007286",0.448831652792391,206,"spermatid development","spermatid development",0.935445975989329,0.309555555555556,0
"GO:0006360","GO:0006360",5,"GO:0006356",0.448831652792391,72,"transcription by RNA polymerase I","regulation of transcription by RNA polymerase I",0.908752779012895,0.2678,0.961
"GO:0009303","GO:0009303",39,"GO:0009303",0.448831652792391,37,"rRNA transcription","rRNA transcription",0.905629168519342,0.250714285714286,0
"GO:0008334","GO:0008334",40,"GO:0008334",0.439534416171328,20,"histone mRNA metabolic process","histone mRNA metabolic process",0.919606047132059,0.5215,0
"GO:0010608","GO:0010608",23,"GO:0035194",0.431260084385287,1093,"post-transcriptional regulation of gene expression","regulatory ncRNA-mediated post-transcriptional gene silencing",0.851935526900845,0.3315,0.925
"GO:0031570","GO:0031570",22,"GO:0000077",0.411883209809996,135,"DNA integrity checkpoint signaling","DNA damage checkpoint signaling",0.847383726100489,0.203612903225806,0.986
"GO:0006304","GO:0006304",41,"GO:0006304",0.396429448183131,103,"DNA modification","DNA modification",0.898356602934638,0.366,0
"GO:0031126","GO:0031126",17,"GO:0031053",0.396429448183131,12,"sno(s)RNA 3'-end processing","primary miRNA processing",0.856866162738995,0.349615384615385,0.774
"GO:0031054","GO:0031054",17,"GO:0031053",0.396429448183131,17,"pre-miRNA processing","primary miRNA processing",0.851919519786572,0.335384615384615,0.867
