,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
20,GO:0006338,chromatin remodeling,GO:0006338,0.1112045,1.794862,10.34774,KDM5A;PHF2;SMARCD1;SETD2;EHMT1;PSIP1;BAZ2A;SUPT6H;IWS1;RNF2;PHF8;TFPT;VPS72;BRD9;JARID2;ARID2;SF3B1;BPTF;SRPK2;SS18;PHC1;RING1;PHF10;DTX3L;PCGF2;DDX56;BAZ1A;RYBP;YEATS2;TOP1;ERCC6;ASF1A;GLYR1,Chromatin Remodeling (GO:0006338)
21,GO:0000077,DNA damage checkpoint signaling,GO:0000077,0.1255508,3.821396,20.96912,STK33;DTX3L;CDC5L;TOPBP1;ERCC6;PRPF19;PARP9;CLOCK,DNA Damage Checkpoint Signaling (GO:0000077)
22,GO:0016071,mRNA metabolic process,GO:0016071,0.1443727,2.236672,11.89363,SF3B4;SF3A3;SF3B2;SF3A1;SF3A2;SCAF11;NCBP2;CNOT10;U2AF1;USP39;EXOSC5;LSM6;SON;EXOSC9;TRMT6;DHX15;SRSF5,mRNA Metabolic Process (GO:0016071)
23,GO:1905168,positive regulation of double-strand break repair via homologous recombination,GO:1905168,0.1443727,3.323665,17.63219,CREBBP;MEAF6;VPS72;FUS;EP400;EPC2;ERCC6;ARID2;WRAP53,Positive Regulation of Double-Strand Break Repair via Homologous Recombination (GO:1905168)
24,GO:0006265,DNA topological change,GO:0006265,0.1946377,8.095361,39.98431,TOP3B;TOP3A;TOP1;TDRD3,DNA Topological Change (GO:0006265)
25,GO:2000628,regulation of miRNA metabolic process,GO:2000628,0.1946377,8.095361,39.98431,SMAD3;RC3H1;NFKB1;RC3H2,Regulation of miRNA Metabolic Process (GO:2000628)
26,GO:0071694,maintenance of protein location in extracellular region,GO:0071694,0.2681562,inf,inf,FBN2;FBN1,Maintenance of Protein Location in Extracellular Region (GO:0071694)
27,GO:1904948,midbrain dopaminergic neuron differentiation,GO:1904948,0.2681562,inf,inf,CTNNB1;LRP6,Midbrain Dopaminergic Neuron Differentiation (GO:1904948)
28,GO:0038092,nodal signaling pathway,GO:0038092,0.2681562,inf,inf,SMAD2;SMAD3,Nodal Signaling Pathway (GO:0038092)
29,GO:0099172,presynapse organization,GO:0099172,0.2681562,inf,inf,DVL1;CLASP2,Presynapse Organization (GO:0099172)
30,GO:0010608,post-transcriptional regulation of gene expression,GO:0010608,0.2681562,2.483384,11.06952,NAT10;RC3H1;NOLC1;ELP4;PARP9;ELP5;MEX3D;ELP6;SPOUT1;PUM3;METAP1,Post-Transcriptional Regulation of Gene Expression (GO:0010608)
31,GO:0045623,negative regulation of T-helper cell differentiation,GO:0045623,0.2681562,inf,inf,RC3H1;RC3H2,Negative Regulation of T-helper Cell Differentiation (GO:0045623)
32,GO:0090670,RNA localization to Cajal body,GO:0090670,0.2681562,6.475258,28.76205,DKC1;NHP2;NOP10;WRAP53,RNA Localization to Cajal Body (GO:0090670)
33,GO:2000317,negative regulation of T-helper 17 type immune response,GO:2000317,0.2681562,inf,inf,RC3H1;RC3H2,Negative Regulation of T-helper 17 Type Immune Response (GO:2000317)
34,GO:1901880,negative regulation of protein depolymerization,GO:1901880,0.3766362,4.049032,16.07008,TPX2;NAV3;PIK3CA;CAMSAP2;CLASP2,Negative Regulation of Protein Depolymerization (GO:1901880)
35,GO:0042753,positive regulation of circadian rhythm,GO:0042753,0.3841436,8.086229,31.33984,FBXW11;BMAL2;CLOCK,Positive Regulation of Circadian Rhythm (GO:0042753)
36,GO:0035994,response to muscle stretch,GO:0035994,0.3841436,8.086229,31.33984,CDH2;PIK3CA;CTNNB1,Response to Muscle Stretch (GO:0035994)
37,GO:0045006,DNA deamination,GO:0045006,0.3841436,8.086229,31.33984,EXOSC6;EXOSC5;APOBEC3B,DNA Deamination (GO:0045006)
38,GO:0035563,positive regulation of chromatin binding,GO:0035563,0.3841436,8.086229,31.33984,MED25;DTX3L;PARP9,Positive Regulation of Chromatin Binding (GO:0035563)
39,GO:1902412,regulation of mitotic cytokinesis,GO:1902412,0.3841436,8.086229,31.33984,INCENP;BIRC5;CDCA8,Regulation of Mitotic Cytokinesis (GO:1902412)
40,GO:0019538,protein metabolic process,GO:0019538,0.3998099,1.405986,5.380598,MRPS15;RPL31;MRPL34;MRPL35;MRPL32;MRPL41;RPS15;MRPL42;MRPL3;MRPL40;RPL36;RPL35;MRPL9;RPS13;RPS9;RPS6;MRPS18A;RPS3A;FBXO11;MRPL43;MRPS5;MRPL52;MRPL51;RPL37A;KCTD11;RPL26;RPL29;THOP1;CPB2;MRPL18;MRPS33;SRBD1;RPL36A;PLG;MRPL12;MRPL13;MRPL10;MRPL55;RPL19;USP9X;FUS;RPL23A;MRPL23;MRPL24;MRPL30;FAM111A;FAU;RSL24D1;METAP1;RPS24,Protein Metabolic Process (GO:0019538)
41,GO:0070131,positive regulation of mitochondrial translation,GO:0070131,0.4456788,4.623711,16.91686,TRUB2;NGRN;RPUSD3;RCC1L,Positive Regulation of Mitochondrial Translation (GO:0070131)
42,GO:0035581,sequestering of extracellular ligand from receptor,GO:0035581,0.5058096,16.15681,54.71191,FBN2;FBN1,Sequestering of Extracellular Ligand From Receptor (GO:0035581)
43,GO:0048520,positive regulation of behavior,GO:0048520,0.5058096,16.15681,54.71191,CFAP20;NPAS2,Positive Regulation of Behavior (GO:0048520)
44,GO:2000197,regulation of ribonucleoprotein complex localization,GO:2000197,0.5058096,6.063707,20.62012,SETD2;SUPT6H;IWS1,Regulation of Ribonucleoprotein Complex Localization (GO:2000197)
45,GO:0048048,embryonic eye morphogenesis,GO:0048048,0.5058096,16.15681,54.71191,FBN2;FBN1,Embryonic Eye Morphogenesis (GO:0048048)
46,GO:0007613,memory,GO:0007613,0.5058096,3.373118,11.57412,ATXN1;CIC;PJA2;METAP1;NFATC4,Memory (GO:0007613)
47,GO:0000022,mitotic spindle elongation,GO:0000022,0.5058096,6.063707,20.62012,INCENP;BIRC5;CDCA8,Mitotic Spindle Elongation (GO:0000022)
48,GO:1902425,positive regulation of attachment of mitotic spindle microtubules to kinetochore,GO:1902425,0.5058096,6.063707,20.62012,INCENP;BIRC5;CDCA8,Positive Regulation of Attachment of Mitotic Spindle Microtubules to Kinetochore (GO:1902425)
49,GO:0048709,oligodendrocyte differentiation,GO:0048709,0.5058096,6.063707,20.62012,EIF2B5;EIF2B2;NSUN5,Oligodendrocyte Differentiation (GO:0048709)
50,GO:0007292,female gamete generation,GO:0007292,0.5247274,4.045103,13.52064,USP9X;PARN;FMN2;LSM14B,Female Gamete Generation (GO:0007292)
51,GO:0051093,negative regulation of developmental process,GO:0051093,0.601889,2.146487,6.805284,SMAD2;SUZ12;SS18;SMARCD1;SMAD3;SAP130;PHF14;RC3H1;BRD9,Negative Regulation of Developmental Process (GO:0051093)
52,GO:0046831,regulation of RNA export from nucleus,GO:0046831,0.6476173,3.595074,11.01362,SETD2;NCBP2;SUPT6H;IWS1,Regulation of RNA Export From Nucleus (GO:0046831)
53,GO:0030514,negative regulation of BMP signaling pathway,GO:0030514,0.6476173,3.595074,11.01362,DLX1;MTMR4;LEMD3;FBN1,Negative Regulation of BMP Signaling Pathway (GO:0030514)
54,GO:0001682,tRNA 5'-leader removal,GO:0001682,0.6712639,4.850193,14.62095,POP7;RPP40;RPP38,tRNA 5'-Leader Removal (GO:0001682)
55,GO:0014033,neural crest cell differentiation,GO:0014033,0.6712639,4.850193,14.62095,CDH2;NOLC1;LRP6,Neural Crest Cell Differentiation (GO:0014033)
56,GO:0008334,histone mRNA metabolic process,GO:0008334,0.678406,2.890323,8.626188,SLBP;TUT7;NCBP2;ERI1;LSM1,Histone mRNA Metabolic Process (GO:0008334)
57,GO:0045727,positive regulation of translation,GO:0045727,0.7129846,1.722446,5.044018,EIF2B5;TRUB2;NSUN5;FMR1;SAMD4A;UPF3B;NAT10;UPF3A;YBX1;YBX3;RCC1L;NGRN;RPUSD3;RPL26,Positive Regulation of Translation (GO:0045727)
58,GO:0062028,regulation of stress granule assembly,GO:0062028,0.7378093,8.077121,22.36264,G3BP1;G3BP2,Regulation of Stress Granule Assembly (GO:0062028)
59,GO:0001944,vasculature development,GO:0001944,0.7378093,8.077121,22.36264,ERRFI1;PIK3CA,Vasculature Development (GO:0001944)
60,GO:2000036,regulation of stem cell population maintenance,GO:2000036,0.7378093,2.090924,5.90459,SS18;SMARCD1;PHF10;NCOA3;SAP130;BRD9;WDR43;TAF5L,Regulation of Stem Cell Population Maintenance (GO:2000036)
61,GO:2000781,positive regulation of double-strand break repair,GO:2000781,0.7378093,1.77017,4.956798,SMARCD1;CREBBP;MEAF6;PHF10;VPS72;FUS;EP400;EPC2;FMN2;ERCC6;ARID2;WRAP53,Positive Regulation of Double-Strand Break Repair (GO:2000781)
62,GO:0032958,inositol phosphate biosynthetic process,GO:0032958,0.7378093,8.077121,22.36264,ITPKC;PPIP5K2,Inositol Phosphate Biosynthetic Process (GO:0032958)
63,GO:0033234,negative regulation of protein sumoylation,GO:0033234,0.7378093,8.077121,22.36264,GNL3L;CTNNB1,Negative Regulation of Protein Sumoylation (GO:0033234)
64,GO:1905954,positive regulation of lipid localization,GO:1905954,0.7378093,8.077121,22.36264,C1D;NFKB1,Positive Regulation of Lipid Localization (GO:1905954)
65,GO:1902903,regulation of supramolecular fiber organization,GO:1902903,0.7378093,2.697204,7.52063,PIK3CA;CAMSAP1;METAP1;CAMSAP2;CLASP2,Regulation of Supramolecular Fiber Organization (GO:1902903)
66,GO:2000773,negative regulation of cellular senescence,GO:2000773,0.7459649,4.041184,10.88051,PTEN;YBX1;TERF2,Negative Regulation of Cellular Senescence (GO:2000773)
67,GO:0030575,nuclear body organization,GO:0030575,0.7459649,4.041184,10.88051,SRPK2;ETS1;WRAP53,Nuclear Body Organization (GO:0030575)
68,GO:0031641,regulation of myelination,GO:0031641,0.7459649,4.041184,10.88051,RNF10;NSUN5;DICER1,Regulation of Myelination (GO:0031641)
69,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0000079,0.7599897,2.312661,6.159332,BLM;CCNK;CDC37;PTEN;NR2F2;GTPBP4,Regulation of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079)
70,GO:0007420,brain development,GO:0007420,0.7887718,1.707511,4.466462,ARNT2;ATXN1;PITPNM1;FBXW11;TUBGCP2;UTP3;DHX37;RAPGEF2;CIC;EML1;BPTF;PHF8,Brain Development (GO:0007420)
71,GO:2000008,regulation of protein localization to cell surface,GO:2000008,0.7945398,2.940487,7.625102,CTNNB1;STX4;METAP1;PICALM,Regulation of Protein Localization to Cell Surface (GO:2000008)
72,GO:0044827,modulation by host of viral genome replication,GO:0044827,0.7945398,2.940487,7.625102,CCNK;FMR1;YTHDC2;DDX56,Modulation by Host of Viral Genome Replication (GO:0044827)
73,GO:0010526,retrotransposon silencing,GO:0010526,0.8492962,3.029923,6.612064,TUT7;MPHOSPH8;APOBEC3B,Transposable Element Silencing (GO:0010526)
74,GO:0007512,adult heart development,GO:0007512,0.8492962,inf,inf,MEF2D,Adult Heart Development (GO:0007512)
