term,fdr,Odds Ratio,Combined Score,Genes,description
ISOSORBIDE DINITRATE,0.9999079,inf,inf,GUCY1A1;GUCY1B1,ISOSORBIDE DINITRATE
LORATADINE,0.9999079,inf,inf,MAPK1;MPO,LORATADINE
MIDAZOLAM,0.9999079,inf,inf,TPM3;TGM2,MIDAZOLAM
ALFUZOSIN,0.9999079,inf,inf,GAA;HSD17B10,ALFUZOSIN
CALCITRIOL,0.9999079,inf,inf,TG;GDF15,CALCITRIOL
IBUDILAST,0.9999079,inf,inf,PDE3A;PDE5A,IBUDILAST
LEVOSIMENDAN,0.9999079,inf,inf,TNNC1;PDE3A,LEVOSIMENDAN
GANETESPIB,0.9999079,inf,inf,HSP90AA1;HSP90AB1,GANETESPIB
PIROXICAM,0.9999079,inf,inf,GGT1;PTGS1,PIROXICAM
PYRIDOSTIGMINE,0.9999079,inf,inf,ACHE;CBX1,PYRIDOSTIGMINE
TRIMETHOPRIM,0.9999079,inf,inf,CBX1;MPO,TRIMETHOPRIM
URIDINE,0.9999079,inf,inf,SERPINE1;SLC29A1,URIDINE
PAZOPANIB,0.9999079,1.451327,2.329505,PDGFRB;PDGFRA;CSF1R;FLT4;HLA-B;PTK2;EWSR1;LCK;TAOK1;KIT;SCGB3A1;FYN;FGFR3;FGFR2;MAP4K4;FGFR1,PAZOPANIB
ILORASERTIB,0.9999079,1.234247,1.833533,CAMK2B;CSF1R;CAMK2D;ROCK1;SRC;ROCK2;FLT4;PAK1;SLK;FYN;CAMK2G;MAP4K4;PDGFRB;LYN;PDGFRA;NTRK2;MAP2K2;SYK;INSR;PRKCD;IRAK4;MAPK14;PTK2;FGR;HCK;LCK;AXL;TAOK1;KIT;BTK;TYRO3;CAMK1;FGFR3;FGFR1,ILORASERTIB
ATORVASTATIN,0.9999079,1.586702,2.34583,POR;ITGAM;LIPC;CD40LG;LEPR;TFPI;APOA5;HLA-DRB1;TGM2;HSPD1,ATORVASTATIN
NAPROXEN,0.9999079,3.806167,5.602463,CBX1;SAA1;PTGS1,NAPROXEN
X 82,0.9999079,3.806167,5.602463,PDGFRB;PDGFRA;FLT4,X 82
LAMOTRIGINE,0.9999079,3.806167,5.602463,PPT1;HLA-C;HLA-DRB1,LAMOTRIGINE
ORLISTAT,0.9999079,3.806167,5.602463,FASN;SERPINE1;LPL,ORLISTAT
PSEUDOEPHEDRINE,0.9999079,3.806167,5.602463,PKM;HSD17B10;GLA,PSEUDOEPHEDRINE
MERCAPTOPURINE,0.9999079,1.631919,2.381718,FTO;PRPS1;CPT1A;FOLH1;PPAT;HPRT1;COMT;SLC29A1;HLA-DRB1,MERCAPTOPURINE
INFLIXIMAB,0.9999079,1.692238,2.440366,ADAM17;HLA-B;HLA-DPB1;HLA-C;HLA-DRB1;IVL;HLA-E;TLR2,INFLIXIMAB
PREDNISONE,0.9999079,1.692238,2.440366,ANXA1;TG;PTPRC;VWF;ITGB2;APOE;HSD17B10;BMP7,PREDNISONE
MENADIONE,0.9999079,1.692238,2.440366,F7;PROC;F9;MAOB;F10;PROS1;PROZ;F2,MENADIONE
DORAMAPIMOD,0.9999079,1.692238,2.440366,PDGFRB;LYN;NTRK2;LCK;FLT4;TYRO3;MAPK14;MAP4K4,DORAMAPIMOD
NICOTINE,0.9999079,1.776722,2.535881,POR;TGFB1;EPB41;NRXN1;APOE;CP;ELANE,NICOTINE
MORPHINE,0.9999079,1.776722,2.535881,ITGAM;TAOK3;TBXA2R;TXNRD2;MAPK14;HMOX2;TLR2,MORPHINE
PHENYTOIN,0.9999079,2.537627,3.616991,TG;CFHR4;SLC2A1;GGT1,PHENYTOIN
XL228,0.9999079,2.537627,3.616991,SRC;FGFR3;FGFR2;FGFR1,XL228
THEOPHYLLINE,0.9999079,2.537627,3.616991,PRKAR2B;PDE3A;PDE5A;MPO,THEOPHYLLINE
GABAPENTIN,0.9999079,2.537627,3.616991,SLC7A5;CACNA2D2;COMT;ENO2,GABAPENTIN
AMOXICILLIN,0.9999079,2.537627,3.616991,HLA-B;HLA-DPB1;HLA-C;HLA-DRB1,AMOXICILLIN
HYDROCORTISONE,0.9999079,2.537627,3.616991,ITGAM;ANXA1;NFKB1;ADA,HYDROCORTISONE
TACROLIMUS,0.9999079,2.537627,3.616991,FKBP1A;HSD11B1;IL18;SPP1,TACROLIMUS
ETANERCEPT,0.9999079,1.903494,2.69668,CD84;HLA-B;GHRL;NFKB1;HLA-DRB1;HLA-E,ETANERCEPT
CARBAMAZEPINE,0.9999079,1.903494,2.69668,BAG6;RALBP1;HLA-B;GGT1;HLA-DRB1;PRRC2A,CARBAMAZEPINE
ANG1005,0.9999079,1.903494,2.69668,LRP1;TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A,ANG1005
NILOTINIB,0.9999079,2.114841,2.989594,PDGFRB;PDGFRA;KIT;ABI1;DDR2,NILOTINIB
PENTOXIFYLLINE,0.9999079,2.114841,2.989594,PCNA;VWF;ITGB2;PDE3A;PDE5A,PENTOXIFYLLINE
DIGOXIN,0.9999079,2.114841,2.989594,STAT3;ATP1B3;ATP1A1;CCN2;ATP1B1,DIGOXIN
QUIZARTINIB,0.9999079,2.114841,2.989594,PDGFRB;CSF1R;PDGFRA;KIT;IDH2,QUIZARTINIB
BRIVANIB,0.9999079,2.114841,2.989594,FLT4;FGFR4;FGFR3;FGFR2;FGFR1,BRIVANIB
AGS 16C3F,0.9999079,2.114841,2.989594,TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A,AGS 16C3F
ASPIRIN,0.9999079,1.349017,1.892575,COL18A1;FCER1G;ECHS1;TGFB1;ITGA2B;F13A1;PLA2G4A;GP6;AGT;TAPBP;PTGS1;TBXAS1;HLA-DPB1;CDH13;CDH15;LPA;HLA-DRB1,ASPIRIN
BEVACIZUMAB,0.9999079,1.367033,1.806431,PDGFRB;CCT3;RALBP1;HSP90AB1;SHMT1;VEGFC;ANXA11;THBS2;ARID1A;MMP9;EML4;KIT;KRAS;CSPG4,BEVACIZUMAB
DOVITINIB,0.9999079,1.222779,1.573441,CSF1R;CAMK2D;ROCK2;SRC;FLT4;SLK;FYN;CAMK2G;MAP4K4;PDGFRB;LYN;PDGFRA;NTRK2;MAP2K2;INSR;PRKCD;HCK;LCK;AXL;KIT;BTK;TYRO3;FGFR4;FGFR3;FGFR2;FGFR1,DOVITINIB
QUERCETIN,0.9999079,1.384587,1.750238,APEX1;PON1;GSR;HSPB1;TOP1;F2;CD34;HSD17B10;RELA;NFKB1;NFKB2;GALK1,QUERCETIN
ETOPOSIDE,0.9999079,1.396024,1.723087,TOP2B;ACTR2;TGFB1;GDF15;PGP;MAPK1;ITGAL;EIF4E;SF3B1;TNFSF13B;FGFR1,ETOPOSIDE
VANDETANIB,0.9999079,1.269139,1.453817,PDGFRB;PDGFRA;MAP2K2;ROCK2;SRC;FLT4;MAPK14;LCK;AXL;TYRO3;BTK;FYN;KRAS;MAP4K4;FGFR1,VANDETANIB
PREDNISOLONE,0.9999079,1.450102,1.651371,G6PD;ANXA1;TG;RPS19;RAC2;LCAT;HMGB1;CD34,PREDNISOLONE
WARFARIN,0.9999079,1.450102,1.651371,CRP;FGFBP2;PROC;LRP1;VWF;ASPH;PROS1;STX4,WARFARIN
SNS 314,0.9999079,1.268865,1.329636,CAMK2B;PDGFRB;NTRK2;CAMK2D;SLK;ROCK2;PRKCD;KIT;TYRO3;IRAK4;CAMK2G;PTK2,SNS 314
TRASTUZUMAB EMTANSINE,0.9999079,1.585707,1.632004,TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A,TRASTUZUMAB EMTANSINE
IXABEPILONE,0.9999079,1.585707,1.632004,TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A,IXABEPILONE
ACETAMINOPHEN,0.9999079,1.585707,1.632004,HSPA8;PLA2G4A;COMT;CD44;PTGS1,ACETAMINOPHEN
MK 2461,0.9999079,1.585707,1.632004,PDGFRB;NTRK2;FLT4;FGFR2;FGFR1,MK 2461
ENALAPRIL,0.9999079,1.585707,1.632004,HSPA4;APEX1;GSR;PDE5A;AGT,ENALAPRIL
EPOTHILONE D,0.9999079,1.585707,1.632004,TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A,EPOTHILONE D
DOLASTATIN 10,0.9999079,1.585707,1.632004,TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A,DOLASTATIN 10
ABT 751,0.9999079,1.585707,1.632004,TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A,ABT 751
DOXORUBICIN,0.9999079,1.158659,1.160635,H2AX;GSTM3;TOP2B;NTRK2;G6PD;CPT1A;TGFB1;GPX3;SRC;XRCC1;RPSA;MAPK14;SDHB;BMP7;LRP1B;AKR7A2;NT5E;FCGR2A;APEX1;TOP1;TGM2,DOXORUBICIN
FORETINIB,0.9999079,1.691299,1.669815,PDGFRB;PDGFRA;FLT4;KIT,FORETINIB
MOTESANIB,0.9999079,1.691299,1.669815,PDGFRB;PDGFRA;FLT4;KIT,MOTESANIB
INTERFERON BETA 1A,0.9999079,1.691299,1.669815,HLA-B;GAPVD1;HLA-DRB1;IFNAR1,INTERFERON BETA 1A
THALIDOMIDE,0.9999079,1.268682,1.238405,DDB1;VWF;XRCC5;ITGB2;HLA-B;RPL13;IL6R;NFKB1;FGFR2;CHST3,THALIDOMIDE
OCTREOTIDE,0.9999079,1.902575,1.790046,IGFBP1;TG;MPO,OCTREOTIDE
RESERPINE,0.9999079,1.902575,1.790046,NT5E;CBX1;LPL,RESERPINE
TRIAMTERENE,0.9999079,1.902575,1.790046,GAA;HSPB1;HSD17B10,TRIAMTERENE
LUCITANIB,0.9999079,1.902575,1.790046,FLT4;FGFR2;FGFR1,LUCITANIB
AS703569,0.9999079,1.902575,1.790046,LYN;KIT;BTK,AS703569
TICLOPIDINE,0.9999079,1.902575,1.790046,HLA-B;HLA-A;HLA-DRB1,TICLOPIDINE
BUMETANIDE,0.9999079,1.902575,1.790046,MAPK1;HSD17B10;ADD1,BUMETANIDE
BMS 754807,0.9999079,1.902575,1.790046,NTRK2;AXL;INSR,BMS 754807
ERDAFITINIB,0.9999079,1.902575,1.790046,FGFR3;FGFR2;FGFR1,ERDAFITINIB
AMUVATINIB,0.9999079,1.902575,1.790046,PDGFRB;PDGFRA;KIT,AMUVATINIB
AMSACRINE,0.9999079,1.902575,1.790046,TOP2B;CBX1;HSD17B10,AMSACRINE
BETAMETHASONE,0.9999079,1.902575,1.790046,ACHE;ANXA1;HMOX2,BETAMETHASONE
COLCHICINE,0.9999079,1.268591,1.18926,ANPEP;TUBB;ITGB2;TUBB1;IL18;SRI;TUBB4B;TUBB4A;TUBA4A,COLCHICINE
LOVASTATIN,0.9999079,1.268591,1.18926,CETP;NT5E;LPL;TFPI;THBS1;LIPA;LDLR;APOA5;FDFT1,LOVASTATIN
CURCUMIN,0.9999079,1.178001,1.061254,APP;TUBB;CAMK2A;TUBB4B;MMP9;TUBB4A;TUBA4A;PTGS1;THBD;ANPEP;TUBB1;CCN2;TOP1,CURCUMIN
LEUCOVORIN,0.9999079,1.2685,1.137051,PDGFRB;RALBP1;SHMT1;DPYD;KRAS;CSPG4;KLC1;FGFR2,LEUCOVORIN
DIAZOXIDE,0.9999079,2.536585,2.250256,NT5E;LPL,DIAZOXIDE
SEVOFLURANE,0.9999079,2.536585,2.250256,ATP2C1;ATP5F1D,SEVOFLURANE
DIAZEPAM,0.9999079,2.536585,2.250256,G6PD;SLC2A1,DIAZEPAM
RANITIDINE,0.9999079,2.536585,2.250256,F8;HSPA4,RANITIDINE
SAFINAMIDE,0.9999079,2.536585,2.250256,MAOB;CACNA2D2,SAFINAMIDE
TANESPIMYCIN,0.9999079,2.536585,2.250256,HSP90AA1;HSP90AB1,TANESPIMYCIN
HARMINE,0.9999079,2.536585,2.250256,APEX1;HSD17B10,HARMINE
ISOTRETINOIN,0.9999079,2.536585,2.250256,TG;LPL,ISOTRETINOIN
TENIPOSIDE,0.9999079,2.536585,2.250256,TOP2B;NOP2,TENIPOSIDE
FLUTAMIDE,0.9999079,2.536585,2.250256,PEBP1;MPO,FLUTAMIDE
ACARBOSE,0.9999079,2.536585,2.250256,GAA;LPL,ACARBOSE
BEPRIDIL,0.9999079,2.536585,2.250256,TNNC1;ATP1A1,BEPRIDIL
BRIGATINIB,0.9999079,2.536585,2.250256,EML4;FGFR1,BRIGATINIB
NORGESTREL,0.9999079,2.536585,2.250256,HSPA5;SHBG,NORGESTREL
TOPIRAMATE,0.9999079,2.536585,2.250256,INSR;CA4,TOPIRAMATE
