Protein_Group	Genes	TRM_day15_vs_MoMacs_day15_logFC	TRM_day15_vs_MoMacs_day15_pval	Removed?	Contaminant?
Q60973	Rbbp7	2.6240028661548	0.0023045104455372	No	No
Q60996	Ppp2r5c	3.77389173954204	0.0003500393261762	No	No
Q61035	Hars1	2.96428967484082	0.0017979740892153	No	No
Q61074	Ppm1g	2.69590726688665	0.0081348943561966	No	No
Q61171	Prdx2	2.57642976651352	0.0011715275975872	No	No
Q61206	Pafah1b2	2.29745228596604	0.0016208956891029	No	No
Q61233	Lcp1	2.78640923620888	4.5427775389058e-05	No	No
Q61316	Hspa4	2.79085648890067	0.0018154861167473	No	No
Q61425	Hadh	4.5438801704759	1.34132634922081e-05	No	No
Q61503	Nt5e	5.76618649267809	4.57047085594384e-08	No	No
Q61598	Gdi2	2.63494618001747	0.000231380243377	No	No
Q61753	Phgdh	4.00733181933136	0.000633663379607	No	No
Q61830	Mrc1	3.56585248167473	1.21298907038656e-06	No	No
Q61838	Pzp	5.44777263889889	1.77004387845243e-05	No	No
Q61937	Npm1	2.54942676866856	0.0073694225876329	No	No
Q62167	Ddx3x	3.43313536774001	0.0098583482312408	No	No
Q62186	Ssr4	8.01064464335579	1.58651231742413e-08	No	No
Q62348	Tsn	3.18008285182603	0.0002251747126147	No	No
Q62376	Snrnp70	4.87055172972478	0.001224226679066	No	No
Q62426	Cstb	2.50529507252175	0.0027309677875377	No	No
Q62446	Fkbp3	4.18046361609747	6.92067492853594e-05	No	No
Q62448	Eif4g2	2.9064297140838	0.0047217732862346	No	No
Q62465	Vat1	3.16574911664591	0.0027066821593726	No	No
Q64010	Crk	3.10176707655032	0.0050316672953926	No	No
Q64152	Btf3	7.35730332307269	3.20692256926578e-08	No	No
Q64433	Hspe1	2.75294572408985	0.0098856790659058	No	No
Q64467	Gapdhs	3.75824951434777	0.0011633523028167	No	No
Q64737	Gart	4.49489843250087	1.86027557440576e-05	No	No
Q68FD5	Cltc	2.32086095968977	0.0019532076294564	No	No
Q6NZJ6	Eif4g1	2.7649228281518	0.0065050611355985	No	No
Q6P1B1	Xpnpep1	3.15107966865281	0.0072465988581011	No	No
Q6PHU5	Sort1	5.32666747971473	9.01088443680119e-07	No	No
Q6PIP5	Nudcd1	3.27810008392597	0.0071214739767563	No	No
Q6R0H7	Gnas	2.75773456690876	0.0016306786939882	No	No
Q6ZQ38	Cand1	2.3972046564126	0.002299589412494	No	No
Q76MZ3	Ppp2r1a	2.69211124433529	0.0014117370051111	No	No
Q78JE5	Fbxo22	3.83161082810852	0.0004726349607312	No	No
Q7M6Y3	Picalm	3.69052478177797	0.0001886051029164	No	No
Q7TMK9	Syncrip	3.55838499345583	0.0039568939186956	No	No
Q7TMQ7	Wdr91	4.21412158279679	5.59158569473859e-05	No	No
Q7TMR0	Prcp	3.54604104202293	0.0037309218308596	No	No
Q7TN29	Smap2	2.93645884289453	0.0064739341054989	No	No
Q7TNC4	Luc7l2	2.89536193667005	0.0082365261284832	No	No
Q7TNG5	Eml2	3.35820769536205	8.07998906037303e-05	No	No
Q7TPR4	Actn1	3.72106192813668	4.56492402556436e-07	No	No
Q7TQI3	Otub1	3.08269939196885	0.0032950421565973	No	No
Q7TSV4	Pgm2	3.26988974207735	0.0025768021723128	No	No
Q80UG5	Septin9	4.41559221448711	0.0005229126560465	No	No
Q810A7	Ddx42	4.3799787489261	0.0076856142212289	No	No
Q8BFR4	Gns	4.91111570025697	6.25854649148289e-06	No	No
Q8BFR5	Tufm	9.14906188405986	5.03386503552777e-09	No	No
Q8BFY6	Pef1	2.65040966345161	0.008232166886614	No	No
Q8BGB7	Enoph1	5.90468626047831	1.08033508814832e-09	No	No
Q8BH24	Tm9sf4	8.02722314454692	7.222834077979121e-09	No	No
Q8BHG1	Nrdc	2.81841352708431	0.0013939451103675	No	No
Q8BHN3	Ganab	4.48504057814806	1.71705629673363e-05	No	No
Q8BI08	Mal2	7.93871898669793	6.2970839144713e-09	No	No
Q8BJW6	Eif2a	3.46112087359692	0.0001346695394659	No	No
Q8BJY1	Psmd5	2.02569838835943	0.0023716542615824	No	No
Q8BL66	Eea1	6.07617307283731	0.0011547715266417	No	No
Q8BMK4	Ckap4	3.6461181567665	0.0068877089563391	No	No
Q8BSL7	Arf2	3.23179722478814	0.0015102585653726	No	No
Q8BT60	Cpne3	3.03206437351954	0.0039996149142302	No	No
Q8BTM8	Flna	2.59485418399382	0.0007541977581275	No	No
Q8BV13	Cops7b	4.41444618584745	2.43589135478782e-05	No	No
Q8BVG4	Dpp9	2.65535007238357	0.0039106018452013	No	No
Q8BVI4	Qdpr	2.95431965840086	4.22147805764688e-06	No	No
Q8BWT1	Acaa2	3.0245055111915	8.33654929763437e-05	No	No
Q8BX10	Pgam5	4.1705754698384	0.0060155468178839	No	No
Q8BYW1	Arhgap25	3.14927685284722	0.0061250502846495	No	No
Q8C0E2	Vps26b	4.02360595428271	1.68683721532389e-06	No	No
Q8C0J2	Atg16l1	2.92635974520218	0.0043197402557558	No	No
Q8C1B7	Septin11	2.63828749810528	0.0033950339592511	No	No
Q8C7J6	Kctd12b	6.97909766851872	2.8149103168388797e-12	No	No
Q8C7X2	Emc1	4.42210170235322	0.0080001768521804	No	No
Q8CA72	Gan	8.43217907845886	3.70613909978116e-07	No	No
Q8CC86	Naprt	2.49774724935431	0.0035017432199047	No	No
Q8CFE4	Scyl2	3.29222421661987	0.0078836961220007	No	No
Q8CGC7	Eprs1	4.34027165722259	0.0015080256260613	No	No
Q8CI51	Pdlim5	5.90479766178531	0.0007089265610779	No	No
Q8CIE6	Copa	2.58912559635172	0.0043939984547121	No	No
Q8CJG0	Ago2	3.69838494783643	0.0048455499663041	No	No
Q8JZQ9	Eif3b	2.76811304950611	0.0062584219686367	No	No
Q8K010	Oplah	4.70057968156442	0.0053698593916839	No	No
Q8K0C9	Gmds	2.45192708507028	0.009758301547998	No	No
Q8K0E8	Fgb	6.8434567475591	8.93638556562339e-07	No	No
Q8K0G5	Eipr1	3.99080977420068	0.0015803553399459	No	No
Q8K157	Galm	4.34154804117768	2.56104649403572e-06	No	No
Q8K1J6	Trnt1	3.53659150152122	0.004397573193138	No	No
Q8K1R7	Nek9	2.99707865014044	0.0050881449374517	No	No
Q8K2I4	Manba	2.02730012588453	0.002081396359558	No	No
Q8K2T8	Paf1	5.43053303866299	6.37134440976215e-06	No	No
Q8K310	Matr3	3.29939576319408	0.0038759080591699	No	No
Q8K3P0	Sdr9c7	3.76032823292793	0.0034816900847883	No	No
Q8K4Z3	Naxe	4.05134115246825	0.0009998216265655	No	No
Q8R016	Blmh	2.69741712150647	0.0037252066889495	No	No
Q8R0W0	Eppk1	3.49943319796077	0.0096205042332657	No	No
Q8R146	Apeh	3.0792115595015	0.0003922885752866	No	No
Q8R180	Ero1a	4.40815682083546	0.0003527958445875	No	No
Q8R1F1	Niban2	3.27191808526297	0.000501430623268	No	No
Q8R242	Ctbs	4.54759307891346	5.43993323207162e-06	No	No
Q8R2Q0	Trim29	4.11000557858218	0.0041640403802148	No	No
Q8R317	Ubqln1	6.10416603134751	7.80676099118242e-10	No	No
Q8R3I3	Cog6	4.19850573786471	0.0060386041493181	No	No
Q8R5A3	Apbb1ip	3.11160016730998	0.0003250690244052	No	No
Q8R5A6	Tbc1d22a	3.16655733786497	0.0034850443413225	No	No
Q8R5F8	Eps8l1	5.04996028218745	0.0031671602764808	No	No
Q8VBV3	Exosc2	4.01292415747293	0.0060575552942117	No	No
Q8VCH6	Dhcr24	7.51421056420399	1.48445126071439e-07	No	No
Q8VCH8	Ubxn4	3.37978565841675	2.75312642982866e-05	No	No
Q8VCM7	Fgg	3.87816777776514	1.35457877738419e-05	No	No
Q8VCM8	Ncln	6.21403133740239	1.60549238010028e-05	No	No
Q8VCR7	Abhd14b	4.33309126423271	0.0010770397470756	No	No
Q8VCT3	Rnpep	2.13974427948057	0.0049236867256386	No	No
Q8VCT4	Ces1d	4.88891141671588	9.76736094356196e-08	No	No
Q8VD75	Hip1	4.14282680178765	0.0001971417418856	No	No
Q8VDQ8	Sirt2	2.75074325756634	0.0057730645242899	No	No
Q8VEB4	Pla2g15	3.49723652418059	9.78177627934223e-06	No	No
Q8VEM8	Slc25a3	4.60078335183682	0.0096625278838216	No	No
Q91V41	Rab14	4.4261292041997	0.0003811128432156	No	No
