,parent,parentTerm,term,ES,NES,fdr,Gene %,Genes,description
58,GO:0006027,glycosaminoglycan catabolic process,GO:0006027,0.6755087234866528,1.4129903995646496,0.6961786592426598,0.07%,CEMIP,GO_Biological_Process_2023__Glycosaminoglycan Catabolic Process (GO:0006027)
59,GO:0051123,RNA polymerase II preinitiation complex assembly,GO:0051123,0.5415716912479449,1.440491249939896,0.6967161665742148,23.62%,TAF11;MED9;MED7;GTF2A1;TAF4;GTF2B;MED22;MED29;TAF13;GTF2A2;MED30;TAF10;TAF9;MED11;TAF8;MED21;MED28;MED15;MED10,GO_Biological_Process_2023__RNA Polymerase II Preinitiation Complex Assembly (GO:0051123)
60,GO:0070373,negative regulation of ERK1 and ERK2 cascade,GO:0070373,0.6025462776913921,1.4902251053528237,0.6986439260664287,5.82%,SPRY2;TNIP1;RGS14;TIMP3;SPRED2,GO_Biological_Process_2023__Negative Regulation Of ERK1 And ERK2 Cascade (GO:0070373)
61,GO:0009896,positive regulation of catabolic process,GO:0009896,0.5256782002538418,1.4435509647976987,0.6987168541827052,3.42%,DACT1;APOA2;PLK2;TNFAIP3;VGLL4;AXIN1,GO_Biological_Process_2023__Positive Regulation Of Catabolic Process (GO:0009896)
62,GO:0009746,response to hexose,GO:0009746,0.661367601048498,1.444692123289138,0.698973346000085,9.66%,APOA2;SELENOT;SELENOS;ZBED3,GO_Biological_Process_2023__Response To Hexose (GO:0009746)
63,GO:0032233,positive regulation of actin filament bundle assembly,GO:0032233,0.5772236864226702,1.4974143027900857,0.6997607873688461,5.72%,PPM1E;PFN1;LIMCH1;TGFB3;CCN2,GO_Biological_Process_2023__Positive Regulation Of Actin Filament Bundle Assembly (GO:0032233)
64,GO:0051224,negative regulation of protein transport,GO:0051224,0.6829376117469501,1.4988587202450652,0.7003578406851348,6.31%,APOE;NDFIP2;NDFIP1;HMGCR,GO_Biological_Process_2023__Negative Regulation Of Protein Transport (GO:0051224)
65,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,GO:0007188,0.5745039844963397,1.444719825751568,0.7036993000855676,1.83%,GNAZ;ADM;ADGRG6;ADGRG2;ADCY3,GO_Biological_Process_2023__Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188)
66,GO:0090329,regulation of DNA-templated DNA replication,GO:0090329,0.6824649487024789,1.499261462404157,0.7053991190159845,16.61%,METTL4;GMNN;BLM;TIPIN;WRNIP1,GO_Biological_Process_2023__Regulation Of DNA-templated DNA Replication (GO:0090329)
67,GO:0070098,chemokine-mediated signaling pathway,GO:0070098,0.7461896261007718,1.4857471578661776,0.7058047604730852,10.71%,CCL2;FOXC1;CCL26;CIB1,GO_Biological_Process_2023__Chemokine-Mediated Signaling Pathway (GO:0070098)
68,GO:0010648,negative regulation of cell communication,GO:0010648,0.671305629888547,1.405670209666361,0.7080419111080096,6.18%,LIF;SOCS5;IGFBP3;IL11,GO_Biological_Process_2023__Negative Regulation Of Cell Communication (GO:0010648)
69,GO:0045859,regulation of protein kinase activity,GO:0045859,0.5017810235718766,1.49352512456923,0.710490298435773,4.96%,PPM1E;CDKN1A;CAMKK2;MAP3K12;AXIN1;CCNA2;WWTR1,GO_Biological_Process_2023__Regulation Of Protein Kinase Activity (GO:0045859)
70,GO:0051781,positive regulation of cell division,GO:0051781,0.637711311780679,1.4524619238273655,0.7112994368151884,11.71%,NKX3-1;FGFR2;PRKCE;GIPC1;CSPP1;ECT2,GO_Biological_Process_2023__Positive Regulation Of Cell Division (GO:0051781)
