term,fdr,Odds Ratio,Combined Score,Genes,description
ENTRECTINIB,0.5126809,1.557448,3.362889,LYN;CSF1R;NTRK2;SYK;SRC;FLT4;PTK2;EML4;SLK;AXL;TAOK1;KIT;BTK;FYN;FGFR3;FGFR1,ENTRECTINIB
NICOTINE,0.5195511,2.3335,4.983065,POR;TGFB1;EPB41;NRXN1;APOE;CP,NICOTINE
FORETINIB,0.52798,3.110226,6.433756,PDGFRB;PDGFRA;FLT4;KIT,FORETINIB
DIGITOXIN,0.52798,3.110226,6.433756,IDH1;STAT3;ATP1B3;ATP1A1,DIGITOXIN
MOTESANIB,0.52798,3.110226,6.433756,PDGFRB;PDGFRA;FLT4;KIT,MOTESANIB
BARASERTIB,0.52798,3.110226,6.433756,PDGFRB;PDGFRA;KIT;FYN,BARASERTIB
JNJ 26483327,0.52798,3.110226,6.433756,LYN;SRC;FLT4;FYN,JNJ 26483327
TAMOXIFEN,0.5932663,1.750499,3.343024,COL18A1;CETP;TGFB1;IDH1;PIP;F2;GAPDH;TGM2;F5,TAMOXIFEN
ETOPOSIDE,0.5932663,1.750499,3.343024,ACTR2;TGFB1;GDF15;PGP;BLMH;ITGAL;EIF4E;TNFSF13B;FGFR1,ETOPOSIDE
ETANERCEPT,0.5932663,2.332835,4.41495,CD84;HLA-B;GHRL;HLA-DRB1;HLA-E,ETANERCEPT
ENFORTUMAB VEDOTIN,0.5932663,2.332835,4.41495,TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A,ENFORTUMAB VEDOTIN
PF 06263507,0.5932663,2.332835,4.41495,TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A,PF 06263507
CELECOXIB,0.5932663,1.604854,2.970729,COL18A1;HSPA4;STAT3;ATP2A3;ATP2A2;MT-CO2;ALOX12;GHRL;MMP9;PDK1;PTGS1,CELECOXIB
VANDETANIB,0.5932663,1.556333,2.853705,PDGFRB;PDGFRA;ROCK2;SRC;AXL;FLT4;IDH1;TYRO3;BTK;FYN;MAPK14;FGFR1,VANDETANIB
OCTREOTIDE,0.5932663,3.498009,6.335654,IGFBP1;TG;MPO,OCTREOTIDE
LUCITANIB,0.5932663,3.498009,6.335654,FLT4;FGFR2;FGFR1,LUCITANIB
AS703569,0.5932663,3.498009,6.335654,LYN;KIT;BTK,AS703569
TICLOPIDINE,0.5932663,3.498009,6.335654,HLA-B;HLA-A;HLA-DRB1,TICLOPIDINE
ERDAFITINIB,0.5932663,3.498009,6.335654,FGFR3;FGFR2;FGFR1,ERDAFITINIB
DABIGATRAN,0.5932663,3.498009,6.335654,HYOU1;HNRNPC;F2,DABIGATRAN
IUPHAR.LIGAND:1713,0.5932663,3.498009,6.335654,APCS;ITPR1;APEH,IUPHAR.LIGAND:1713
AMUVATINIB,0.5932663,3.498009,6.335654,PDGFRB;PDGFRA;KIT,AMUVATINIB
AZD 1152 HQPA,0.5932663,1.999715,3.592353,PDGFRB;LYN;PDGFRA;PAK1;FLT4;BTK,AZD 1152 HQPA
VINBLASTINE,0.5932663,1.999715,3.592353,MMP2;TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A,VINBLASTINE
MERCAPTOPURINE,0.623633,1.814686,3.15406,FTO;PRPS1;CPT1A;IDH1;HPRT1;SLC29A1;HLA-DRB1,MERCAPTOPURINE
MIDOSTAURIN,0.6298664,1.69697,2.886041,PDGFRB;PDGFRA;PRKCB;IDH2;PRKCD;KIT;FGFR3;FGFR1,MIDOSTAURIN
FULVESTRANT,0.6298664,2.332171,3.817253,EML4;EPHX2;TFPI;FGFR2,FULVESTRANT
PENTOXIFYLLINE,0.6298664,2.332171,3.817253,VWF;ITGB2;PDE3A;PDE5A,PENTOXIFYLLINE
