term,fdr,Odds Ratio,Combined Score,Genes,description
Cell-Cell Communication,0.4345834,1.907141,2.891583,SIRPA;ANG;NECTIN1,Cell-Cell Communication
Glycosaminoglycan Metabolism,0.4413706,1.884146,2.814659,EXT1;EXT2;B4GALT5,Glycosaminoglycan Metabolism
Metabolism of Amino Acids and Derivatives,0.4430283,1.500236,2.225354,CKM;PSAT1;PIPOX;GPT;HPD;OTC,Metabolism of Amino Acids and Derivatives
Glycogen Metabolism,0.4531492,4.036923,5.869743,GBE1,Glycogen Metabolism
Biological Oxidations,0.4583723,1.818335,2.598768,AOC3;ACY1;GSS,Biological Oxidations
Fcgamma Receptor (FCGR) Dependent Phagocytosis,0.4583723,1.637819,2.333242,IGLV3-16;IGLV3-27;IGKV2D-30;IGKV2-30,Fcgamma Receptor (FCGR) Dependent Phagocytosis
Peptide Hormone Metabolism,0.4583723,2.19254,3.110711,BCHE;CPB2,Peptide Hormone Metabolism
O-glycosylation of TSR Domain-Containing Proteins,0.4583723,3.748,5.224799,CFP,O-glycosylation of TSR Domain-Containing Proteins
Synthesis of PC,0.4583723,3.748,5.224799,BCHE,Synthesis of PC
Defective B3GALTL Causes PpS,0.4583723,3.748,5.224799,CFP,Defective B3GALTL Causes PpS
Miscellaneous Transport and Binding Events,0.4583723,3.748,5.224799,AZGP1,Miscellaneous Transport and Binding Events
Bacterial Infection Pathways,0.4583723,2.147465,2.985523,MRC1;B2M,Bacterial Infection Pathways
Developmental Biology,0.4663553,1.270273,1.707423,EFNB2;CELA2A;CEACAM1;FABP4;COL4A2;ADIPOQ;SPINK5;CNTN1;PRSS8;EPHB2;EPHB4;ROBO1,Developmental Biology
NCAM1 Interactions,0.4663553,3.4976,4.681391,COL4A2,NCAM1 Interactions
Activated NOTCH1 Transmits Signal to the Nucleus,0.4663553,3.4976,4.681391,CNTN1,Activated NOTCH1 Transmits Signal to the Nucleus
Plasma Lipoprotein Assembly,0.4663553,3.4976,4.681391,A2M,Plasma Lipoprotein Assembly
Heme Signaling,0.4663553,3.4976,4.681391,HBB,Heme Signaling
O-linked Glycosylation,0.4663553,2.062619,2.754594,CFP;B4GALT5,O-linked Glycosylation
Diseases of Glycosylation,0.4667161,1.718187,2.282773,EXT1;EXT2;CFP,Diseases of Glycosylation
Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.4737818,1.681111,2.169763,CST3;IGFBP2;FUCA2,Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
Activation of Matrix Metalloproteinases,0.4737818,3.2785,4.218702,KLKB1,Activation of Matrix Metalloproteinases
Nef-mediates Down Modulation of Cell Surface Receptors by Recruiting Them to Clathrin Adapters,0.4737818,3.2785,4.218702,B2M,Nef-mediates Down Modulation of Cell Surface Receptors by Recruiting Them to Clathrin Adapters
Scavenging by Class A Receptors,0.4737818,3.2785,4.218702,COL4A2,Scavenging by Class A Receptors
Collagen Formation,0.4737818,1.984175,2.546761,COL4A2;PXDN,Collagen Formation
Metabolism of Carbohydrates,0.4746312,1.442894,1.84091,EXT1;EXT2;GBE1;BPGM;B4GALT5,Metabolism of Carbohydrates
Potential Therapeutics for SARS,0.4997074,1.611498,1.963604,IGLV3-27;IGKV2D-30;IGKV2-30,Potential Therapeutics for SARS
Diseases of Carbohydrate Metabolism,0.50945,2.913333,3.476643,GBE1,Diseases of Carbohydrate Metabolism
ECM Proteoglycans,0.5095862,1.843803,2.189131,COL4A2;ITGB6,ECM Proteoglycans
Cell Junction Organization,0.518238,1.811735,2.110114,ANG;NECTIN1,Cell Junction Organization
Netrin-1 Signaling,0.5194533,2.759579,3.176058,ROBO1,Netrin-1 Signaling
Collagen Chain Trimerization,0.5194533,2.759579,3.176058,COL4A2,Collagen Chain Trimerization
Laminin Interactions,0.5343971,2.6212,2.912051,COL4A2,Laminin Interactions
Epigenetic Regulation of Gene Expression,0.5343971,1.72184,1.894172,FABP4;ADIPOQ,Epigenetic Regulation of Gene Expression
Integrin Cell Surface Interactions,0.5343971,1.72184,1.894172,COL4A2;ITGB6,Integrin Cell Surface Interactions
Metabolism of Steroids,0.5343971,1.72184,1.894172,GC;SERPINA6,Metabolism of Steroids
Keratan Sulfate Biosynthesis,0.5459038,2.496,2.678812,B4GALT5,Keratan Sulfate Biosynthesis
