Protein_Group	Genes	Protein_Names	HEK293T_WT_Avg_Peptide_Count	HEK293T_KI_Avg_Peptide_Count	U2OS_WT_Avg_Peptide_Count	U2OS_KI_Avg_Peptide_Count	Species	Intensity_HEK293T_WT_BR1_TR1	Intensity_HEK293T_KI_BR1_TR1	Intensity_U2OS_WT_BR1_TR1	Intensity_U2OS_KI_BR1_TR1
O15392	BIRC5	BIRC5_HUMAN	3.0	3.0	3.0	3.0	HUMAN	107404.23	274186.03	192371.92	229980.02
O15397	IPO8	IPO8_HUMAN	20.0	20.0	16.0	18.0	HUMAN	1353460.4	1357221.8	548164.25	733803.06
O15400	STX7	STX7_HUMAN	4.0	4.0	4.0	3.0	HUMAN	195991.88	335258.9	221326.7	374761.62
O15417	TNRC18	TNC18_HUMAN	0.0	0.0	3.0	3.0	HUMAN			92401.27	58602.957
O15439	ABCC4	MRP4_HUMAN	11.0	13.0	10.0	11.0	HUMAN	262459.97	222877.28	197552.77	195121.5
O15440	ABCC5	MRP5_HUMAN	9.0	8.0	15.0	13.0	HUMAN	248534.75	320231.16	406488.56	392106.78
O15446	POLR1G	RPA34_HUMAN	8.0	5.0	10.0	9.0	HUMAN	441111.44	267316.03	1042717.9	915635.94
O15460	P4HA2	P4HA2_HUMAN	13.0	11.0	17.0	17.0	HUMAN	234178.78	256432.06	842850.6	1109539.5
O15479	MAGEB2	MAGB2_HUMAN	0.0	0.0	14.0	13.0	HUMAN			3776869.8	3087258.5
O15484	CAPN5	CAN5_HUMAN	0.0	0.0	10.0	10.0	HUMAN			361080.16	505739.06
O15498	YKT6	YKT6_HUMAN	6.0	8.0	9.0	6.0	HUMAN	284559.06	392670.53	319024.28	389525.6
O15511	ARPC5	ARPC5_HUMAN	6.0	5.0	6.0	6.0	HUMAN	544790.5	637830.3	734256.94	1391882.5
O15525	MAFG	MAFG_HUMAN	0.0	0.0	3.0	2.0	HUMAN			251172.42	296236.94
O15533	TAPBP	TPSN_HUMAN	2.0	2.0	2.0	2.0	HUMAN	60897.1	172134.47	658401.06	501628.7
O15541	RNF113A	R113A_HUMAN	4.0	3.0	3.0	3.0	HUMAN	634305.9	567079.1	130103.73	144382.47
O15554	KCNN4	KCNN4_HUMAN	0.0	0.0	8.0	9.0	HUMAN			597224.44	670284.44
O43143	DHX15	DHX15_HUMAN	51.0	49.0	52.0	49.0	HUMAN	8444293.0	9706745.0	9549944.0	9282716.0
O43148	RNMT	MCES_HUMAN	21.0	19.0	25.0	22.0	HUMAN	1898575.2	1632616.8	5516214.5	4346280.0
O43149	ZZEF1	ZZEF1_HUMAN	3.0	0.0	0.0	0.0	HUMAN	80666.72			
O43156	TTI1	TTI1_HUMAN	12.0	9.0	12.0	11.0	HUMAN	250014.64	207909.39	313918.47	272207.3
O43159	RRP8	RRP8_HUMAN	4.0	3.0	4.0	3.0	HUMAN	112752.625	134811.53	93411.516	76184.11
O43164	PJA2	PJA2_HUMAN	5.0	6.0	3.0	6.0	HUMAN	145687.55	150204.66	71131.484	187597.58
O43166	SIPA1L1	SI1L1_HUMAN	17.0	16.0	95.0	110.0	HUMAN	542547.3	516611.3	5894740.0	37517444.0
O43169	CYB5B	CYB5B_HUMAN	4.0	4.0	4.0	4.0	HUMAN	1222381.2	1305011.0	1448112.2	1588445.9
O43172	PRPF4	PRP4_HUMAN	21.0	21.0	21.0	20.0	HUMAN	2224094.2	2153886.0	1945117.8	1378812.1
O43175	PHGDH	SERA_HUMAN	24.0	24.0	23.0	22.0	HUMAN	14865389.0	15229819.0	6053982.0	6587825.5
O43181	NDUFS4	NDUS4_HUMAN	5.0	5.0	5.0	5.0	HUMAN	795939.56	799362.25	996698.8	1126324.1
O43189	PHF1	PHF1_HUMAN	0.0	0.0	3.0	3.0	HUMAN			223037.45	178982.7
O43194	GPR39	GPR39_HUMAN	0.0	0.0	2.0	2.0	HUMAN			1066566.6	1024857.4
O43237	DYNC1LI2	DC1L2_HUMAN	7.0	8.0	7.0	8.0	HUMAN	256786.14	240274.14	288347.1	281068.9
O43242	PSMD3	PSMD3_HUMAN	41.0	40.0	40.0	39.0	HUMAN	4689409.5	4782213.0	5197079.0	4761532.5
O43251	RBFOX2	RFOX2_HUMAN	5.0	7.0	7.0	8.0	HUMAN	250882.55	353774.84	865128.56	964123.94
O43252	PAPSS1	PAPS1_HUMAN	14.0	12.0	11.0	12.0	HUMAN	285945.72	275399.97	280988.94	293847.72
O43264	ZW10	ZW10_HUMAN	20.0	20.0	20.0	20.0	HUMAN	779997.56	737378.8	652069.2	686496.4
O43286	B4GALT5	B4GT5_HUMAN	0.0	2.0	3.0	3.0	HUMAN		53002.113	135306.8	173492.78
O43290	SART1	SNUT1_HUMAN	47.0	42.0	49.0	47.0	HUMAN	4849704.0	5272048.5	13361763.0	11305492.0
O43292	GPAA1	GPAA1_HUMAN	7.0	8.0	7.0	8.0	HUMAN	573405.7	502319.3	825966.6	936332.25
O43293	DAPK3	DAPK3_HUMAN	6.0	3.0	11.0	15.0	HUMAN	325487.1	243184.88	1621406.0	5600338.5
O43294	TGFB1I1	TGFI1_HUMAN	0.0	0.0	2.0	2.0	HUMAN			105776.78	182252.03
O43298	ZBTB43	ZBT43_HUMAN	2.0	3.0	3.0	4.0	HUMAN	123742.25	143345.84	154366.69	125077.22
O43301	HSPA12A	HS12A_HUMAN	6.0	5.0	8.0	7.0	HUMAN	122410.336	125188.4	116308.98	132365.48
O43303	CCP110	CP110_HUMAN	3.0	3.0	5.0	4.0	HUMAN	470932.84	404222.34	266916.16	151278.0
O43310	CTIF	CTIF_HUMAN	12.0	14.0	17.0	17.0	HUMAN	405505.0	377199.72	1286685.0	913415.8
O43314	PPIP5K2	VIP2_HUMAN	18.0	16.0	19.0	16.0	HUMAN	622843.94	603532.3	1098163.9	1031886.0
O43318	MAP3K7	M3K7_HUMAN	14.0	12.0	13.0	12.0	HUMAN	775691.3	635880.94	430186.84	508711.34
O43324	EEF1E1	MCA3_HUMAN	6.0	6.0	4.0	5.0	HUMAN	1976392.0	1831482.1	856983.4	726683.6
O43347	MSI1	MSI1H_HUMAN	6.0	6.0	3.0	0.0	HUMAN	600432.3	1635353.9	333138.8	
O43379	WDR62	WDR62_HUMAN	4.0	2.0	4.0	6.0	HUMAN	31884.492	34761.734	85430.51	112948.03
O43390	HNRNPR	HNRPR_HUMAN	36.0	36.0	35.0	35.0	HUMAN	11655351.0	16348204.0	12228487.0	14886287.0
O43395	PRPF3	PRPF3_HUMAN	20.0	19.0	21.0	19.0	HUMAN	2199541.8	2506764.2	2418931.0	1885358.4
O43396	TXNL1	TXNL1_HUMAN	5.0	6.0	7.0	6.0	HUMAN	491802.66	461186.16	670477.8	608065.25
O43399	TPD52L2	TPD54_HUMAN	8.0	9.0	11.0	10.0	HUMAN	971185.0	1091896.1	1112953.4	1413766.2
O43402	EMC8	EMC8_HUMAN	5.0	5.0	4.0	5.0	HUMAN	1677545.9	1920019.6	945798.7	1390497.4
O43414	ERI3	ERI3_HUMAN	2.0	3.0	3.0	3.0	HUMAN	670796.44	1169755.8	1298911.2	1409572.6
O43422	THAP12	P52K_HUMAN	0.0	0.0	2.0	2.0	HUMAN			258025.47	297821.6
