Protein_Group	Genes	Protein_Names	HEK293T_WT_Avg_Peptide_Count	HEK293T_KI_Avg_Peptide_Count	U2OS_WT_Avg_Peptide_Count	U2OS_KI_Avg_Peptide_Count	Species	Intensity_HEK293T_WT_BR1_TR1	Intensity_HEK293T_KI_BR1_TR1	Intensity_U2OS_WT_BR1_TR1	Intensity_U2OS_KI_BR1_TR1
Q7L1Q6	BZW1	BZW1_HUMAN	20.0	18.0	19.0	20.0	HUMAN	2183612.2	2567414.8	1824603.0	2113914.5
Q7L1V2	MON1B	MON1B_HUMAN	0.0	2.0	2.0	0.0	HUMAN		6263.352	4786.1426	
Q7L266	ASRGL1	ASGL1_HUMAN	3.0	3.0	0.0	0.0	HUMAN	132729.97	145721.34		
Q7L273	KCTD9	KCTD9_HUMAN	2.0	2.0	2.0	0.0	HUMAN	30736.598	33832.586	27480.645	
Q7L2E3	DHX30	DHX30_HUMAN	36.0	38.0	35.0	37.0	HUMAN	493090.12	965373.7	576500.06	519250.1
Q7L2H7	EIF3M	EIF3M_HUMAN	13.0	14.0	14.0	13.0	HUMAN	2933944.5	3886738.5	5148500.0	4361438.5
Q7L2J0	MEPCE	MEPCE_HUMAN	9.0	8.0	9.0	10.0	HUMAN	230131.61	192186.27	259037.33	178528.7
Q7L2Z9	CENPQ	CENPQ_HUMAN	10.0	10.0	13.0	11.0	HUMAN	486986.9	491556.5	541026.25	673245.3
Q7L311	ARMCX2	ARMX2_HUMAN	0.0	0.0	9.0	9.0	HUMAN			519342.16	476536.84
Q7L3B6	CDC37L1	CD37L_HUMAN	0.0	0.0	0.0	2.0	HUMAN				477040.4
Q7L3T8	PARS2	SYPM_HUMAN	5.0	6.0	5.0	5.0	HUMAN	283820.03	239350.06	242253.53	184953.3
Q7L4I2	RSRC2	RSRC2_HUMAN	15.0	14.0	11.0	11.0	HUMAN	7177962.5	7532658.5	2324414.5	3331053.0
Q7L576	CYFIP1	CYFP1_HUMAN	42.0	40.0	43.0	43.0	HUMAN	1028653.25	1082210.4	1917810.8	2154965.2
Q7L590	MCM10	MCM10_HUMAN	14.0	13.0	16.0	18.0	HUMAN	364115.75	322474.4	516832.6	376135.22
Q7L592	NDUFAF7	NDUF7_HUMAN	3.0	4.0	4.0	4.0	HUMAN	100738.77	106361.68	127002.6	131193.22
Q7L5D6	GET4	GET4_HUMAN	3.0	3.0	3.0	3.0	HUMAN	656635.75	613101.2	413514.28	457020.0
Q7L5N1	COPS6	CSN6_HUMAN	11.0	9.0	11.0	10.0	HUMAN	1209056.5	1008802.0	654570.9	814987.0
Q7L5N7	LPCAT2	PCAT2_HUMAN	3.0	3.0	0.0	0.0	HUMAN	8754849.0	9048122.0		
Q7L5Y9	MAEA	MAEA_HUMAN	10.0	10.0	5.0	7.0	HUMAN	556331.8	621295.8	413182.7	400724.28
Q7L622	G2E3	G2E3_HUMAN	0.0	2.0	0.0	0.0	HUMAN		35127.2		
Q7L7X3	TAOK1	TAOK1_HUMAN	29.0	28.0	32.0	32.0	HUMAN	875380.6	647088.2	1136337.0	1195308.0
Q7L804	RAB11FIP2	RFIP2_HUMAN	14.0	12.0	17.0	17.0	HUMAN	529931.56	411713.1	826617.1	680949.9
Q7L8L6	FASTKD5	FAKD5_HUMAN	12.0	11.0	10.0	9.0	HUMAN	776019.25	1056751.6	744784.56	527262.44
Q7L8W6	DPH6	DPH6_HUMAN	0.0	2.0	0.0	0.0	HUMAN		47672.91		
Q7L9L4;Q9H8S9	MOB1A	MOB1A_HUMAN;MOB1B_HUMAN	8.0	8.0	8.0	7.0	HUMAN	2736023.5	2821560.0	2652303.8	2355553.2
Q7LBC6	KDM3B	KDM3B_HUMAN	20.0	19.0	14.0	13.0	HUMAN	517010.6	514804.0	289059.97	273546.1
Q7LBR1	CHMP1B	CHM1B_HUMAN	6.0	6.0	5.0	6.0	HUMAN	1360456.0	1322511.0	2433914.0	2721559.2
Q7LG56	RRM2B	RIR2B_HUMAN	2.0	2.0	3.0	3.0	HUMAN	100569.984	63668.83	175376.62	131677.14
Q7LGA3	HS2ST1	HS2ST_HUMAN	7.0	7.0	8.0	8.0	HUMAN	721902.06	984596.7	1524340.0	1927261.1
Q7RTP6	MICAL3	MICA3_HUMAN	24.0	23.0	30.0	30.0	HUMAN	334921.12	304788.94	586545.25	620718.0
Q7RTS7	KRT74	K2C74_HUMAN	3.0	0.0	3.0	2.0	HUMAN	396845.28		838008.06	964050.75
Q7RTS9	DYM	DYM_HUMAN	2.0	2.0	2.0	0.0	HUMAN	41605.086	84444.8	20970.52	
Q7RTV0	PHF5A	PHF5A_HUMAN	7.0	6.0	6.0	6.0	HUMAN	4610237.0	3222873.2	3375271.0	3664294.8
Q7RTV5	PRXL2C	PXL2C_HUMAN	2.0	0.0	2.0	2.0	HUMAN	366349.03		426219.97	545189.9
Q7Z2E3	APTX	APTX_HUMAN	9.0	8.0	9.0	8.0	HUMAN	1524622.1	1322713.8	2073391.4	1615990.0
Q7Z2K6	ERMP1	ERMP1_HUMAN	19.0	18.0	18.0	16.0	HUMAN	1185718.9	1291712.1	1275880.1	778472.8
Q7Z2K8	GPRIN1	GRIN1_HUMAN	7.0	8.0	5.0	6.0	HUMAN	879500.4	808031.25	715688.3	936780.56
Q7Z2T5	TRMT1L	TRM1L_HUMAN	9.0	7.0	8.0	8.0	HUMAN	304975.3	455249.66	243260.52	296728.0
Q7Z2W4	ZC3HAV1	ZCCHV_HUMAN	27.0	26.0	25.0	25.0	HUMAN	678517.06	1025120.06	590690.06	826759.25
Q7Z2W9	MRPL21	RM21_HUMAN	5.0	6.0	3.0	6.0	HUMAN	552596.94	778891.25	315866.16	452010.6
Q7Z2Z1	TICRR	TICRR_HUMAN	0.0	0.0	2.0	0.0	HUMAN			53187.996	
Q7Z2Z2	EFL1	EFL1_HUMAN	6.0	0.0	9.0	9.0	HUMAN	80629.29		128685.34	148724.23
Q7Z309	PABIR2	PBIR2_HUMAN	2.0	0.0	0.0	0.0	HUMAN	12959.335			
Q7Z333	SETX	SETX_HUMAN	7.0	6.0	9.0	11.0	HUMAN	114926.94	114301.73	302068.53	210225.73
Q7Z353	HDX	HDX_HUMAN	21.0	21.0	21.0	21.0	HUMAN	2790011.0	2110374.5	1552933.0	2053886.1
Q7Z392	TRAPPC11	TPC11_HUMAN	8.0	7.0	6.0	6.0	HUMAN	311558.94	281147.4	156091.89	258808.05
Q7Z3B1	NEGR1	NEGR1_HUMAN	0.0	0.0	3.0	3.0	HUMAN			732404.2	1403701.4
Q7Z3B3	KANSL1	KANL1_HUMAN	0.0	0.0	3.0	3.0	HUMAN			286782.72	277518.0
Q7Z3B4	NUP54	NUP54_HUMAN	17.0	17.0	15.0	16.0	HUMAN	659308.2	561278.75	510045.47	591990.3
Q7Z3C6	ATG9A	ATG9A_HUMAN	6.0	6.0	4.0	4.0	HUMAN	207699.95	260192.39	138878.72	113844.805
Q7Z3E5	ARMC9	ARMC9_HUMAN	4.0	3.0	2.0	0.0	HUMAN	141996.3	179827.92	179004.39	
Q7Z3G6	PRICKLE2	PRIC2_HUMAN	0.0	0.0	0.0	2.0	HUMAN				59950.535
Q7Z3J2	VPS35L	VP35L_HUMAN	8.0	8.0	4.0	7.0	HUMAN	115863.12	121052.33	79969.68	83628.086
Q7Z3K3	POGZ	POGZ_HUMAN	15.0	13.0	15.0	16.0	HUMAN	464704.62	449110.0	1024773.9	831450.25
Q7Z3T8	ZFYVE16	ZFY16_HUMAN	5.0	5.0	5.0	5.0	HUMAN	375990.2	452742.16	276991.12	352232.56
Q7Z3U7	MON2	MON2_HUMAN	9.0	8.0	7.0	8.0	HUMAN	215471.78	244778.6	140544.17	199218.1
Q7Z401	DENND4A	MYCPP_HUMAN	3.0	3.0	3.0	2.0	HUMAN	38818.82	35295.59	106200.53	44305.723
Q7Z406	MYH14	MYH14_HUMAN	32.0	43.0	98.0	100.0	HUMAN	190905.08	410808.88	3791085.8	5306703.5
Q7Z417	NUFIP2	NUFP2_HUMAN	28.0	26.0	23.0	14.0	HUMAN	9568979.0	8447226.0	8438904.0	8031194.5
Q7Z422	SZRD1	SZRD1_HUMAN	4.0	3.0	5.0	5.0	HUMAN	299424.4	216191.42	597095.4	525842.75
Q7Z434	MAVS	MAVS_HUMAN	8.0	8.0	7.0	7.0	HUMAN	970064.25	818306.2	467254.28	410173.3
Q7Z460	CLASP1	CLAP1_HUMAN	42.0	39.0	45.0	47.0	HUMAN	5887003.0	6173329.0	12157127.0	13419041.0
Q7Z478	DHX29	DHX29_HUMAN	23.0	21.0	21.0	24.0	HUMAN	1037043.8	913550.7	1223479.8	989634.2
Q7Z494	NPHP3	NPHP3_HUMAN	4.0	2.0	6.0	3.0	HUMAN	98280.69	39716.78	67906.15	60331.395
Q7Z4F1	LRP10	LRP10_HUMAN	0.0	0.0	2.0	0.0	HUMAN			12074.658	
Q7Z4G4	TRMT11	TRM11_HUMAN	3.0	2.0	3.0	0.0	HUMAN	173788.27	115502.4	100903.48	
Q7Z4H3	HDDC2	HDDC2_HUMAN	5.0	5.0	2.0	3.0	HUMAN	406249.34	399528.28	88448.82	44324.8
Q7Z4H7	HAUS6	HAUS6_HUMAN	11.0	11.0	11.0	9.0	HUMAN	297253.66	382661.97	129491.33	176772.28
Q7Z4H8	POGLUT3	PLGT3_HUMAN	6.0	6.0	6.0	4.0	HUMAN	253075.92	244866.3	173081.38	160283.31
Q7Z4L5	TTC21B	TT21B_HUMAN	5.0	4.0	3.0	3.0	HUMAN	77176.45	76367.414	121325.12	79384.32
Q7Z4Q2	HEATR3	HEAT3_HUMAN	13.0	13.0	5.0	2.0	HUMAN	917616.75	908959.06	143613.86	203361.77
Q7Z4S6	KIF21A	KI21A_HUMAN	11.0	9.0	9.0	9.0	HUMAN	188622.3	188195.56	205017.97	111148.84
Q7Z4V5	HDGFL2	HDGR2_HUMAN	20.0	20.0	20.0	22.0	HUMAN	11146825.0	7875166.5	10277628.0	8548155.0
Q7Z4W1	DCXR	DCXR_HUMAN	6.0	6.0	4.0	0.0	HUMAN	1114446.1	1556291.6	905563.6	
Q7Z569	BRAP	BRAP_HUMAN	10.0	11.0	9.0	9.0	HUMAN	277400.22	244574.45	134011.2	167905.97
Q7Z589	EMSY	EMSY_HUMAN	0.0	2.0	3.0	2.0	HUMAN		65616.81	43153.305	52719.414
Q7Z5G4	GOLGA7	GOGA7_HUMAN	5.0	3.0	5.0	5.0	HUMAN	106798.65	99594.914	111947.27	176403.28
Q7Z5H3	ARHGAP22	RHG22_HUMAN	2.0	0.0	0.0	0.0	HUMAN	16351.111			
Q7Z5K2	WAPL	WAPL_HUMAN	23.0	20.0	23.0	23.0	HUMAN	1317168.6	1465036.9	1586241.0	1734629.8
Q7Z5L9	IRF2BP2	I2BP2_HUMAN	9.0	8.0	7.0	7.0	HUMAN	519986.12	417015.78	197317.12	252539.2
Q7Z624	CAMKMT	CMKMT_HUMAN	2.0	0.0	0.0	0.0	HUMAN	93321.13			
Q7Z6B7	SRGAP1	SRGP1_HUMAN	0.0	0.0	3.0	3.0	HUMAN			224195.2	223894.69
Q7Z6E9	RBBP6	RBBP6_HUMAN	38.0	35.0	35.0	31.0	HUMAN	2916573.8	2794148.8	2170380.8	1515689.9
Q7Z6I8	C5orf24	CE024_HUMAN	2.0	2.0	2.0	0.0	HUMAN	201775.72	238656.66	260278.55	
Q7Z6K3	PTAR1	PTAR1_HUMAN	0.0	2.0	2.0	0.0	HUMAN		12971.494	19698.938	
Q7Z6K5	ARPIN	ARPIN_HUMAN	2.0	2.0	2.0	2.0	HUMAN	47597.445	104495.96	198595.28	90256.3
Q7Z6M4	MTERF4	MTEF4_HUMAN	4.0	4.0	5.0	4.0	HUMAN	152241.38	111245.3	129943.79	133151.95
Q7Z6Z7	HUWE1	HUWE1_HUMAN	73.0	68.0	73.0	75.0	HUMAN	1291991.6	1371646.8	1357487.9	1605665.2
Q7Z739	YTHDF3	YTHD3_HUMAN	6.0	5.0	6.0	6.0	HUMAN	548414.44	753502.06	731775.94	882333.94
Q7Z794	KRT77	K2C1B_HUMAN	25.0	26.0	27.0	22.0	HUMAN	1523057.5	1949055.1	2471757.2	1364723.8
Q7Z7A3	CTU1	CTU1_HUMAN	3.0	0.0	3.0	2.0	HUMAN	169241.64		157324.66	173476.97
Q7Z7A4	PXK	PXK_HUMAN	8.0	6.0	9.0	8.0	HUMAN	446781.75	420435.03	389601.9	521310.5
Q7Z7B1	PIGW	PIGW_HUMAN	2.0	2.0	3.0	2.0	HUMAN	64510.19	81130.49	126446.53	55911.977
Q7Z7C8	TAF8	TAF8_HUMAN	5.0	5.0	5.0	5.0	HUMAN	209822.16	225000.33	276247.75	373831.6
Q7Z7E8	UBE2Q1	UB2Q1_HUMAN	7.0	6.0	4.0	3.0	HUMAN	297391.4	238158.58	125326.055	156153.75
Q7Z7F0	KHDC4	KHDC4_HUMAN	2.0	0.0	0.0	0.0	HUMAN	8374.987			
Q7Z7F7	MRPL55	RM55_HUMAN	3.0	2.0	3.0	3.0	HUMAN	538570.75	475193.47	218923.2	495198.9
Q7Z7H5	TMED4	TMED4_HUMAN	4.0	5.0	5.0	4.0	HUMAN	745319.75	820278.75	566383.44	579587.06
Q7Z7K0	CMC1	COXM1_HUMAN	0.0	2.0	2.0	3.0	HUMAN		1369315.1	1365426.2	1706875.6
Q7Z7K6	CENPV	CENPV_HUMAN	5.0	4.0	5.0	3.0	HUMAN	144640.14	140972.4	89204.99	72431.29
Q7Z7L7	ZER1	ZER1_HUMAN	2.0	2.0	0.0	0.0	HUMAN	211818.69	65379.13		
Q86SF2	GALNT7	GALT7_HUMAN	4.0	3.0	5.0	6.0	HUMAN	219267.45	192299.45	789989.56	513746.75
Q86SJ2	AMIGO2	AMGO2_HUMAN	0.0	0.0	6.0	5.0	HUMAN			324460.44	405893.9
Q86SK9	SCD5	SCD5_HUMAN	3.0	4.0	6.0	6.0	HUMAN	233275.81	280928.22	797929.7	702931.8
Q86SQ0	PHLDB2	PHLB2_HUMAN	26.0	17.0	51.0	58.0	HUMAN	543232.4	483631.03	5072681.0	12799692.0
Q86SQ9	DHDDS	DHDDS_HUMAN	5.0	5.0	6.0	5.0	HUMAN	155339.25	122426.61	170058.28	137058.0
Q86SR1	GALNT10	GLT10_HUMAN	3.0	3.0	5.0	6.0	HUMAN	46120.043	65545.71	199185.69	145638.78
Q86SX3	TEDC1	TEDC1_HUMAN	4.0	5.0	4.0	3.0	HUMAN	84360.836	108152.484	47511.047	97928.31
Q86SX6	GLRX5	GLRX5_HUMAN	4.0	4.0	4.0	4.0	HUMAN	2048624.4	2787147.8	904220.6	1013394.4
Q86SZ2	TRAPPC6B	TPC6B_HUMAN	4.0	3.0	2.0	2.0	HUMAN	367216.22	509703.38	241531.36	186869.9
Q86T03	PIP4P1	PP4P1_HUMAN	4.0	4.0	4.0	4.0	HUMAN	321384.78	256988.05	312398.4	227433.77
Q86T24	ZBTB33	KAISO_HUMAN	4.0	4.0	0.0	0.0	HUMAN	414851.75	336713.34		
Q86T82	USP37	UBP37_HUMAN	12.0	12.0	13.0	12.0	HUMAN	1118705.5	856507.25	1197593.9	1354019.1
Q86TB3	ALPK2	ALPK2_HUMAN	0.0	0.0	3.0	4.0	HUMAN			449093.1	565089.0
Q86TB9	PATL1	PATL1_HUMAN	20.0	22.0	25.0	26.0	HUMAN	1279268.8	1431653.2	2922648.2	3151347.5
Q86TI0	TBC1D1	TBCD1_HUMAN	2.0	2.0	9.0	9.0	HUMAN	126239.07	234257.36	650669.94	608579.4
Q86TI2	DPP9	DPP9_HUMAN	10.0	10.0	7.0	7.0	HUMAN	284776.6	337882.8	230504.47	238799.84
Q86TJ2	TADA2B	TAD2B_HUMAN	0.0	0.0	2.0	2.0	HUMAN			59377.215	30775.404
Q86TM6	SYVN1	SYVN1_HUMAN	2.0	0.0	0.0	2.0	HUMAN	174306.2			115360.234
Q86TN4	TRPT1	TRPT1_HUMAN	4.0	2.0	5.0	4.0	HUMAN	312578.56	215527.77	415133.16	343745.72
Q86TU7	SETD3	SETD3_HUMAN	13.0	12.0	13.0	10.0	HUMAN	410712.97	353672.97	208617.98	151481.38
Q86TV6	TTC7B	TTC7B_HUMAN	7.0	6.0	3.0	2.0	HUMAN	282242.9	229199.77	118105.44	70256.78
Q86TW2	ADCK1	ADCK1_HUMAN	3.0	3.0	0.0	0.0	HUMAN	58863.168	74383.64		
Q86U06	RBM23	RBM23_HUMAN	3.0	3.0	3.0	0.0	HUMAN	203418.69	163402.1	133739.95	
Q86U38	NOP9	NOP9_HUMAN	3.0	2.0	4.0	3.0	HUMAN	10151.662	34608.62	61931.484	38493.297
Q86U42	PABPN1	PABP2_HUMAN	9.0	7.0	9.0	9.0	HUMAN	3530625.8	3726592.0	4959108.5	4266080.5
Q86U44	METTL3	MTA70_HUMAN	23.0	21.0	24.0	24.0	HUMAN	3196266.0	1776587.2	3925576.0	4147348.8
Q86U70	LDB1	LDB1_HUMAN	7.0	7.0	8.0	8.0	HUMAN	433282.84	370441.56	827876.25	735267.5
Q86U86	PBRM1	PB1_HUMAN	22.0	19.0	29.0	29.0	HUMAN	536749.25	570027.75	1448973.8	1150117.5
Q86U90	YRDC	YRDC_HUMAN	9.0	9.0	6.0	8.0	HUMAN	738246.56	697659.94	209881.2	256566.66
Q86UA1	PRPF39	PRP39_HUMAN	5.0	5.0	2.0	2.0	HUMAN	79206.5	117279.5	43812.836	47863.777
Q86UB9	TMEM135	TM135_HUMAN	3.0	0.0	0.0	2.0	HUMAN	435203.78			305774.25
Q86UD0	SAPCD2	SAPC2_HUMAN	9.0	9.0	12.0	11.0	HUMAN	139870.47	153944.3	231264.17	201496.66
Q86UE4	MTDH	LYRIC_HUMAN	27.0	26.0	28.0	26.0	HUMAN	4929056.0	4185529.8	5642897.0	4010785.5
Q86UE8	TLK2	TLK2_HUMAN	11.0	10.0	11.0	10.0	HUMAN	309092.7	344999.53	325194.6	272335.72
Q86UK7	ZNF598	ZN598_HUMAN	30.0	27.0	29.0	27.0	HUMAN	1601408.2	1454213.6	1378215.9	1593119.4
Q86UL3	GPAT4	GPAT4_HUMAN	5.0	5.0	7.0	6.0	HUMAN	1372123.1	1595904.1	1386262.4	950180.7
Q86UP2	KTN1	KTN1_HUMAN	58.0	57.0	70.0	70.0	HUMAN	1110116.1	1091916.6	2409731.2	2393002.0
Q86US8	SMG6	EST1A_HUMAN	10.0	7.0	11.0	7.0	HUMAN	143648.98	141827.2	347758.78	238472.77
Q86UT6	NLRX1	NLRX1_HUMAN	3.0	3.0	0.0	0.0	HUMAN	76621.766	229925.88		
Q86UT8	CENATAC	CATAC_HUMAN	6.0	3.0	8.0	8.0	HUMAN	416805.97	341510.28	2045879.9	1907188.8
Q86UU0	BCL9L	BCL9L_HUMAN	0.0	0.0	6.0	5.0	HUMAN			540385.2	389156.9
Q86UU1	PHLDB1	PHLB1_HUMAN	15.0	13.0	37.0	41.0	HUMAN	250941.05	271073.3	1014624.9	2757127.8
Q86UV5	USP48	UBP48_HUMAN	9.0	8.0	7.0	8.0	HUMAN	364770.47	380654.5	299198.75	242906.98
Q86UW6	N4BP2	N4BP2_HUMAN	0.0	0.0	3.0	3.0	HUMAN			69596.23	82626.48
Q86UW7	CADPS2	CAPS2_HUMAN	3.0	3.0	2.0	0.0	HUMAN	35053.54	45728.004	15429.432	
Q86UW9	DTX2	DTX2_HUMAN	0.0	0.0	3.0	3.0	HUMAN			342424.62	363103.38
Q86UY6	NAA40	NAA40_HUMAN	7.0	6.0	7.0	7.0	HUMAN	1292427.2	677796.1	1814327.6	1546567.6
Q86UY8	NT5DC3	NT5D3_HUMAN	3.0	3.0	0.0	0.0	HUMAN	79134.99	79347.125		
Q86V21	AACS	AACS_HUMAN	2.0	2.0	4.0	4.0	HUMAN	213002.7	225608.11	349951.6	246179.16
Q86V48	LUZP1	LUZP1_HUMAN	40.0	37.0	75.0	79.0	HUMAN	861517.2	739493.3	4782109.0	19599650.0
Q86V59	PNMA8A	PNM8A_HUMAN	3.0	3.0	0.0	0.0	HUMAN	1079896.2	931737.3		
Q86V81	ALYREF	THOC4_HUMAN	15.0	15.0	15.0	15.0	HUMAN	104212856.0	121754570.0	63197812.0	54776240.0
Q86V85	GPR180	GP180_HUMAN	3.0	3.0	3.0	2.0	HUMAN	187056.62	189132.8	99865.586	112640.95
Q86V97	KBTBD6	KBTB6_HUMAN	6.0	6.0	2.0	3.0	HUMAN	169288.38	168642.55	46273.273	31978.592
Q86VI3	IQGAP3	IQGA3_HUMAN	30.0	32.0	59.0	62.0	HUMAN	311806.03	375566.66	2308177.8	2864440.2
Q86VK4	ZNF410	ZN410_HUMAN	0.0	0.0	4.0	4.0	HUMAN			90015.89	96694.28
Q86VM9	ZC3H18	ZCH18_HUMAN	19.0	18.0	22.0	22.0	HUMAN	5016398.5	5340055.0	6458706.0	5546197.5
Q86VN1	VPS36	VPS36_HUMAN	11.0	9.0	10.0	8.0	HUMAN	266709.06	298538.34	186988.47	164937.4
Q86VP1	TAX1BP1	TAXB1_HUMAN	6.0	3.0	17.0	16.0	HUMAN	271680.03	274239.5	610650.1	654525.06
Q86VP6	CAND1	CAND1_HUMAN	41.0	38.0	38.0	37.0	HUMAN	3086400.2	3118991.2	1184488.4	1226166.0
Q86VQ0	LCA5	LCA5_HUMAN	0.0	0.0	0.0	2.0	HUMAN				26975.322
Q86VQ1	GLCCI1	GLCI1_HUMAN	7.0	7.0	0.0	3.0	HUMAN	234906.89	213548.58		52354.28
Q86VR2	RETREG3	RETR3_HUMAN	2.0	0.0	2.0	0.0	HUMAN	193342.06		171643.02	
Q86VS8	HOOK3	HOOK3_HUMAN	6.0	6.0	7.0	7.0	HUMAN	409498.12	394371.47	346289.6	356060.44
Q86VU5	COMTD1	CMTD1_HUMAN	0.0	0.0	3.0	2.0	HUMAN			65142.973	54293.273
Q86VW0	SESTD1	SESD1_HUMAN	4.0	2.0	3.0	2.0	HUMAN	55540.727	62382.426	40869.65	91718.63
Q86VX2	COMMD7	COMD7_HUMAN	2.0	3.0	3.0	2.0	HUMAN	146439.0	200139.36	349643.66	140546.9
Q86VY4	TSPYL5	TSYL5_HUMAN	0.0	0.0	17.0	17.0	HUMAN			10365837.0	10744022.0
Q86VZ5	SGMS1	SMS1_HUMAN	2.0	0.0	3.0	3.0	HUMAN	39208.445		259386.08	242218.62
Q86W34	AMZ2	AMZ2_HUMAN	4.0	4.0	4.0	2.0	HUMAN	604361.2	479005.75	182065.28	152912.78
Q86W42	THOC6	THOC6_HUMAN	11.0	9.0	9.0	9.0	HUMAN	606954.8	578485.25	292649.25	331074.22
Q86W50	METTL16	MET16_HUMAN	7.0	5.0	6.0	4.0	HUMAN	306140.16	309999.88	280336.53	322941.8
Q86W56	PARG	PARG_HUMAN	8.0	7.0	7.0	6.0	HUMAN	136628.67	118002.94	120724.0	112906.586
Q86W92	PPFIBP1	LIPB1_HUMAN	20.0	21.0	36.0	35.0	HUMAN	271715.12	280310.9	1201193.5	1160616.4
Q86WA8	LONP2	LONP2_HUMAN	8.0	6.0	10.0	9.0	HUMAN	150733.56	121586.87	218639.2	276979.78
Q86WB0	ZC3HC1	NIPA_HUMAN	5.0	4.0	3.0	2.0	HUMAN	611888.75	371348.03	247471.69	297068.47
Q86WC4	OSTM1	OSTM1_HUMAN	2.0	2.0	2.0	0.0	HUMAN	54049.76	51362.79	58602.56	
Q86WG5	SBF2	MTMRD_HUMAN	0.0	0.0	3.0	2.0	HUMAN			46441.016	29295.205
Q86WJ1	CHD1L	CHD1L_HUMAN	19.0	14.0	20.0	16.0	HUMAN	962514.1	846503.56	1140117.0	960260.9
Q86WP2	GPBP1	GPBP1_HUMAN	17.0	16.0	13.0	15.0	HUMAN	2248365.2	1922612.1	1299480.5	1472948.2
Q86WR0	CCDC25	CCD25_HUMAN	8.0	8.0	9.0	9.0	HUMAN	366191.88	304476.56	169938.05	277557.28
Q86WR7	PROSER2	PRSR2_HUMAN	10.0	9.0	10.0	11.0	HUMAN	733903.4	645065.94	1209325.2	1375567.9
Q86WT1;Q8N4P2	TTC30A	TT30A_HUMAN;TT30B_HUMAN	3.0	3.0	0.0	0.0	HUMAN	48977.926	40889.81		
Q86WV5	TEN1	TEN1L_HUMAN	0.0	2.0	0.0	3.0	HUMAN		401790.03		2262368.2
Q86WW8	COA5	COA5_HUMAN	3.0	3.0	3.0	3.0	HUMAN	1489313.9	1309380.6	1317152.2	1195228.2
Q86WX3	RPS19BP1	AROS_HUMAN	5.0	7.0	7.0	6.0	HUMAN	1448159.2	1531655.9	2253523.8	2094966.6
Q86X02	CDR2L	CDR2L_HUMAN	0.0	0.0	3.0	2.0	HUMAN			25728.963	29596.0
Q86X10	RALGAPB	RLGPB_HUMAN	3.0	2.0	2.0	2.0	HUMAN	41364.887	57441.31	23804.018	10797.058
Q86X29	LSR	LSR_HUMAN	7.0	8.0	11.0	13.0	HUMAN	255126.3	189429.5	262529.06	804020.94
Q86X45	LRRC6	TILB_HUMAN	0.0	0.0	2.0	3.0	HUMAN			59702056.0	62243788.0
Q86X51	EZHIP	EZHIP_HUMAN	0.0	0.0	22.0	22.0	HUMAN			14869712.0	14912465.0
Q86X52	CHSY1	CHSS1_HUMAN	3.0	2.0	4.0	4.0	HUMAN	108772.47	106367.266	112131.85	163690.23
Q86X53	ERICH1	ERIC1_HUMAN	5.0	6.0	3.0	3.0	HUMAN	415747.6	361630.34	117152.79	84148.14
Q86X55	CARM1	CARM1_HUMAN	12.0	11.0	11.0	10.0	HUMAN	1248674.6	1197209.2	611422.56	601217.9
Q86X83	COMMD2	COMD2_HUMAN	6.0	5.0	5.0	6.0	HUMAN	269265.16	392556.56	291650.56	290946.1
Q86X95	CIR1	CIR1_HUMAN	8.0	8.0	8.0	8.0	HUMAN	238978.34	226899.14	316111.16	343501.16
Q86XA9	HEATR5A	HTR5A_HUMAN	2.0	0.0	2.0	0.0	HUMAN	17550.23		25745.953	
Q86XI2	NCAPG2	CNDG2_HUMAN	11.0	13.0	13.0	10.0	HUMAN	404076.38	582580.4	407304.56	441375.44
Q86XJ1	GAS2L3	GA2L3_HUMAN	3.0	4.0	15.0	16.0	HUMAN	189368.98	189807.16	885694.3	1671637.4
Q86XK2	FBXO11	FBX11_HUMAN	2.0	2.0	3.0	4.0	HUMAN	24146.707	34405.594	22566.611	49411.258
Q86XL3	ANKLE2	ANKL2_HUMAN	28.0	27.0	27.0	21.0	HUMAN	1338670.1	1203042.2	638199.56	593104.56
Q86XP3	DDX42	DDX42_HUMAN	42.0	40.0	45.0	45.0	HUMAN	10860812.0	7510415.0	13773841.0	13594416.0
Q86XR8	CEP57	CEP57_HUMAN	0.0	0.0	3.0	2.0	HUMAN			131703.94	163830.56
Q86XZ4	SPATS2	SPAS2_HUMAN	13.0	13.0	16.0	15.0	HUMAN	562891.06	511772.03	862289.3	691085.56
Q86Y07	VRK2	VRK2_HUMAN	22.0	19.0	23.0	24.0	HUMAN	1848917.2	1944466.4	5749390.0	6128908.0
Q86Y39	NDUFA11	NDUAB_HUMAN	2.0	2.0	2.0	2.0	HUMAN	206044.08	393496.03	113623.664	105396.05
Q86Y56	DNAAF5	DAAF5_HUMAN	23.0	17.0	19.0	19.0	HUMAN	657686.5	794481.9	297597.9	366439.28
Q86Y79	PTRH1	PTH_HUMAN	3.0	2.0	4.0	5.0	HUMAN	335672.62	247149.56	591456.44	493392.3
Q86Y82	STX12	STX12_HUMAN	7.0	8.0	3.0	5.0	HUMAN	1166892.8	1238849.1	615431.9	630110.0
Q86Y91	KIF18B	KI18B_HUMAN	4.0	3.0	8.0	9.0	HUMAN	143157.75	200172.5	730413.3	577436.5
