Protein_Group	Genes	48h_vs_0h_logFC	48h_vs_0h_pval	Removed?	Contaminant?
Q9NQP4	PFDN4	0.780518438883988	8.30111817388505e-08	No	No
Q9NQU5	PAK6	2.39750700562842	5.16811818931525e-15	No	No
Q9NS15	LTBP3	0.908738563194561	2.98156016997341e-05	No	No
Q9NUQ6	SPATS2L	0.765793479498132	7.34286534815964e-17	No	No
Q9NYA1	SPHK1	0.867261511438549	9.10849674970668e-10	No	No
Q9NZH6	IL37	2.42565085037525	6.93787178057106e-05	No	No
Q9P1U0	POLR1H	0.739985027684082	7.56213546749372e-07	No	No
Q9P281	BAHCC1	0.702398253588225	1.79498838361312e-14	No	No
Q9UFD9	RIMBP3	1.7746971732483	2.58633839003687e-14	No	No
Q9UI47	CTNNA3	2.22075745533971	1.33579978569372e-20	No	No
Q9UJF2	RASAL2	0.764449865286938	2.97392569043232e-21	No	No
Q9UJY1	HSPB8	0.799990107248767	7.73682979671392e-07	No	No
Q9UKF7	PITPNC1	0.905881952016681	4.9959926460176e-15	No	No
Q9ULZ9	MMP17	1.21744748797362	3.39450588230964e-14	No	No
Q9UPX0	IGSF9B	0.847050895589614	0.00138549225836235	No	No
Q9UPZ6	THSD7A	1.54071536968028	8.37870260310667e-12	No	No
Q9Y2G0	EFR3B	0.915642330729654	9.19994903690757e-17	No	No
Q9Y2H0	DLGAP4	0.76256877761708	1.651475229875e-12	No	No
Q9Y337	KLK5	1.54564912672035	0.000240380199930626	No	No
Q9Y446	PKP3	6.19417659280005	7.50902379121514e-07	No	No
Q9Y618	NCOR2	0.896601214520008	1.39450126604946e-22	No	No
Q9Y625	GPC6	1.87179395898282	7.34793299327624e-14	No	No
A0AVI4	TMEM129	-0.75322281907426	8.08717968103128e-08	No	No
A6NMD0	IFITM10	-0.795062947510186	0.00116246532771184	No	No
F2Z333	FNDC10	-0.737921303587186	3.23157378448977e-07	No	No
O14921	RGS13	-0.805555845506468	1.67847936648807e-08	No	No
O14949	UQCRQ	-0.713830470364581	7.30134986330335e-08	No	No
O14957	UQCR11	-1.00923971086397	3.56053091267232e-08	No	No
O14983	ATP2A1	-1.24554466114079	9.81970660461727e-09	No	No
O15239	NDUFA1	-1.07405386020873	1.51835885349439e-12	No	No
O15480	MAGEB3	-0.92934541232189	7.32561611880863e-05	No	No
O15539	RGS5	-0.848552187280305	9.16824882516579e-09	No	No
O43181	NDUFS4	-0.732691623163255	7.43579759686751e-11	No	No
O43677	NDUFC1	-0.796123326483364	1.29752590709629e-06	No	No
O43678	NDUFA2	-0.891949681635115	1.61228168951803e-10	No	No
O43920	NDUFS5	-1.11115669912155	1.40193784839627e-15	No	No
O60636	TSPAN2	-1.05013527476863	2.82989885766349e-05	No	No
O75394	MRPL33	-0.867291261201444	3.26245080704944e-13	No	No
O75438	NDUFB1	-1.10762711436092	1.56790807697183e-08	No	No
O95168	NDUFB4	-0.719115163959692	4.33399891520898e-08	No	No
O95169	NDUFB8	-1.06774868316823	1.60386390692488e-13	No	No
O95178	NDUFB2	-0.902499364033638	2.81853744258019e-12	No	No
O95182	NDUFA7	-1.22190924935417	1.70845302378586e-12	No	No
O95199	RCBTB2	-1.17448372698019	0.000850055726919381	No	No
O95298	NDUFC2	-0.949068060652007	1.14090027991153e-16	No	No
O95751	LDOC1	-0.793242687321509	1.05854578709004e-11	No	No
O95863	SNAI1	-0.748654204642143	0.00782352216377056	No	No
P00156	MT-CYB	-1.20606056057536	3.38757978364943e-14	No	No
P00395	MT-CO1	-1.11152094819047	1.52602597557225e-17	No	No
P00403	MT-CO2	-0.951395125957074	4.27507379491072e-19	No	No
P00414	MT-CO3	-1.09932431627824	3.92171150214173e-07	No	No
P00846	MT-ATP6	-1.19144314449408	2.86255765939069e-11	No	No
P02461	COL3A1	-0.901073159100001	4.06584237852259e-19	No	No
P02511	CRYAB	-0.808697975314626	4.18883792237742e-06	No	No
P03886	MT-ND1	-1.1924835642816	4.62824911089565e-12	No	No
P03891	MT-ND2	-1.00628788452185	8.85571515284162e-11	No	No
P03897	MT-ND3	-0.870601032643389	1.23886946432447e-08	No	No
P03905	MT-ND4	-1.09116652979268	1.55790967109333e-14	No	No
P03915	MT-ND5	-1.36397415363505	6.13341722378234e-16	No	No
P03928	MT-ATP8	-0.722366985013579	0.000647086193336828	No	No
P04798	CYP1A1	-1.39857899909019	1.47243171574215e-17	No	No
P08493	MGP	-1.28229433283659	2.27425571937295e-13	No	No
P09669	COX6C	-0.8176315384802	2.26549339493349e-11	No	No
P0C0S8;Q96KK5;Q99878	H2AC11;H2AC12;H2AC14	-1.02393249986964	0.00107866909744374	No	No
P14927	UQCRB	-0.898407584211899	1.24527206020663e-11	No	No
P15428	HPGD	-1.3797719104199	0.0082045897248946	No	No
P15954	COX7C	-0.921146357962972	9.98544437548005e-05	No	No
P17568	NDUFB7	-1.05371316284551	1.1498364669802e-15	No	No
P21731	TBXA2R	-0.826841305998485	0.000234383462720269	No	No
P22455	FGFR4	-0.700562193825679	0.000294189904854631	No	No
P40617	ARL4A	-0.729439070759746	3.48812644393251e-07	No	No
P48058	GRIA4	-0.704322696207281	5.27636388434621e-10	No	No
P51813	BMX	-1.12665526293435	8.23624107035436e-15	No	No
P51884	LUM	-0.719681820368766	2.74638865376676e-16	No	No
P55083	MFAP4	-0.868021778569659	1.83107727177488e-07	No	No
P56378	ATP5MJ	-1.01432333179152	7.64846367192723e-11	No	No
P56746	CLDN15	-0.868493247734101	0.00546525348696986	No	No
P61236	YPEL3	-1.39057905700643	8.62676309419237e-07	No	No
P62508	ESRRG	-0.99265149683886	2.24240427326819e-14	No	No
P98073	TMPRSS15	-1.22268853721635	0.00484297632964788	No	No
Q03395	ROM1	-1.0692473149875	1.72082610671101e-05	No	No
Q03936	ZNF92	-0.778502357182578	3.51614268997843e-05	No	No
Q10586	DBP	-0.830288832191552	7.16223496686527e-08	No	No
Q10587	TEF	-0.735653972981876	0.000279788689719583	No	No
Q13145	BAMBI	-0.973271111998468	0.000608472154312618	No	No
Q13268	DHRS2	-1.02062936926278	2.20506690497439e-09	No	No
