Protein_Group	Genes	WM793_vs_HIM-ST_logFC	WM793_vs_HIM-ST_pval	Removed?	Contaminant?
Q8WXS3	BAALC	4.91022709118243	8.07989768692955e-18	No	No
Q8WZ75	ROBO4	7.44600888496253	1.82700691958455e-16	No	No
Q8WZA1	POMGNT1	2.62385058889962	0.0005354262201362	No	No
Q92185	ST8SIA1	2.83936624645931	0.005270494899292	No	No
Q92478	CLEC2B	3.9794024264562	5.30322948243589e-17	No	No
Q92520	FAM3C	2.44278071582099	4.4907264878507704e-14	No	No
Q92544	TM9SF4	3.28882276803313	5.0952256832857895e-11	No	No
Q92686	NRGN	2.57513034273027	6.117643373261781e-09	No	No
Q92754	TFAP2C	2.05640332271377	1.08884085871429e-06	No	No
Q92823	NRCAM	2.10290760467309	8.43974782529517e-08	No	No
Q92824	PCSK5	3.10043389159034	3.66820038897051e-05	No	No
Q92828	CORO2A	1.84751860592623	0.0012575588485467	No	No
Q92835	INPP5D	2.25930245382037	0.0001582079076418	No	No
Q92913	FGF13	8.14165157427319	8.07864068128434e-23	No	No
Q92935	EXTL1	2.32694200052675	2.22409410770999e-06	No	No
Q93063	EXT2	2.07713889879616	0.0055115905664874	No	No
Q93099	HGD	4.19528320356206	5.42510586741897e-11	No	No
Q969F2	NKD2	6.5659901029625	1.6439147921857e-14	No	No
Q969W9	PMEPA1	4.77306612711144	1.11828191549372e-19	No	No
Q969Z4	RELT	2.33701106196318	1.24256612427565e-10	No	No
Q96A25	TMEM106A	3.42697294197566	2.75395525866986e-07	No	No
Q96A29	SLC35C1	2.01879961233099	0.0012574221177414	No	No
Q96A37	RNF166	3.74005417361733	9.36464481018029e-07	No	No
Q96A54	ADIPOR1	1.89617626621474	1.18756363034704e-13	No	No
Q96AH8	RAB7B	7.46496921727023	1.14458124058448e-17	No	No
Q96AP7	ESAM	6.72439759541925	3.5930070108012e-08	No	No
Q96AW1	VOPP1	3.4904519799336	6.37436868402636e-14	No	No
Q96B67	ARRDC3	4.51455747356956	1.35648653474403e-22	No	No
Q96BW5	PTER	2.12482883813275	2.36834183526029e-10	No	No
Q96BY9	SARAF	2.28365159430554	6.25645727410446e-06	No	No
Q96C74	ROPN1L	6.71936406767397	3.72421300931169e-10	No	No
Q96CG8	CTHRC1	7.47519673818647	1.18755256678509e-13	No	No
Q96CH1	GPR146	3.63329381971254	2.9186713676934e-07	No	No
Q96CW9	NTNG2	3.7056809674276	2.2951055729279002e-18	No	No
Q96D15	RCN3	3.26095156044657	3.51714519239662e-17	No	No
Q96D21	RASD2	4.42415962548754	4.8725158011837594e-11	No	No
Q96DA0	ZG16B	2.66777013994149	0.0002540596182157	No	No
Q96DD7	SHISA4	2.26227409104145	8.5597653012876e-12	No	No
Q96DR8	MUCL1	2.62209389803308	5.94346020824213e-06	No	No
Q96DX5	ASB9	1.92606642564759	7.6720899118913e-08	No	No
Q96E22	NUS1	1.90904189151106	0.0005525668261917	No	No
Q96EE4	CCDC126	3.77180355243597	1.84852947592529e-18	No	No
Q96EN8	MOCOS	4.05610909742607	8.721494145048529e-12	No	No
Q96ER3	SAAL1	2.44931454587185	9.52731632517767e-08	No	No
Q96EU7	C1GALT1C1	3.02101041608607	0.0003800453961404	No	No
Q96F05	C11orf24	2.34461948088324	1.6133677629639502e-09	No	No
Q96FA3	PELI1	2.28675520347332	2.02170588419483e-10	No	No
Q96FQ6	S100A16	1.96568635327797	9.481535589159021e-15	No	No
Q96FX8	PERP	2.3586714879228	1.14061210154339e-07	No	No
Q96G01	BICD1	2.85924443602311	1.48559648536113e-06	No	No
Q96GD4	AURKB	2.65467230309893	2.77593734869542e-15	No	No
Q96GI7	FAM89A	2.83043528310229	2.42405089248554e-07	No	No
Q96GR4	ZDHHC12	1.88353698054667	3.98827997115866e-07	No	No
Q96GU1	PAGE5	14.6045713459096	8.396182094284809e-43	No	No
Q96H55	MYO19	2.48194790055284	0.0082449473475905	No	No
Q96HH4	TMEM169	3.17385849603405	0.0002267591745288	No	No
Q96HR9	REEP6	2.30476579779954	2.34356843930261e-08	No	No
Q96I34	PPP1R16A	2.11849510112097	5.131325080086459e-13	No	No
Q96IF1	AJUBA	2.58237844534185	7.82169955919699e-05	No	No
Q96IK5	GMCL1	3.18045634988427	2.5881508116454902e-09	No	No
Q96J92	WNK4	9.83701716701859	8.91068601910063e-34	No	No
Q96JB8	MPP4	5.87980080374528	2.62193418466487e-07	No	No
Q96JQ0	DCHS1	2.21939537781227	0.0001478012645965	No	No
Q96JQ2	CLMN	2.22061143937573	8.56261250949099e-07	No	No
Q96JT2	SLC45A3	2.06219438865545	4.64685985675332e-14	No	No
Q96JW4	SLC41A2	2.09155012797831	5.58889046859293e-07	No	No
Q96JZ2	HSH2D	9.90292314320359	1.86447611156055e-37	No	No
Q96KB5	PBK	1.82927097883278	1.60639083918414e-12	No	No
Q96KC8	DNAJC1	2.06842210802681	8.01094642917967e-07	No	No
Q96KG7	MEGF10	4.29494753157727	1.3562427896115599e-11	No	No
Q96KN1	LRATD2	5.56184987392291	2.25630501783581e-23	No	No
Q96KQ4	PPP1R13B	2.00588528760987	0.002122768971777	No	No
Q96KR4	LMLN	3.87739724612558	0.0021223807415247	No	No
Q96LT7	C9orf72	3.0376576927392	0.000299403112608	No	No
Q96MC5	BMERB1	4.61475886228916	8.48239148912628e-15	No	No
Q96ME1	FBXL18	2.99674687734817	9.07574342852368e-21	No	No
Q96MK2	RIPOR3	7.61228179623173	9.38664800407439e-05	No	No
Q96MK3	FAM20A	3.08853236775084	3.73368112902511e-10	No	No
Q96MX0	CMTM3	3.180077165147	4.60356482177529e-17	No	No
Q96N19	GPR137	3.31702770194468	0.0024164169255504	No	No
Q96N76	UROC1	3.04612263723098	6.55462247264089e-10	No	No
Q96NE9	FRMD6	1.88942990998784	3.68129278206184e-15	No	No
Q96NL1	TMEM74	6.40552368967417	2.4854023705723202e-21	No	No
Q96NS1	YPEL4	4.8525219156843	3.4509974475980604e-09	No	No
Q96NT3	GUCD1	2.44931090405215	3.97615440327131e-17	No	No
Q96NT5	SLC46A1	2.11736383080457	1.22374490190021e-08	No	No
Q96NU7	AMDHD1	3.79759506309594	3.6392140959240303e-10	No	No
Q96P50	ACAP3	3.24598917528541	0.0060948775881784	No	No
Q96PH1	NOX5	3.07451528325187	0.0001539151403383	No	No
Q96PL5	ERMAP	2.80307051636601	2.5319498331836304e-09	No	No
Q96PX1	RNF157	4.68457793533007	1.83521181701087e-07	No	No
Q96PY5	FMNL2	3.34401498783802	6.87337019731992e-18	No	No
Q96Q89	KIF20B	2.92480223852028	1.8673411415371402e-14	No	No
Q96QD5	DEPDC7	3.39854645328385	1.86251909966862e-17	No	No
Q96QR8	PURB	1.93151704957615	3.4034409249548103e-15	No	No
Q96QZ0	PANX3	4.45023215392661	4.30414627615089e-09	No	No
Q96RI0	F2RL3	4.31703348221039	2.42454904384918e-16	No	No
Q96SN7	ORAI2	2.23499419135349	8.81410834040716e-10	No	No
Q99466	NOTCH4	2.11269485751986	1.98233674764382e-05	No	No
Q99519	NEU1	2.26537546893711	6.55057918410781e-07	No	No
Q99618	CDCA3	2.21458056709726	8.15030114684449e-11	No	No
Q99650	OSMR	1.86672408629576	8.18604247387241e-08	No	No
Q99674	CGREF1	4.25338592703167	1.43089068679718e-15	No	No
Q99683	MAP3K5	2.59470791469836	5.54049209678334e-09	No	No
Q99726	SLC30A3	9.21548023353431	2.00939648840776e-36	No	No
Q99750	MDFI	8.74357406214657	1.29649661034961e-35	No	No
Q99767	APBA2	3.65443226043191	0.0037015974477757	No	No
Q99829	CPNE1	2.29117846382458	2.13183086465662e-16	No	No
Q99835	SMO	1.82857905518266	2.58744528702737e-06	No	No
Q99959	PKP2	5.14849896803694	1.36951977791884e-08	No	No
Q9BPX3	NCAPG	1.85269028801984	3.06885162632849e-07	No	No
Q9BQ89	FAM110A	2.57121134414404	0.0011312244813407	No	No
Q9BQG1	SYT3	4.13719618440673	5.10135143447575e-11	No	No
Q9BQI3	EIF2AK1	3.14978857895494	0.0005692334507158	No	No
Q9BQL6	FERMT1	5.14374748205671	6.3314997763665e-19	No	No
Q9BQS7	HEPH	1.91460903503223	0.0001218968065242	No	No
Q9BRQ3	NUDT22	2.8523741558475	9.22083152387215e-06	No	No
Q9BRT9	GINS4	3.08794798320655	1.38995226184356e-08	No	No
Q9BRU9	UTP23	4.88935615192342	3.31289928500015e-11	No	No
Q9BRX5	GINS3	2.33240400945575	0.0001084949334205	No	No
Q9BRY0	SLC39A3	2.5080066714963	2.3663579761664904e-09	No	No
Q9BSE2	TMEM79	5.10512685849964	3.74247290819239e-05	No	No
Q9BSJ6	PIMREG	2.07281057840291	0.0019461449560972	No	No
Q9BT67	NDFIP1	3.18936507467684	1.37157189634067e-14	No	No
Q9BTD3	TMEM121	5.17889126577072	6.54263960101839e-18	No	No
Q9BTK6	PAGR1	2.86042695095826	0.0047572655813125	No	No
Q9BTV7	CABLES2	3.90077242681667	7.11691421247399e-07	No	No
Q9BTX1	NDC1	2.41385163874858	0.0004066537619176	No	No
Q9BV29	CCDC32	1.94107723473747	0.0001660860136437	No	No
Q9BVC6	TMEM109	2.30047248398417	1.12778333518675e-13	No	No
Q9BVG3	TRIM62	3.20491031431485	0.0010259943781665	No	No
Q9BVG8	KIFC3	4.31513677090203	1.86713742745086e-05	No	No
Q9BVX2	TMEM106C	4.61072960294483	6.84836474948837e-14	No	No
Q9BWK5	CYREN	2.84491986361999	3.91727819971261e-13	No	No
Q9BWT7	CARD10	3.26329643021246	0.0007752631633334	No	No
Q9BX79	STRA6	8.72619564890357	9.694998276888099e-23	No	No
Q9BX97	PLVAP	3.36741524796142	5.1004444990403896e-11	No	No
Q9BXJ0	C1QTNF5	3.77159817262786	9.571828995844389e-16	No	No
Q9BXJ4	C1QTNF3	3.06205638879495	2.75584080759612e-09	No	No
Q9BXP2	SLC12A9	2.12317785742707	1.5012797958037201e-09	No	No
Q9BXS4	TMEM59	2.02729587146231	5.0843971066911705e-14	No	No
Q9BXW9	FANCD2	3.27557807746637	5.95262226561416e-05	No	No
Q9BYB0	SHANK3	1.99612384874409	2.28261690017441e-05	No	No
Q9BYG5	PARD6B	3.93213198796362	1.13785340861424e-13	No	No
Q9BYJ0	FGFBP2	3.88755714014443	2.20603700436381e-12	No	No
Q9BYW1	SLC2A11	8.94005414846271	7.124002211869609e-30	No	No
Q9BZ72	PITPNM2	5.17285587005121	4.37610006992314e-05	No	No
Q9BZ76	CNTNAP3	9.66733797006557	1.19154992590103e-13	No	No
Q9BZM4	ULBP3	3.02538854786614	1.20211812837579e-12	No	No
Q9BZM5	ULBP2	2.85028848965238	2.44390365035125e-12	No	No
Q9C004	SPRY4	3.70308895730528	4.06895481036085e-23	No	No
Q9C026	TRIM9	3.60687123754826	1.10706052895452e-16	No	No
Q9C0D0	PHACTR1	2.87878943173212	1.1168412977053e-15	No	No
Q9C0H9	SRCIN1	5.71643912787391	1.18380236208086e-09	No	No
Q9C0K1	SLC39A8	2.53665374029134	4.4423144544374504e-09	No	No
Q9GZM7	TINAGL1	6.92301864422083	3.55756422850665e-17	No	No
Q9GZP0	PDGFD	3.39325266350498	6.08831928455949e-16	No	No
Q9GZU1	MCOLN1	2.44071150027197	1.51836983373229e-11	No	No
Q9GZV5	WWTR1	2.06652211068921	9.843926057726769e-11	No	No
Q9GZX3	CHST6	3.86397468246751	3.53233420209624e-05	No	No
Q9GZY4	COA1	2.5138937332684	0.0005806461743061	No	No
Q9GZZ8	LACRT	2.01410984363555	0.0090060226858446	No	No
Q9H013	ADAM19	2.82741733677836	5.40081597809289e-10	No	No
Q9H015	SLC22A4	2.4968161338662	3.88653877043227e-12	No	No
Q9H098	FAM107B	2.16874395401806	0.000194628122641	No	No
Q9H0T7	RAB17	1.93573862471822	2.55570983223018e-08	No	No
Q9H0V1	TMEM168	2.18675901601015	2.69620471667281e-07	No	No
Q9H159	CDH19	2.76110246343701	6.784582505826991e-14	No	No
Q9H173	SIL1	2.06820795785177	0.0002894207122749	No	No
Q9H190	SDCBP2	2.82410815268965	1.8587093925762e-14	No	No
Q9H1Y3	OPN3	2.25421900119034	4.24501280552905e-11	No	No
Q9H227	GBA3	4.84753156896829	4.74221585085262e-08	No	No
Q9H228	S1PR5	5.20900253885653	2.7606836670549297e-22	No	No
Q9H2A2	ALDH8A1	6.91320678539066	2.8326149439670504e-25	No	No
Q9H2H9	SLC38A1	1.8887782231591	1.33078417281895e-11	No	No
Q9H2L5	RASSF4	4.39496233082986	8.77696607077926e-14	No	No
Q9H320;Q9H321;Q9H322;Q9NNX9	VCX;VCX2;VCX3A;VCX3B	6.7480789166814	6.97766425984049e-33	No	No
Q9H3G5	CPVL	4.34169774124868	2.34369462379034e-16	No	No
Q9H3L0	MMADHC	2.00894666716298	6.92489844459618e-06	No	No
Q9H3M7	TXNIP	1.86472494886588	1.48180504804437e-13	No	No
Q9H3R5	CENPH	3.16121466125129	0.0003339554050561	No	No
Q9H3T2	SEMA6C	4.41369198000048	0.0091389060383632	No	No
Q9H3T3	SEMA6B	3.64949845955237	3.85338753031576e-12	No	No
Q9H3U5	MFSD1	3.11069188104565	8.72089633423677e-13	No	No
Q9H461	FZD8	5.7691856635085	4.00812252966839e-14	No	No
Q9H4B6	SAV1	2.57679288993422	7.3248704858733e-08	No	No
Q9H4B7	TUBB1	4.07970776870751	5.5979103814895e-13	No	No
Q9H4E5	RHOJ	2.44022706105444	1.47875327779723e-14	No	No
Q9H4E7	DEF6	4.1176955404412	4.94469665196559e-07	No	No
Q9H4H8	FAM83D	3.0388784893057	1.89310204693351e-06	No	No
Q9H4K7	MTG2	5.39442932188562	8.74281037417234e-08	No	No
Q9H4L5	OSBPL3	2.9609934962657	1.0166338971286399e-18	No	No
Q9H583	HEATR1	1.93594772513717	0.0014576533371584	No	No
Q9H5I5	PIEZO2	5.11940647932451	6.44670194926434e-27	No	No
Q9H5K3	POMK	4.14927120789179	1.13344153581375e-07	No	No
Q9H5Y7	SLITRK6	7.37953180469383	2.2733149016972e-19	No	No
Q9H5Z1	DHX35	1.98201613601348	2.15557699876276e-06	No	No
Q9H6B4	CLMP	3.51615002490135	3.1653762153708105e-09	No	No
Q9H6L5	RETREG1	3.76359295244895	3.8884136854721697e-11	No	No
Q9H6Y7	RNF167	2.14247467250048	4.91336419120626e-10	No	No
Q9H7D0	DOCK5	2.3570458861842	1.9847409194904002e-16	No	No
Q9H7F4	TMEM185B	2.19681762604671	3.36877363079291e-07	No	No
Q9H7M9	VSIR	2.31033302026935	1.33363273106428e-08	No	No
Q9H7P6	MVB12B	2.25146034202466	5.57048014828875e-16	No	No
Q9H813	PACC1	2.16024118309995	2.31882506718196e-13	No	No
Q9H8V3	ECT2	2.37317623036185	6.7291766651818e-07	No	No
Q9H8X2	IPPK	2.84378065609071	3.50313000815531e-05	No	No
Q9H9V9	JMJD4	5.05827619068971	6.61844844483962e-07	No	No
Q9HAR2	ADGRL3	5.45857273402742	1.86107597726277e-14	No	No
Q9HBA0	TRPV4	6.62480074346297	3.63952070131139e-17	No	No
Q9HBM1	SPC25	2.59657323377111	1.85740090337476e-16	No	No
Q9HBV1	POPDC3	2.59893570631849	0.000653625190913	No	No
Q9HC07	TMEM165	1.93324850753609	1.11835476537644e-07	No	No
Q9HC56	PCDH9	3.76650570695978	1.21666480682419e-17	No	No
Q9HC77	CPAP	4.13968001555753	0.0038781948250226	No	No
Q9HCC8	GDPD2	3.72474290810971	7.20555528993164e-08	No	No
Q9HCJ1	ANKH	2.64493951770165	8.61813052662366e-16	No	No
Q9HCM3	KIAA1549	4.49513578416281	3.5457287476522e-18	No	No
Q9HD42	CHMP1A	2.35349100953106	3.57741847240747e-13	No	No
Q9HDC5	JPH1	2.8540381646872	1.70185305443163e-06	No	No
Q9NP55	BPIFA1	3.20303028206361	6.20353164772784e-05	No	No
Q9NP58	ABCB6	2.95388776773521	1.63296011719757e-16	No	No
Q9NP80	PNPLA8	3.03158554243862	0.0012806123213824	No	No
Q9NP84	TNFRSF12A	3.0043157397335	4.17295463322721e-15	No	No
Q9NP87	POLM	6.69822979250145	8.34412044127565e-06	No	No
Q9NPA2	MMP25	5.50001536340791	2.00875549350439e-14	No	No
Q9NPD8	UBE2T	1.89521549282654	1.34436833774479e-10	No	No
Q9NPF0	CD320	2.30892162920444	1.93179169481099e-10	No	No
Q9NPH5	NOX4	3.21993341162722	0.0017435991642642	No	No
Q9NPI0	TMEM138	2.00972291840926	4.49310940257271e-08	No	No
Q9NQ66	PLCB1	6.61990792693016	2.96850460564035e-21	No	No
Q9NQ84	GPRC5C	4.88059913719036	3.6745711222345305e-09	No	No
Q9NQQ7	SLC35C2	2.19200664370852	2.21129708949527e-08	No	No
Q9NQS3	NECTIN3	2.24210572337034	1.32950339851547e-15	No	No
Q9NQS7	INCENP	2.83162887317696	5.86436957490435e-17	No	No
Q9NQU5	PAK6	6.70737862444793	1.33769877682252e-12	No	No
Q9NQW6	ANLN	3.90979686179416	1.34199855705084e-21	No	No
Q9NQX4	MYO5C	3.1546183280079	8.10869007811544e-10	No	No
Q9NQZ7	ENTPD7	3.13443722231189	5.67300336137557e-10	No	No
Q9NRH1	YAE1	3.47657506098921	4.83411322125079e-09	No	No
Q9NRJ7	PCDHB16	6.55355837090359	8.661534295555171e-17	No	No
Q9NRM2	ZNF277	2.90817532431803	5.43705696130257e-07	No	No
Q9NRR1	CYTL1	5.25812159218426	1.31766677053608e-07	No	No
Q9NS00	C1GALT1	5.30004153150966	1.9715596104761503e-09	No	No
Q9NS23	RASSF1	2.79621146303042	1.30272896783256e-06	No	No
Q9NSA3	CTNNBIP1	3.6799885433778	7.57349226507489e-13	No	No
Q9NSB8	HOMER2	4.34600882801014	2.28275942614568e-05	No	No
Q9NSG2	FIRRM	4.08281218824377	3.42341895332858e-16	No	No
Q9NSV4	DIAPH3	2.14434492724899	2.56750515795494e-13	No	No
Q9NT99	LRRC4B	8.46536676904156	2.96959643347409e-13	No	No
Q9NTN9	SEMA4G	3.62412882664816	1.69285307214633e-07	No	No
Q9NUG4	CCM2L	5.52450804185441	5.28643552144088e-05	No	No
Q9NUM3	SLC39A9	1.83652860526041	4.39742112969663e-08	No	No
Q9NUM4	TMEM106B	3.78135001540886	2.14881880818319e-18	No	No
Q9NV29	TMEM100	2.30883442731876	8.218883633945061e-15	No	No
Q9NV58	RNF19A	1.91712349495679	1.41850660250111e-08	No	No
Q9NVA4	TMEM184C	1.94719699624506	4.15921394380235e-07	No	No
Q9NVI1	FANCI	1.89791295216695	8.03431449108242e-07	No	No
Q9NVN8	GNL3L	2.33015395963203	8.50820092565722e-10	No	No
Q9NVQ4	FAIM	1.9482504309181	5.340143582362301e-10	No	No
Q9NVR5	DNAAF2	1.8480361466655	0.0034413059217764	No	No
Q9NWC5	TMEM45A	9.25234047966018	2.9204633867517704e-35	No	No
Q9NWF9	RNF216	2.74755874665182	0.0014524990492581	No	No
Q9NWM3	CUEDC1	2.73804768564821	6.5345856798533905e-15	No	No
Q9NWM8	FKBP14	3.40121138100865	8.17894182722508e-08	No	No
Q9NWQ9	C14orf119	1.95098291233097	9.81175429723647e-07	No	No
Q9NWX5	ASB6	2.01309974174104	1.72731486681994e-07	No	No
Q9NX09	DDIT4	3.46759496218559	0.0004641840698234	No	No
Q9NXF8	ZDHHC7	2.49085160310912	0.0003498699120847	No	No
Q9NXW9	ALKBH4	2.57090389624968	1.07419474171405e-07	No	No
Q9NXZ2	DDX43	1.92100642179527	2.32013328779538e-05	No	No
Q9NY26	SLC39A1	3.40224150197068	1.8892729990577402e-15	No	No
Q9NY57	STK32B	4.85382146482231	2.3825689619190602e-20	No	No
Q9NYY3	PLK2	3.87798917348225	6.14426134815148e-07	No	No
Q9NZ53	PODXL2	3.52690586320958	2.6312579112367904e-09	No	No
Q9NZ56	FMN2	3.33245288613771	2.13232972800911e-07	No	No
Q9NZI8	IGF2BP1	7.47902368329028	8.6520697055646e-17	No	No
Q9NZL6	RGL1	4.38581849017913	6.17040026258794e-14	No	No
Q9NZM1	MYOF	2.9377171914819	6.19808735044569e-19	No	No
Q9NZT1	CALML5	2.62624494846994	0.0053183380366891	No	No
Q9NZU0	FLRT3	2.30701381243535	6.83373838062968e-13	No	No
Q9NZV1	CRIM1	3.05856707679044	2.1724266369959698e-16	No	No
Q9NZW5	PALS2	2.15317781154914	1.21999860895174e-18	No	No
Q9P055	JKAMP	2.04455076524112	1.16904992906687e-09	No	No
Q9P0K1	ADAM22	3.73117429390154	3.6120527611219103e-19	No	No
Q9P0N8	MARCHF2	4.78119486447812	1.6876801707812302e-09	No	No
Q9P0V3	SH3BP4	3.62414874879627	5.60147708501183e-25	No	No
Q9P121	NTM	2.2823561533514	2.9794052609674796e-11	No	No
Q9P126	CLEC1B	4.88357703797732	2.60246953705344e-11	No	No
Q9P244	LRFN1	2.39846006635632	2.54484623453413e-07	No	No
Q9P2E7	PCDH10	3.13639548501929	0.0001311987556811	No	No
Q9P2F8	SIPA1L2	2.64410429206446	2.23251494215489e-06	No	No
Q9P2M7	CGN	3.63629846761525	0.0028527179444075	No	No
Q9P2N7	KLHL13	4.23599551682793	1.16854911637777e-23	No	No
Q9P2Q2	FRMD4A	3.98839975482608	3.9022908554135e-24	No	No
Q9P2S5	WRAP73	3.33188217196173	1.77027566054823e-05	No	No
Q9UBB6	NCDN	3.28581588072815	1.4114849344324302e-09	No	No
Q9UBP9	GULP1	2.20940233713054	4.96192842466719e-16	No	No
Q9UBR1	UPB1	2.44015889791455	1.78921082989715e-07	No	No
Q9UBR2	CTSZ	1.97657445127187	1.63574585663735e-08	No	No
Q9UBS0	RPS6KB2	3.73883668461103	0.0036632470189112	No	No
Q9UBX8	B4GALT6	4.50994358466123	3.3391568336585405e-09	No	No
Q9UBY5	LPAR3	4.95452532565989	1.46098005757585e-20	No	No
Q9UDY8	MALT1	2.22454177905942	1.4325651486900702e-09	No	No
Q9UEE5	STK17A	6.47022571998079	1.919854626545e-08	No	No
Q9UGI6	KCNN3	4.83641037668092	1.53673923049135e-20	No	No
Q9UGM3	DMBT1	3.26329847195244	6.06463175355922e-13	No	No
Q9UGQ3	SLC2A6	1.96534696920013	4.1225274086511e-09	No	No
Q9UH99	SUN2	4.37974550924215	9.2204398579679e-12	No	No
Q9UHE8	STEAP1	2.30622889739314	2.27130269154797e-10	No	No
Q9UHN6	CEMIP2	2.77146704662142	1.2330541246174001e-15	No	No
Q9UHP7	CLEC2D	3.61341434800437	1.7391594694015997e-12	No	No
Q9UHR4	BAIAP2L1	2.4595420757147	1.4178319820241502e-17	No	No
Q9UJ14	GGT7	2.64400408127349	8.58715187379813e-09	No	No
Q9UJ83	HACL1	2.40115380152921	8.92401223487857e-05	No	No
Q9UJP4	KLHL21	2.15913006212193	2.12652691438157e-07	No	No
Q9UKF7	PITPNC1	2.9782690055943	2.07995854034066e-17	No	No
Q9UKV0	HDAC9	3.12675258685006	9.65266331610506e-16	No	No
Q9UKX5	ITGA11	3.54643659597321	2.49560894391079e-11	No	No
Q9UL63	MKLN1	1.96725219768429	9.10705604954338e-07	No	No
Q9ULB5	CDH7	5.80490739233757	1.30099422987032e-13	No	No
Q9ULD2	MTUS1	2.96444563399844	6.32387763107992e-05	No	No
Q9ULG6	CCPG1	3.74991587458637	3.13809073772635e-08	No	No
Q9ULI3	HEG1	2.13326680399844	3.27692524435547e-17	No	No
Q9ULJ8	PPP1R9A	2.15951988566108	8.0472055778242e-06	No	No
Q9ULK6	RNF150	2.28725698464282	1.95275900559956e-09	No	No
Q9ULL4	PLXNB3	3.21664076606944	1.5230250638388001e-10	No	No
Q9ULL8	SHROOM4	2.71329586207559	0.0003018915940001	No	No
Q9ULQ1	TPCN1	2.36530414529905	1.3086465551928801e-14	No	No
Q9ULT0	TTC7A	2.82796216133071	3.14568561457697e-18	No	No
Q9ULT6	ZNRF3	1.86139047142479	0.0001418151595416	No	No
Q9ULV1	FZD4	3.37557047936478	2.26197033077626e-07	No	No
Q9ULX9	MAFF	2.12383064744677	9.2608232290176e-06	No	No
Q9ULZ2	STAP1	3.07676736264981	4.88129993569887e-08	No	No
Q9UMF0	ICAM5	5.16426987078374	1.89431229513153e-07	No	No
Q9UN66	PCDHB8	10.8125427504728	6.1569130470714e-15	No	No
Q9UN67	PCDHB10	7.13873552049177	1.54408303082363e-19	No	No
Q9UN72	PCDHA7	6.07604044489746	6.43239791126491e-11	No	No
Q9UN73	PCDHA6	4.91581612382008	8.06363678551713e-09	No	No
Q9UN74	PCDHA4	4.20776649749273	1.62599625678601e-10	No	No
Q9UNK4	PLA2G2D	5.20434962516748	1.77241207029259e-13	No	No
Q9UNQ0	ABCG2	4.14907237066139	6.77741843847104e-19	No	No
Q9UP38	FZD1	2.92691717914328	5.28735881107727e-19	No	No
Q9UP52	TFR2	3.75093444395318	1.92506915099603e-12	No	No
Q9UPI3	FLVCR2	2.0669950610124	1.32157716370115e-09	No	No
Q9UPQ0	LIMCH1	3.10761387137066	1.01324418719828e-10	No	No
Q9UPS8	ANKRD26	3.12563553837256	2.08454766614466e-05	No	No
Q9UPY5	SLC7A11	2.76637093643318	2.1073388170516702e-09	No	No
Q9UQB3	CTNND2	6.00980474013234	2.1135418539422702e-14	No	No
Q9UQQ2	SH2B3	3.03260419881618	2.4829957491617297e-18	No	No
Q9UQV4	LAMP3	2.55554023864825	0.0046681112018745	No	No
Q9Y225	RNF24	2.3674233587478	2.28450178562415e-12	No	No
Q9Y248	GINS2	2.57021302091013	2.99661805734016e-08	No	No
Q9Y289	SLC5A6	2.69347720262848	1.09170825830918e-22	No	No
Q9Y2B9	PKIG	2.23639495829671	0.0012488663269021	No	No
Q9Y2E8	SLC9A8	2.19257738499359	1.432155207876e-09	No	No
Q9Y2G1	MYRF	6.86931820098403	1.22594542754125e-12	No	No
Q9Y2H0	DLGAP4	2.83033255717267	3.96061840515175e-24	No	No
Q9Y2I2	NTNG1	2.108940247389	0.0003303784945228	No	No
Q9Y2W3	SLC45A1	3.36399414737245	2.60223348157997e-08	No	No
Q9Y312	AAR2	1.9952743658969	1.98703950563107e-12	No	No
Q9Y3D6	FIS1	1.92780952045159	8.84804832859481e-08	No	No
Q9Y3R0	GRIP1	6.00411090234227	4.3299444144438e-13	No	No
Q9Y446	PKP3	2.80774281769655	1.39928317244573e-09	No	No
Q9Y4C0	NRXN3	3.3984392554818	1.31036368976253e-10	No	No
Q9Y4F9	RIPOR2	4.82139698534992	7.859543256504629e-11	No	No
Q9Y4U1	MMACHC	2.80745227171852	5.48271922383712e-05	No	No
Q9Y4X0	AMMECR1	4.33673227831177	2.29356262664043e-15	No	No
Q9Y561	LRP12	3.11479292738166	1.1786778193660599e-12	No	No
Q9Y597	KCTD3	2.04998653303048	6.42146003558756e-06	No	No
Q9Y5E2	PCDHB7	10.5319825966121	3.31038377312976e-26	No	No
Q9Y5E3	PCDHB6	9.52347624347455	7.421176827405311e-24	No	No
Q9Y5E4	PCDHB5	8.97338979432117	1.6412019595898998e-23	No	No
Q9Y5E5	PCDHB4	2.94425356954883	1.18078125708601e-14	No	No
Q9Y5E6	PCDHB3	3.86294176661187	2.54935197403727e-13	No	No
Q9Y5E7	PCDHB2	11.2345147723134	1.7240502528844699e-22	No	No
Q9Y5E9	PCDHB14	4.45155993886876	3.71366182832582e-16	No	No
Q9Y5F1	PCDHB12	7.88475451769621	2.40411622113464e-19	No	No
Q9Y5F2	PCDHB11	10.0273335508532	4.9549037184617104e-20	No	No
Q9Y5G0	PCDHGB5	3.15208587926291	6.67753905938788e-11	No	No
Q9Y5G6	PCDHGA7	2.58866111582656	2.3905189843119798e-11	No	No
Q9Y5H2	PCDHGA11	1.96409120785825	6.08388507096672e-10	No	No
