Protein_Group	Genes	SK-Mel-147_vs_WM793_logFC	SK-Mel-147_vs_WM793_pval	Removed?	Contaminant?
Q0ZGT2	NEXN	4.32421393832393	6.86005840875829e-17	No	No
Q12792	TWF1	3.21419481948939	3.71019686599908e-27	No	No
Q12800	TFCP2	6.85453612159253	7.26259784741745e-14	No	No
Q12830	BPTF	4.7771004027697	0.0004494772347351	No	No
Q12834	CDC20	4.30783223778764	1.23146171178217e-16	No	No
Q12874	SF3A3	4.16600956438894	2.0761459775498398e-18	No	No
Q12891	HYAL2	2.88729819320062	2.1807756095266e-15	No	No
Q12894	IFRD2	2.29640000926981	1.06970055422817e-07	No	No
Q12899	TRIM26	6.53558171936286	6.54476033851637e-27	No	No
Q12905	ILF2	5.1808510514315	3.7063568704758803e-25	No	No
Q12906	ILF3	6.04553749784437	2.2710440286810097e-28	No	No
Q12926	ELAVL2	4.62071209127368	2.78778104159685e-07	No	No
Q12955	ANK3	2.37333181126797	4.02522320061734e-12	No	No
Q12965	MYO1E	3.28800669275461	9.926718042080919e-28	No	No
Q12986	NFX1	4.57031984887914	0.0059325420872778	No	No
Q13064	MKRN3	4.98950149127251	2.0496953190079598e-30	No	No
Q13123	IK	3.23366133798792	6.3038018265595505e-15	No	No
Q13200	PSMD2	2.3801288826973	4.150933414541e-18	No	No
Q13219	PAPPA	10.1801532181279	1.9210495710656198e-26	No	No
Q13242	SRSF9	6.15586507682819	3.67483725031415e-22	No	No
Q13243	SRSF5	4.22710958800917	1.0822532964963901e-19	No	No
Q13247	SRSF6	3.2462128531276	3.1512434291805803e-17	No	No
Q13310	PABPC4	6.46334131338116	1.08546362353232e-31	No	No
Q13336	SLC14A1	3.35816176634272	4.30693657651888e-13	No	No
Q13435	SF3B2	3.65919588084227	5.13612590718793e-21	No	No
Q13443	ADAM9	2.6434245713856	7.19021435857965e-24	No	No
Q13491	GPM6B	5.58533558348839	6.10118476568948e-26	No	No
Q13636	RAB31	2.83027952552331	2.29230162383094e-24	No	No
Q13670	PMS2P11	9.18783507619032	1.39812038253094e-26	No	No
Q13829	TNFAIP1	2.34738343161814	5.02615816972817e-17	No	No
Q13835	PKP1	2.54578902316072	0.0046128829838854	No	No
Q13938	CAPS	5.24267120692239	1.44620604817626e-19	No	No
Q14011	CIRBP	6.320062080965	2.25737866264808e-29	No	No
Q14012	CAMK1	5.00460744876758	4.08331381716739e-17	No	No
Q14315	FLNC	3.11712164332933	1.7817091192728703e-15	No	No
Q14393	GAS6	7.09649721181928	7.26036296981548e-24	No	No
Q14439	GPR176	2.43940239605077	7.88956323614913e-08	No	No
Q14493	SLBP	4.72154955309386	0.0002916841626385	No	No
Q14574	DSC3	2.58170260115367	0.0020683873341118	No	No
Q14767	LTBP2	10.8800219535932	4.1549813445794797e-11	No	No
Q14CS0	UBXN2B	3.94166099949591	2.0359210809484403e-09	No	No
Q14D04	VEPH1	12.3775070036574	2.51569699242342e-27	No	No
Q15004	PCLAF	2.80630244488158	5.8431612896986e-08	No	No
Q15366	PCBP2	5.52038162710555	2.89389227394618e-32	No	No
Q15375	EPHA7	3.22034963324555	3.11700717808491e-08	No	No
Q15399	TLR1	5.77622413747229	0.0009187279358683	No	No
Q15427	SF3B4	3.21106928901673	3.0741377075449897e-16	No	No
Q15434	RBMS2	6.45342968325696	3.15758179824314e-11	No	No
Q15459	SF3A1	4.25809017184035	9.48663295302959e-22	No	No
Q15637	SF1	3.74562633280152	5.9818795858402604e-21	No	No
Q15642	TRIP10	6.75384010411641	3.39412484336471e-24	No	No
Q15650	TRIP4	2.99025147139815	1.04429616360674e-18	No	No
Q15653	NFKBIB	2.43989153110771	1.47088918716482e-16	No	No
Q15773	MLF2	4.01868094125659	2.02335395732527e-24	No	No
Q15785	TOMM34	2.83813311460894	4.17912419472766e-18	No	No
Q16581	C3AR1	5.56237788287173	5.18363724189619e-18	No	No
Q16629	SRSF7	4.52025856528964	2.5185481962783e-18	No	No
Q16643	DBN1	3.12665033418665	1.47013379269112e-23	No	No
Q16719	KYNU	2.99410201903851	4.50770793466369e-15	No	No
Q16854	DGUOK	2.41355121761276	0.0030570240190955	No	No
Q16878	CDO1	3.47711647832378	8.85688386277544e-06	No	No
Q17RB0	RTL8B	3.75426144277992	2.1344326880307197e-12	No	No
Q17RY0	CPEB4	2.32720157512766	0.0077527230614412	No	No
Q19T08	ECSCR	11.1983917003354	2.0572321898770197e-42	No	No
Q24JP5	TMEM132A	4.06470170035507	2.53104062836842e-17	No	No
Q29980	MICB	3.40325709618528	1.42040613134687e-16	No	No
Q29983	MICA	6.32058890319702	4.68277598017713e-28	No	No
Q2M1P5	KIF7	4.27176812163313	0.0011320769934937	No	No
Q2TB18	ASTE1	3.02782224017174	0.0001824020628924	No	No
Q2V2M9	FHOD3	5.77680489700534	0.0038210862789693	No	No
Q49AM3	TTC31	3.56977442190169	4.48040445819058e-06	No	No
