"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0032099","GO:0032099",44,"GO:0032099",0.750722865065016,10,"negative regulation of appetite","negative regulation of appetite",0.884421981004071,0.469333333333333,0
"GO:0140058","GO:0140058",12,"GO:0097485",0.750722865065016,32,"neuron projection arborization","neuron projection guidance",0.853286295793758,0.43375,0.681
"GO:0048011","GO:0048011",20,"GO:1900746",0.750722865065016,25,"neurotrophin TRK receptor signaling pathway","regulation of vascular endothelial growth factor signaling pathway",0.89542605156038,0.423272727272727,0.571
"GO:0055022","GO:0055022",59,"GO:0055022",0.750722865065016,28,"negative regulation of cardiac muscle tissue growth","negative regulation of cardiac muscle tissue growth",0.843059701492537,0.419416666666667,0
"GO:0086069","GO:0086069",52,"GO:0044065",0.750722865065016,15,"bundle of His cell to Purkinje myocyte communication","regulation of respiratory system process",0.887905020352782,0.414875,0.541
"GO:1900076","GO:1900076",38,"GO:1900076",0.750722865065016,71,"regulation of cellular response to insulin stimulus","regulation of cellular response to insulin stimulus",0.884059701492537,0.400833333333333,0
"GO:0006651","GO:0006651",57,"GO:0006651",0.750722865065016,9,"diacylglycerol biosynthetic process","diacylglycerol biosynthetic process",0.955932157394844,0.400333333333333,0
"GO:0060836","GO:0060836",54,"GO:0060836",0.750722865065016,8,"lymphatic endothelial cell differentiation","lymphatic endothelial cell differentiation",0.911272727272727,0.397714285714286,0
"GO:0070100","GO:0070100",60,"GO:0070100",0.750722865065016,7,"negative regulation of chemokine-mediated signaling pathway","negative regulation of chemokine-mediated signaling pathway",0.875894165535957,0.3926,0
"GO:0045187","GO:0045187",31,"GO:0042749",0.750722865065016,15,"regulation of circadian sleep/wake cycle, sleep","regulation of circadian sleep/wake cycle",0.918810040705563,0.391666666666667,0.985
"GO:1901224","GO:1901224",23,"GO:1901222",0.750722865065016,69,"positive regulation of non-canonical NF-kappaB signal transduction","regulation of non-canonical NF-kappaB signal transduction",0.857943012211669,0.3872,0.961
"GO:0043009","GO:0043009",47,"GO:0043009",0.750722865065016,653,"chordate embryonic development","chordate embryonic development",0.9188697421981,0.3856,0
"GO:1900748","GO:1900748",20,"GO:1900746",0.750722865065016,9,"positive regulation of vascular endothelial growth factor signaling pathway","regulation of vascular endothelial growth factor signaling pathway",0.86787381275441,0.374636363636364,0.932
"GO:0007608","GO:0007608",3,"GO:2000463",0.750722865065016,456,"sensory perception of smell","positive regulation of excitatory postsynaptic potential",0.947565807327001,0.369142857142857,0.596
"GO:0007156","GO:0007156",1,"GO:0098742",0.750722865065016,168,"homophilic cell adhesion via plasma membrane adhesion molecules","cell-cell adhesion via plasma-membrane adhesion molecules",0.974588873812754,0.357777777777778,0.937
"GO:0038127","GO:0038127",46,"GO:0038127",0.750722865065016,124,"ERBB signaling pathway","ERBB signaling pathway",0.88808276797829,0.355818181818182,0
"GO:0042149","GO:0042149",44,"GO:0032099",0.750722865065016,50,"cellular response to glucose starvation","negative regulation of appetite",0.923677069199457,0.3475,0.629
"GO:0071773","GO:0071773",20,"GO:1900746",0.750722865065016,179,"cellular response to BMP stimulus","regulation of vascular endothelial growth factor signaling pathway",0.949093622795115,0.338363636363636,0.645
"GO:0051005","GO:0051005",14,"GO:0051004",0.750722865065016,8,"negative regulation of lipoprotein lipase activity","regulation of lipoprotein lipase activity",0.942183175033921,0.335714285714286,0.955
"GO:0030509","GO:0030509",20,"GO:1900746",0.750722865065016,167,"BMP signaling pathway","regulation of vascular endothelial growth factor signaling pathway",0.876333785617368,0.334727272727273,0.64
"GO:0001956","GO:0001956",40,"GO:0001956",0.750722865065016,17,"positive regulation of neurotransmitter secretion","positive regulation of neurotransmitter secretion",0.836981004070556,0.331,0
"GO:1904861","GO:1904861",2,"GO:0050808",0.750722865065016,32,"excitatory synapse assembly","synapse organization",0.855985074626866,0.330592592592593,0.761
"GO:0051489","GO:0051489",27,"GO:0051491",0.750722865065016,51,"regulation of filopodium assembly","positive regulation of filopodium assembly",0.8551302578019,0.32775,0.966
"GO:0007169","GO:0007169",46,"GO:0038127",0.750722865065016,635,"transmembrane receptor protein tyrosine kinase signaling pathway","ERBB signaling pathway",0.872096336499322,0.325727272727273,0.843
"GO:0034440","GO:0034440",35,"GO:0019216",0.750722865065016,114,"lipid oxidation","regulation of lipid metabolic process",0.949875169606513,0.323142857142857,0.581
"GO:0036465","GO:0036465",28,"GO:0140238",0.750722865065016,82,"synaptic vesicle recycling","presynaptic endocytosis",0.93678697421981,0.32,0.82
"GO:0060192","GO:0060192",14,"GO:0051004",0.750722865065016,17,"negative regulation of lipase activity","regulation of lipoprotein lipase activity",0.939412483039349,0.3155,0.836
"GO:0002040","GO:0002040",36,"GO:0002040",0.750722865065016,190,"sprouting angiogenesis","sprouting angiogenesis",0.904519674355495,0.314636363636364,0
"GO:1905064","GO:1905064",17,"GO:0051146",0.750722865065016,13,"negative regulation of vascular associated smooth muscle cell differentiation","striated muscle cell differentiation",0.854177747625509,0.3082,0.72
"GO:0035507","GO:0035507",51,"GO:0035507",0.750722865065016,7,"regulation of myosin-light-chain-phosphatase activity","regulation of myosin-light-chain-phosphatase activity",0.887145183175034,0.301625,0
