term,fdr,Odds Ratio,Combined Score,Genes,description
Glycosaminoglycan Metabolism,0.3743252,2.617576,5.615914,EXT1;NAGLU;B4GALT5,Glycosaminoglycan Metabolism
Erythrocytes Take up Carbon Dioxide and Release Oxygen,0.3743252,9.06456,19.44181,CA1,Erythrocytes Take up Carbon Dioxide and Release Oxygen
Mucopolysaccharidoses,0.3743252,9.06456,19.44181,NAGLU,Mucopolysaccharidoses
O2 CO2 Exchange in Erythrocytes,0.3743252,9.06456,19.44181,CA1,O2 CO2 Exchange in Erythrocytes
HuR (ELAVL1) Binds and Stabilizes mRNA,0.3743252,9.06456,19.44181,ENPP2,HuR (ELAVL1) Binds and Stabilizes mRNA
Drug ADME,0.3743252,3.558808,7.623324,BCHE;SERPINA6,Drug ADME
N-Glycan Antennae Elongation,0.3743252,8.056166,16.48414,B4GALT5,N-Glycan Antennae Elongation
SHC1 Events in ERBB2 Signaling,0.3743252,8.056166,16.48414,EGFR,SHC1 Events in ERBB2 Signaling
Activation of SMO,0.3743252,8.056166,16.48414,SHH,Activation of SMO
GAB1 Signalosome,0.3743252,8.056166,16.48414,EGFR,GAB1 Signalosome
Signaling by ERBB2 TMD JMD Mutants,0.3743252,8.056166,16.48414,EGFR,Signaling by ERBB2 TMD JMD Mutants
"Defective EXT1 Causes Exostoses 1, TRPS2 and CHDS",0.3743252,8.056166,16.48414,EXT1,"Defective EXT1 Causes Exostoses 1, TRPS2 and CHDS"
Defective EXT2 Causes Exostoses 2,0.3743252,8.056166,16.48414,EXT1,Defective EXT2 Causes Exostoses 2
Transcriptional Regulation by the AP-2 (TFAP2) Family of Transcription Factors,0.3743252,8.056166,16.48414,EGFR,Transcriptional Regulation by the AP-2 (TFAP2) Family of Transcription Factors
Dissolution of Fibrin Clot,0.3743252,8.056166,16.48414,PLG,Dissolution of Fibrin Clot
CD22 Mediated BCR Regulation,0.3888966,3.240494,6.469757,IGKV2D-30;IGHD,CD22 Mediated BCR Regulation
Estrogen-dependent Nuclear Events Downstream of ESR-membrane Signaling,0.3953818,7.249451,14.19097,EGFR,Estrogen-dependent Nuclear Events Downstream of ESR-membrane Signaling
Metabolism of Steroid Hormones,0.3953818,7.249451,14.19097,SERPINA6,Metabolism of Steroid Hormones
Gastrin-CREB Signalling Pathway via PKC and MAPK,0.4068417,6.589411,12.3695,EGFR,Gastrin-CREB Signalling Pathway via PKC and MAPK
Chaperone Mediated Autophagy,0.4068417,6.589411,12.3695,LAMP2,Chaperone Mediated Autophagy
O-linked Glycosylation,0.4068417,2.856645,5.156276,CFP;B4GALT5,O-linked Glycosylation
NOTCH3 Activation and Transmission of Signal to the Nucleus,0.4068417,6.039377,10.89375,EGFR,NOTCH3 Activation and Transmission of Signal to the Nucleus
Signaling by EGFR in Cancer,0.4068417,6.039377,10.89375,EGFR,Signaling by EGFR in Cancer
Signaling by EGFRvIII in Cancer,0.4068417,6.039377,10.89375,EGFR,Signaling by EGFRvIII in Cancer
Signaling by ERBB2 ECD Mutants,0.4068417,6.039377,10.89375,EGFR,Signaling by ERBB2 ECD Mutants
Signaling by ERBB2 KD Mutants,0.4068417,6.039377,10.89375,EGFR,Signaling by ERBB2 KD Mutants
Signaling by Ligand-Responsive EGFR Variants in Cancer,0.4068417,6.039377,10.89375,EGFR,Signaling by Ligand-Responsive EGFR Variants in Cancer
Constitutive Signaling by EGFRvIII,0.4068417,6.039377,10.89375,EGFR,Constitutive Signaling by EGFRvIII
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,0.4068417,6.039377,10.89375,EGFR,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
Downregulation of ERBB2 Signaling,0.4068417,6.039377,10.89375,EGFR,Downregulation of ERBB2 Signaling
Signaling by ERBB2 in Cancer,0.4310134,5.573964,9.678164,EGFR,Signaling by ERBB2 in Cancer
O-glycosylation of TSR Domain-Containing Proteins,0.4375137,5.175039,8.662732,CFP,O-glycosylation of TSR Domain-Containing Proteins
HS-GAG Degradation,0.4375137,5.175039,8.662732,NAGLU,HS-GAG Degradation
Synthesis of PC,0.4375137,5.175039,8.662732,BCHE,Synthesis of PC
Defective B3GALTL Causes PpS,0.4375137,5.175039,8.662732,CFP,Defective B3GALTL Causes PpS
Miscellaneous Transport and Binding Events,0.4375137,5.175039,8.662732,AZGP1,Miscellaneous Transport and Binding Events
Anti-inflammatory Response Favouring Leishmania Parasite Infection,0.4396525,2.047674,3.380135,IGHG3;CD163;IGKV2D-30,Anti-inflammatory Response Favouring Leishmania Parasite Infection
Leishmania Parasite Growth and Survival,0.4396525,2.047674,3.380135,IGHG3;CD163;IGKV2D-30,Leishmania Parasite Growth and Survival
Metabolism of Vitamins and Cofactors,0.4430945,2.028402,3.311642,BST1;VNN1;ENPP2,Metabolism of Vitamins and Cofactors
HS-GAG Biosynthesis,0.4430945,4.829304,7.80422,EXT1,HS-GAG Biosynthesis
Plasma Lipoprotein Assembly,0.4430945,4.829304,7.80422,A2M,Plasma Lipoprotein Assembly
Respiratory Syncytial Virus (RSV) Attachment and Entry,0.4595609,4.526786,7.070752,EGFR,Respiratory Syncytial Virus (RSV) Attachment and Entry
Signaling by NOTCH3,0.4595609,4.526786,7.070752,EGFR,Signaling by NOTCH3
Metabolism of Steroids,0.4653405,2.384699,3.674404,GC;SERPINA6,Metabolism of Steroids
Nicotinate Metabolism,0.4671552,4.259858,6.438346,BST1,Nicotinate Metabolism
Transcriptional Regulation of White Adipocyte Differentiation,0.4671552,4.259858,6.438346,ADIPOQ,Transcriptional Regulation of White Adipocyte Differentiation
EGFR Downregulation,0.4671552,4.259858,6.438346,EGFR,EGFR Downregulation
Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers,0.4711069,2.308289,3.449987,IGKV2D-30;IGHD,Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers
Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell,0.4778368,1.853647,2.714335,IGKV2D-30;LILRA3;OSCAR,Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell
Diseases of Carbohydrate Metabolism,0.4778368,4.022589,5.888644,NAGLU,Diseases of Carbohydrate Metabolism
Signal Transduction by L1,0.4956412,3.810295,5.407372,EGFR,Signal Transduction by L1
Class B 2 (Secretin Family Receptors),0.5128652,3.619231,4.983282,SHH,Class B 2 (Secretin Family Receptors)
Role of LAT2 NTAL LAB on Calcium Mobilization,0.5139206,2.105636,2.877987,IGKV2D-30;IGHE,Role of LAT2 NTAL LAB on Calcium Mobilization
FCGR Activation,0.5169252,2.075238,2.795229,IGHG3;IGKV2D-30,FCGR Activation
Infection With Mycobacterium Tuberculosis,0.5169252,3.446363,4.607397,MRC1,Infection With Mycobacterium Tuberculosis
Keratan Sulfate Biosynthesis,0.5169252,3.446363,4.607397,B4GALT5,Keratan Sulfate Biosynthesis
Epigenetic Regulation of Adipogenesis Genes by MLL3 and MLL4 Complexes,0.5169252,3.289211,4.272478,ADIPOQ,Epigenetic Regulation of Adipogenesis Genes by MLL3 and MLL4 Complexes
Epigenetic Regulation of Gene Expression by MLL3 and MLL4 Complexes,0.5169252,3.289211,4.272478,ADIPOQ,Epigenetic Regulation of Gene Expression by MLL3 and MLL4 Complexes
Signaling by Non-Receptor Tyrosine Kinases,0.5169252,3.289211,4.272478,EGFR,Signaling by Non-Receptor Tyrosine Kinases
Signaling by PTK6,0.5169252,3.289211,4.272478,EGFR,Signaling by PTK6
MLL4 and MLL3 Complexes Regulate Expression of PPARG Targets in Adipogenesis and Hepatic Steatosis,0.5169252,3.289211,4.272478,ADIPOQ,MLL4 and MLL3 Complexes Regulate Expression of PPARG Targets in Adipogenesis and Hepatic Steatosis
Senescence-Associated Secretory Phenotype (SASP),0.5279729,3.145724,3.972623,IGFBP7,Senescence-Associated Secretory Phenotype (SASP)
Antimicrobial Peptides,0.5279729,3.145724,3.972623,PGLYRP2,Antimicrobial Peptides
Role of Phospholipids in Phagocytosis,0.5292047,1.935407,2.425364,IGHG3;IGKV2D-30,Role of Phospholipids in Phagocytosis
