Protein_Group	Genes	SAX_vs_RAW_logFC	SAX_vs_RAW_pval	Removed?	Contaminant?
O09111	Ndufb11	4.47453926709372	1.97852296990005e-12	No	No
O09117	Sypl1	3.52331281867644	2.1711766603151e-06	No	No
O09126	Sema4d	4.93110893045821	1.6572224143688702e-09	No	No
O09164	Sod3	1.84437403235262	0.0002077312822106	No	No
O35099	Map3k5	2.97091418605316	1.11277863327708e-06	No	No
O35103	Omd	5.91265884941928	6.39929120023605e-12	No	No
O35129	Phb2	4.73323293051171	1.02397405595109e-06	No	No
O35143	Atp5if1	3.93459288561566	1.93772578708273e-08	No	No
O35161	Celsr1	7.34712374324887	3.64874416883655e-16	No	No
O35166	Gosr2	6.08314733192416	6.96006515586872e-13	No	No
O35176	Scgb1b2	3.2642440972056	0.0001292562805624	No	No
O35188	Cx3cl1	3.40601864186637	3.18209696550925e-08	No	No
O35206	Col15a1	1.99592879809166	0.0014441824855524	No	No
O35226	Psmd4	5.14165291527462	2.5047591685616097e-11	No	No
O35250	Exoc7	2.68519832666536	5.44984116723482e-08	No	No
O35295	Purb	6.26670291703783	8.66722221021197e-12	No	No
O35309	Nmi	8.11482150809564	1.98589816327202e-10	No	No
O35344	Kpna3	3.78037308198399	8.51638542847738e-07	No	No
O35345	Kpna6	4.24127343923532	6.648744300331871e-14	No	No
O35375	Nrp2	4.73873102465922	9.34682472275789e-13	No	No
O35379	Abcc1	2.68085981819356	0.0006436627344922	No	No
O35381	Anp32a	5.40484856068598	6.49681905148477e-08	No	No
O35382	Exoc4	6.08272985117506	3.5097438032362704e-09	No	No
O35516	Notch2	5.05275954063873	1.15871807087635e-07	No	No
O35551	Rabep1	10.2950562362431	2.10713573691732e-16	No	No
O35566	Cd151	10.6778577883024	7.98330837314716e-18	No	No
O35593	Psmd14	5.30347390384982	2.0941483369094698e-11	No	No
O35598	Adam10	4.56042727486881	1.2602280252015402e-09	No	No
O35601	Fyb1	7.23587843205549	2.3309875132851798e-11	No	No
O35608	Angpt2	3.73589810220224	1.55914451483708e-10	No	No
O35609	Scamp3	7.76438876817913	1.65293355588291e-13	No	No
O35639	Anxa3	2.36282745549548	0.0024577246506359	No	No
O35643	Ap1b1	4.61503275800876	2.62683018929282e-06	No	No
O35678	Mgll	6.53493649070664	2.34893589861722e-11	No	No
O35684	Serpini1	2.5748069181195	0.0013518210395083	No	No
O35685	Nudc	5.78529110090437	1.35587505625795e-12	No	No
O35691	Pnn	2.94341249048843	1.1155132619970499e-11	No	No
O35696	St8sia2	2.64623095731032	2.36404879643578e-06	No	No
O35737	Hnrnph1	2.61074013889742	0.0002074610340256	No	No
O35841	Api5	6.14243026024783	1.62630438156086e-14	No	No
O35855	Bcat2	6.7530205260026	1.17908250307755e-14	No	No
O35857	Timm44	3.49428306342285	1.72634727167353e-08	No	No
O35864	Cops5	4.70532381970612	6.047035730203689e-11	No	No
O35887	Calu	5.40387562684534	3.2407069989118998e-12	No	No
O35892	Sp100	5.46886070619517	7.12774022916196e-10	No	No
O35900	Lsm2	3.94510407083743	3.94608649022168e-10	No	No
O35930	Gp1ba	3.38167556149966	3.09196285234343e-09	No	No
O35955	Psmb10	4.89188445797745	1.15966403823522e-12	No	No
O35963	Rab33b	4.89952041628013	4.44119168971752e-13	No	No
O54724	Cavin1	6.5557484745117	1.59620594803011e-10	No	No
O54734	Ddost	5.17079978613079	5.16117738554196e-09	No	No
O54774	Ap3d1	5.72168161579261	2.0867459833349e-07	No	No
O54781	Srpk2	1.42451235318947	0.0006053869465124	No	No
O54786	Dffa	6.77101689872058	1.49949158433858e-07	No	No
O54819	Tfpi	3.11271998591124	2.52585495580996e-09	No	No
O54824	Il16	4.77136312987254	2.35972346287407e-15	No	No
O54834	Arhgap6	6.95792639742455	9.2782511663074e-13	No	No
O54865	Gucy1b1	6.25158200089111	7.024055735959191e-09	No	No
O54879	Hmgb3	2.26212918482588	0.0031628242199657	No	No
O54890	Itgb3	5.04298776636127	1.1445317684846799e-11	No	No
O54901	Cd200	4.37151287067541	0.0002119774235924	No	No
O54916	Reps1	4.02117446508448	1.1620802765336e-05	No	No
O54940	Bnip2	3.72852381286207	3.4264020656669e-11	No	No
O54941	Smarce1	8.25369532071871	1.4932156108250698e-11	No	No
O54950	Prkag1	2.77891203142023	0.000247666017604	No	No
O54957	Lat	7.22269042074	5.4347375596739e-18	No	No
O54962	Banf1	3.56548661235156	4.23147620394041e-07	No	No
O54984	Get3	4.6394071676864	4.03707505357284e-10	No	No
O54988	Slk	5.86746958204162	2.26273411730704e-10	No	No
O55013	Trappc3	4.13920980803891	1.07293086816155e-07	No	No
O55022	Pgrmc1	3.93298236055853	9.98968218693888e-12	No	No
O55026	Entpd2	2.64371854868845	4.72726338467935e-08	No	No
O55029	Copb2	6.79909460189394	1.0891832104429801e-14	No	No
O55033	Nck2	5.14763965996829	8.94628040682017e-10	No	No
O55042	Snca	4.06190802169003	2.67670185766311e-10	No	No
O55098	Stk10	11.3406991527892	8.69200844753142e-10	No	No
O55100	Syngr1	1.30025037391122	1.77213130090088e-06	No	No
O55101	Syngr2	2.53556548805188	2.17195519623832e-09	No	No
O55102	Bloc1s1	2.78085621480089	2.15823505847375e-09	No	No
