Protein_Group	Genes	Protein_Names	IgG_dox-_Avg_Peptide_Count	IgG_dox+_Avg_Peptide_Count	AURKA_dox-_Avg_Peptide_Count	AURKA_dox+_Avg_Peptide_Count	Species	Intensity_IgG_dox-_BR1_TR1	Intensity_IgG_dox-_BR1_TR2	Intensity_IgG_dox+_BR1_TR1	Intensity_IgG_dox+_BR1_TR2	Intensity_AURKA_dox-_BR1_TR1	Intensity_AURKA_dox-_BR1_TR2	Intensity_AURKA_dox+_BR1_TR1	Intensity_AURKA_dox+_BR1_TR2	Intensity_IgG_dox-_BR2_TR1	Intensity_IgG_dox-_BR2_TR2	Intensity_IgG_dox+_BR2_TR1	Intensity_IgG_dox+_BR2_TR2	Intensity_AURKA_dox-_BR2_TR1	Intensity_AURKA_dox-_BR2_TR2	Intensity_AURKA_dox+_BR2_TR1	Intensity_AURKA_dox+_BR2_TR2	Intensity_IgG_dox-_BR3_TR1	Intensity_IgG_dox-_BR3_TR2	Intensity_IgG_dox+_BR3_TR1	Intensity_IgG_dox+_BR3_TR2	Intensity_AURKA_dox-_BR3_TR1	Intensity_AURKA_dox-_BR3_TR2	Intensity_IgG_dox-_BR4_TR1	Intensity_IgG_dox-_BR4_TR2	Intensity_IgG_dox+_BR4_TR1	Intensity_IgG_dox+_BR4_TR2	Intensity_AURKA_dox-_BR4_TR1	Intensity_AURKA_dox-_BR4_TR2	Intensity_AURKA_dox+_BR4_TR1	Intensity_AURKA_dox+_BR4_TR2
Q32PJ2	APOA4	APOA4_BOVIN	0.625	0.375	0.5	0.5	BOVIN									1235161.2	3249661.5			983687.0	756206.6	147122.92		784941.7	2872615.5	3577988.2	5199492.5		48507.727	1424314.4		365083.88			118576.555	111414.69	135558.84
Q3B726	POLR1F	RPA43_HUMAN	0.875	1.125	3.75	3.3333333333333335	HUMAN		33037.64		24617.229	454314.12	351447.3	298772.6	281329.7		684480.4			470273.0	734716.3		118919.69	140080.66	169491.55	237779.98	611572.25	46963.844	37496.965		812.8608			580016.9	580756.0	740971.6	324811.0
Q3B820	FAM161A	F161A_HUMAN	5.375	5.625	2.0	2.5	HUMAN	912208.06	1560941.9	2405968.5	2697496.0	282245.4	54403.484	265397.0	309261.6	754529.5	744412.2	1142990.5	700605.94	107626.51	157110.16	22309.838		88643.36	579697.5	367793.12	445025.47	30506.432	63676.258	134861.03	992916.3	739974.9	276969.94	185827.16	40549.297	236742.62	226116.69
Q3KQU3	MAP7D1	MA7D1_HUMAN	20.25	18.75	39.875	37.333333333333336	HUMAN	1899111.0	4180247.0	5126343.0	3424564.8	30851310.0	24491164.0	35781784.0	35439970.0	4727580.0	9131506.0	2713151.5	2856558.8	34557532.0	36856544.0	8323916.5	7409876.0	2064653.2	5385492.0	8134307.0	8394097.0	16383150.0	10667823.0	2995598.0	5196153.0	3490597.0	1865870.5	37090324.0	29868420.0	39800390.0	26269326.0
Q3KQV9	UAP1L1	UAP1L_HUMAN	0.25	0.5	0.25	0.16666666666666666	HUMAN		12252.151	13375.477	12681.872		21838.139								4293.136	26267.838									8843.514	16405.553	3304.5967				
Q3L8U1	CHD9	CHD9_HUMAN	2.25	2.125	3.625	5.833333333333333	HUMAN	30051.244	2270.9922	1616.4008	9504.581	984101.94	61541.785	1529957.0	931786.3	147639.45	316864.5		292651.88	904384.3	88622.4	251024.23		2348.2424	154883.98	484184.53	675154.44	3234.6155			258005.69	279074.47	9506.595	627283.44	669576.94	1067635.8	278772.97
Q3LXA3	TKFC	TKFC_HUMAN	0.875	0.75	1.0	0.3333333333333333	HUMAN		108809.164	145443.39			878.97754	1269.9868			3493.9248			5608621.5	8347.559			1769.9656	4126.1846	10850.412	15072.226	981.66486		62901.23		153385.64					1801.6444
Q3MHD2	LSM12	LSM12_HUMAN	4.375	5.625	8.5	8.0	HUMAN	2670233.2	2726258.8	4967674.5	4371248.0	84766296.0	71353500.0	21668480.0	18967560.0	1898805.9	3976490.8	3900142.8	3459218.0	55980256.0	64063764.0	14105769.0	11410177.0	1093942.1	2709147.2	2140765.2	2716992.5	9483164.0	6880557.0	1814080.8	3003050.8	2599439.8	2231328.8	29978274.0	21691994.0	27333756.0	24917580.0
Q3MHH8	AMY2A	Q3MHH8_BOVIN	3.0	3.0	0.75	0.5	BOVIN	2416643.5	1806739.4	12884528.0	4054352.0	253122.02				1231961.6	2721572.5	3982618.8	3023262.8	199860.73		154255.28	115936.74	905369.25	2542774.5	6513198.0	4998707.0			1868260.1	2415842.2	9996160.0	6474674.0	830187.5	775895.75		
Q3MHN2	C9	CO9_BOVIN	0.125	0.0	1.5	2.1666666666666665	BOVIN					3161982.2		205908.12	194346.66					123613.42	132780.58	121148.85	2268510.0		53690.555			2660632.0	88950.695					217942.38	3629560.0	359068.03	291922.5
Q3SX14	GSN	GELS_BOVIN	2.0	2.0	1.5	0.5	BOVIN		120973.82		191790.81	238073.44		174184.72		6202.279	164971.64	314802.8	281806.4	960471.3	1548424.0	111571.04		1013972.25	2686162.2	2080564.4	2986953.5	110160.65	222261.52	331298.78	889977.9	66122.08	152671.9	156091.14	105466.44	181845.8	
Q3SXM5	HSDL1	HSDL1_HUMAN	2.375	3.25	3.375	3.0	HUMAN	22066.754	22350.91	191372.39	26080.23	171012.84	13426.693	124972.414	64966.258	20869.662	65922.07	35064.14	39683.39	138564.94	260774.34	7696.431	2720.0996	56382.727	37981.54	182606.16	47740.22	4282.7705			114394.445	65442.82	65022.992	101245.69	63479.273	94061.484	22913.596
Q3SY84	KRT71	K2C71_HUMAN	1.375	1.0	1.875	8.5	HUMAN	1034323.25	812057.44	1529338.2	816934.3	4694136.5	2906999.5	36227944.0	38109360.0	283803.44	272702.8	877518.1	599645.7	1846559.1	3028864.5	3491211.8	2309628.0	187457.48	456283.97	698950.94	977683.25	2443143.0	1889940.2	262519.44	739694.75	2212133.2	2868830.2	1785575.0	1408036.4	6041315.5	5749846.0
Q3SZ57	AFP	FETA_BOVIN	1.125	0.875	0.875	0.8333333333333334	BOVIN	4569.574		5474.6787	3139.397	5906.522	14035.866		6497.256		11440.195	8239.109	3726.6138	1179.5138	2272.2688		7009.3096	2196.4734	2698.7368	2993.0955			2866.7366	4845.715	6399.315	12202.915	2633.9734		2589.2432	2929.7727	
Q3SZH5	AGT	Q3SZH5_BOVIN	0.5	0.0	0.0	0.0	BOVIN	1139200.4																107569.86						130175.68							
Q3SZR3	ORM1	A1AG_BOVIN	1.375	2.0	3.875	1.3333333333333333	BOVIN	43805.734	145329.67	11447.873	89816.79	15436422.0	13103259.0	260020.16	333144.53	34964.3	16845.139	91049.68	168490.6	252618.77	607736.56		92422.21	58753.305	59451.34	169703.44	134984.31	81668.85	42065.496	66629.38	283980.28	422520.2	125202.87	37629.57	71998.34	367434.6	31920.2
Q3SZV7	HPX	HEMO_BOVIN	2.125	1.875	2.625	2.1666666666666665	BOVIN	56287.645	122745.16	148772.8	112471.664	166653.42	91775.75	215541.3	142326.1	74324.86	73949.46	100544.99	72788.41	101770.734	94657.28	103352.53	44795.582	100431.8	112434.99	59502.95	58025.984	96808.96	73798.164	67539.86	80541.234	53221.945		166945.97	101650.14	186573.9	156348.6
Q3T052	ITIH4	ITIH4_BOVIN	4.625	4.0	3.875	4.166666666666667	BOVIN	848688.75	280570.06	332165.9	161181.42	268389.4	110908.34	91860.91	62227.61	583924.06	109834.83	28033.691	161555.75	132485.73	63503.023	56472.98	60386.9	316399.0	108064.0	173220.88	76369.586	85186.24	58535.125	143379.12	247362.75	243884.56	112418.53	49303.07	100429.23	212418.1	157467.69
Q3T8J9	GON4L	GON4L_HUMAN	0.0	0.0	0.0	0.16666666666666666	HUMAN								714222.25																						
Q3V6T2	CCDC88A	GRDN_HUMAN	35.25	36.75	24.0	22.833333333333332	HUMAN	7517431.5	14269383.0	28795056.0	18143348.0	11074430.0	6767957.5	11862917.0	11084592.0	7760500.5	15001174.0	16870556.0	11947045.0	11164943.0	11177752.0	538089.6	1279870.2	5140260.0	14707823.0	10953106.0	19479862.0	3554984.5	1819603.1	10108346.0	10599821.0	14189184.0	9596695.0	8684519.0	8355901.0	13237286.0	8949638.0
Q3Y5Z3	ADIPOQ	ADIPO_BOVIN	0.0	0.375	0.0	0.16666666666666666	BOVIN											6587.1987	4173.4927														2753.1362			2625.4575	
Q3YEC7	RABL6	RABL6_HUMAN	3.25	4.0	6.25	5.0	HUMAN	4988.6743	397071.16	103659.4	3588.9224	365550.12	332366.2	596336.06	419356.5	80726.81	68977.92	204714.8	49501.055	713633.06	406919.3	15004.851	37902.402	18368.04	378449.1	205445.22	159382.9	68461.95	4914.1084	222349.72	289896.03	56743.977	77260.64	510437.12	292832.28	162798.34	530231.8
Q3ZAQ7	VMA21	VMA21_HUMAN	0.5	0.5	0.25	0.16666666666666666	HUMAN	914.3818		3486.3716										24473.578	16710.084			3462.8545	6989.142	8929.62	5847.11				6361.9277	4967.566				12468.782	
Q3ZCQ8	TIMM50	TIM50_HUMAN	9.5	11.625	10.75	11.166666666666666	HUMAN	1803645.5	2226175.5	3700051.2	2858219.5	3062567.5	2873236.5	6157806.0	4066864.8	1521575.5	2057793.8	2171860.0	1786106.4	3752404.0	2996287.5	1310431.6	523622.06	1383324.8	2075783.6	5460782.5	3486716.8	684966.06	708197.0	1408905.5	1811326.8	2424397.2	1564051.2	3735370.2	2422081.0	4253844.0	3131105.2
Q3ZCW2	LGALSL	LEGL_HUMAN	0.125	0.25	1.125	0.6666666666666666	HUMAN			1039864.3		22824.564	32452.504							1979738.6	2178946.2	26992.965	25332.18						12183.695		29861.385	487479.9		20921.64	37597.504	73541.54	27076.54
Q460N5	PARP14	PAR14_HUMAN	6.5	10.0	9.625	12.166666666666666	HUMAN	119388.24	104180.05	156290.6	302515.12	629416.4	2186317.0	636682.75	4868074.0	65084.285	109329.4	122479.28	157500.03	192205.19	671283.7	23723.09	30484.123	58098.027	204726.12	4116635.2	553618.7	36923.297	3449944.5	82283.81	103653.84	156429.22	72427.875	4303930.0	177411.02	11467930.0	2630108.5
Q494U1	PLEKHN1	PKHN1_HUMAN	2.375	2.25	7.75	7.166666666666667	HUMAN	32099.25	25700.996	54938.5	42489.38	279174.88	274546.2	280611.8	360016.22	42586.285	28154.799	39342.21		273497.7	293032.94	69891.99	20782.672	95164.81	78444.27	155958.16	21172.031	80734.94	95290.43	9120.944	54607.71	13750.277	52877.477	152913.4	249837.14	325888.88	304938.7
Q49A26	GLYR1	GLYR1_HUMAN	6.625	7.25	24.75	23.5	HUMAN	390907.88	761279.9	1438958.6	1411576.2	21281990.0	16337938.0	25693680.0	28899972.0	2332636.0	2301378.5	1022605.3	552118.0	17602572.0	21847428.0	2824537.5	2346451.8	956424.7	1417957.1	3857079.0	3251602.2	7414474.0	4966052.5	522449.06	1430028.6	799400.3	358042.8	26712338.0	19238866.0	28763360.0	15704399.0
Q49A88	CCDC14	CCD14_HUMAN	19.375	22.0	5.75	6.333333333333333	HUMAN	4641988.5	6431287.5	13910754.0	11629492.0	491348.47	598699.25	1041313.75	1016039.94	3186032.8	6618747.5	6435816.0	5928523.0	1217114.0	724039.94			1987225.2	3952273.8	5582279.0	4153807.8	290462.06	184233.2	3102081.2	6190638.5	6658801.0	3618554.2	1174588.0	695907.8	1010910.94	676670.75
Q49AG3	ZBED5	ZBED5_HUMAN	0.0	0.0	0.375	0.16666666666666666	HUMAN								4475.347						6478.3203							1583.2876						3904.7087			
Q49AM3	TTC31	TTC31_HUMAN	0.375	0.5	1.0	1.1666666666666667	HUMAN				8382.607	17602.877	11049.208	119810.76	196935.3		12842.87			199375.69	122731.734				5175.433	110112.8	10736.612				2313.2292			214883.81		134892.17	11804.783
Q49AR2	C5orf22	CE022_HUMAN	0.0	0.0	0.375	0.8333333333333334	HUMAN						2629.695	107119.125	2305.748					18668.502		389948.94													1263.9694	3473.852	3721.9834
Q49MG5	MAP9	MAP9_HUMAN	0.75	0.5	0.5	0.0	HUMAN										12976.812			17338.668				161947.67	67862.08	26597.0	140507.16		14400.779		13875.017	17991.877			22060.496		
Q4AC94	C2CD3	C2CD3_HUMAN	20.625	25.125	8.625	8.166666666666666	HUMAN	2841204.5	12255018.0	9809823.0	18832336.0	2053352.5	3301638.5	840747.1	2348208.0	2764021.5	10377457.0	4541320.5	8953689.0	759818.56	2162437.8			2289124.0	6582992.5	3890913.8	9101864.0	15080.543	87143.15	2056422.0	4006789.2	8973081.0	2876378.2	716162.06	451799.88	1979065.8	1242215.4
Q4ADV7	RIC1	RIC1_HUMAN	0.0	0.375	0.375	0.6666666666666666	HUMAN					12055.816		12791.085	7781.5137					11696.757	11447.413					1448.4438	4564.36					4984.818				31090.672	
Q4G0F5	VPS26B	VP26B_HUMAN	1.75	2.5	12.625	13.333333333333334	HUMAN		218714.33	108993.39	174005.0	1609954.8	2206713.2	3929669.5	3122490.5			88811.95		2864854.0	2858002.0	1792536.8	609458.25	196876.06	93512.89	619126.9	418569.16	1733636.8	1409277.6	144266.03	69209.164	64048.555	132852.81	3844456.2	2199303.2	4359885.0	3001565.5
Q4G0J3	LARP7	LARP7_HUMAN	4.375	2.625	20.375	18.833333333333332	HUMAN		77923.57	27824.691	102930.055	4697148.0	3805131.5	5750194.0	4564833.0	345805.7	981956.1	53643.258	37178.223	4646699.0	5409817.5	921450.8	398436.12	108299.75	608536.9	323078.4	541753.25	749097.94	1185377.4	5217.953	294232.6			6074487.0	3036160.2	7573450.0	3341007.5
Q4G0N4	NADK2	NAKD2_HUMAN	0.75	1.25	0.0	0.0	HUMAN		82204.57		60421.906						22552.768	21899.572	1607.4889					3171.1677		89669.74	11604.25				36122.434	103757.78					
Q4G0P3	HYDIN	HYDIN_HUMAN	1.125	1.125	0.625	0.6666666666666666	HUMAN	2819682.0	6391865.0	4726997.5	7338028.5	301290.3	319796.0		214477.17	1859049.1	3161245.0	242910.34	2293926.0		379234.12	217576.3	185162.33	1589809.2	2973060.0	3810384.0	3611205.2	373262.5		2023946.2		6028891.0	2078430.5		335246.22	102366.6	
Q4G0S4	CYP27C1	C27C1_HUMAN	1.75	2.0	2.75	2.1666666666666665	HUMAN	2036.9741	46798.887	43703.43	35254.152	143759.56	109369.09	41641.844	77889.03	69752.66	24906.941	106422.8	18229.055	267020.56	141344.3	80700.02		72497.625	31742.633	168726.1	16142.987			40950.562	26323.59	28863.066	19126.805	46568.93	15411.674	56687.227	176727.53
Q4G0X4	KCTD21	KCD21_HUMAN	0.5	0.375	0.0	0.0	HUMAN	43197.84	55860.676								55915.434	83367.89							53616.477	33933.69						31413.2					
Q4G176	ACSF3	ACSF3_HUMAN	0.375	0.75	0.875	0.6666666666666666	HUMAN	2571.63		11888.037		1477.7377	1509.479	8703.209	1884.6223		1290.8218			19999.846	17745.148				4372.326	1465.7491	3362.1375					4195.1978	972.8282		873.0752	108520.2	
Q4KMP7	TBC1D10B	TB10B_HUMAN	1.375	2.375	3.125	3.6666666666666665	HUMAN	25894.582	36138.25	108116.58	149630.72	231769.56	89816.086	577275.75	445635.75	22103.127	30632.756	19045.814	9599.804	297013.53	148504.58	27169.86	25111.51	195250.56	9632.917	170582.94	148218.02	91992.08	25598.008	10736.544	22511.977	74903.16	45421.332	668195.8	105806.47	365489.88	189748.64
Q4KMQ1	TPRN	TPRN_HUMAN	5.125	6.75	4.75	3.5	HUMAN					163665.19	73846.805	225585.89	316251.38		55050.36			325384.9	225232.28	306312.12	168781.44	2442066.0	3866248.8	21989732.0	18248194.0	1161734.5	776463.44	382389.25	548942.56			364970.88	419595.47	564067.6	123349.766
Q4KMQ2	ANO6	ANO6_HUMAN	0.75	0.375	0.625	0.16666666666666666	HUMAN		50754.58			5364.1064				87842.12	76473.61	146867.16		258380.98	215724.83			304536.1	304194.22		865199.06						346372.16			4741.4546	
Q4KMZ1	IQCC	IQCC_HUMAN	1.625	2.625	0.125	0.16666666666666666	HUMAN	86678.54	156129.25	723753.94	2735699.5					17431.055	152715.97	161482.33	106068.71					46168.184	170224.48	114515.266	69508.195				12268.457	322445.75	17028.607	15048.454		18209.027	
Q4L180	FILIP1L	FIL1L_HUMAN	2.375	2.375	11.0	8.5	HUMAN		56380.297	1124483.6	1307601.4	1042482.3	654893.5	847304.1	520170.5	4507.2354	2299346.2	1360.0878	555327.56	712037.8	1128196.6	300354.8	194242.03	532953.25	523756.16	767235.0	976441.6	779289.0	410875.84	367285.06	1319542.1	927412.3	262641.88	1695837.2	1751536.9	997192.4	13453802.0
Q4LE39	ARID4B	ARI4B_HUMAN	0.375	0.125	0.125	0.16666666666666666	HUMAN									196896.69	326546.4			2740.3467										261633.52		505165.84				1718.372	
Q4U2R6	MRPL51	RM51_HUMAN	1.375	1.25	3.875	3.8333333333333335	HUMAN		115626.734	236046.95	47911.777	1090221.0	966556.4	1920398.2	1283032.5	53214.418	37432.59		28993.447	1242240.1	1594030.2	477190.0	667691.75	22571.52	43515.63	99153.5	133047.77	889699.9	659095.44	69301.84	118871.53		9307.068	1500158.4	1028380.0	2419243.8	1129635.8
Q4V328	GRIPAP1	GRAP1_HUMAN	6.25	6.0	1.5	1.1666666666666667	HUMAN	133699.72	333990.84	379991.16	259899.06	130569.23	26675.672	90948.016		65176.75	61475.066	134837.56	123169.195	47963.39	50021.2			50270.484	121636.26	113540.23	349756.28	24474.174		95174.92	149790.3	105870.22	33221.637	21371.951	58743.54	100492.67	8053.6074
Q4W5G0	TIGD2	TIGD2_HUMAN	0.0	0.125	0.375	1.1666666666666667	HUMAN						7308.256	2922.564	6700.2866				1428.2352		4462.317															5995.532	5121.6553
Q504Q3	PAN2	PAN2_HUMAN	1.375	1.75	5.125	5.0	HUMAN		45018.516	19123.098	34717.516	109733.99	146217.95	100747.88	62640.02	7322.758	30777.08	5727.544	8114.206	85564.766	252836.2	2152.1763	3802.4329	2357.396	35362.176	6221.456	6152.4517		14699.041	4134.9204	16133.875	1316.751		76116.96	26843.28	169280.92	49414.07
Q52LJ0	FAM98B	FA98B_HUMAN	6.625	7.0	7.875	7.333333333333333	HUMAN	508960.94	864176.5	1481140.5	985970.5	1358839.6	1078168.5	1278676.4	1332082.1	539393.75	1006787.75	748537.1	446502.5	1832382.0	2351941.5	515705.22	315658.38	646459.94	838105.8	1347912.4	1115548.9	550689.75	289653.88	563137.1	856245.8	1036208.1	649865.2	1918743.1	1320070.2	1826724.6	1374969.1
Q52LR7	EPC2	EPC2_HUMAN	0.875	1.75	5.25	5.166666666666667	HUMAN	1513.2875	3012.0132	2102.3843	4766.3467	88081.63	57126.188	70177.92	93220.21			2270.4104		32110.648	219462.84	19338.688	4073.6187	420.05786	5912.659	28963.81	27584.52	8001.2837	16891.75		4193.1924	1888.3405	2918.0225	35977.188	97147.04	45968.645	54992.113
Q52LW3	ARHGAP29	RHG29_HUMAN	16.375	18.375	17.375	19.0	HUMAN	937610.75	1542863.9	1704968.1	932726.25	2278081.0	1530792.8	1565640.6	2099364.0	892465.56	1943012.5	1307559.6	1160163.0	3450281.8	2629063.5	568497.0	581069.5	1099989.0	1281832.5	2641450.8	3011582.2	508026.34	298156.66	791112.06	1064398.9	1200883.0	438368.62	1089953.9	687324.94	1907994.4	1840354.6
Q53EL6	PDCD4	PDCD4_HUMAN	3.0	1.75	4.0	4.5	HUMAN	112316.25	35568.914	38556.934	36519.55	165060.53	111677.19	150554.19	141483.64	21559.414	53646.19	5356.6733	8503.532	137555.27	320847.2	72957.98	93039.36	55038.746	133999.23	73991.7	97045.05	103355.98	131176.19	23020.107		5457.807	41660.758	224283.66	110838.266	243460.81	86028.484
Q53EP0	FNDC3B	FND3B_HUMAN	11.625	13.625	15.75	17.166666666666668	HUMAN	1647833.6	2244187.8	2080115.1	1902349.0	5772414.0	5016131.5	5551704.5	7860005.5	455141.62	1108737.2	854389.6	2462081.8	4351825.0	5305905.5	1779036.5	286087.16	1474201.2	2406509.8	4899118.0	2919915.2	74540.44	112963.055	409937.7	3261270.8	4191954.0	771434.56	6055667.5	2532108.5	4738081.0	3204525.8
Q53ET0	CRTC2	CRTC2_HUMAN	0.625	0.75	1.375	2.8333333333333335	HUMAN	1970.2389		66038.305	4333.951		245204.03	704049.6	60879.258		128901.67			54358.71	366993.06	11595.736	188355.22	34854.51		860.2114	4723.0225		83407.23	836.45013		3567.445		570215.44	273733.53	664021.06	23828.355
Q53EU6	GPAT3	GPAT3_HUMAN	3.875	4.75	6.5	6.166666666666667	HUMAN	95958.51	119742.91	192653.9	236151.69	345554.1	235767.83	473468.44	355935.7	48256.543	163972.53	36594.51	38651.227	457564.56	475628.25	61451.117	65910.41	86783.734	157342.23	381092.1	353053.25	49239.46	96059.32	33293.18	164127.28	141266.31	48208.477	278483.84	209599.33	508386.84	307310.34
Q53EZ4	CEP55	CEP55_HUMAN	24.75	26.375	19.125	18.5	HUMAN	8092191.0	14206053.0	24210530.0	20567320.0	10197989.0	6956211.0	10012792.0	10044600.0	6919026.0	11111087.0	13400248.0	11018142.0	12401786.0	13105037.0	1955221.4	1097365.2	7716626.0	13014138.0	15375136.0	13168150.0	3804822.0	2540481.0	6469026.0	13290316.0	15509718.0	11536582.0	11613746.0	6231788.0	12314988.0	7271265.5
Q53F19	NCBP3	NCBP3_HUMAN	2.75	1.75	14.375	13.5	HUMAN	2338.5945	370539.6	338933.2	283257.3	10530468.0	9804197.0	3784600.2	7885383.0	486958.62	469004.56	62129.992	157210.67	9220090.0	12797576.0	2801288.2	1399694.1	277028.53	127946.97	213792.05	500289.28	2514019.8	1382492.1	117935.195	553895.1	49006.984	248467.88	10238920.0	6011298.5	8039354.5	3463130.0
Q53FV1	ORMDL2	ORML2_HUMAN	0.875	0.875	1.875	1.8333333333333333	HUMAN	16220.872	61125.082	28947.148	92312.13	116888.45	93731.41	200631.6	113183.93		40046.492	27932.186		446823.56	377667.5	87720.58	122885.25	35802.195		60346.777		146704.92	132462.38		26615.707	23729.969	28008.734	233407.22	55048.668	242985.17	77412.92
Q53G59	KLHL12	KLH12_HUMAN	2.0	1.875	1.875	1.8333333333333333	HUMAN		24103.602	14838.035		11062.245	56075.07	17157.143	34992.0	2547.645	8458.564	12039.709		64438.297	293784.53			81972.516	172459.56	205569.36	180577.27		9056.29	23422.457	34034.734	115976.734		4847.1787		167661.97	41708.9
Q53GA4	PHLDA2	PHLA2_HUMAN	2.125	2.75	3.0	2.5	HUMAN	466317.12	197323.5	736791.1	998403.2	1541892.6	1098535.2	1290490.2	1602941.5	124469.43	195938.36	507272.4	232234.0	1645630.0	1734602.0	108344.21	364971.4	160142.86	881748.9	1493258.1	1174856.0	890326.75	662445.2	173313.0	728289.44	717653.94	397819.44	1391421.2	1042512.44	1255923.8	1112231.9
Q53GL0	PLEKHO1	PKHO1_HUMAN	2.75	2.875	8.875	8.5	HUMAN					2683887.5	2332407.0	3124777.8	3115112.0		181649.38	22843.836	68898.44	3214199.5	3459686.0	466512.78	704466.44	595540.8	1745162.9	1151954.0	1636075.0	2070222.0	1931963.2	85156.695	549984.75	64812.047	170527.36	4900124.0	2447335.2	5358887.0	2801209.5
Q53GQ0	HSD17B12	DHB12_HUMAN	5.75	6.75	9.0	7.666666666666667	HUMAN	682356.94	855420.0	2389823.8	1574235.5	1313233.8	1248139.0	946659.25	1507194.2	493170.06	1012237.44	722078.94	557848.94	2562694.5	3013725.8	628171.3	585429.1	925936.94	1159490.5	1316949.0	1447445.4	894121.06	908415.5	546341.7	1156996.2	1236481.9	756433.0	3010871.0	1554688.5	2454823.0	1555302.8
Q53GS7	GLE1	GLE1_HUMAN	2.75	1.375	4.75	3.6666666666666665	HUMAN	25693.512	69150.47	59733.742	158380.55	303853.94	496847.7	101042.3	222053.73	253131.06	970900.06	18200.08		1309038.5	927618.94	18975.102	3059.2036		17620.535	12595.934	10225.902	22428.543		42419.664	72016.43	20716.17		102152.19	193224.31	411947.16	207514.45
Q53GS9	USP39	UBP39_HUMAN	2.875	2.25	8.125	8.5	HUMAN	65072.46	187172.77	249943.88	404234.0	1473465.6	802795.75	4136026.2	2873832.5	593648.1	1841997.9	66496.11	27560.62	3030262.5	3288271.0	98257.516	281411.66		545988.5	592655.75	998075.06	862400.8	351829.3	92894.65	238353.08	69000.39	289746.3	4406643.0	2583106.5	5746678.0	2556962.0
Q53GT1	KLHL22	KLH22_HUMAN	4.875	6.375	3.625	4.833333333333333	HUMAN	108171.69	471544.03	419576.3	423481.84	77154.734	191015.61	265301.34	187870.62	45352.277	517686.25	129527.914	126283.37	191540.4	275469.75	20982.592		57176.73	217953.31	382034.3	219223.47		51982.24	21617.531	198666.64	333821.5	279496.25	46346.586	138053.58	564281.25	368969.06
Q53H12	AGK	AGK_HUMAN	3.0	5.375	5.375	7.666666666666667	HUMAN	85276.75	186725.23	718292.5	313855.8	640575.9	482626.2	1186834.1	1292797.2	106655.36	357111.97	320549.0	75684.65	812242.2	976343.7	190021.06	164379.45	157323.83	310750.12	749042.44	570633.9	195467.94	155869.38	99950.984	448728.94	424941.72	170796.14	1149003.1	743405.2	1551573.5	1289649.0
Q53H47	SETMAR	SETMR_HUMAN	0.375	0.125	0.375	0.6666666666666666	HUMAN		17581.818						895.53406					23529.445	1897.3876				4576.8	4411.514					32523.473			33234.465		27093.602	13454.013
Q53H96	PYCR3	P5CR3_HUMAN	13.0	14.75	15.625	16.0	HUMAN	3994129.2	7832481.0	8710649.0	9205157.0	17863992.0	16100008.0	17239938.0	16231205.0	2165341.5	6512822.0	5923938.5	5087864.0	16743982.0	13960353.0	4276174.0	3029816.2	1479040.6	3520119.5	4389550.5	3064180.2	3797819.2	2085757.4	2323048.2	5927076.5	5812405.0	5338692.0	12537520.0	7480446.0	17665874.0	11972399.0
Q53HC5	KLHL26	KLH26_HUMAN	1.875	2.25	1.25	1.1666666666666667	HUMAN	6591.7188	17621.41	688441.1	428761.16	324767.16	115898.82	211051.2	12539.878	5063.579	47976.113	10102.143	10857.876	12248.167	20557.906			19977.328	18541.898	21883.29	18568.125			12500.938	56276.68	35255.008		6525.445		34515.43	6499.256
Q53HC9	EIPR1	EIPR1_HUMAN	0.125	0.125	0.375	0.5	HUMAN							49061.74						72514.24	101409.67				36011.688				18760.918			23588.615				62909.75	23392.125
Q53HL2	CDCA8	BOREA_HUMAN	4.5	2.125	12.25	14.0	HUMAN	36634.098	142591.75		73386.484	2920532.0	2563326.0	6057190.5	5774168.0	1157861.2	3125643.2		88002.1	5709226.5	5762681.5	920766.7	793934.7	269883.56	709891.44	999913.1	997435.5	2933556.8	1670541.1	100849.83	678529.4		127128.89	6911105.5	3444351.0	9069177.0	5055894.5
Q53LP3	SOWAHC	SWAHC_HUMAN	0.5	1.0	1.0	1.1666666666666667	HUMAN		3420.7815	38865.414	1832373.8	146910.31		4781553.0	6634.366		5010.108	60446.68		105030.94	111719.87				5455.3984	1955.2343	2537.1177				35469.133	4086.2046		2346969.8	4349.6396	125132.89	73096.664
Q53RT3	ASPRV1	APRV1_HUMAN	0.75	1.0	2.5	1.3333333333333333	HUMAN	27479.123			58562.773		46440.613		80968.516		31162.36	90998.73	206224.56	10989154.0	8308876.0	146344.3	45244.54	38967.055		58525.484	53730.05	34477.99	64163.246	157606.28	85925.35	190245.58	101620.24	173396.8	64671.484	472677.16	438002.12
Q53S58	TMEM177	TM177_HUMAN	0.75	0.75	1.125	0.6666666666666666	HUMAN		2075.4124	12990.874		9710.904	2028.5345	11846.451	10595.745	3041.865	7968.6875	9099.146		11858.635	8323.679				12944.5205	10705.311		7468.628			8060.1934	5772.025	3080.5051	14109.572	9345.268	1099.743	
Q53SF7	COBLL1	COBL1_HUMAN	0.25	0.125	1.125	1.0	HUMAN					65495.61	51427.395	45881.75						62062.027	144367.53		14288.039	41998.54	22179.895								14736.655	21848.215	48459.47	125772.734	20012.975
