"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0008333","GO:0008333",35,"GO:0008333",0.816919293585467,73,"endosome to lysosome transport","endosome to lysosome transport",0.929471544715447,0.491666666666667,0
"GO:0016055","GO:0016055",29,"GO:0035567",0.816919293585467,459,"Wnt signaling pathway","non-canonical Wnt signaling pathway",0.913,0.411,0.827
"GO:0032210","GO:0032210",32,"GO:1904358",0.816919293585467,53,"regulation of telomere maintenance via telomerase","positive regulation of telomere maintenance via telomere lengthening",0.802349593495935,0.369666666666667,0.937
"GO:0030198","GO:0030198",24,"GO:0030199",0.77670502838018,321,"extracellular matrix organization","collagen fibril organization",0.952325203252033,0.5645,0.871
"GO:0030097","GO:0030097",6,"GO:0030182",0.77670502838018,947,"hemopoiesis","neuron differentiation",0.911951219512195,0.4515,0.59
"GO:0051865","GO:0051865",34,"GO:0070534",0.76610271179414,68,"protein autoubiquitination","protein K63-linked ubiquitination",0.874821138211382,0.448428571428571,0.609
"GO:2000573","GO:2000573",27,"GO:2001032",0.763292983710168,69,"positive regulation of DNA biosynthetic process","regulation of double-strand break repair via nonhomologous end joining",0.817422764227642,0.334555555555556,0.639
"GO:0001501","GO:0001501",8,"GO:0061036",0.745715914949181,530,"skeletal system development","positive regulation of cartilage development",0.919520325203252,0.6145,0.771
"GO:0043066","GO:0043066",7,"GO:1900117",0.745715914949181,918,"negative regulation of apoptotic process","regulation of execution phase of apoptosis",0.912658536585366,0.586333333333333,0.544
"GO:0016485","GO:0016485",37,"GO:0016485",0.745715914949181,245,"protein processing","protein processing",0.860626016260163,0.54,0
"GO:0006493","GO:0006493",36,"GO:0006493",0.745715914949181,97,"protein O-linked glycosylation","protein O-linked glycosylation",0.860674796747968,0.53,0
"GO:2000145","GO:2000145",30,"GO:0043542",0.745715914949181,1099,"regulation of cell motility","endothelial cell migration",0.931934959349593,0.515666666666667,0.718
"GO:0051099","GO:0051099",12,"GO:0035563",0.745715914949181,127,"positive regulation of binding","positive regulation of chromatin binding",0.928910569105691,0.471333333333333,0.835
"GO:0070936","GO:0070936",34,"GO:0070534",0.745715914949181,65,"protein K48-linked ubiquitination","protein K63-linked ubiquitination",0.872691056910569,0.421571428571429,0.78
"GO:1903322","GO:1903322",34,"GO:0070534",0.745715914949181,132,"positive regulation of protein modification by small protein conjugation or removal","protein K63-linked ubiquitination",0.806317073170732,0.365,0.594
"GO:0031398","GO:0031398",34,"GO:0070534",0.745715914949181,110,"positive regulation of protein ubiquitination","protein K63-linked ubiquitination",0.806650406504065,0.338428571428571,0.633
"GO:0006511","GO:0006511",26,"GO:0019941",0.745715914949181,640,"ubiquitin-dependent protein catabolic process","modification-dependent protein catabolic process",0.860105691056911,0.294333333333333,0.992
"GO:1901800","GO:1901800",26,"GO:0019941",0.745715914949181,117,"positive regulation of proteasomal protein catabolic process","modification-dependent protein catabolic process",0.818585365853659,0.257833333333333,0.782
"GO:2000060","GO:2000060",26,"GO:0019941",0.745715914949181,113,"positive regulation of ubiquitin-dependent protein catabolic process","modification-dependent protein catabolic process",0.818130081300813,0.243833333333333,0.818
"GO:0032436","GO:0032436",26,"GO:0019941",0.745715914949181,93,"positive regulation of proteasomal ubiquitin-dependent protein catabolic process","modification-dependent protein catabolic process",0.820276422764228,0.243,0.804
"GO:0051604","GO:0051604",37,"GO:0016485",0.737781070673862,549,"protein maturation","protein processing",0.863959349593496,0.54,0.92
"GO:0045892","GO:0045892",33,"GO:0000122",0.736978768862756,1323,"negative regulation of DNA-templated transcription","negative regulation of transcription by RNA polymerase II",0.816943089430894,0.446666666666667,0.934
"GO:0016567","GO:0016567",34,"GO:0070534",0.736978768862756,751,"protein ubiquitination","protein K63-linked ubiquitination",0.843918699186992,0.337285714285714,0.755
"GO:0007010","GO:0007010",38,"GO:0007010",0.678134282143229,1510,"cytoskeleton organization","cytoskeleton organization",0.939219512195122,1,0
"GO:0006468","GO:0006468",39,"GO:0006468",0.678134282143229,1319,"protein phosphorylation","protein phosphorylation",0.833333333333333,0.6195,0
"GO:0030155","GO:0030155",40,"GO:0030155",0.673366380707526,802,"regulation of cell adhesion","regulation of cell adhesion",0.944682926829268,1,0
"GO:0000725","GO:0000725",27,"GO:2001032",0.672495984398993,179,"recombinational repair","regulation of double-strand break repair via nonhomologous end joining",0.858414634146341,0.431,0.629
"GO:0044772","GO:0044772",28,"GO:0045930",0.671651593482541,470,"mitotic cell cycle phase transition","negative regulation of mitotic cell cycle",0.968894308943089,0.36975,0.78
"GO:0007041","GO:0007041",35,"GO:0008333",0.664882245942822,134,"lysosomal transport","endosome to lysosome transport",0.93069918699187,0.478333333333333,0.939
"GO:0031396","GO:0031396",34,"GO:0070534",0.664882245942822,200,"regulation of protein ubiquitination","protein K63-linked ubiquitination",0.812081300813008,0.328,0.662
"GO:0032434","GO:0032434",26,"GO:0019941",0.664882245942822,143,"regulation of proteasomal ubiquitin-dependent protein catabolic process","modification-dependent protein catabolic process",0.827804878048781,0.247,0.836
"GO:0006470","GO:0006470",21,"GO:0010923",0.664185582595222,203,"protein dephosphorylation","negative regulation of phosphatase activity",0.845349593495935,0.288166666666667,0.775
"GO:0006486","GO:0006486",36,"GO:0006493",0.655100232474665,193,"protein glycosylation","protein O-linked glycosylation",0.853081300813008,0.53,0.94
"GO:0051347","GO:0051347",20,"GO:0051338",0.63811150474423,414,"positive regulation of transferase activity","regulation of transferase activity",0.920691056910569,0.5295,0.941
"GO:0000724","GO:0000724",27,"GO:2001032",0.63811150474423,175,"double-strand break repair via homologous recombination","regulation of double-strand break repair via nonhomologous end joining",0.856723577235772,0.405,0.749
"GO:0016311","GO:0016311",21,"GO:0010923",0.633941068692963,302,"dephosphorylation","negative regulation of phosphatase activity",0.896512195121951,0.3015,0.797
"GO:0006605","GO:0006605",35,"GO:0008333",0.629905863334517,339,"protein targeting","endosome to lysosome transport",0.92939837398374,0.596,0.586
"GO:0046777","GO:0046777",39,"GO:0006468",0.611715097313482,199,"protein autophosphorylation","protein phosphorylation",0.862463414634146,0.6195,0.761
