,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
53,GO:0043009,chordate embryonic development,GO:0043009,0.1775322,7.756098,26.87686,TGFB3;PCSK5,Chordate Embryonic Development (GO:0043009)
54,GO:0038127,ERBB signaling pathway,GO:0038127,0.1775322,7.756098,26.87686,PLCE1;NRG1,ERBB Signaling Pathway (GO:0038127)
55,GO:0001956,positive regulation of neurotransmitter secretion,GO:0001956,0.1775322,59.56024,219.5718,NLGN1,Positive Regulation Of Neurotransmitter Secretion (GO:0001956)
56,GO:0002040,sprouting angiogenesis,GO:0002040,0.1775322,9.623415,36.96499,EFNB2;ROBO1,Sprouting Angiogenesis (GO:0002040)
57,GO:0035507,regulation of myosin-light-chain-phosphatase activity,GO:0035507,0.1775322,39.70281,135.1097,NUAK1,Regulation Of Myosin-Light-Chain-Phosphatase Activity (GO:0035507)
58,GO:1905209,positive regulation of cardiocyte differentiation,GO:1905209,0.1775322,39.70281,135.1097,EFNB2,Positive Regulation Of Cardiocyte Differentiation (GO:1905209)
59,GO:0048714,positive regulation of oligodendrocyte differentiation,GO:0048714,0.1775322,39.70281,135.1097,PTPRZ1,Positive Regulation Of Oligodendrocyte Differentiation (GO:0048714)
60,GO:0035357,peroxisome proliferator activated receptor signaling pathway,GO:0035357,0.1806761,29.7741,94.80177,NCOA1,Peroxisome Proliferator Activated Receptor Signaling Pathway (GO:0035357)
61,GO:0048854,brain morphogenesis,GO:0048854,0.1806761,29.7741,94.80177,BBS4,Brain Morphogenesis (GO:0048854)
62,GO:0018344,protein geranylgeranylation,GO:0018344,0.1806761,29.7741,94.80177,CHML,Protein Geranylgeranylation (GO:0018344)
63,GO:0044351,macropinocytosis,GO:0044351,0.1806761,29.7741,94.80177,DOCK2,Macropinocytosis (GO:0044351)
64,GO:0033629,negative regulation of cell adhesion mediated by integrin,GO:0033629,0.1806761,29.7741,94.80177,NRG1,Negative Regulation Of Cell Adhesion Mediated By Integrin (GO:0033629)
65,GO:0043508,negative regulation of JUN kinase activity,GO:0043508,0.1806761,29.7741,94.80177,PDCD4,Negative Regulation Of JUN Kinase Activity (GO:0043508)
66,GO:0006284,base-excision repair,GO:0006284,0.1806761,7.284553,24.45109,DNA2;MUTYH,Base-Excision Repair (GO:0006284)
67,GO:0008285,negative regulation of cell population proliferation,GO:0008285,0.1806761,2.794636,8.968466,TGFB3;FABP7;NRG1;VGLL4;CDKN3,Negative Regulation Of Cell Population Proliferation (GO:0008285)
68,GO:0043524,negative regulation of neuron apoptotic process,GO:0043524,0.1806761,6.675474,21.40097,PTPRZ1;TGFB3,Negative Regulation Of Neuron Apoptotic Process (GO:0043524)
69,GO:0031103,axon regeneration,GO:0031103,0.1806761,29.7741,94.80177,DHFR,Axon Regeneration (GO:0031103)
70,GO:0060379,cardiac muscle cell myoblast differentiation,GO:0060379,0.1806761,29.7741,94.80177,NRG1,Cardiac Muscle Cell Myoblast Differentiation (GO:0060379)
71,GO:1903939,regulation of TORC2 signaling,GO:1903939,0.1806761,29.7741,94.80177,SIK3,Regulation Of TORC2 Signaling (GO:1903939)
72,GO:0050818,regulation of coagulation,GO:0050818,0.1806761,29.7741,94.80177,NRG1,Regulation Of Coagulation (GO:0050818)
73,GO:0045664,regulation of neuron differentiation,GO:0045664,0.1823864,6.494397,20.51345,NLGN1;NRCAM,Regulation Of Neuron Differentiation (GO:0045664)
74,GO:0038065,collagen-activated signaling pathway,GO:0038065,0.1867353,23.81687,71.5902,COL4A6,Collagen-Activated Signaling Pathway (GO:0038065)
75,GO:0061548,ganglion development,GO:0061548,0.1867353,23.81687,71.5902,UNC5C,Ganglion Development (GO:0061548)
76,GO:0140354,lipid import into cell,GO:0140354,0.1867353,23.81687,71.5902,PLPPR4,Lipid Import Into Cell (GO:0140354)
77,GO:0050832,defense response to fungus,GO:0050832,0.1867353,23.81687,71.5902,NRG1,Defense Response To Fungus (GO:0050832)
78,GO:0003222,ventricular trabecula myocardium morphogenesis,GO:0003222,0.1867353,23.81687,71.5902,NRG1,Ventricular Trabecula Myocardium Morphogenesis (GO:0003222)
79,GO:1904179,positive regulation of adipose tissue development,GO:1904179,0.1867353,23.81687,71.5902,NCOA1,Positive Regulation Of Adipose Tissue Development (GO:1904179)
80,GO:0044806,G-quadruplex DNA unwinding,GO:0044806,0.1867353,23.81687,71.5902,DNA2,G-quadruplex DNA Unwinding (GO:0044806)
81,GO:0006449,regulation of translational termination,GO:0006449,0.1867353,23.81687,71.5902,JMJD4,Regulation Of Translational Termination (GO:0006449)
82,GO:0046600,negative regulation of centriole replication,GO:0046600,0.1867353,23.81687,71.5902,MDM1,Negative Regulation Of Centriole Replication (GO:0046600)
83,GO:0098937,anterograde dendritic transport,GO:0098937,0.1867353,23.81687,71.5902,KIF5A,Anterograde Dendritic Transport (GO:0098937)
84,GO:0061387,regulation of extent of cell growth,GO:0061387,0.1867353,23.81687,71.5902,NRCAM,Regulation Of Extent Of Cell Growth (GO:0061387)
85,GO:0042753,positive regulation of circadian rhythm,GO:0042753,0.194378,19.84538,56.67549,NLGN1,Positive Regulation Of Circadian Rhythm (GO:0042753)
86,GO:0048227,plasma membrane to endosome transport,GO:0048227,0.194378,19.84538,56.67549,SORT1,Plasma Membrane To Endosome Transport (GO:0048227)
87,GO:0002719,negative regulation of cytokine production involved in immune response,GO:0002719,0.194378,19.84538,56.67549,TGFB3,Negative Regulation Of Cytokine Production Involved In Immune Response (GO:0002719)
88,GO:0046323,glucose import,GO:0046323,0.194378,19.84538,56.67549,SORT1,Glucose Import (GO:0046323)
89,GO:0048523,negative regulation of cellular process,GO:0048523,0.194378,2.345664,6.908839,TGFB3;FABP7;TXNIP;NRG1;VGLL4;CDKN3,Negative Regulation Of Cellular Process (GO:0048523)
90,GO:0051782,negative regulation of cell division,GO:0051782,0.194378,19.84538,56.67549,TXNIP,Negative Regulation Of Cell Division (GO:0051782)
91,GO:0006878,intracellular copper ion homeostasis,GO:0006878,0.194378,19.84538,56.67549,ANKRD9,Intracellular Copper Ion Homeostasis (GO:0006878)
92,GO:0008333,endosome to lysosome transport,GO:0008333,0.194378,5.584799,16.20201,HOOK2;SORT1,Endosome To Lysosome Transport (GO:0008333)
93,GO:1905005,regulation of epithelial to mesenchymal transition involved in endocardial cushion formation,GO:1905005,0.194378,19.84538,56.67549,TGFB3,Regulation Of Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation (GO:1905005)
94,GO:0062009,secondary palate development,GO:0062009,0.2045676,17.00861,46.37326,TGFB3,Secondary Palate Development (GO:0062009)
95,GO:0007218,neuropeptide signaling pathway,GO:0007218,0.2045676,17.00861,46.37326,SORT1,Neuropeptide Signaling Pathway (GO:0007218)
96,GO:0051000,positive regulation of nitric-oxide synthase activity,GO:0051000,0.2045676,17.00861,46.37326,DHFR,Positive Regulation Of Nitric-Oxide Synthase Activity (GO:0051000)
97,GO:0051128,regulation of cellular component organization,GO:0051128,0.2083025,3.354252,9.070537,SLITRK2;PLCE1;NRG1,Regulation Of Cellular Component Organization (GO:0051128)
98,GO:0034312,diol biosynthetic process,GO:0034312,0.2090701,14.88102,38.88124,DHFR,Diol Biosynthetic Process (GO:0034312)
99,GO:0001325,formation of extrachromosomal circular DNA,GO:0001325,0.2090701,14.88102,38.88124,DNA2,Formation Of Extrachromosomal Circular DNA (GO:0001325)
100,GO:0043201,response to leucine,GO:0043201,0.2090701,14.88102,38.88124,SESN3,Response To Leucine (GO:0043201)
101,GO:0006109,regulation of carbohydrate metabolic process,GO:0006109,0.2134226,13.22624,33.21865,ADIPOR1,Regulation Of Carbohydrate Metabolic Process (GO:0006109)
102,GO:0035331,negative regulation of hippo signaling,GO:0035331,0.2134226,13.22624,33.21865,VGLL4,Negative Regulation Of Hippo Signaling (GO:0035331)
103,GO:0035108,limb morphogenesis,GO:0035108,0.2134226,13.22624,33.21865,PCSK5,Limb Morphogenesis (GO:0035108)
104,GO:0032965,regulation of collagen biosynthetic process,GO:0032965,0.2134226,13.22624,33.21865,TGFB3,Regulation Of Collagen Biosynthetic Process (GO:0032965)
105,GO:0051492,regulation of stress fiber assembly,GO:0051492,0.2178624,4.360976,10.84778,TGFB3;CGNL1,Regulation Of Stress Fiber Assembly (GO:0051492)
106,GO:0018126,protein hydroxylation,GO:0018126,0.2312659,10.81928,25.2899,JMJD4,Protein Hydroxylation (GO:0018126)
