Protein_Group	Genes	WM793_vs_FMC29_logFC	WM793_vs_FMC29_pval	Removed?	Contaminant?
P25116	F2R	3.95620512152355	4.62374330006804e-21	No	No
P25774	CTSS	4.11646668092595	1.31613106137957e-07	No	No
P25940	COL5A3	4.51825896996951	4.4740480519627305e-09	No	No
P26006	ITGA3	2.38201859872267	2.49573779727576e-19	No	No
P26010	ITGB7	4.55131635541416	4.84448989713506e-13	No	No
P26022	PTX3	7.24800040187321	1.48267313140011e-12	No	No
P26447	S100A4	7.97585396794951	3.73065949736667e-19	No	No
P27216	ANXA13	5.28438491613585	2.40612962350863e-13	No	No
P27658	COL8A1	2.87314005590403	2.57902218087175e-07	No	No
P28067	HLA-DMA	8.48613045143699	2.86284048509544e-22	No	No
P28068	HLA-DMB	4.67043289466727	9.21720240040153e-17	No	No
P29122	PCSK6	3.20396027582371	5.48254397618208e-06	No	No
P29317	EPHA2	4.51749304182975	2.56587646314417e-31	No	No
P29320	EPHA3	3.17947337290591	1.06857912902254e-19	No	No
P30101	PDIA3	2.6876985221156	9.46136903652001e-17	No	No
P30408	TM4SF1	5.44724207563906	3.58326801812256e-16	No	No
P30411	BDKRB2	11.5703962759677	9.19034388291299e-32	No	No
P30530	AXL	4.79263929464124	4.41152164411796e-26	No	No
P30533	LRPAP1	2.68639757842427	9.60626107919322e-06	No	No
P30550	GRPR	8.03946797132911	9.02381884709115e-25	No	No
P30613	PKLR	3.08964226637596	1.48424050733637e-07	No	No
P30793	GCH1	7.72011554904762	1.9826180494180899e-22	No	No
P31146	CORO1A	4.37934038289931	7.5056806764159595e-22	No	No
P31327	CPS1	2.815974255323	3.79482160293951e-05	No	No
P31431	SDC4	2.72268247567373	7.33912573551407e-16	No	No
P32241	VIPR1	14.8332883853403	2.2124864762978e-40	No	No
P32246	CCR1	3.27796664188415	1.50321450473921e-15	No	No
P32456	GBP2	2.61318355265819	7.80161610545308e-05	No	No
P32970	CD70	12.9680605750552	4.9187559961901e-45	No	No
P33032	MC5R	3.87865060120247	9.748454807697791e-21	No	No
P33764	S100A3	11.8068017440641	4.35791587060493e-26	No	No
P34820	BMP8B	2.6844864312132	8.918787098366859e-12	No	No
P34969	HTR7	2.49380680452022	2.94769571081853e-13	No	No
P35240	NF2	2.58555745551356	1.61652253327214e-22	No	No
P35354	PTGS2	11.0214913298774	3.48815631786607e-16	No	No
P35367	HRH1	11.5951558794759	3.76638920545396e-33	No	No
P35368	ADRA1B	3.81791426327429	0.0008300163272166	No	No
P35869	AHR	2.96554831645307	1.2746984424134302e-09	No	No
P36956	SREBF1	7.00091152119408	9.35395633230508e-11	No	No
P36957	DLST	3.80561702590586	1.2163434927717099e-11	No	No
P37268	FDFT1	2.61509254706348	2.42443717881177e-08	No	No
P38484	IFNGR2	3.67798192470928	3.9427593523966897e-16	No	No
P39059	COL15A1	7.42194627307053	7.67295272532195e-10	No	No
P40200	CD96	10.5791162064894	5.37308937571072e-26	No	No
P40238	MPL	6.59049527238599	1.32260674286648e-10	No	No
P40261	NNMT	5.40746810666903	2.3984543577460503e-21	No	No
P41143	OPRD1	6.50269303107434	2.82342526699463e-18	No	No
P41220	RGS2	4.79718913819794	0.0013327418031381	No	No
P41221	WNT5A	5.12199335729425	1.86175617883992e-16	No	No
P41273	TNFSF9	6.62037295379134	1.51794962552738e-17	No	No
P42695	NCAPD3	3.75787747537306	7.11389285881451e-07	No	No
P42702	LIFR	8.10478069902912	5.60042016595225e-16	No	No
P42771	CDKN2A	2.46338696415385	1.47031119643446e-17	No	No
P43003	SLC1A3	2.61871541276368	3.33959633946374e-12	No	No
P43005	SLC1A1	3.07840604205107	2.17253778687879e-15	No	No
P43355	MAGEA1	5.49603431095197	3.9872902431455204e-21	No	No
P43357	MAGEA3	9.67551659738789	7.520554317954661e-20	No	No
P43358	MAGEA4	7.58732626265407	4.7799533433089e-33	No	No
P43360	MAGEA6	5.65680568506597	2.31152930939713e-27	No	No
P43363	MAGEA10	8.2660564229039	3.72944853121274e-31	No	No
P43365	MAGEA12	6.71199243027167	7.82880015828736e-30	No	No
P46013	MKI67	2.65810268761739	3.1889884155648e-05	No	No
P46089	GPR3	3.10588945897537	5.1535894437081904e-14	No	No
P47895	ALDH1A3	3.1891367526368	6.0084737078004e-16	No	No
P47900	P2RY1	2.45575299181287	0.0008722256716152	No	No
P47929	LGALS7	3.08963109990983	0.0093020045325262	No	No
P48060	GLIPR1	5.88200568839027	6.65912571964839e-18	No	No
P48509	CD151	2.53782307853641	3.7816923751718303e-19	No	No
P48681	NES	3.2435162367545	5.14523820918954e-13	No	No
P48723	HSPA13	4.8142297657766	1.04932563842348e-06	No	No
P48740	MASP1	4.18107172782235	3.0755587787563997e-19	No	No
P48960	ADGRE5	2.72762581586875	3.8434256684874397e-22	No	No
P49447	CYB561	3.61493793575341	9.86035843880625e-14	No	No
P49643	PRIM2	2.65033972536308	0.0018093428116413	No	No
P49703	ARL4D	2.71649123206572	3.95550025489881e-05	No	No
P49795	RGS19	2.83223811057211	1.14570901273453e-17	No	No
P49796	RGS3	3.39875473389433	3.77475626094128e-07	No	No
P49913	CAMP	5.06849848318758	2.6160313399504697e-11	No	No
P50150	GNG4	5.39770527111265	6.45512444063325e-19	No	No
P50443	SLC26A2	2.89243977483841	4.6176077721865604e-17	No	No
P50479	PDLIM4	2.42965052481123	3.64552305964197e-13	No	No
P50876	RNF144A	2.36889270191826	0.0030910165085127	No	No
P50895	BCAM	3.38887880128281	2.4509032022020897e-18	No	No
P51512	MMP16	7.13204490269446	1.79085401819752e-14	No	No
P51617	IRAK1	2.5830757628368	1.1227527706971202e-15	No	No
P51654	GPC3	4.15764092098657	0.0002487740866098	No	No
P51788	CLCN2	8.99526139304156	9.61974624441809e-14	No	No
P51828	ADCY7	3.44450812165567	1.5088426294018602e-14	No	No
P51857	AKR1D1	5.4880354112253	1.7377635990290102e-09	No	No
P51948	MNAT1	2.60594644654581	0.002689800572525	No	No
P52799	EFNB2	2.73862408782611	5.74951900441922e-17	No	No
P52926	HMGA2	5.75222335663089	1.39060905502239e-10	No	No
P54278	PMS2	3.03834972563068	0.0002877352250209	No	No
P54646	PRKAA2	2.53280308530536	3.6052013320490304e-09	No	No
P54753	EPHB3	5.17812625025233	2.9502579388210503e-25	No	No
P54762	EPHB1	4.88998491114825	2.37848840789964e-26	No	No
P54764	EPHA4	3.30629144686422	2.31695326767623e-25	No	No
P55082	MFAP3	2.47292535718681	1.83320225529028e-15	No	No
P55085	F2RL1	3.26225221838283	1.17174887003568e-10	No	No
P55145	MANF	3.77878259492095	7.326735034775061e-14	No	No
P55290	CDH13	4.34623825073892	1.22325612511921e-16	No	No
P56199	ITGA1	3.36583016023445	3.48860680425739e-25	No	No
P56817	BACE1	3.24234520015904	3.4619749164145797e-16	No	No
P57087	JAM2	2.41098188860151	7.74084013158184e-13	No	No
P58107	EPPK1	3.81227383134025	7.81356954320217e-07	No	No
P58215	LOXL3	5.36579608287239	1.50063255360156e-10	No	No
P58335	ANTXR2	2.88007278378773	2.3913677834600597e-18	No	No
P58753	TIRAP	2.58972322180833	1.74280276175339e-07	No	No
P60606	CTXN1	6.79922152149074	1.0660793271734e-11	No	No
P61587	RND3	3.15375673268049	4.554726195818571e-19	No	No
P61952	GNG11	2.67771759010667	1.00984031178387e-12	No	No
P63252	KCNJ2	6.56635351054591	6.94113136735581e-20	No	No
P63313	TMSB10	3.15090723289804	0.0011241763863701	No	No
P69905	HBA1	5.99459216487156	5.19502357839285e-09	No	No
P78395	PRAME	2.80255105057005	8.5092752972047e-08	No	No
P79483	HLA-DRB3	9.85864398963123	1.06237375345362e-26	No	No
P98088	MUC5AC	4.039502765312	8.233075077056519e-11	No	No
P98153	DGCR2	2.76378046951657	9.226670927392861e-17	No	No
P98164	LRP2	5.93992785733898	9.31693340121541e-16	No	No
P98173	FAM3A	2.60382398378573	0.0010513729690907	No	No
P98194	ATP2C1	3.63296621289416	5.55400227272285e-16	No	No
P99999	CYCS	2.53935906876969	1.4426904450164998e-12	No	No
Q00266	MAT1A	3.14291846863427	2.4464401608557397e-11	No	No
Q00973	B4GALNT1	4.6381232231235	6.451160001961119e-12	No	No
Q01628	IFITM3	2.90574499036112	6.33404640629562e-13	No	No
Q01974	ROR2	2.48985214309351	6.18911328428888e-07	No	No
Q02297	NRG1	3.85150735092421	3.83053360290566e-11	No	No
Q02539	H1-1	2.77551653788792	7.28673684199315e-06	No	No
Q02833	RASSF7	2.90894979959328	2.1220936270533e-05	No	No
Q03135	CAV1	2.49547296058014	1.12755519713265e-18	No	No
Q03169	TNFAIP2	5.23633044455437	8.69780323033925e-17	No	No
Q03393	PTS	2.78551373785626	9.00605688435548e-16	No	No
Q03405	PLAUR	6.24177697608566	3.15791321515785e-21	No	No
Q07820	MCL1	5.72816265263362	3.2486208663662997e-13	No	No
Q08174	PCDH1	6.35754940550688	5.67304908411374e-23	No	No
Q08345	DDR1	2.46402575971176	3.0763356655468698e-18	No	No
Q08357	SLC20A2	3.04398294406344	2.18897052441147e-19	No	No
Q08629	SPOCK1	4.8516624937755	2.15359829242253e-14	No	No
