Protein_Group	Genes	SK-Mel-147_vs_HIM-ST_logFC	SK-Mel-147_vs_HIM-ST_pval	Removed?	Contaminant?
P62166	NCS1	2.77229750442105	1.56147807947056e-16	No	No
P62993	GRB2	3.79088057853098	1.18150859906265e-28	No	No
P63313	TMSB10	2.59308427313416	0.0058790154727593	No	No
P68871	HBB	5.45880208092363	8.35980949823668e-06	No	No
P69905	HBA1	8.41630169285935	2.39561096933014e-12	No	No
P78310	CXADR	4.65635562929493	1.0269553496263e-20	No	No
P78395	PRAME	7.75866050932391	1.8111488817130897e-18	No	No
P78406	RAE1	3.52070760633302	4.3364287832710196e-18	No	No
P79483	HLA-DRB3	8.15798428092793	2.5798813961136102e-24	No	No
P81605	DCD	3.32196742311334	2.99109981355784e-08	No	No
P82664	MRPS10	3.79876349660261	1.03648120814575e-08	No	No
P83876	TXNL4A	5.14450286967388	4.0555655480128104e-17	No	No
P84022	SMAD3	3.64281098885586	3.84529506747462e-24	No	No
P84101	SERF2	2.70029095023066	7.43144510617919e-14	No	No
P98088	MUC5AC	2.91300713830714	7.93202721829102e-08	No	No
P98170	XIAP	2.68846120742617	1.65986546868876e-15	No	No
P98172	EFNB1	2.95902328174402	7.09466404296967e-18	No	No
P98179	RBM3	6.82209625897354	1.8271253980864698e-28	No	No
Q00973	B4GALNT1	2.97162221240337	9.51887804272158e-08	No	No
Q01196	RUNX1	4.52012859670136	6.96318940357925e-08	No	No
Q01804	OTUD4	4.26950610947424	1.5267273986108202e-23	No	No
Q02297	NRG1	7.77301758306488	4.82579496142693e-19	No	No
Q02388	COL7A1	4.70467203317779	1.34000957177445e-13	No	No
Q02413	DSG1	3.39482037374902	0.0003394443912383	No	No
Q02487	DSC2	10.3118947343555	7.80604749638904e-19	No	No
Q02539	H1-1	7.16240128055531	1.30000546233219e-14	No	No
Q02952	AKAP12	3.07063330945471	4.61292394323065e-21	No	No
Q03169	TNFAIP2	5.45123648746392	2.92441872427947e-17	No	No
Q03405	PLAUR	8.15135794415606	1.50899194596056e-24	No	No
Q04118	PRB3	2.83567181673871	0.0020613986513428	No	No
Q04941	PLP2	2.71481306862446	2.15365101163698e-07	No	No
Q05932	FPGS	2.57970153274292	1.32391606320479e-05	No	No
Q06609	RAD51	4.71741611431419	4.18835641637482e-12	No	No
