Protein_Group	Genes	HIM-ST_vs_FMC29_logFC	HIM-ST_vs_FMC29_pval	Removed?	Contaminant?
P36957	DLST	2.06910842343033	2.68086360892342e-06	No	No
P37268	FDFT1	1.90067409460966	6.62100505826015e-06	No	No
P38432	COIL	2.88902109464509	6.05548817956722e-07	No	No
P38435	GGCX	2.88817679313656	0.0016049275227681	No	No
P39059	COL15A1	5.27103273613753	6.41762633319225e-07	No	No
P40261	NNMT	5.83786489597649	2.71074018880753e-22	No	No
P40305	IFI27	2.63716776141992	1.28406655857298e-16	No	No
P40926	MDH2	2.40845706533065	5.08729215346988e-07	No	No
P41221	WNT5A	5.75178235519279	7.99862547453176e-18	No	No
P41273	TNFSF9	2.96148748650669	5.7077252517242e-09	No	No
P42126	ECI1	3.25122738134353	3.73492199749811e-08	No	No
P42166	TMPO	1.87855765290194	4.58094681263587e-05	No	No
P42695	NCAPD3	2.07672979011725	0.0016673151825339	No	No
P42771	CDKN2A	2.34851633085114	5.3888848944229705e-17	No	No
P43897	TSFM	3.85030719654213	2.44436531203234e-07	No	No
P45954	ACADSB	3.83263671321938	2.31664501100515e-06	No	No
P46013	MKI67	3.6585547547881	1.89033490115975e-07	No	No
P46063	RECQL	2.0713615119347	7.08989315679865e-08	No	No
P46087	NOP2	2.82229480370473	1.76329160054769e-07	No	No
P47985	UQCRFS1	1.78306784596433	2.49447789254674e-05	No	No
P48060	GLIPR1	3.65679168956221	1.64526853960543e-12	No	No
P48307	TFPI2	3.56509683374343	1.64140329877542e-10	No	No
P48634	PRRC2A	1.81725688134612	2.13843034518524e-08	No	No
P48681	NES	2.30914747626063	1.40136793718594e-09	No	No
P48723	HSPA13	3.74158772673288	4.77205723104829e-05	No	No
P48735	IDH2	2.9777289583911	2.66881049578501e-08	No	No
P49406	MRPL19	1.96654525007829	0.0028489246206948	No	No
P49411	TUFM	2.01864316174713	3.75285535245119e-08	No	No
P49642	PRIM1	1.7688064620961	0.0001968986948214	No	No
P49643	PRIM2	2.420401214827	0.0039093871304961	No	No
P49748	ACADVL	2.81915638952735	1.12952235571852e-07	No	No
P49767	VEGFC	3.97638261477475	7.895951195099531e-15	No	No
P49790	NUP153	2.43681955640286	0.001499032666898	No	No
P49792	RANBP2	1.83750068125758	2.34489570571529e-05	No	No
P49821	NDUFV1	2.55788329505359	5.61974610568187e-05	No	No
P50336	PPOX	3.43628110298872	4.9616532433801496e-11	No	No
P51398	DAP3	3.32042086552254	4.82984461058555e-08	No	No
P51948	MNAT1	2.90956231531656	0.000983018192392	No	No
P51955	NEK2	2.49730672526804	7.8257019890384e-07	No	No
P52815	MRPL12	1.90951941412382	0.000208682250353	No	No
P53597	SUCLG1	2.31960613644408	2.99574038299199e-07	No	No
P54687	BCAT1	4.321122244035	5.46840574549218e-17	No	No
P54819	AK2	2.14470104400919	2.58497299920296e-07	No	No
P55145	MANF	1.76002389184662	1.11890654063239e-06	No	No
P55268	LAMB2	2.44525018106327	0.0005617965828763	No	No
P55291	CDH15	4.29886060742456	6.3793172724627205e-09	No	No
P57087	JAM2	1.78011088857625	9.10756458871728e-10	No	No
P58166	INHBE	6.44402099961721	2.0329986843049402e-23	No	No
P58397	ADAMTS12	8.1987173298608	8.019234878158049e-18	No	No
P61978	HNRNPK	1.80081905139157	7.75289048188914e-09	No	No
P62861	FAU	1.93988224948071	7.22067321257786e-10	No	No
P63313	TMSB10	5.22416651197893	1.53626845467742e-06	No	No
P78345	RPP38	1.83919347208588	2.86628497564978e-06	No	No
P78346	RPP30	2.67864808704325	9.70320439307495e-05	No	No
P78527	PRKDC	2.68663552417132	3.17952604137678e-15	No	No
P80217	IFI35	1.9718900565818	1.7749386486487401e-09	No	No
P80723	BASP1	2.15776879581854	4.26836912074643e-09	No	No
P82650	MRPS22	2.71340871300216	1.02653817667943e-06	No	No
P82663	MRPS25	2.93893375519377	0.0002526323146718	No	No
P82930	MRPS34	1.96395124825171	7.883978353431961e-10	No	No
P83110	HTRA3	4.8399072994259	5.83244093839273e-13	No	No
P98066	TNFAIP6	5.65081308499847	1.5366709124746702e-09	No	No
P98095	FBLN2	1.98738227941981	8.03405098688921e-05	No	No
P98194	ATP2C1	2.61728392460758	2.43728914306375e-12	No	No
P99999	CYCS	2.37339361554757	7.41456017582751e-12	No	No
Q00059	TFAM	3.75689170724829	1.48390843207139e-10	No	No
Q01628	IFITM3	2.06606787837768	1.7227610499794302e-09	No	No
Q01780	EXOSC10	2.26729035761157	4.781012085832891e-10	No	No
Q02218	OGDH	3.08962367122957	3.10940259264991e-07	No	No
Q02338	BDH1	2.04026618788938	5.84621747534272e-07	No	No
Q02388	COL7A1	3.77279671019109	2.9024996716887596e-11	No	No
Q03164	KMT2A	2.06680952876799	0.0011362423731163	No	No
Q03169	TNFAIP2	4.26847427093779	1.93297556859904e-14	No	No
Q03518	TAP1	2.18279269998319	4.23846732066352e-10	No	No
Q03519	TAP2	2.73103571067131	3.2850323216897e-07	No	No
Q03701	CEBPZ	4.80085924704505	0.0007062520549133	No	No
Q04837	SSBP1	1.86570209019767	3.98919274305227e-11	No	No
Q08380	LGALS3BP	3.39265410124442	2.78914370755129e-13	No	No
Q08AF3	SLFN5	1.82925186338312	3.77880066240284e-08	No	No
Q0ZGT2	NEXN	3.3704622596317	4.8789295762993204e-14	No	No
Q10589	BST2	4.64521109306645	4.278705035961441e-09	No	No
Q10713	PMPCA	3.40655370426128	6.09239473735118e-07	No	No
Q12816	TRO	4.13423976199052	1.51751770532688e-05	No	No
Q12882	DPYD	2.48743481358457	4.80129532466742e-05	No	No
Q12931	TRAP1	2.20166813097648	1.44933510303413e-07	No	No
Q13206	DDX10	1.99717173712169	0.0035037470807824	No	No
Q13214	SEMA3B	4.17300864874071	2.01197634855363e-07	No	No
Q13242	SRSF9	1.77632445003142	1.87689102879727e-08	No	No
Q13287	NMI	2.61116007511979	1.1362323026881799e-12	No	No
Q13405	MRPL49	1.99503974676256	0.0024335871781994	No	No
Q13423	NNT	2.57576895755242	0.000299990773495	No	No
Q13438	OS9	4.52604696168628	0.0041422749256051	No	No
Q13478	IL18R1	3.43562080180794	2.95202319678356e-08	No	No
Q13505	MTX1	2.1765029273544	8.51749458844466e-06	No	No
Q13535	ATR	3.57574983738335	0.002887003848843	No	No
Q13683	ITGA7	3.04529855360234	1.05643912241813e-16	No	No
Q13769	THOC5	2.44354065293155	2.07992311599811e-06	No	No
Q13794	PMAIP1	2.7066851170661	2.1216185597764198e-12	No	No
Q13889	GTF2H3	3.90424563328586	1.68940363573869e-06	No	No
Q14061	COX17	2.32114001506621	6.98698056302372e-07	No	No
Q14112	NID2	4.5627596369886	4.7724185480069305e-09	No	No
Q14126	DSG2	4.50599855820197	5.84892960851659e-23	No	No
Q14134	TRIM29	4.41662597872158	0.0089233082146968	No	No
Q14137	BOP1	2.63675137053534	0.0004888569326539	No	No
