term,ES,NES,fdr,Gene %,Genes,description
GO:0016072,-0.3267876127375066,-1.6560740234737694,0.4860418796675947,58.35%,RPL14;RPS16;RPS25;RPS7;RPS27;RPL11;RPS28;RPS17;NOP56;RPL7;RPS6;MARS1;NOP2;RPS19;NOLC1;NOP58;RPS24;RPL27;MYG1;CAVIN1;SBDS;RPL5;RPL35A,GO_Biological_Process_2025__rRNA Metabolic Process (GO:0016072)
GO:0007095,0.6614976959811817,1.6534334192063984,0.3783752203167939,30.65%,TAOK1;TAOK3;BABAM2;BRCC3;CDK5RAP3;BABAM1,GO_Biological_Process_2025__Mitotic G2 DNA Damage Checkpoint Signaling (GO:0007095)
GO:0097494,0.6025269807844168,1.6498750141395129,0.3853449333527953,39.89%,AP2M1;DNM1;PICALM;SNAPIN;RAB5A;BLOC1S1;BORCS7;BORCS5;BORCS6,GO_Biological_Process_2025__Regulation of Vesicle Size (GO:0097494)
GO:0034250,0.6609437257695525,1.6453774605721114,0.3960349518525461,23.50%,ROCK2;PRKCD;RELA;PICALM;CASP3,GO_Biological_Process_2025__Positive Regulation of Amide Metabolic Process (GO:0034250)
GO:0090109,0.5599848690721035,1.6411093313353795,0.399612267975328,13.89%,ROCK2;ROCK1;MACF1;SLK;RHOA;PTK2;SLC9A1,GO_Biological_Process_2025__Regulation of Cell-Substrate Junction Assembly (GO:0090109)
GO:0000028,-0.5831141504471331,-1.637714160145104,0.479168439411597,41.81%,RPS27;RPS28;RPS14;RPS5;RPS19;RPSA,GO_Biological_Process_2025__Ribosomal Small Subunit Assembly (GO:0000028)
GO:0016441,0.7318128773715561,1.6371834354729742,0.4034129163191219,22.22%,ELOC;ELOB;SND1;TSNAX,GO_Biological_Process_2025__Post-Transcriptional Gene Silencing (GO:0016441)
GO:2000008,0.5610085811885844,1.6360698049554996,0.4022422992134147,22.51%,EGF;STX4;ACTN2;CTNNB1;TOR1A;HSP90AB1;PICALM,GO_Biological_Process_2025__Regulation of Protein Localization to Cell Surface (GO:2000008)
GO:0010719,-0.5762756443976854,-1.6348723428912166,0.4619669080578914,42.49%,VASN;SFRP1;GSK3B;PTEN;BMP5;DSG2,GO_Biological_Process_2025__Negative Regulation of Epithelial to Mesenchymal Transition (GO:0010719)
GO:0034976,0.407695503389863,1.6328589994982698,0.4082923278171549,44.28%,ATP2A3;ATP2A2;FLOT1;BCAP31;MAN1B1;NIBAN1;TMX1;AIFM1;ITPR1;RCN3;VAPB;PDIA4;FAF1;SGTA;CANX;PDIA6;UBA5;TOR1A;MAP3K5;UBE2J1;SEC61B;TRIM25;CALR;VCP;UFM1;CDK5RAP3;P4HB;HSP90B1;SEC16A;BAX;UFL1;EIF2B5;THBS4;UFD1;DDRGK1;THBS1;ERP44;ERO1A;OS9;PIK3R1;PDIA3;YOD1;HSPA5;UFC1;DNAJB2;STT3B;GORASP2;STUB1;NPLOC4;EIF2S1;CCDC47;PTPN1;HYOU1,GO_Biological_Process_2025__Response to Endoplasmic Reticulum Stress (GO:0034976)
GO:0033700,-0.5052631578947369,-1.6327310823399317,0.4449435453832855,49.61%,APOA4;APOC1;APOA1;APOA2;APOC3;APOE;APOC2;APOA5,GO_Biological_Process_2025__Phospholipid Efflux (GO:0033700)
GO:0034249,0.5277305228327569,1.6321854621953,0.4055393051617168,22.16%,SORL1;ROCK1;RTN1;RTN3;RTN2;NTRK2;RTN4,GO_Biological_Process_2025__Negative Regulation of Amide Metabolic Process (GO:0034249)
GO:0022613,-0.2582569332646213,-1.63181260665898,0.4269384437904286,66.28%,RPL14;RPS9;RPS16;RPS25;RPS7;RPS13;RPS27;RPL11;RPS28;RPS17;RPS4X;NOP56;RPL7;RPS8;RPS14;RPS6;RPL38;RPS15A;NPM1;NOP2;WDR43;RPS23;RPS5;RPS19;NOP58;RPS24;RPS11;RPL5;RPL35A;RPS3A;ABCF1,GO_Biological_Process_2025__Ribonucleoprotein Complex Biogenesis (GO:0022613)
GO:0045646,0.5571618862991847,1.6289217889529908,0.4068144274151697,39.18%,LYN;MIA3;STAT3;HMGB2;NCKAP1L;STAT5B;STAT1;PRMT1;MAPK14;INHBA,GO_Biological_Process_2025__Regulation of Erythrocyte Differentiation (GO:0045646)
GO:0045648,0.5871302983789104,1.6272231519748768,0.4079627404920999,39.18%,MIA3;STAT3;HMGB2;NCKAP1L;STAT5B;STAT1;PRMT1;MAPK14;INHBA,GO_Biological_Process_2025__Positive Regulation of Erythrocyte Differentiation (GO:0045648)
GO:0050994,-0.5052631578947369,-1.6266427275446296,0.4207195100210864,49.61%,APOC1;ABCD1;APOA2;APOC3;ANGPTL3;CLSTN3;PRKAA1;APOA5,GO_Biological_Process_2025__Regulation of Lipid Catabolic Process (GO:0050994)
GO:0015986,0.441967471859453,1.6258772526904133,0.4079585040133041,40.57%,ATP5PB;ATP5PD;ATP5MG;ATP5F1C;ATP5MK;SDHA;NDUFS1;ATP5PF;NDUFS3;ATP5MF;NDUFA8;SDHB;NDUFS2;ATP5ME;NDUFA13;ATP5MJ;NDUFV2;NDUFB3;NDUFV1;NDUFA11;NDUFA7;NDUFA10;ATP5PO;NDUFA6;NDUFA5;NDUFAB1;NDUFS8;NDUFS4;NDUFS5,GO_Biological_Process_2025__Proton Motive Force-Driven ATP Synthesis (GO:0015986)
GO:0048592,0.6436938600392437,1.625566840806893,0.4043172953450977,18.04%,STAT3;COL5A1;COL5A2;FBN1;MFAP2,GO_Biological_Process_2025__Eye Morphogenesis (GO:0048592)
GO:2000403,0.6546332222028015,1.6216287071953652,0.4084216826226196,27.26%,APP;RHOA;PPP1R9B;DOCK8;P4HB,GO_Biological_Process_2025__Positive Regulation of Lymphocyte Migration (GO:2000403)
GO:0002183,0.4653683910890186,1.6193682488947114,0.4118136226906485,16.73%,EIF3J;EIF4B;EIF3D;EIF3F;EIF5;EIF3I;EIF4A2;EIF2B3;EIF3K;EIF3G;EIF2S2;EIF3E;EIF3H,GO_Biological_Process_2025__Cytoplasmic Translational Initiation (GO:0002183)
