term,fdr,Odds Ratio,Combined Score,Genes,description
PIP3 Activates AKT Signaling,0.8331711,1.647409,3.128961,PPP2CA;AKT1S1;PIP5K1B;IRS2;RBBP7;FOXO1;TNRC6B,PIP3 Activates AKT Signaling
Antimicrobial Peptides,0.8331711,2.973829,5.45319,LCN2;ELANE,Antimicrobial Peptides
NrCAM Interactions,0.8331711,6.526633,11.70701,DLG4,NrCAM Interactions
Pregnenolone Biosynthesis,0.8331711,6.526633,11.70701,FDX2,Pregnenolone Biosynthesis
Pyrimidine Catabolism,0.8331711,6.526633,11.70701,POMP,Pyrimidine Catabolism
DEx H-box Helicases Activate Type I IFN and Inflammatory Cytokines Production,0.8331711,6.526633,11.70701,DHX36,DEx H-box Helicases Activate Type I IFN and Inflammatory Cytokines Production
Regulation of CDH11 mRNA Translation by microRNAs,0.8331711,6.526633,11.70701,TNRC6B,Regulation of CDH11 mRNA Translation by microRNAs
Regulation of Innate Immune Responses to Cytosolic DNA,0.8331711,6.526633,11.70701,IRF3,Regulation of Innate Immune Responses to Cytosolic DNA
SOS-mediated Signalling,0.8331711,6.526633,11.70701,IRS2,SOS-mediated Signalling
Scavenging by Class B Receptors,0.8331711,6.526633,11.70701,SAA1,Scavenging by Class B Receptors
TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway,0.8331711,6.526633,11.70701,BIRC2,TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway
Ligand-receptor Interactions,0.8331711,6.526633,11.70701,GAS1,Ligand-receptor Interactions
Interleukin-4 and Interleukin-13 Signaling,0.8331711,2.136283,3.671359,LCN2;SAA1;FOXO1,Interleukin-4 and Interleukin-13 Signaling
mRNA 3'-End Processing,0.8331711,2.725168,4.654154,CSTF2;DHX38,mRNA 3'-End Processing
Maturation of Spike Protein 9694548,0.8331711,2.725168,4.654154,ZDHHC5;GOLGA7,Maturation of Spike Protein 9694548
Signaling by Rho GTPases,0.8331711,1.324108,2.216507,DOCK9;MSI2;ARHGAP5;PPP2CA;DLG4;MCF2L;SHKBP1;CDC42EP3;ARHGEF3;RAC3;PIN1;MYH14;DYNC1I1;RHOQ;SCAI,Signaling by Rho GTPases
RHO GTPase Effectors,0.8331711,1.535164,2.559644,PPP2CA;DLG4;PIN1;MYH14;DYNC1I1;RHOQ;SCAI,RHO GTPase Effectors
"Activation of IRF3, IRF7 Mediated by TBK1, IKK? (IKBKE)",0.8331711,5.438023,8.995431,IRF3,"Activation of IRF3, IRF7 Mediated by TBK1, IKK? (IKBKE)"
Negative Regulation of FLT3,0.8331711,5.438023,8.995431,SLA,Negative Regulation of FLT3
PI3K AKT Activation,0.8331711,5.438023,8.995431,IRS2,PI3K AKT Activation
CDH11 Homotypic and Heterotypic Interactions,0.8331711,5.438023,8.995431,CDH24,CDH11 Homotypic and Heterotypic Interactions
Competing Endogenous RNAs (ceRNAs) Regulate PTEN Translation,0.8331711,5.438023,8.995431,TNRC6B,Competing Endogenous RNAs (ceRNAs) Regulate PTEN Translation
Cytochrome P450 - Arranged by Substrate Type,0.8331711,5.438023,8.995431,FDX2,Cytochrome P450 - Arranged by Substrate Type
Regulation of Beta-Cell Development,0.8331711,5.438023,8.995431,FOXO1,Regulation of Beta-Cell Development
ERCC6 (CSB) and EHMT2 (G9a) Positively Regulate rRNA Expression,0.8331711,5.438023,8.995431,RBBP7,ERCC6 (CSB) and EHMT2 (G9a) Positively Regulate rRNA Expression
Transcriptional Regulation by E2F6,0.8331711,5.438023,8.995431,RBBP7,Transcriptional Regulation by E2F6
FLT3 Signaling,0.8331711,2.615758,4.314875,HCK;SLA,FLT3 Signaling
Transcription-Coupled Nucleotide Excision Repair (TC-NER),0.8331711,2.615758,4.314875,PPIE;PRPF19,Transcription-Coupled Nucleotide Excision Repair (TC-NER)
Toll-like Receptor Cascades,0.8331711,1.674778,2.748419,PPP2CA;IRF3;SAA1;S100A12;BIRC2,Toll-like Receptor Cascades
HCMV Early Events,0.8331711,2.046637,3.351155,NUP62;RBBP7;DYNC1I1,HCMV Early Events
Glycolysis,0.8331711,2.004558,3.204434,PFKFB2;PPP2CA;NUP62,Glycolysis
MAPK6 MAPK4 Signaling,0.8331711,2.004558,3.204434,CDC42EP3;FOXO1;TNRC6B,MAPK6 MAPK4 Signaling
DNA Repair,0.8331711,1.748027,2.729873,PRKDC;PNKP;PPIE;PRPF19,DNA Repair
"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",0.8331711,1.291174,2.006969,DOCK9;MSI2;ARHGAP5;PPP2CA;DLG4;MCF2L;SHKBP1;CDC42EP3;ARHGEF3;RAC3;PIN1;MYH14;DYNC1I1;RHOQ;SCAI,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3"
RNA Polymerase II Transcription Termination,0.8331711,2.42125,3.731686,CSTF2;DHX38,RNA Polymerase II Transcription Termination
FOXO-mediated Transcription,0.8331711,2.42125,3.731686,RETN;FOXO1,FOXO-mediated Transcription
mRNA Decay by 3' to 5' Exoribonuclease,0.8331711,4.660445,7.154539,EXOSC2,mRNA Decay by 3' to 5' Exoribonuclease
Nef and Signal Transduction,0.8331711,4.660445,7.154539,HCK,Nef and Signal Transduction
Acyl Chain Remodelling of PC,0.8331711,4.660445,7.154539,PNPLA8,Acyl Chain Remodelling of PC
Acyl Chain Remodelling of PE,0.8331711,4.660445,7.154539,PNPLA8,Acyl Chain Remodelling of PE
Oncogene Induced Senescence,0.8331711,4.660445,7.154539,TNRC6B,Oncogene Induced Senescence
Biotin Transport and Metabolism,0.8331711,4.660445,7.154539,SLC5A6,Biotin Transport and Metabolism
RNA Polymerase I Transcription Initiation,0.8331711,4.660445,7.154539,RBBP7,RNA Polymerase I Transcription Initiation
Regulation of PTEN mRNA Translation,0.8331711,4.660445,7.154539,TNRC6B,Regulation of PTEN mRNA Translation
Regulation of RUNX1 Expression and Activity,0.8331711,4.660445,7.154539,TNRC6B,Regulation of RUNX1 Expression and Activity
Erythropoietin Activates Phosphoinositide-3-kinase (PI3K),0.8331711,4.660445,7.154539,IRS2,Erythropoietin Activates Phosphoinositide-3-kinase (PI3K)
Glutamate and Glutamine Metabolism,0.8331711,4.660445,7.154539,GLUL,Glutamate and Glutamine Metabolism
Small Interfering RNA (siRNA) Biogenesis,0.8331711,4.660445,7.154539,PRKRA,Small Interfering RNA (siRNA) Biogenesis
Heme Biosynthesis,0.8331711,4.660445,7.154539,COX15,Heme Biosynthesis
TGFBR3 Expression,0.8331711,4.660445,7.154539,TNRC6B,TGFBR3 Expression
Lectin Pathway of Complement Activation,0.8331711,4.660445,7.154539,FCN2,Lectin Pathway of Complement Activation
MASTL Facilitates Mitotic Progression,0.8331711,4.660445,7.154539,PPP2CA,MASTL Facilitates Mitotic Progression
PI3K AKT Signaling in Cancer,0.8331711,1.925351,2.934676,AKT1S1;IRS2;FOXO1,PI3K AKT Signaling in Cancer
Regulation of TP53 Activity,0.8331711,1.925351,2.934676,PPP2CA;PIN1;RBBP7,Regulation of TP53 Activity
Processing of Capped Intron-Containing Pre-mRNA,0.8331711,1.515226,2.290991,FUS;CSTF2;NUP62;DHX38;PPIE;PRPF19,Processing of Capped Intron-Containing Pre-mRNA
Apoptotic Cleavage of Cellular Proteins,0.8331711,2.334416,3.480054,PKP1;BIRC2,Apoptotic Cleavage of Cellular Proteins
Complex IV Assembly,0.8331711,2.334416,3.480054,COX15;COX14,Complex IV Assembly
Respiratory Syncytial Virus Infection Pathway,0.8331711,1.888032,2.810563,IRF3;CD209;GPC5,Respiratory Syncytial Virus Infection Pathway
tRNA Processing in the Nucleus,0.8331711,2.25357,3.250877,NUP62;CSTF2,tRNA Processing in the Nucleus
"Cell Death Signalling via NRAGE, NRIF and NADE",0.8331711,2.25357,3.250877,MCF2L;ARHGEF3,"Cell Death Signalling via NRAGE, NRIF and NADE"
Apoptotic Cleavage of Cell Adhesion Proteins,0.8331711,4.077261,5.837926,PKP1,Apoptotic Cleavage of Cell Adhesion Proteins
PKA Activation,0.8331711,4.077261,5.837926,NBEA,PKA Activation
PKA-mediated Phosphorylation of CREB,0.8331711,4.077261,5.837926,NBEA,PKA-mediated Phosphorylation of CREB
Processing of Intronless Pre-mRNAs,0.8331711,4.077261,5.837926,CSTF2,Processing of Intronless Pre-mRNAs
Cytosolic Iron-Sulfur Cluster Assembly,0.8331711,4.077261,5.837926,NDOR1,Cytosolic Iron-Sulfur Cluster Assembly
Regulation of CDH11 Function,0.8331711,4.077261,5.837926,CDH24,Regulation of CDH11 Function
Regulation of MITF-M-dependent Genes Involved in Apoptosis,0.8331711,4.077261,5.837926,TNRC6B,Regulation of MITF-M-dependent Genes Involved in Apoptosis
ERKs Are Inactivated,0.8331711,4.077261,5.837926,PPP2CA,ERKs Are Inactivated
FOXO-mediated Transcription of Cell Cycle Genes,0.8331711,4.077261,5.837926,FOXO1,FOXO-mediated Transcription of Cell Cycle Genes
Signal Attenuation,0.8331711,4.077261,5.837926,IRS2,Signal Attenuation
Signaling by Leptin,0.8331711,4.077261,5.837926,IRS2,Signaling by Leptin
Synaptic Adhesion-Like Molecules,0.8331711,4.077261,5.837926,DLG4,Synaptic Adhesion-Like Molecules
"TICAM1, RIP1-mediated IKK Complex Recruitment",0.8331711,4.077261,5.837926,BIRC2,"TICAM1, RIP1-mediated IKK Complex Recruitment"
"Unblocking of NMDA Receptors, Glutamate Binding and Activation",0.8331711,4.077261,5.837926,DLG4,"Unblocking of NMDA Receptors, Glutamate Binding and Activation"
Metabolism of Folate and Pterines,0.8331711,4.077261,5.837926,MTHFD2L,Metabolism of Folate and Pterines
Glucose Metabolism,0.8331711,1.817541,2.581513,PFKFB2;PPP2CA;NUP62,Glucose Metabolism
Formation of the Cornified Envelope,0.8331711,2.178114,3.041583,KRT18;PKP1,Formation of the Cornified Envelope
TAK1-dependent IKK and NF-kappa-B Activation,0.8331711,2.178114,3.041583,SAA1;S100A12,TAK1-dependent IKK and NF-kappa-B Activation
Protein Localization,0.8331711,1.503176,2.061539,TIMM10B;SEC61G;PEX5;HACL1;SLC27A2,Protein Localization
MyD88 Cascade Initiated on Plasma Membrane,0.8331711,1.752085,2.375324,PPP2CA;SAA1;S100A12,MyD88 Cascade Initiated on Plasma Membrane
"PI5P, PP2A and IER3 Regulate PI3K AKT Signaling",0.8331711,1.752085,2.375324,PPP2CA;IRS2;PIP5K1B,"PI5P, PP2A and IER3 Regulate PI3K AKT Signaling"
Toll Like Receptor 10 (TLR10) Cascade,0.8331711,1.752085,2.375324,PPP2CA;SAA1;S100A12,Toll Like Receptor 10 (TLR10) Cascade
Toll Like Receptor 5 (TLR5) Cascade,0.8331711,1.752085,2.375324,PPP2CA;SAA1;S100A12,Toll Like Receptor 5 (TLR5) Cascade
Keratinization,0.8331711,2.107527,2.849961,KRT18;PKP1,Keratinization
Activation of HOX Genes During Differentiation,0.8331711,3.623674,4.858755,RBBP7,Activation of HOX Genes During Differentiation
Activation of SMO,0.8331711,3.623674,4.858755,GAS1,Activation of SMO
Activation of Anterior HOX Genes in Hindbrain Development During Early Embryogenesis,0.8331711,3.623674,4.858755,RBBP7,Activation of Anterior HOX Genes in Hindbrain Development During Early Embryogenesis
Apoptosis Induced DNA Fragmentation,0.8331711,3.623674,4.858755,HMGB2,Apoptosis Induced DNA Fragmentation
Beta-oxidation of Very Long Chain Fatty Acids,0.8331711,3.623674,4.858755,SLC27A2,Beta-oxidation of Very Long Chain Fatty Acids
PKMTs Methylate Histone Lysines,0.8331711,3.623674,4.858755,RBBP7,PKMTs Methylate Histone Lysines
Pre-NOTCH Transcription and Translation,0.8331711,3.623674,4.858755,TNRC6B,Pre-NOTCH Transcription and Translation
Cyclin A B1 B2 Associated Events During G2 M Transition,0.8331711,3.623674,4.858755,PPP2CA,Cyclin A B1 B2 Associated Events During G2 M Transition
RNA Polymerase I Promoter Clearance,0.8331711,3.623674,4.858755,RBBP7,RNA Polymerase I Promoter Clearance
RNA Polymerase I Transcription,0.8331711,3.623674,4.858755,RBBP7,RNA Polymerase I Transcription
"Defective EXT1 Causes Exostoses 1, TRPS2 and CHDS",0.8331711,3.623674,4.858755,GPC5,"Defective EXT1 Causes Exostoses 1, TRPS2 and CHDS"
Defective EXT2 Causes Exostoses 2,0.8331711,3.623674,4.858755,GPC5,Defective EXT2 Causes Exostoses 2
Regulation of Endogenous Retroelements by KRAB-ZFP Proteins,0.8331711,3.623674,4.858755,RBBP7,Regulation of Endogenous Retroelements by KRAB-ZFP Proteins
Regulation of Localization of FOXO Transcription Factors,0.8331711,3.623674,4.858755,FOXO1,Regulation of Localization of FOXO Transcription Factors
Erythropoietin Activates RAS,0.8331711,3.623674,4.858755,IRS2,Erythropoietin Activates RAS
Formation of WDR5-containing Histone-Modifying Complexes,0.8331711,3.623674,4.858755,WDR82,Formation of WDR5-containing Histone-Modifying Complexes
Glutathione Synthesis and Recycling,0.8331711,3.623674,4.858755,CHAC2,Glutathione Synthesis and Recycling
Transcriptional Regulation of Brown and Beige Adipocyte Differentiation,0.8331711,3.623674,4.858755,RBBP7,Transcriptional Regulation of Brown and Beige Adipocyte Differentiation
