,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
40,GO:0032489,regulation of Cdc42 protein signal transduction,GO:0032489,0.147658,50.60714,187.0446,APOC3,Regulation Of Cdc42 Protein Signal Transduction (GO:0032489)
41,GO:0032924,activin receptor signaling pathway,GO:0032924,0.147658,33.73129,113.4869,GDF6,Activin Receptor Signaling Pathway (GO:0032924)
42,GO:0009968,negative regulation of signal transduction,GO:0009968,0.147658,4.187063,13.43475,GDF15;SMPDL3B;DKK1,Negative Regulation Of Signal Transduction (GO:0009968)
43,GO:0043062,extracellular structure organization,GO:0043062,0.147658,9.573643,36.86703,COL3A1;SPINT1,Extracellular Structure Organization (GO:0043062)
44,GO:2000725,regulation of cardiac muscle cell differentiation,GO:2000725,0.147658,40.48163,142.3391,DKK1,Regulation Of Cardiac Muscle Cell Differentiation (GO:2000725)
45,GO:0018146,keratan sulfate biosynthetic process,GO:0018146,0.147658,28.90962,93.47515,SLC35D2,Keratan Sulfate Biosynthetic Process (GO:0018146)
46,GO:0071637,regulation of monocyte chemotactic protein-1 production,GO:0071637,0.147658,67.48299,264.3107,C1QTNF3,Regulation Of Monocyte Chemotactic Protein-1 Production (GO:0071637)
47,GO:1900048,positive regulation of hemostasis,GO:1900048,0.147658,25.29337,78.86526,EMILIN2,Positive Regulation Of Hemostasis (GO:1900048)
48,GO:0001819,positive regulation of cytokine production,GO:0001819,0.147658,4.627896,15.97637,C1QTNF3;C5;MAPK13,Positive Regulation Of Cytokine Production (GO:0001819)
49,GO:0071560,cellular response to transforming growth factor beta stimulus,GO:0071560,0.147658,6.41862,20.18008,COL3A1;GDF15,Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560)
50,GO:0070328,triglyceride homeostasis,GO:0070328,0.147658,34.41319,211.2624,C1QTNF3;APOC3,Triglyceride Homeostasis (GO:0070328)
51,GO:0052548,regulation of endopeptidase activity,GO:0052548,0.147658,9.355114,35.63928,SERPIND1;SERPINA10,Regulation Of Endopeptidase Activity (GO:0052548)
52,GO:1905522,negative regulation of macrophage migration,GO:1905522,0.147658,202.4898,932.4527,C5,Negative Regulation Of Macrophage Migration (GO:1905522)
53,GO:0010831,positive regulation of myotube differentiation,GO:0010831,0.147658,67.48299,264.3107,PIEZO1,Positive Regulation Of Myotube Differentiation (GO:0010831)
54,GO:0032332,positive regulation of chondrocyte differentiation,GO:0032332,0.147658,67.48299,264.3107,GDF6,Positive Regulation Of Chondrocyte Differentiation (GO:0032332)
55,GO:0002428,antigen processing and presentation of peptide antigen via MHC class Ib,GO:0002428,0.147658,25.29337,78.86526,MICB,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class Ib (GO:0002428)
56,GO:0050714,positive regulation of protein secretion,GO:0050714,0.147658,10.04268,39.53334,C1QTNF3;SYTL4,Positive Regulation Of Protein Secretion (GO:0050714)
57,GO:2000096,"positive regulation of Wnt signaling pathway, planar cell polarity pathway",GO:2000096,0.147658,202.4898,932.4527,DKK1,"Positive Regulation Of Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:2000096)"
58,GO:0050995,negative regulation of lipid catabolic process,GO:0050995,0.147658,33.73129,113.4869,APOC3,Negative Regulation Of Lipid Catabolic Process (GO:0050995)
59,GO:2000303,regulation of ceramide biosynthetic process,GO:2000303,0.147658,28.90962,93.47515,SAMD8,Regulation Of Ceramide Biosynthetic Process (GO:2000303)
60,GO:1901731,positive regulation of platelet aggregation,GO:1901731,0.147658,50.60714,187.0446,EMILIN2,Positive Regulation Of Platelet Aggregation (GO:1901731)
61,GO:0048259,regulation of receptor-mediated endocytosis,GO:0048259,0.147658,15.86058,75.49124,APOC3;DKK1,Regulation Of Receptor-Mediated Endocytosis (GO:0048259)
62,GO:0006887,exocytosis,GO:0006887,0.147658,7.211988,24.1458,RAB3IL1;SYTL4,Exocytosis (GO:0006887)
63,GO:0032874,positive regulation of stress-activated MAPK cascade,GO:0032874,0.147658,7.086925,23.50917,CCN2;GDF6,Positive Regulation Of Stress-Activated MAPK Cascade (GO:0032874)
64,GO:0002526,acute inflammatory response,GO:0002526,0.1501245,22.48073,67.78176,VNN1,Acute Inflammatory Response (GO:0002526)
